Date,Open,High,Low,Close,Volume
3-Jan-00,41.00,41.78,40.19,40.47,3102600
4-Jan-00,40.25,40.91,40.16,40.66,4389200
5-Jan-00,41.00,43.25,40.50,43.00,6243200
6-Jan-00,42.94,43.19,42.41,42.44,8975400
7-Jan-00,43.00,43.44,42.28,42.62,8957800
10-Jan-00,43.56,43.62,42.19,42.19,7508600
11-Jan-00,41.00,42.25,41.00,41.94,4463200
12-Jan-00,41.78,41.94,41.38,41.56,3738200
13-Jan-00,41.56,41.59,40.66,40.81,4190800
14-Jan-00,40.81,40.81,39.62,40.00,3757000
18-Jan-00,40.31,40.31,38.97,39.00,4920800
19-Jan-00,39.00,39.50,38.81,39.06,4988600
20-Jan-00,37.81,38.03,36.25,36.84,10251400
21-Jan-00,37.12,38.50,36.81,37.69,7344800
24-Jan-00,38.00,38.19,36.38,36.72,3672200
25-Jan-00,36.72,37.19,35.91,36.16,4953000
26-Jan-00,36.19,36.38,35.41,35.62,6261600
27-Jan-00,36.00,36.09,35.06,35.25,4525200
28-Jan-00,35.62,36.06,34.59,34.75,6086400
31-Jan-00,34.94,35.44,34.62,34.84,3554400
1-Feb-00,35.38,36.41,35.16,36.06,4459400
2-Feb-00,35.84,37.78,35.78,37.28,5585000
3-Feb-00,37.28,37.28,35.69,36.12,2885000
4-Feb-00,36.25,36.25,34.88,35.25,2942400
7-Feb-00,35.41,35.41,34.06,34.06,4931000
8-Feb-00,34.50,34.53,32.94,32.97,6802200
9-Feb-00,32.94,33.38,32.22,32.31,10447000
10-Feb-00,32.50,33.78,32.34,32.75,5401200
11-Feb-00,33.19,34.38,33.16,33.84,4910800
14-Feb-00,34.25,36.25,34.09,36.12,4129000
15-Feb-00,35.91,37.09,35.91,36.81,5177000
16-Feb-00,36.84,37.72,36.59,36.88,6962000
17-Feb-00,37.00,38.72,37.00,38.47,5602800
18-Feb-00,38.31,38.50,37.56,37.62,10001000
22-Feb-00,37.31,37.34,36.00,36.25,4209600
23-Feb-00,36.50,36.56,35.56,35.56,3263400
24-Feb-00,35.75,36.25,34.78,34.84,4008400
25-Feb-00,34.81,35.41,34.53,35.09,2730000
28-Feb-00,34.81,37.19,34.59,35.53,4134800
29-Feb-00,35.50,35.50,33.84,34.25,4369200
1-Mar-00,35.05,35.41,33.06,34.88,4749600
2-Mar-00,34.6,34.59,33.12,33.41,4677800
3-Mar-00,34.15,34.72,32.88,33.97,7154400
6-Mar-00,33.7,34.25,33.00,33.38,2978800
7-Mar-00,33.25,33.75,32.31,32.47,3410800
8-Mar-00,32.72,34.19,32.12,33.69,4500800
9-Mar-00,33.50,34.00,32.75,33.84,2720000
10-Mar-00,33.53,34.31,33.16,33.50,3927600
13-Mar-00,33.28,34.59,32.78,34.03,2925000
14-Mar-00,32.78,33.00,30.41,30.62,9272400
15-Mar-00,30.94,32.34,30.88,32.03,7039000
16-Mar-00,32.47,34.62,32.31,34.47,7262600
17-Mar-00,33.75,34.00,32.22,32.34,5595000
20-Mar-00,32.50,33.41,32.47,32.78,4542200
21-Mar-00,32.50,34.38,32.44,34.16,3935800
22-Mar-00,33.56,34.03,33.12,33.44,2431600
23-Mar-00,33.38,35.34,33.38,34.75,3568800
24-Mar-00,35.19,36.19,34.84,35.78,4357400
27-Mar-00,35.56,36.28,35.56,36.03,3073600
28-Mar-00,35.91,36.06,35.31,35.56,2906600
29-Mar-00,35.69,36.22,35.44,36.06,2793400
30-Mar-00,36.00,36.75,35.75,35.94,3370800
31-Mar-00,36.12,36.19,35.12,35.12,2822200
3-Apr-00,35.62,35.94,35.09,35.88,3040600
4-Apr-00,35.88,37.06,33.94,35.34,4645200
5-Apr-00,35.41,36.09,34.50,34.59,2804800
6-Apr-00,34.81,35.97,34.81,35.47,3359600
7-Apr-00,35.34,35.34,33.94,33.97,4402600
10-Apr-00,34.00,34.31,33.28,33.84,3756400
11-Apr-00,33.78,35.19,33.66,35.19,3698600
12-Apr-00,35.31,35.62,34.91,35.16,3274800
13-Apr-00,35.12,35.25,34.53,34.91,5014400
14-Apr-00,34.81,34.84,33.00,33.78,4489400
17-Apr-00,33.12,33.69,32.06,32.31,4290200
18-Apr-00,32.50,32.50,31.00,31.31,5557800
19-Apr-00,31.62,32.44,31.38,31.44,4405000
20-Apr-00,31.81,32.75,31.81,32.53,4608600
24-Apr-00,32.50,33.00,32.06,32.44,2717200
25-Apr-00,32.72,34.25,32.19,34.25,4073800
26-Apr-00,34.19,34.19,32.62,32.81,3835000
27-Apr-00,32.19,32.94,32.06,32.62,3472400
28-Apr-00,32.38,33.00,32.19,32.44,3207600
1-May-00,32.31,32.44,31.50,31.72,3613200
2-May-00,31.59,32.44,31.31,32.31,3963200
3-May-00,32.06,32.50,31.25,31.81,4220200
4-May-00,32.25,32.97,32.12,32.31,3750000
5-May-00,31.88,33.31,31.88,33.31,3087800
8-May-00,33.44,33.66,32.94,33.06,2143000
9-May-00,33.06,33.56,32.78,33.06,3832800
10-May-00,33.09,34.22,32.56,32.59,6872600
11-May-00,33.00,33.16,32.41,32.56,3417200
12-May-00,32.69,32.84,32.28,32.61,4328200
15-May-00,32.72,34.03,32.62,33.94,4853600
16-May-00,33.78,33.94,33.19,33.47,2296200
17-May-00,33.03,33.19,32.53,32.69,2355600
18-May-00,32.59,32.88,32.34,32.81,1836200
19-May-00,32.81,33.19,32.38,32.50,2352600
22-May-00,32.59,32.72,31.75,31.84,4517600
23-May-00,31.88,31.88,30.94,30.97,5437600
24-May-00,30.69,31.38,30.69,30.88,4181600
25-May-00,31.00,31.12,30.00,30.09,3011600
26-May-00,30.00,30.09,28.50,28.66,6407000
30-May-00,29.00,29.28,28.75,29.03,6006000
31-May-00,29.12,29.25,28.62,29.22,4040000
1-Jun-00,29.03,29.12,28.66,28.66,4300600
2-Jun-00,29.62,31.00,29.31,31.00,7378600
5-Jun-00,30.38,30.59,30.28,30.53,4486000
6-Jun-00,30.53,31.06,30.38,30.69,3982800
7-Jun-00,30.69,30.69,29.75,30.12,4215400
8-Jun-00,30.03,30.06,29.59,29.66,3879200
9-Jun-00,29.69,30.06,28.88,29.01,6370600
12-Jun-00,28.75,30.00,28.75,28.88,3386500
13-Jun-00,28.62,28.81,27.88,28.19,6883800
14-Jun-00,28.50,30.50,28.44,29.94,4936600
15-Jun-00,30.38,30.88,29.81,30.62,4383800
16-Jun-00,30.62,32.06,30.06,31.06,5495800
19-Jun-00,31.75,31.81,30.00,30.06,3847800
20-Jun-00,30.25,30.56,29.75,30.06,2895800
21-Jun-00,29.31,29.69,28.50,28.62,3501200
22-Jun-00,29.88,30.00,28.56,29.12,3555700
23-Jun-00,29.06,30.69,28.75,30.25,3475300
26-Jun-00,30.06,30.25,28.62,28.88,2919200
27-Jun-00,29.12,30.75,29.06,29.94,3814900
28-Jun-00,29.69,30.19,28.88,29.62,3333800
29-Jun-00,29.12,29.88,28.62,29.00,4091800
30-Jun-00,28.75,29.75,28.62,29.00,4532100
