Date,Open,High,Low,Close,Volume
22-Aug-14,16.30,16.53,16.24,16.45,7602238
21-Aug-14,16.52,16.52,16.26,16.35,8555602
20-Aug-14,16.38,16.69,16.36,16.50,13096782
19-Aug-14,16.37,16.47,16.27,16.43,13166970
18-Aug-14,16.20,16.36,16.15,16.32,11801157
15-Aug-14,16.27,16.32,16.02,16.11,11303046
14-Aug-14,16.19,16.27,16.16,16.23,5977791
13-Aug-14,16.22,16.29,16.13,16.24,9404216
12-Aug-14,16.22,16.41,16.15,16.19,15230822
11-Aug-14,16.30,16.41,16.15,16.19,9909784
8-Aug-14,15.72,16.15,15.60,16.10,13874655
7-Aug-14,16.46,16.54,15.87,16.00,19267953
6-Aug-14,16.25,16.60,16.25,16.44,11506680
5-Aug-14,16.63,16.64,16.37,16.44,17046875
4-Aug-14,16.58,16.74,16.45,16.71,14969103
1-Aug-14,16.26,16.61,16.20,16.44,14585331
31-Jul-14,16.61,16.63,16.12,16.39,25997242
30-Jul-14,17.00,17.06,16.63,16.72,13685262
29-Jul-14,17.09,17.14,16.90,16.91,16859407
28-Jul-14,16.60,17.03,16.60,17.01,18014079
25-Jul-14,16.94,16.94,16.53,16.56,21333348
24-Jul-14,17.06,17.18,16.96,17.00,20955082
23-Jul-14,17.22,17.22,17.00,17.05,21155432
22-Jul-14,16.69,17.16,16.69,17.09,31550979
21-Jul-14,16.39,16.68,16.36,16.62,18575532
18-Jul-14,16.33,16.58,16.32,16.49,12612299
17-Jul-14,16.46,16.57,16.27,16.33,22347824
16-Jul-14,16.16,16.71,16.12,16.60,23623183
15-Jul-14,16.12,16.19,15.93,16.12,19598883
14-Jul-14,16.17,16.25,15.91,16.11,24271298
11-Jul-14,15.64,15.98,15.62,15.97,15560763
10-Jul-14,15.58,15.97,15.42,15.62,28419549
9-Jul-14,15.24,15.76,15.16,15.69,54283461
8-Jul-14,14.78,14.89,14.56,14.85,27337533
7-Jul-14,14.99,15.05,14.70,14.74,16482428
3-Jul-14,14.89,15.07,14.83,14.98,7816491
2-Jul-14,14.85,14.89,14.80,14.85,10396532
1-Jul-14,14.93,15.00,14.75,14.80,10400891
30-Jun-14,14.89,14.90,14.68,14.89,12962284
27-Jun-14,14.92,15.00,14.75,14.93,17911291
