Date,Open,High,Low,Close,Volume
22-Aug-08,1.85,1.86,1.83,1.85,142911
25-Aug-08,1.86,1.87,1.77,1.77,81552
26-Aug-08,1.80,1.80,1.76,1.77,123733
27-Aug-08,1.72,1.77,1.65,1.66,212906
28-Aug-08,1.69,1.70,1.55,1.61,359346
29-Aug-08,1.60,1.65,1.46,1.46,176225
2-Sep-08,1.53,1.57,1.50,1.55,651423
3-Sep-08,1.57,1.57,1.49,1.49,176672
4-Sep-08,1.51,1.56,1.42,1.42,365752
5-Sep-08,1.47,1.50,1.36,1.38,308022
8-Sep-08,1.47,1.51,1.32,1.38,277346
9-Sep-08,1.39,1.43,1.30,1.30,303044
10-Sep-08,1.39,1.41,1.27,1.36,414355
11-Sep-08,1.34,1.34,1.29,1.32,202685
12-Sep-08,1.32,1.44,1.29,1.39,177434
15-Sep-08,1.49,1.49,0.82,1.04,558262
16-Sep-08,1.06,1.37,0.95,1.10,290485
17-Sep-08,1.21,1.47,0.95,0.95,187482
18-Sep-08,0.90,1.09,0.55,0.73,619646
19-Sep-08,1.60,1.61,0.91,1.36,638290
22-Sep-08,1.65,1.70,1.27,1.66,293464
23-Sep-08,1.80,1.80,1.42,1.52,377143
24-Sep-08,1.52,1.70,1.42,1.51,311434
25-Sep-08,1.50,1.60,1.50,1.56,194505
26-Sep-08,1.60,1.66,1.52,1.64,209122
29-Sep-08,1.64,1.65,1.50,1.52,345625
30-Sep-08,1.56,1.76,1.50,1.60,322707
1-Oct-08,1.62,1.66,1.39,1.40,279072
2-Oct-08,1.41,1.45,1.19,1.20,219696
3-Oct-08,1.23,1.26,0.91,0.96,474816
6-Oct-08,1.04,1.04,0.93,1.02,129001
7-Oct-08,1.02,1.14,0.71,0.76,310057
8-Oct-08,0.99,0.99,0.68,0.69,165842
9-Oct-08,0.60,0.88,0.60,0.65,495534
10-Oct-08,0.75,0.79,0.50,0.64,290850
13-Oct-08,0.95,0.95,0.66,0.66,215347
14-Oct-08,0.88,0.88,0.59,0.60,300401
15-Oct-08,0.56,0.66,0.54,0.55,187636
16-Oct-08,0.55,0.65,0.50,0.53,329465
17-Oct-08,0.46,0.61,0.20,0.25,1381219
20-Oct-08,0.45,0.45,0.31,0.41,1157221
21-Oct-08,0.42,0.47,0.36,0.47,1150606
22-Oct-08,0.44,0.47,0.35,0.40,214780
23-Oct-08,0.41,0.41,0.32,0.32,233815
24-Oct-08,0.44,0.44,0.30,0.32,304893
27-Oct-08,0.41,0.41,0.28,0.28,426714
28-Oct-08,0.28,0.30,0.25,0.26,273196
29-Oct-08,0.40,0.40,0.29,0.29,679979
30-Oct-08,0.33,0.33,0.25,0.26,631185
31-Oct-08,0.25,0.35,0.24,0.32,956886
3-Nov-08,0.39,0.40,0.27,0.35,516877
4-Nov-08,0.43,0.43,0.35,0.37,329384
5-Nov-08,0.40,0.40,0.35,0.39,558994
6-Nov-08,0.42,0.48,0.39,0.44,648511
7-Nov-08,0.44,0.75,0.44,0.53,424205
10-Nov-08,0.52,0.56,0.36,0.37,920724
11-Nov-08,0.37,0.44,0.17,0.17,2979320
22-Dec-10,15.35,8.14,15.08,15.40,536068
23-Dec-10,15.40,15.85,15.30,15.51,631563
27-Dec-10,15.55,15.85,15.55,15.78,65229
28-Dec-10,15.80,15.95,15.76,15.85,188650
29-Dec-10,15.85,15.91,15.80,15.80,40178
30-Dec-10,15.78,15.99,15.74,15.87,69722
31-Dec-10,15.84,16.05,15.48,15.88,116592
3-Jan-11,16.18,16.18,15.77,15.83,194553
4-Jan-11,15.81,15.84,15.54,15.61,25477
5-Jan-11,15.46,15.75,15.46,15.67,241460
6-Jan-11,15.74,15.75,15.52,15.65,59109
7-Jan-11,15.72,15.73,15.50,15.51,205873
10-Jan-11,16.10,16.34,15.88,16.07,2565215
11-Jan-11,16.07,16.10,15.53,15.60,1384489
12-Jan-11,15.84,15.84,15.50,15.50,720479
13-Jan-11,15.82,15.82,15.10,15.18,494990
14-Jan-11,15.18,15.44,15.00,15.20,243884
18-Jan-11,15.10,15.45,15.10,15.23,382211
19-Jan-11,15.30,15.35,15.07,15.08,349559
20-Jan-11,15.00,15.05,14.41,14.59,544674
21-Jan-11,14.67,14.99,14.28,14.40,815823
24-Jan-11,14.48,14.52,14.10,14.14,207903
25-Jan-11,14.16,15.02,13.91,14.71,761277
26-Jan-11,14.79,15.24,14.48,15.09,600725
27-Jan-11,15.15,15.20,14.75,14.99,268418
28-Jan-11,15.00,15.13,14.67,14.89,294661
31-Jan-11,14.35,15.00,14.35,14.96,725389
1-Feb-11,15.01,15.34,14.50,14.97,836729
2-Feb-11,14.93,15.05,14.61,14.72,219637
3-Feb-11,14.79,14.86,14.45,14.83,229003
4-Feb-11,14.91,15.20,14.75,15.14,265788
7-Feb-11,15.06,16.00,15.06,15.77,330332
8-Feb-11,15.65,15.80,15.42,15.65,341833
9-Feb-11,15.51,15.78,15.45,15.72,195816
10-Feb-11,15.63,15.71,15.44,15.50,319420
11-Feb-11,15.49,15.49,15.17,15.19,104791
14-Feb-11,15.20,15.55,15.10,15.24,289479
15-Feb-11,15.16,15.45,15.15,15.26,106235
16-Feb-11,15.26,15.52,15.20,15.44,171576
17-Feb-11,15.46,15.50,15.01,15.22,216659
18-Feb-11,15.43,15.43,14.97,15.32,132152
22-Feb-11,14.99,15.21,14.77,14.88,276805
23-Feb-11,14.81,14.81,14.18,14.45,832449
24-Feb-11,14.43,14.62,14.25,14.49,445705
25-Feb-11,14.39,14.66,13.40,14.55,1092554
28-Feb-11,14.38,14.51,13.95,13.99,443323
1-Mar-11,13.95,14.05,13.76,13.85,323111
2-Mar-11,13.82,14.02,13.71,13.99,217890
3-Mar-11,14.05,14.22,13.71,14.10,283795
4-Mar-11,14.23,14.23,13.83,14.02,353727
7-Mar-11,14.12,14.12,13.88,13.92,271981
8-Mar-11,13.92,14.10,13.90,14.01,145498
9-Mar-11,14.01,14.20,13.92,13.98,160278
10-Mar-11,13.88,13.94,13.70,13.75,131775
11-Mar-11,13.70,13.70,13.40,13.50,679391
14-Mar-11,13.45,13.57,13.20,13.35,210649
15-Mar-11,13.00,13.19,12.74,13.06,380217
16-Mar-11,13.06,13.16,12.91,13.11,258255
17-Mar-11,13.29,13.29,12.86,13.11,132351
18-Mar-11,13.18,13.65,13.08,13.64,470350
21-Mar-11,13.70,14.00,13.57,14.00,272886
22-Mar-11,13.98,14.03,13.71,13.94,377124
23-Mar-11,13.89,13.96,13.75,13.92,158804
24-Mar-11,13.92,14.17,13.84,14.13,471291
25-Mar-11,14.23,14.29,14.07,14.12,302160
28-Mar-11,14.15,14.24,14.10,14.10,162919
29-Mar-11,14.07,14.23,14.07,14.13,92176
30-Mar-11,14.14,14.20,14.08,14.15,86857
31-Mar-11,14.12,14.21,13.84,13.89,344225
1-Apr-11,13.91,14.00,13.71,13.77,318234
4-Apr-11,13.76,13.81,13.60,13.67,250386
5-Apr-11,13.68,14.01,13.55,14.00,310649
6-Apr-11,14.01,14.11,13.94,14.00,289960
7-Apr-11,14.03,14.03,13.91,13.97,248124
8-Apr-11,13.97,13.98,13.51,13.64,117687
11-Apr-11,13.60,13.60,13.31,13.46,152635
12-Apr-11,13.36,13.45,13.00,13.42,305519
13-Apr-11,13.45,13.45,13.04,13.13,132979
14-Apr-11,13.03,13.38,13.01,13.27,117182
15-Apr-11,13.25,13.37,13.20,13.34,41116
18-Apr-11,13.16,13.28,12.98,13.08,73988
19-Apr-11,13.09,13.29,12.98,13.10,89285
20-Apr-11,13.21,13.44,13.21,13.36,235648
21-Apr-11,13.42,13.67,13.36,13.60,123668
25-Apr-11,13.57,14.02,13.57,13.97,256800
26-Apr-11,13.99,14.40,13.76,14.14,450740
27-Apr-11,14.34,14.34,13.82,13.97,340164
28-Apr-11,13.91,13.92,13.56,13.88,109536
29-Apr-11,13.84,13.95,13.78,13.85,162596
2-May-11,13.90,13.90,13.69,13.72,209628
3-May-11,13.67,13.79,13.52,13.59,222851
4-May-11,13.69,13.75,13.39,13.62,316714
5-May-11,13.56,13.63,13.50,13.58,125545
6-May-11,13.68,13.75,13.48,13.55,48209
9-May-11,13.51,13.65,13.45,13.58,98226
10-May-11,13.64,13.70,13.49,13.51,242724
11-May-11,13.49,13.63,13.28,13.38,165210
12-May-11,13.30,13.39,13.20,13.25,157488
13-May-11,13.27,13.29,13.22,13.25,103432
16-May-11,13.23,13.29,13.09,13.10,98682
17-May-11,13.07,13.46,12.69,12.87,379382
18-May-11,12.87,13.11,12.84,13.11,240824
19-May-11,13.10,13.12,12.99,13.07,265268
20-May-11,13.02,13.18,12.99,13.10,253747
23-May-11,12.91,13.12,12.87,13.10,245493
24-May-11,13.10,13.19,13.00,13.17,408116
25-May-11,13.13,13.26,13.11,13.17,287070
26-May-11,13.16,13.21,13.11,13.14,529732
27-May-11,13.20,13.54,13.16,13.52,310397
31-May-11,13.64,13.68,13.07,13.10,1858572
1-Jun-11,13.11,13.32,13.00,13.20,1249319
2-Jun-11,13.28,13.39,13.10,13.14,606001
3-Jun-11,13.06,13.40,12.99,13.10,432501
6-Jun-11,13.17,13.37,12.90,13.03,514176
7-Jun-11,13.08,13.20,12.88,12.89,320322
8-Jun-11,12.86,12.93,12.59,12.65,512714
9-Jun-11,12.64,12.80,12.61,12.79,487027
10-Jun-11,12.79,12.84,12.62,12.75,352702
13-Jun-11,12.83,12.93,12.67,12.88,453625
14-Jun-11,12.93,13.05,12.78,12.85,230083
15-Jun-11,12.81,12.96,12.50,12.67,240140
16-Jun-11,12.66,12.91,12.07,12.44,361463
17-Jun-11,12.46,12.65,12.22,12.30,275979
20-Jun-11,12.22,12.31,12.10,12.19,569055
21-Jun-11,12.24,12.84,12.15,12.75,1020744
22-Jun-11,12.72,12.72,12.29,12.42,598620
23-Jun-11,12.36,12.38,12.00,12.20,554540
24-Jun-11,12.21,12.25,11.85,11.91,5504605
27-Jun-11,11.95,12.44,11.81,12.36,889884
28-Jun-11,12.47,12.61,12.34,12.51,622288
29-Jun-11,12.56,12.65,12.41,12.50,700445
30-Jun-11,12.55,12.67,12.43,12.63,587270
1-Jul-11,12.62,13.00,12.51,12.99,473577
5-Jul-11,12.99,13.00,12.68,12.81,267596
6-Jul-11,12.76,12.88,12.71,12.80,456683
7-Jul-11,12.91,13.04,12.91,12.98,636368
8-Jul-11,12.85,13.13,12.77,13.10,290712
11-Jul-11,12.98,13.05,12.65,12.73,240799
12-Jul-11,12.68,12.91,12.56,12.74,175515
13-Jul-11,12.81,13.12,12.73,12.91,780596
14-Jul-11,12.91,12.98,12.68,12.71,254441
15-Jul-11,12.79,12.95,12.70,12.81,177571
18-Jul-11,12.75,12.75,12.26,12.35,202493
19-Jul-11,12.41,12.58,12.16,12.58,299092
20-Jul-11,12.58,12.86,12.53,12.81,194430
21-Jul-11,12.83,12.86,12.30,12.80,355795
22-Jul-11,12.87,13.06,12.65,13.01,316157
25-Jul-11,12.93,13.05,12.55,12.67,574291
26-Jul-11,12.60,12.60,11.90,11.98,707766
27-Jul-11,11.95,11.95,11.25,11.35,1233678
28-Jul-11,11.56,11.99,11.54,11.71,1462784
29-Jul-11,11.61,11.79,11.35,11.45,696028
1-Aug-11,11.60,11.64,11.13,11.42,323860
2-Aug-11,11.40,11.55,10.65,10.68,631579
3-Aug-11,10.83,10.99,10.46,10.70,685518
4-Aug-11,10.55,10.64,9.73,9.78,491783
5-Aug-11,9.86,10.03,9.12,9.36,735402
8-Aug-11,9.09,9.10,7.00,7.08,1872414
9-Aug-11,7.22,8.10,7.08,7.79,1188971
10-Aug-11,7.70,7.74,7.29,7.32,669073
11-Aug-11,7.41,7.98,7.41,7.86,738591
12-Aug-11,8.57,8.57,7.95,8.39,660505
15-Aug-11,8.44,8.56,8.36,8.50,458020
16-Aug-11,8.47,8.54,8.30,8.42,444241
17-Aug-11,8.43,8.80,8.26,8.64,577728
18-Aug-11,8.50,8.50,7.53,7.64,510375
19-Aug-11,7.44,7.59,6.86,6.90,739839
22-Aug-11,7.15,7.19,6.80,7.03,416723
23-Aug-11,7.03,7.08,6.80,7.01,484807
