Date,Open,High,Low,Close,Volume
22-Aug-14,4.91,4.94,4.75,4.76,118929
21-Aug-14,4.99,5.03,4.89,4.91,64281
20-Aug-14,5.00,5.04,4.88,5.01,166140
19-Aug-14,5.04,5.10,5.00,5.05,106734
18-Aug-14,5.07,5.10,5.03,5.05,176815
15-Aug-14,5.05,5.09,4.87,5.05,182359
14-Aug-14,5.00,5.05,4.95,5.03,86439
13-Aug-14,5.05,5.07,4.94,5.01,85460
12-Aug-14,4.82,5.05,4.82,5.04,150335
11-Aug-14,4.95,5.05,4.84,4.85,206145
8-Aug-14,4.72,5.00,4.72,4.92,199411
7-Aug-14,4.83,4.96,4.68,4.71,203747
6-Aug-14,4.90,4.93,4.80,4.83,251566
5-Aug-14,4.92,5.11,4.89,4.95,225280
4-Aug-14,4.95,4.98,4.85,4.92,259264
1-Aug-14,4.98,5.07,4.85,4.93,256919
31-Jul-14,5.00,5.12,4.96,5.00,409712
30-Jul-14,5.17,5.19,5.08,5.11,215279
29-Jul-14,5.19,5.36,5.07,5.10,351618
28-Jul-14,5.59,5.75,5.19,5.21,876966
25-Jul-14,5.01,5.08,4.91,4.97,181596
24-Jul-14,5.19,5.24,5.04,5.11,182812
23-Jul-14,5.21,5.26,5.06,5.15,166966
22-Jul-14,5.12,5.23,5.12,5.19,208087
21-Jul-14,5.05,5.13,4.99,5.08,142848
18-Jul-14,4.91,5.16,4.91,5.12,235284
17-Jul-14,5.04,5.08,4.90,4.92,215298
16-Jul-14,5.12,5.26,5.07,5.10,216775
15-Jul-14,5.10,5.27,4.98,5.08,488610
14-Jul-14,5.06,5.26,5.01,5.10,413394
11-Jul-14,4.89,5.02,4.89,4.99,152437
10-Jul-14,4.80,4.97,4.80,4.92,175289
9-Jul-14,4.97,5.00,4.95,4.99,119770
8-Jul-14,4.96,5.01,4.86,4.93,190340
7-Jul-14,5.06,5.12,4.97,4.99,184767
3-Jul-14,5.05,5.12,5.03,5.12,109659
2-Jul-14,4.97,5.04,4.97,5.00,142397
1-Jul-14,4.89,5.05,4.89,4.99,241325
30-Jun-14,4.91,4.91,4.82,4.89,177402
27-Jun-14,4.70,4.87,4.68,4.87,487202
26-Jun-14,4.72,4.75,4.62,4.75,110511
25-Jun-14,4.70,4.79,4.60,4.73,208547
24-Jun-14,4.96,5.07,4.73,4.74,296173
23-Jun-14,5.12,5.15,4.96,4.96,152593
20-Jun-14,5.15,5.17,5.05,5.10,401646
