Date,Open,High,Low,Close,Volume
3-Jan-00,18.31,18.50,17.62,17.81,404900
4-Jan-00,17.75,18.00,17.25,17.69,564600
5-Jan-00,17.94,18.88,17.69,18.75,837200
6-Jan-00,18.50,20.00,18.44,20.00,1409300
7-Jan-00,19.50,20.12,19.44,20.06,1218400
10-Jan-00,20.06,20.12,19.12,19.38,426900
11-Jan-00,19.44,19.50,18.75,18.81,632600
12-Jan-00,18.75,18.75,18.12,18.25,223700
13-Jan-00,18.44,18.44,18.12,18.38,531200
14-Jan-00,18.50,18.94,18.31,18.69,675900
18-Jan-00,18.56,18.75,18.38,18.56,613100
19-Jan-00,18.00,18.75,17.88,18.75,1456500
20-Jan-00,18.62,18.62,17.81,18.00,753300
21-Jan-00,18.00,18.00,16.81,17.06,310900
24-Jan-00,17.62,17.75,17.00,17.19,792900
25-Jan-00,17.12,17.19,15.94,16.19,576800
26-Jan-00,12.50,13.44,11.50,12.38,9336100
27-Jan-00,12.56,12.56,10.50,10.81,4859800
28-Jan-00,11.00,11.56,10.81,11.00,2030500
31-Jan-00,11.06,11.19,10.00,10.12,1549900
1-Feb-00,10.50,10.56,9.62,9.94,2166000
2-Feb-00,9.94,10.19,9.50,10.00,1145100
3-Feb-00,10.00,10.06,9.50,9.62,1095700
4-Feb-00,9.69,9.75,9.06,9.31,870700
7-Feb-00,9.12,9.31,8.81,8.94,1950000
8-Feb-00,9.06,9.44,9.00,9.19,794300
9-Feb-00,9.25,9.44,9.06,9.12,1085200
10-Feb-00,9.19,9.25,8.88,8.94,1614600
11-Feb-00,9.06,9.25,8.88,9.00,2119000
14-Feb-00,9.12,9.19,8.94,9.00,1009200
15-Feb-00,9.00,9.94,9.00,9.69,1498500
16-Feb-00,9.88,10.12,9.38,9.44,1401300
17-Feb-00,9.50,9.56,8.94,8.94,954100
18-Feb-00,9.00,9.06,8.81,8.81,785100
22-Feb-00,8.88,9.12,8.75,8.75,951100
23-Feb-00,8.88,8.88,8.56,8.62,538000
24-Feb-00,8.50,8.75,8.06,8.19,829500
25-Feb-00,8.25,8.38,7.88,7.94,661000
28-Feb-00,8.00,8.69,7.94,8.25,811800
29-Feb-00,8.06,8.44,8.00,8.31,680400
1-Mar-00,8.24,8.25,7.88,8.06,1280100
2-Mar-00,8.41,8.12,7.88,7.94,573500
3-Mar-00,8.59,9.00,8.00,8.50,3611800
6-Mar-00,8.76,8.88,8.00,8.38,1888300
7-Mar-00,8.94,9.69,8.62,9.06,1998300
8-Mar-00,9.12,9.88,9.12,9.50,1723800
9-Mar-00,9.50,9.88,9.25,9.62,881700
10-Mar-00,9.62,9.62,9.25,9.44,1040400
13-Mar-00,9.00,9.38,9.00,9.06,999900
14-Mar-00,9.06,9.38,8.94,9.19,422500
15-Mar-00,9.25,9.75,9.00,9.56,1017200
16-Mar-00,9.88,10.38,9.75,10.12,1049600
17-Mar-00,10.25,10.44,9.88,10.44,654100
20-Mar-00,10.50,10.75,10.19,10.75,2274400
21-Mar-00,10.81,10.88,10.50,10.62,388800
22-Mar-00,10.56,10.88,10.19,10.31,1028000
23-Mar-00,10.25,10.38,10.00,10.25,471400
24-Mar-00,10.12,10.38,10.06,10.06,383800
27-Mar-00,10.00,10.00,9.69,9.81,340100
28-Mar-00,9.94,9.94,9.25,9.50,737900
29-Mar-00,9.44,9.56,9.25,9.50,484800
30-Mar-00,9.50,10.00,9.44,9.88,673400
31-Mar-00,9.88,10.44,9.81,10.38,1479300
3-Apr-00,10.38,10.50,9.88,10.44,770600
4-Apr-00,10.38,10.38,9.50,10.00,764800
5-Apr-00,10.12,10.31,10.00,10.25,300400
6-Apr-00,10.25,10.50,10.12,10.19,554600
7-Apr-00,10.25,10.25,9.88,9.88,278800
10-Apr-00,10.12,10.19,9.81,9.94,333800
11-Apr-00,10.25,10.94,10.19,10.94,1355600
12-Apr-00,10.94,11.81,10.94,11.25,1292800
13-Apr-00,11.25,11.75,11.25,11.44,486400
14-Apr-00,11.38,11.44,10.06,10.12,860200
17-Apr-00,10.12,10.62,9.75,10.06,570800
18-Apr-00,10.19,10.50,10.12,10.12,344600
19-Apr-00,10.25,10.50,10.25,10.38,243000
20-Apr-00,10.50,10.75,10.06,10.19,340000
24-Apr-00,10.25,10.25,9.75,10.00,489500
25-Apr-00,10.12,10.56,10.06,10.31,393100
26-Apr-00,11.00,11.38,10.88,10.88,565700
27-Apr-00,10.94,10.94,10.38,10.75,230800
28-Apr-00,10.75,11.19,10.75,11.06,432800
1-May-00,11.19,11.88,11.00,11.62,586700
2-May-00,11.50,11.81,11.25,11.62,430900
3-May-00,11.56,12.00,11.50,11.50,737300
4-May-00,11.50,11.50,11.12,11.38,475300
5-May-00,11.00,11.31,10.81,11.06,431200
8-May-00,11.12,11.62,11.06,11.50,291900
9-May-00,11.38,11.56,11.25,11.44,1199600
10-May-00,11.12,11.31,10.81,10.88,274600
11-May-00,11.00,11.44,10.94,11.38,375800
12-May-00,11.19,11.69,11.19,11.50,260100
15-May-00,11.50,11.94,11.38,11.44,341300
16-May-00,11.56,11.88,11.12,11.19,365800
17-May-00,11.31,11.31,10.69,11.00,425900
18-May-00,11.00,11.00,10.81,10.94,359900
19-May-00,11.00,11.00,10.81,10.94,318700
22-May-00,11.00,11.00,10.50,10.75,328900
23-May-00,10.81,10.81,10.38,10.38,322500
24-May-00,9.88,10.19,9.88,10.00,574100
25-May-00,9.88,10.00,9.44,9.50,673000
26-May-00,9.44,9.50,9.38,9.38,238700
30-May-00,9.38,9.50,9.38,9.44,433700
31-May-00,9.50,9.75,9.44,9.69,437700
1-Jun-00,9.56,9.75,9.44,9.56,282600
2-Jun-00,9.62,9.88,9.62,9.69,549400
5-Jun-00,9.62,9.81,9.44,9.69,243600
6-Jun-00,9.56,9.62,9.38,9.44,458600
7-Jun-00,9.44,9.44,8.62,8.75,821400
8-Jun-00,8.75,8.94,8.44,8.44,654200
9-Jun-00,8.69,8.81,8.62,8.62,318400
12-Jun-00,8.75,8.88,8.69,8.81,411900
13-Jun-00,8.88,9.12,8.81,8.88,336700
14-Jun-00,8.88,9.31,8.75,9.12,363300
15-Jun-00,9.44,9.44,8.88,9.00,580600
16-Jun-00,9.00,9.12,8.88,8.94,620200
19-Jun-00,8.88,8.94,8.81,8.88,332400
20-Jun-00,8.88,9.06,8.88,8.88,272200
21-Jun-00,8.94,8.94,8.81,8.81,339600
22-Jun-00,8.81,8.88,8.62,8.62,785100
23-Jun-00,8.62,8.75,8.44,8.50,520500
26-Jun-00,9.00,9.12,8.81,8.88,420900
27-Jun-00,8.88,9.00,8.69,8.81,568500
28-Jun-00,8.88,9.00,8.75,8.94,813000
29-Jun-00,8.81,9.19,8.44,8.44,795800
30-Jun-00,8.50,8.75,8.00,8.00,1348800
3-Jul-00,8.75,9.12,8.56,8.62,308000
5-Jul-00,9.25,9.31,8.94,9.12,402300
