Date,Open,High,Low,Close,Volume
21-Mar-14,13.75,16.50,13.58,16.21,12704154
24-Mar-14,16.26,16.30,15.07,15.25,686804
25-Mar-14,15.45,15.45,15.00,15.20,685812
26-Mar-14,15.11,15.25,13.63,14.01,1171314
27-Mar-14,13.98,14.26,13.65,14.25,432835
28-Mar-14,14.44,15.00,14.18,14.66,412703
31-Mar-14,14.71,15.04,14.71,15.04,516939
1-Apr-14,15.10,15.29,14.90,15.22,283056
2-Apr-14,15.26,15.26,14.66,14.70,483278
3-Apr-14,14.71,14.84,14.50,14.70,448967
4-Apr-14,14.53,14.85,13.86,14.16,365771
7-Apr-14,14.10,14.28,13.69,13.82,388542
8-Apr-14,13.68,13.93,13.54,13.76,242891
9-Apr-14,13.61,14.12,13.50,13.87,308920
10-Apr-14,14.00,14.12,12.92,13.33,613671
11-Apr-14,13.17,13.63,13.15,13.56,607088
14-Apr-14,13.85,14.12,13.71,14.12,540795
15-Apr-14,14.08,14.60,13.73,14.47,550949
16-Apr-14,15.40,15.40,14.80,15.02,546851
17-Apr-14,14.92,15.25,14.30,14.74,364220
21-Apr-14,14.51,15.12,14.26,14.27,253430
22-Apr-14,14.28,14.57,13.92,14.25,95177
23-Apr-14,14.30,14.42,13.38,13.54,247872
24-Apr-14,13.73,13.73,12.60,12.84,311840
25-Apr-14,12.93,13.06,12.38,12.75,426412
28-Apr-14,12.85,13.31,12.81,12.87,548565
29-Apr-14,12.97,13.25,12.85,13.08,270432
30-Apr-14,13.14,13.18,12.87,13.09,316290
1-May-14,13.12,13.45,12.96,13.04,523106
2-May-14,13.19,13.27,11.06,12.40,1524156
5-May-14,12.27,12.81,11.92,12.27,154042
6-May-14,12.29,12.40,11.64,11.66,104989
7-May-14,11.65,11.73,10.20,11.52,347537
8-May-14,11.46,11.75,11.25,11.56,234369
9-May-14,11.50,12.12,11.39,12.12,281254
12-May-14,11.97,12.29,11.85,12.20,248134
13-May-14,12.23,12.84,11.22,11.85,813148
14-May-14,11.78,12.46,11.43,12.03,333989
15-May-14,11.92,12.28,11.52,12.24,216426
16-May-14,12.20,12.24,11.76,11.83,189076
19-May-14,11.74,11.80,11.25,11.25,363254
20-May-14,11.30,11.57,10.79,10.80,319635
21-May-14,10.82,10.99,10.47,10.65,179446
22-May-14,10.66,10.80,10.47,10.63,262709
23-May-14,10.65,10.75,10.55,10.64,126258
27-May-14,10.67,11.19,10.38,11.01,703724
28-May-14,11.05,11.13,10.71,10.99,336096
29-May-14,11.20,12.09,10.99,11.43,534486
30-May-14,11.44,11.55,11.24,11.44,318103
2-Jun-14,11.50,11.60,10.94,11.14,320772
3-Jun-14,11.11,11.27,10.84,11.00,303432
4-Jun-14,11.10,11.13,10.83,10.96,256597
5-Jun-14,10.91,11.01,10.80,11.00,237882
6-Jun-14,10.98,11.32,10.97,11.21,203922
9-Jun-14,11.40,12.12,11.30,11.88,425699
10-Jun-14,11.93,12.20,11.61,12.08,195653
11-Jun-14,12.04,12.14,11.67,11.89,280808
12-Jun-14,11.94,12.12,11.87,12.05,290698
13-Jun-14,12.17,12.68,11.88,12.41,310942
16-Jun-14,12.48,12.99,12.32,12.76,250337
17-Jun-14,12.81,13.15,12.60,13.15,422956
18-Jun-14,13.25,13.30,12.53,12.78,618270
19-Jun-14,12.87,12.96,12.57,12.68,258334
20-Jun-14,12.75,13.15,12.66,12.69,564457
23-Jun-14,12.79,12.90,12.37,12.85,286000
24-Jun-14,12.89,13.09,12.58,12.74,351103
25-Jun-14,12.75,12.99,12.67,12.74,111226
