Date,Open,High,Low,Close,Volume
22-Aug-14,11.08,11.25,10.85,11.16,272129
21-Aug-14,10.79,11.11,10.71,11.11,137669
20-Aug-14,10.72,11.03,10.57,10.83,236132
19-Aug-14,10.56,10.76,10.51,10.74,120571
18-Aug-14,10.41,10.63,10.29,10.59,160245
15-Aug-14,10.59,10.59,10.10,10.34,160903
14-Aug-14,10.79,10.79,10.27,10.44,222155
13-Aug-14,10.68,10.89,10.53,10.79,112217
12-Aug-14,10.74,10.85,10.48,10.59,161554
11-Aug-14,10.59,10.79,10.48,10.76,117159
8-Aug-14,10.69,10.82,10.42,10.58,94169
7-Aug-14,11.20,11.20,10.43,10.72,314311
6-Aug-14,10.66,11.46,10.66,11.13,258311
5-Aug-14,11.19,11.19,10.57,10.79,317445
4-Aug-14,11.50,11.69,10.88,11.20,233539
1-Aug-14,10.87,11.50,10.72,11.46,441914
31-Jul-14,10.44,11.70,9.26,10.80,1816630
30-Jul-14,12.50,13.12,12.42,12.93,460487
29-Jul-14,12.73,13.12,12.03,12.45,256565
28-Jul-14,13.10,13.17,12.56,12.67,136750
25-Jul-14,12.91,13.20,12.76,13.08,73125
24-Jul-14,12.93,13.30,12.86,12.98,182487
23-Jul-14,12.90,13.13,12.75,12.98,147338
22-Jul-14,12.35,12.95,12.27,12.93,157612
21-Jul-14,12.34,12.46,12.12,12.27,99852
18-Jul-14,12.23,12.48,12.19,12.38,68015
17-Jul-14,12.49,12.60,12.22,12.25,136806
16-Jul-14,12.77,12.80,12.59,12.63,107509
15-Jul-14,12.54,12.79,12.53,12.65,109953
14-Jul-14,12.33,12.58,12.23,12.57,82476
11-Jul-14,12.26,12.44,12.11,12.20,98220
10-Jul-14,12.37,12.37,12.00,12.24,340118
9-Jul-14,12.86,12.91,12.41,12.62,222783
8-Jul-14,13.29,13.35,12.72,12.92,368950
7-Jul-14,13.62,13.66,13.34,13.35,112521
3-Jul-14,13.49,13.66,13.42,13.60,68745
2-Jul-14,13.61,13.74,13.34,13.41,198003
1-Jul-14,13.45,13.75,13.27,13.70,381808
30-Jun-14,12.62,13.44,12.12,13.30,791158
27-Jun-14,12.61,13.05,12.39,12.43,1256353
26-Jun-14,12.77,12.82,12.46,12.60,155748
25-Jun-14,12.75,12.99,12.67,12.74,111226
24-Jun-14,12.89,13.09,12.58,12.74,351103
23-Jun-14,12.79,12.90,12.37,12.85,286000
20-Jun-14,12.75,13.15,12.66,12.69,564457
19-Jun-14,12.87,12.96,12.57,12.68,258334
18-Jun-14,13.25,13.30,12.53,12.78,618270
17-Jun-14,12.81,13.15,12.60,13.15,422956
16-Jun-14,12.48,12.99,12.32,12.76,250337
13-Jun-14,12.17,12.68,11.88,12.41,310942
12-Jun-14,11.94,12.12,11.87,12.05,290698
11-Jun-14,12.04,12.14,11.67,11.89,280808
10-Jun-14,11.93,12.20,11.61,12.08,195653
9-Jun-14,11.40,12.12,11.30,11.88,425699
6-Jun-14,10.98,11.32,10.97,11.21,203922
5-Jun-14,10.91,11.01,10.80,11.00,237882
4-Jun-14,11.10,11.13,10.83,10.96,256597
3-Jun-14,11.11,11.27,10.84,11.00,303432
2-Jun-14,11.50,11.60,10.94,11.14,320772
30-May-14,11.44,11.55,11.24,11.44,318103
29-May-14,11.20,12.09,10.99,11.43,534486
28-May-14,11.05,11.13,10.71,10.99,336096
27-May-14,10.67,11.19,10.38,11.01,703724
23-May-14,10.65,10.75,10.55,10.64,126258
22-May-14,10.66,10.80,10.47,10.63,262709
21-May-14,10.82,10.99,10.47,10.65,179446
20-May-14,11.30,11.57,10.79,10.80,319635
19-May-14,11.74,11.80,11.25,11.25,363254
16-May-14,12.20,12.24,11.76,11.83,189076
15-May-14,11.92,12.28,11.52,12.24,216426
14-May-14,11.78,12.46,11.43,12.03,333989
13-May-14,12.23,12.84,11.22,11.85,813148
12-May-14,11.97,12.29,11.85,12.20,248134
9-May-14,11.50,12.12,11.39,12.12,281254
8-May-14,11.46,11.75,11.25,11.56,234369
7-May-14,11.65,11.73,10.20,11.52,347537
6-May-14,12.29,12.40,11.64,11.66,104989
5-May-14,12.27,12.81,11.92,12.27,154042
2-May-14,13.19,13.27,11.06,12.40,1524156
1-May-14,13.12,13.45,12.96,13.04,523106
30-Apr-14,13.14,13.18,12.87,13.09,316290
29-Apr-14,12.97,13.25,12.85,13.08,270432
28-Apr-14,12.85,13.31,12.81,12.87,548565
25-Apr-14,12.93,13.06,12.38,12.75,426412
24-Apr-14,13.73,13.73,12.60,12.84,311840
23-Apr-14,14.30,14.42,13.38,13.54,247872
22-Apr-14,14.28,14.57,13.92,14.25,95177
21-Apr-14,14.51,15.12,14.26,14.27,253430
17-Apr-14,14.92,15.25,14.30,14.74,364220
16-Apr-14,15.40,15.40,14.80,15.02,546851
15-Apr-14,14.08,14.60,13.73,14.47,550949
14-Apr-14,13.85,14.12,13.71,14.12,540795
11-Apr-14,13.17,13.63,13.15,13.56,607088
10-Apr-14,14.00,14.12,12.92,13.33,613671
9-Apr-14,13.61,14.12,13.50,13.87,308920
8-Apr-14,13.68,13.93,13.54,13.76,242891
7-Apr-14,14.10,14.28,13.69,13.82,388542
4-Apr-14,14.53,14.85,13.86,14.16,365771
3-Apr-14,14.71,14.84,14.50,14.70,448967
2-Apr-14,15.26,15.26,14.66,14.70,483278
1-Apr-14,15.10,15.29,14.90,15.22,283056
31-Mar-14,14.71,15.04,14.71,15.04,516939
28-Mar-14,14.44,15.00,14.18,14.66,412703
27-Mar-14,13.98,14.26,13.65,14.25,432835
26-Mar-14,15.11,15.25,13.63,14.01,1171314
25-Mar-14,15.45,15.45,15.00,15.20,685812
24-Mar-14,16.26,16.30,15.07,15.25,686804
21-Mar-14,13.75,16.50,13.58,16.21,12704154
