Date,Open,High,Low,Close,Volume
3-Jan-00,12.25,12.25,11.50,12.00,26200
4-Jan-00,12.00,12.50,11.88,12.31,38500
5-Jan-00,12.62,12.81,12.50,12.69,10900
6-Jan-00,12.62,12.88,12.62,12.88,8600
7-Jan-00,14.25,15.00,13.75,14.12,90200
10-Jan-00,14.12,15.44,14.12,15.38,40100
11-Jan-00,15.50,16.62,15.25,16.50,95600
12-Jan-00,16.50,17.00,16.31,17.00,60800
13-Jan-00,16.75,17.12,16.38,16.50,26100
14-Jan-00,16.50,16.50,15.50,15.62,54200
18-Jan-00,15.62,16.00,15.56,15.94,24400
19-Jan-00,16.12,16.12,15.62,16.12,25000
20-Jan-00,16.12,16.12,15.75,16.06,13700
21-Jan-00,15.81,15.94,15.75,15.88,5600
24-Jan-00,15.75,16.00,15.75,15.75,6800
25-Jan-00,15.69,15.75,15.12,15.75,26700
26-Jan-00,16.00,16.12,15.56,16.00,25400
27-Jan-00,16.19,16.38,16.19,16.38,17300
28-Jan-00,16.25,16.38,16.06,16.25,21300
31-Jan-00,16.12,16.25,15.50,15.75,18500
1-Feb-00,15.94,15.94,15.44,15.50,12100
2-Feb-00,15.38,15.50,15.12,15.38,9600
3-Feb-00,15.50,16.00,15.50,15.94,18800
4-Feb-00,15.94,16.00,15.75,15.75,7200
7-Feb-00,15.88,15.94,15.50,15.75,7800
8-Feb-00,15.75,15.88,15.50,15.62,4700
9-Feb-00,15.62,15.81,15.19,15.25,8800
10-Feb-00,15.25,15.62,15.25,15.56,2500
11-Feb-00,15.56,15.75,15.50,15.56,3400
14-Feb-00,15.38,15.62,15.25,15.56,10600
15-Feb-00,15.50,15.75,15.50,15.69,2800
16-Feb-00,15.69,15.69,15.38,15.56,8800
17-Feb-00,15.56,15.56,15.12,15.50,2800
18-Feb-00,15.75,15.75,15.44,15.44,11100
22-Feb-00,15.44,15.44,14.62,15.00,12700
23-Feb-00,15.00,15.00,14.38,14.44,7600
24-Feb-00,14.38,14.75,14.25,14.31,14900
25-Feb-00,14.25,14.25,13.75,14.00,16200
28-Feb-00,13.88,14.00,13.75,13.75,29700
29-Feb-00,13.75,14.19,13.75,13.94,35100
1-Mar-00,13.59,14.38,13.94,14.38,5500
2-Mar-00,13.43,14.50,14.00,14.19,10900
3-Mar-00,13.26,14.00,13.44,13.50,27100
6-Mar-00,13.1,13.44,12.75,13.00,37100
7-Mar-00,12.94,13.25,12.94,13.12,6000
8-Mar-00,13.12,13.12,13.06,13.06,4700
9-Mar-00,13.06,13.25,13.06,13.19,1400
10-Mar-00,13.31,13.62,13.31,13.38,18300
13-Mar-00,13.25,13.38,13.00,13.25,5400
14-Mar-00,13.25,13.38,13.00,13.38,5400
15-Mar-00,13.25,13.44,13.12,13.44,3300
16-Mar-00,13.44,14.44,13.44,14.25,33900
17-Mar-00,14.25,14.75,14.25,14.56,8900
20-Mar-00,14.56,14.62,14.50,14.56,12100
21-Mar-00,14.56,14.56,14.50,14.50,1800
22-Mar-00,14.50,14.62,14.38,14.38,2800
23-Mar-00,14.38,15.25,14.12,15.00,42900
24-Mar-00,15.00,15.19,14.62,15.12,7400
27-Mar-00,15.25,15.25,15.00,15.06,8100
28-Mar-00,15.31,16.00,15.19,16.00,26700
29-Mar-00,15.94,16.00,15.62,15.69,11100
30-Mar-00,15.69,15.94,15.62,15.69,6600
31-Mar-00,15.69,15.69,14.81,14.81,29000
3-Apr-00,14.81,15.12,14.81,14.88,12400
4-Apr-00,14.75,14.88,14.50,14.88,7400
5-Apr-00,14.88,15.94,14.88,15.94,29500
6-Apr-00,15.75,15.88,15.62,15.62,5400
7-Apr-00,15.62,16.50,15.62,16.12,32000
10-Apr-00,16.00,16.00,15.75,15.75,8600
11-Apr-00,15.62,15.75,15.25,15.50,8900
12-Apr-00,15.38,15.50,14.75,14.75,6900
13-Apr-00,15.00,15.12,14.88,14.94,25800
14-Apr-00,14.88,15.00,14.88,15.00,26900
17-Apr-00,14.88,15.00,14.62,15.00,5700
18-Apr-00,15.00,15.00,14.88,15.00,9600
19-Apr-00,15.00,15.12,14.75,14.88,16600
20-Apr-00,14.94,14.94,14.75,14.94,6700
24-Apr-00,14.94,15.00,14.75,14.94,5600
25-Apr-00,14.94,15.00,14.69,14.88,8100
26-Apr-00,15.00,15.25,15.00,15.00,255100
27-Apr-00,14.88,14.94,14.81,14.81,31800
28-Apr-00,14.81,15.00,14.75,15.00,56800
1-May-00,15.00,15.25,14.94,15.12,203600
2-May-00,15.12,15.75,15.12,15.62,10300
3-May-00,15.50,15.62,15.12,15.50,8800
4-May-00,15.50,15.50,15.25,15.25,11400
5-May-00,15.12,15.25,15.12,15.19,4200
8-May-00,15.31,15.31,15.12,15.12,1300
9-May-00,15.25,15.94,15.06,15.94,14000
10-May-00,15.88,15.88,15.25,15.50,38500
11-May-00,15.50,15.56,15.50,15.56,3800
12-May-00,15.25,15.62,15.19,15.38,9600
15-May-00,15.25,15.50,15.12,15.50,13100
16-May-00,15.50,15.75,15.50,15.50,9700
17-May-00,15.50,15.88,15.38,15.75,26200
18-May-00,15.75,15.75,15.38,15.62,23300
19-May-00,15.56,15.56,15.31,15.31,1400
22-May-00,15.44,15.56,15.31,15.38,3900
23-May-00,15.31,15.50,15.31,15.50,4700
24-May-00,15.62,15.62,15.12,15.12,10200
25-May-00,15.12,15.44,15.12,15.44,2600
26-May-00,15.44,15.44,15.19,15.38,7700
30-May-00,15.44,15.50,15.44,15.50,2600
31-May-00,15.38,16.44,15.38,16.44,11000
1-Jun-00,16.50,16.81,16.25,16.56,15900
2-Jun-00,16.50,16.50,16.25,16.38,7900
5-Jun-00,16.12,16.38,16.00,16.06,11500
6-Jun-00,16.06,16.12,15.88,15.94,14900
7-Jun-00,15.88,16.25,15.81,15.88,9900
8-Jun-00,15.88,16.00,15.81,16.00,5700
9-Jun-00,16.12,16.12,15.94,16.00,1900
12-Jun-00,16.00,16.00,15.62,15.88,16700
13-Jun-00,15.75,16.25,15.75,16.25,7000
14-Jun-00,16.00,16.75,16.00,16.56,25000
15-Jun-00,16.38,17.00,16.38,16.44,58300
16-Jun-00,16.44,16.88,16.31,16.88,16600
19-Jun-00,16.75,16.94,16.38,16.44,16800
20-Jun-00,16.44,16.44,16.19,16.19,8100
21-Jun-00,15.75,15.88,15.19,15.25,20700
22-Jun-00,15.50,15.50,15.12,15.12,3200
23-Jun-00,15.19,15.75,14.50,15.75,74600
26-Jun-00,15.75,15.75,15.62,15.62,19600
27-Jun-00,15.75,15.81,15.56,15.56,3600
28-Jun-00,15.56,15.75,15.38,15.38,3400
29-Jun-00,15.44,15.44,14.75,14.75,7300
30-Jun-00,14.50,14.50,14.12,14.19,11600
3-Jul-00,14.19,14.88,14.19,14.88,3900
5-Jul-00,14.81,15.00,14.62,14.62,6700
6-Jul-00,14.81,15.38,14.81,15.38,6300
7-Jul-00,15.34,15.38,15.28,15.38,40300
10-Jul-00,15.38,15.62,15.25,15.50,6700
11-Jul-00,15.50,15.75,15.38,15.50,19700
12-Jul-00,15.25,15.62,15.25,15.62,5000
13-Jul-00,15.75,15.81,15.50,15.69,2900
14-Jul-00,15.62,15.75,15.00,15.12,127900
17-Jul-00,15.38,15.44,15.31,15.38,4100
18-Jul-00,15.50,15.50,15.38,15.44,2700
19-Jul-00,15.62,15.62,15.56,15.56,1600
20-Jul-00,15.56,15.69,15.44,15.56,5300
21-Jul-00,15.56,15.69,15.56,15.56,1000
24-Jul-00,16.12,16.12,15.62,15.69,18800
25-Jul-00,15.69,15.94,15.69,15.88,10700
26-Jul-00,15.88,15.88,15.38,15.44,23400
27-Jul-00,15.38,15.56,15.19,15.19,5700
28-Jul-00,15.06,15.31,14.88,14.88,18200
31-Jul-00,14.88,15.06,14.88,15.06,3300
1-Aug-00,15.19,15.25,15.12,15.12,2100
2-Aug-00,15.25,15.38,15.19,15.25,1900
3-Aug-00,15.31,15.38,15.00,15.00,7500
4-Aug-00,15.00,15.00,15.00,15.00,2700
7-Aug-00,15.00,15.44,15.00,15.44,7000
8-Aug-00,15.19,15.44,15.00,15.19,7700
9-Aug-00,15.19,15.38,15.19,15.38,21900
10-Aug-00,15.31,15.44,15.31,15.38,1500
11-Aug-00,15.38,15.44,15.12,15.12,15700
