Date,Open,High,Low,Close,Volume
3-Jan-00,25.12,25.12,24.00,24.22,13678200
4-Jan-00,23.88,23.97,22.47,22.81,26510000
5-Jan-00,22.53,23.22,22.25,23.09,22833400
6-Jan-00,23.47,24.81,23.38,24.69,17258600
7-Jan-00,24.81,24.81,24.00,24.34,11632800
10-Jan-00,24.47,24.47,23.34,23.44,11054600
11-Jan-00,22.78,23.47,22.78,23.06,11044400
12-Jan-00,23.00,23.53,23.00,23.25,11053600
13-Jan-00,23.50,23.94,23.44,23.75,12321800
14-Jan-00,24.97,25.31,24.41,25.22,20385200
18-Jan-00,25.00,25.00,23.91,24.00,17045000
19-Jan-00,23.94,24.59,23.34,23.56,15462400
20-Jan-00,23.75,24.00,23.00,23.06,12205200
21-Jan-00,23.25,23.34,22.78,22.84,12833400
24-Jan-00,22.88,23.12,22.25,22.28,12604800
25-Jan-00,22.47,22.84,22.34,22.56,15600600
26-Jan-00,22.88,23.66,22.69,23.56,15413600
27-Jan-00,23.78,24.19,23.53,24.06,12769400
28-Jan-00,23.94,23.94,22.88,22.88,13495200
31-Jan-00,23.25,24.22,23.16,24.22,16823200
1-Feb-00,24.06,24.47,24.00,24.22,8964400
2-Feb-00,23.75,24.25,23.69,23.88,11657400
3-Feb-00,23.84,24.03,22.72,23.22,22453000
4-Feb-00,23.47,23.56,22.66,22.69,13399000
7-Feb-00,22.66,22.75,22.44,22.66,10359400
8-Feb-00,22.91,23.62,22.84,23.56,10821800
9-Feb-00,23.56,23.62,23.03,23.03,9271000
10-Feb-00,23.03,23.25,22.34,22.44,11579400
11-Feb-00,22.50,23.34,22.50,22.59,13484400
14-Feb-00,22.84,22.97,22.03,22.22,13344600
15-Feb-00,22.03,23.00,22.03,22.81,13827800
16-Feb-00,23.12,23.25,22.56,22.59,11839000
17-Feb-00,22.72,23.16,22.16,22.34,12214600
18-Feb-00,22.28,22.34,21.69,21.88,14674800
22-Feb-00,21.59,22.94,21.50,22.38,13162800
23-Feb-00,22.50,23.31,22.22,22.88,13712000
24-Feb-00,22.94,23.12,21.94,22.41,11467800
25-Feb-00,22.38,22.91,22.06,22.06,10603800
28-Feb-00,22.38,23.47,22.28,22.91,13759600
29-Feb-00,22.97,23.22,22.53,23.03,11792600
1-Mar-00,0.00,23.09,22.41,22.78,9780600
2-Mar-00,0.00,22.78,22.31,22.53,10613000
3-Mar-00,0.00,23.06,22.31,22.50,12825800
6-Mar-00,0.00,22.97,22.38,22.50,9827000
7-Mar-00,22.50,22.59,21.88,22.00,8911200
8-Mar-00,22.00,22.31,21.78,21.81,8116200
9-Mar-00,21.81,22.00,21.41,21.56,13093200
10-Mar-00,21.47,21.62,21.16,21.44,12134400
13-Mar-00,21.44,22.03,21.25,21.59,10620400
14-Mar-00,21.78,21.91,21.25,21.31,8233200
15-Mar-00,21.44,23.03,21.31,22.94,20400400
16-Mar-00,23.50,24.75,23.31,24.62,27207200
17-Mar-00,24.69,25.38,24.50,25.00,20839800
20-Mar-00,25.00,25.12,24.19,24.81,10739800
21-Mar-00,24.81,25.88,24.75,25.88,13788000
22-Mar-00,25.72,25.97,25.03,25.72,11174200
23-Mar-00,26.12,27.09,25.56,27.09,15405400
24-Mar-00,26.97,27.59,26.62,27.22,16477200
27-Mar-00,27.25,27.50,26.59,27.06,10627800
28-Mar-00,26.34,27.34,26.31,26.78,10733000
29-Mar-00,26.50,26.56,25.94,26.00,11622600
30-Mar-00,26.12,26.22,25.22,25.34,10349800
31-Mar-00,25.50,26.62,25.31,26.22,10211800
3-Apr-00,26.03,27.78,26.03,27.75,17099000
4-Apr-00,27.81,28.28,26.66,27.09,18457600
5-Apr-00,26.97,27.62,26.81,27.00,8901200
6-Apr-00,27.12,27.28,26.50,26.72,8055000
7-Apr-00,26.53,26.91,26.00,26.16,7706800
10-Apr-00,26.16,26.94,26.06,26.41,10295200
11-Apr-00,26.38,26.69,25.91,26.17,7579600
12-Apr-00,26.56,28.00,26.56,27.28,15662000
13-Apr-00,27.31,27.62,26.28,26.41,12142000
14-Apr-00,25.94,25.94,24.31,24.97,19872600
17-Apr-00,24.97,25.50,24.06,25.16,13875400
18-Apr-00,25.50,25.59,24.88,25.34,11306000
19-Apr-00,25.47,25.47,24.47,24.72,7889600
20-Apr-00,25.06,25.09,24.72,24.78,6438400
24-Apr-00,24.78,25.75,24.69,25.75,8662000
25-Apr-00,25.53,26.84,25.50,26.72,9757800
26-Apr-00,26.34,26.47,25.59,25.88,7714400
27-Apr-00,25.25,25.81,25.03,25.62,8903600
28-Apr-00,25.56,25.69,24.19,24.50,13817200
1-May-00,24.53,25.47,24.16,25.00,9402800
2-May-00,24.66,25.47,24.66,24.81,8811400
3-May-00,24.81,25.41,24.16,24.50,7772200
4-May-00,24.34,24.47,23.84,24.00,9968400
5-May-00,23.62,24.28,23.56,23.69,8229200
8-May-00,23.59,24.41,23.59,24.09,9454400
9-May-00,24.25,24.84,23.81,24.09,9625400
10-May-00,23.97,24.22,23.19,23.25,13464400
11-May-00,23.88,23.97,23.28,23.69,13446400
12-May-00,23.69,24.47,23.16,24.29,11739800
15-May-00,24.31,25.44,24.28,25.31,10759200
