Date,Open,High,Low,Close,Volume
3-Jan-00,15.88,15.88,15.50,15.56,7900
4-Jan-00,15.50,15.50,15.00,15.00,9600
5-Jan-00,14.94,15.00,14.81,15.00,4000
6-Jan-00,14.94,14.94,14.81,14.94,2300
7-Jan-00,14.88,14.88,14.88,14.88,500
10-Jan-00,14.88,14.94,14.81,14.94,24800
11-Jan-00,14.81,14.94,14.81,14.81,25600
12-Jan-00,14.69,14.69,14.38,14.50,8600
13-Jan-00,14.44,14.75,14.44,14.75,3800
14-Jan-00,14.69,15.00,14.69,15.00,7000
18-Jan-00,14.94,15.00,14.88,15.00,3400
19-Jan-00,14.94,15.00,14.94,15.00,3100
20-Jan-00,15.00,15.00,14.94,14.94,7700
21-Jan-00,14.81,14.94,14.81,14.88,4500
24-Jan-00,14.88,14.88,14.88,14.88,900
25-Jan-00,14.88,14.94,14.88,14.88,5400
26-Jan-00,14.94,14.94,14.88,14.88,2300
27-Jan-00,15.00,15.00,14.94,14.94,15700
28-Jan-00,14.88,14.94,14.88,14.88,6100
31-Jan-00,14.88,14.94,14.81,14.94,3100
1-Feb-00,14.88,14.88,14.75,14.75,5300
2-Feb-00,14.75,14.81,14.75,14.75,2600
3-Feb-00,14.75,14.94,14.75,14.94,7200
4-Feb-00,14.94,14.94,14.88,14.94,6500
7-Feb-00,14.88,15.00,14.88,15.00,3900
8-Feb-00,15.00,15.00,14.88,14.88,3900
9-Feb-00,14.94,14.94,14.69,14.75,9900
10-Feb-00,14.75,15.00,14.75,14.94,8100
11-Feb-00,14.81,14.81,14.69,14.75,9300
14-Feb-00,14.69,14.75,14.00,14.75,19200
15-Feb-00,14.69,14.69,14.56,14.69,2300
16-Feb-00,14.69,14.75,14.69,14.75,600
17-Feb-00,14.75,14.81,14.75,14.81,600
18-Feb-00,14.88,14.88,14.62,14.62,5400
22-Feb-00,14.62,14.62,14.25,14.38,6500
23-Feb-00,14.44,14.44,14.12,14.12,2400
24-Feb-00,14.00,14.00,13.88,14.00,1700
25-Feb-00,14.06,14.06,13.88,13.94,8700
28-Feb-00,13.81,13.81,13.44,13.50,6300
29-Feb-00,13.44,13.88,13.38,13.81,13800
1-Mar-00,13.58,13.75,13.62,13.75,11400
2-Mar-00,13.71,14.44,13.62,14.44,8900
3-Mar-00,13.85,14.44,14.06,14.12,8300
6-Mar-00,13.98,14.19,14.12,14.19,1200
7-Mar-00,14.12,14.25,14.12,14.19,2900
8-Mar-00,14.06,14.12,13.94,14.12,5500
9-Mar-00,14.25,14.44,14.00,14.06,8500
10-Mar-00,14.09,14.09,12.75,12.75,24300
13-Mar-00,12.75,12.88,12.75,12.81,4100
14-Mar-00,12.81,12.81,12.56,12.62,5300
15-Mar-00,12.56,12.56,12.44,12.50,4200
16-Mar-00,12.50,12.81,12.25,12.81,8400
17-Mar-00,12.31,12.56,12.31,12.56,10700
20-Mar-00,12.62,12.62,12.31,12.31,3900
21-Mar-00,12.31,12.44,12.00,12.44,13000
22-Mar-00,12.38,12.69,12.38,12.69,3600
23-Mar-00,12.75,12.81,12.62,12.62,3900
24-Mar-00,12.56,12.62,12.38,12.50,7000
27-Mar-00,12.38,12.50,12.31,12.44,4800
28-Mar-00,12.56,12.56,12.44,12.44,7900
29-Mar-00,12.38,12.38,12.25,12.31,4200
30-Mar-00,12.25,12.25,12.25,12.25,600
31-Mar-00,12.31,12.88,12.31,12.88,8800
3-Apr-00,12.81,13.62,12.75,13.62,19500
4-Apr-00,13.56,13.56,13.31,13.56,7200
5-Apr-00,13.62,13.94,13.62,13.94,5700
6-Apr-00,14.00,14.06,13.44,13.44,4600
7-Apr-00,13.50,14.00,13.50,14.00,5600
10-Apr-00,14.06,14.06,13.62,13.62,7900
11-Apr-00,13.62,13.62,13.38,13.38,1500
12-Apr-00,13.44,13.56,13.44,13.44,3900
13-Apr-00,13.44,13.56,13.12,13.56,18200
14-Apr-00,13.56,13.81,13.56,13.75,3100
17-Apr-00,13.75,13.94,13.44,13.69,9800
18-Apr-00,13.69,13.88,13.44,13.88,9900
19-Apr-00,13.81,13.81,13.62,13.62,3800
20-Apr-00,13.56,13.56,13.31,13.31,5900
24-Apr-00,13.25,13.25,12.62,12.62,8900
25-Apr-00,12.62,13.19,12.62,13.19,6500
26-Apr-00,13.12,13.38,13.12,13.19,10700
27-Apr-00,13.19,13.19,13.19,13.19,10800
28-Apr-00,13.19,13.19,13.00,13.12,9400
1-May-00,13.19,13.50,13.12,13.50,8600
2-May-00,13.50,13.94,13.50,13.69,6800
3-May-00,13.62,13.88,13.56,13.81,6000
4-May-00,13.81,13.81,13.69,13.75,1900
5-May-00,13.88,14.50,13.88,14.44,15000
8-May-00,14.50,14.81,14.19,14.25,22900
9-May-00,14.12,14.12,13.81,13.81,5000
10-May-00,13.75,13.75,13.62,13.62,1600
11-May-00,13.62,14.06,13.62,14.06,4300
12-May-00,14.06,14.12,14.00,14.00,4200
15-May-00,14.00,14.06,13.94,14.06,2600
16-May-00,14.12,14.12,14.06,14.12,9800
17-May-00,14.12,14.12,13.94,13.94,2800
18-May-00,13.94,13.94,13.75,13.88,3500
19-May-00,13.19,13.19,13.12,13.12,8500
22-May-00,13.12,13.12,12.62,13.00,5900
23-May-00,12.94,12.94,12.75,12.75,3100
24-May-00,12.81,13.12,12.62,13.12,11000
25-May-00,13.19,13.19,13.06,13.12,8300
26-May-00,13.25,13.25,13.19,13.25,2000
30-May-00,13.19,13.56,13.19,13.56,4700
31-May-00,13.56,13.69,13.56,13.69,3600
1-Jun-00,13.62,13.62,13.12,13.25,8700
2-Jun-00,13.31,13.31,13.25,13.31,2000
5-Jun-00,13.31,13.31,12.94,12.94,4100
6-Jun-00,12.94,13.06,12.94,13.00,1900
7-Jun-00,12.94,13.19,12.94,13.19,2900
8-Jun-00,13.06,13.06,12.06,12.94,34300
9-Jun-00,12.94,13.12,12.94,13.12,1200
12-Jun-00,13.12,13.12,13.00,13.06,2100
13-Jun-00,13.00,13.38,12.94,13.38,4700
14-Jun-00,13.31,13.31,13.25,13.25,2500
15-Jun-00,13.19,13.19,12.75,12.75,4800
16-Jun-00,12.75,12.81,12.75,12.81,30800
19-Jun-00,12.69,12.69,12.00,12.12,16700
20-Jun-00,12.12,12.12,11.88,12.00,19600
21-Jun-00,12.12,12.12,12.00,12.00,1800
22-Jun-00,12.00,12.00,10.81,10.81,53900
23-Jun-00,10.88,11.19,10.62,10.62,20200
26-Jun-00,10.50,10.56,10.12,10.12,89900
27-Jun-00,10.19,10.19,9.75,9.81,20900
28-Jun-00,9.81,9.81,9.50,9.62,43000
29-Jun-00,9.56,9.56,9.25,9.25,22100
30-Jun-00,9.25,9.25,7.62,7.69,200600
3-Jul-00,7.75,8.12,7.69,8.12,12600
5-Jul-00,8.12,8.44,8.12,8.25,33300
6-Jul-00,8.25,8.25,8.06,8.25,11100
7-Jul-00,8.38,8.50,8.38,8.50,23400
10-Jul-00,8.50,8.50,8.31,8.38,17900
11-Jul-00,8.31,8.31,7.88,7.88,18300
12-Jul-00,7.88,7.88,7.44,7.69,14500
13-Jul-00,7.81,7.81,7.75,7.81,5100
14-Jul-00,7.75,7.75,7.69,7.75,600
17-Jul-00,7.75,7.88,7.69,7.88,13300
18-Jul-00,7.94,8.00,7.94,7.94,6000
19-Jul-00,7.94,8.31,7.94,8.25,29800
20-Jul-00,8.31,8.50,8.19,8.25,44400
21-Jul-00,8.31,8.38,8.25,8.25,2100
24-Jul-00,8.38,8.44,8.38,8.38,5400
25-Jul-00,8.38,8.44,8.31,8.31,11000
26-Jul-00,8.31,8.31,8.31,8.31,200
27-Jul-00,8.38,8.44,8.31,8.31,2500
28-Jul-00,8.31,8.31,8.19,8.19,3100
