Date,Open,High,Low,Close,Volume
22-Aug-14,15.82,15.82,15.56,15.74,218677
21-Aug-14,15.87,15.90,15.59,15.81,219823
20-Aug-14,15.89,16.08,15.70,15.88,302338
19-Aug-14,15.44,15.98,15.31,15.94,304936
18-Aug-14,15.16,15.41,15.07,15.39,465412
15-Aug-14,15.10,15.15,14.88,15.00,367897
14-Aug-14,14.96,15.02,14.88,14.95,259792
13-Aug-14,15.00,15.05,14.90,14.98,211397
12-Aug-14,15.08,15.12,14.87,14.93,203503
11-Aug-14,14.95,15.18,14.79,15.09,213956
8-Aug-14,14.48,14.88,14.45,14.84,219802
7-Aug-14,14.16,14.62,14.16,14.48,309698
6-Aug-14,13.79,14.52,13.67,14.08,268112
5-Aug-14,13.26,13.41,13.24,13.40,408592
4-Aug-14,13.09,13.33,13.01,13.33,221645
1-Aug-14,13.07,13.15,12.91,13.11,192194
31-Jul-14,13.13,13.21,13.02,13.06,278872
30-Jul-14,13.35,13.35,13.18,13.29,136792
29-Jul-14,13.53,13.53,13.25,13.26,184748
28-Jul-14,13.58,13.62,13.29,13.55,237085
25-Jul-14,13.54,13.67,13.50,13.61,275042
24-Jul-14,13.66,13.82,13.56,13.65,208631
23-Jul-14,13.82,13.89,13.61,13.65,118773
22-Jul-14,13.65,13.88,13.55,13.80,134222
21-Jul-14,13.58,13.65,13.42,13.60,212960
18-Jul-14,13.46,13.75,13.44,13.67,227878
17-Jul-14,13.65,13.72,13.40,13.49,270510
16-Jul-14,13.81,13.85,13.61,13.74,264463
15-Jul-14,14.12,14.12,13.71,13.74,210154
14-Jul-14,14.19,14.26,14.08,14.10,185223
11-Jul-14,13.92,14.11,13.75,14.07,187514
10-Jul-14,13.86,14.02,13.76,13.92,209434
9-Jul-14,14.07,14.21,13.97,14.08,146481
8-Jul-14,14.15,14.19,14.00,14.07,237135
7-Jul-14,14.26,14.33,14.10,14.15,273623
3-Jul-14,14.31,14.47,14.22,14.33,162943
2-Jul-14,14.29,14.36,14.20,14.24,223760
1-Jul-14,14.19,14.41,14.19,14.27,334702
30-Jun-14,14.11,14.20,13.94,14.11,358039
27-Jun-14,13.45,14.25,13.41,14.10,735658
26-Jun-14,13.36,13.54,13.01,13.54,383390
25-Jun-14,12.74,12.89,12.69,12.86,176901
24-Jun-14,12.92,13.11,12.73,12.74,312376
23-Jun-14,13.04,13.06,12.90,12.96,192252
20-Jun-14,13.15,13.15,12.95,13.04,361760
