Date,Open,High,Low,Close,Volume
22-Mar-07,18.10,20.25,18.00,20.10,2908400
23-Mar-07,20.10,22.90,20.05,20.33,3550900
26-Mar-07,20.33,20.75,20.15,20.67,859900
27-Mar-07,20.75,20.83,20.30,20.35,470400
28-Mar-07,20.30,20.30,19.70,19.90,324100
29-Mar-07,19.90,20.13,19.50,19.70,1799300
30-Mar-07,19.80,19.95,19.64,19.70,12230800
2-Apr-07,19.70,19.70,18.82,19.51,9470300
3-Apr-07,19.48,19.50,18.49,19.07,7892900
4-Apr-07,19.02,19.16,18.80,18.91,4738000
5-Apr-07,18.75,19.81,18.70,19.38,4602900
9-Apr-07,19.57,19.57,18.90,19.06,3600900
10-Apr-07,18.68,19.44,18.60,19.22,3130800
11-Apr-07,19.25,20.06,18.95,19.11,3356100
12-Apr-07,19.06,19.27,18.89,19.20,2666300
13-Apr-07,20.05,20.05,19.10,19.58,2981000
16-Apr-07,19.62,19.90,19.62,19.86,1455800
17-Apr-07,19.45,20.58,19.30,20.42,1567200
18-Apr-07,20.23,20.72,19.96,20.68,1958200
19-Apr-07,20.20,21.46,20.18,21.14,1890100
20-Apr-07,21.37,21.77,21.00,21.08,2671300
23-Apr-07,20.88,21.10,20.53,20.70,1531800
24-Apr-07,20.70,20.70,20.50,20.61,1752700
25-Apr-07,20.61,20.67,20.22,20.26,1029512
26-Apr-07,19.78,20.14,19.70,20.06,1193200
27-Apr-07,20.00,20.27,19.81,20.22,734500
30-Apr-07,20.20,20.20,19.96,20.04,1581800
1-May-07,19.96,20.11,19.86,20.04,1468800
2-May-07,19.97,20.11,19.85,20.02,1460100
3-May-07,20.05,20.44,20.01,20.30,1246500
4-May-07,20.20,21.00,20.13,20.78,1242300
7-May-07,20.76,21.04,20.52,21.01,1482300
8-May-07,20.60,21.32,20.54,21.27,1294300
9-May-07,21.12,21.85,21.08,21.40,2454100
10-May-07,21.20,21.55,20.94,21.12,1278800
11-May-07,21.13,21.45,21.10,21.43,468283
14-May-07,21.33,21.36,21.12,21.31,662453
15-May-07,21.31,21.41,20.84,20.84,1811800
16-May-07,20.70,20.70,20.42,20.50,1595876
17-May-07,20.12,20.73,20.10,20.65,893700
18-May-07,20.60,20.75,20.30,20.46,1201800
21-May-07,20.44,20.54,20.38,20.50,3019200
22-May-07,20.62,20.62,20.35,20.39,1490500
23-May-07,20.38,20.50,20.04,20.35,1014650
24-May-07,20.01,20.33,20.00,20.02,1404600
25-May-07,20.02,20.15,19.95,20.00,624200
29-May-07,19.55,20.05,19.55,20.00,639000
30-May-07,19.82,20.04,19.75,19.97,1164904
31-May-07,19.99,20.25,19.90,20.24,953500
1-Jun-07,20.31,20.42,19.75,19.93,886100
4-Jun-07,19.68,20.00,19.66,19.85,967300
5-Jun-07,19.75,20.08,19.65,19.93,847100
6-Jun-07,19.78,19.81,19.28,19.45,1072800
7-Jun-07,19.28,19.46,18.91,18.97,1127400
8-Jun-07,18.99,19.18,18.91,19.14,627600
11-Jun-07,19.06,19.31,19.00,19.27,2175300
12-Jun-07,19.16,19.49,19.15,19.33,994400
13-Jun-07,19.46,19.59,19.28,19.35,831900
14-Jun-07,19.30,19.42,19.16,19.28,629800
15-Jun-07,19.38,19.59,19.35,19.49,732300
18-Jun-07,19.57,19.57,19.28,19.43,811300
19-Jun-07,19.27,19.54,19.08,19.09,1422525
20-Jun-07,19.02,19.14,18.99,19.11,1922200
21-Jun-07,19.02,19.47,19.00,19.44,1592755
22-Jun-07,19.43,20.00,19.43,19.90,1826000
25-Jun-07,19.81,20.12,19.72,20.12,2052100
26-Jun-07,20.25,20.25,19.76,19.90,1435300
27-Jun-07,19.81,20.00,19.59,19.80,1720900
28-Jun-07,19.81,19.83,19.22,19.41,1430600
29-Jun-07,19.38,19.60,19.10,19.12,1323055
2-Jul-07,19.23,19.38,19.09,19.34,848595
3-Jul-07,19.31,19.85,19.25,19.72,322700
5-Jul-07,19.81,19.84,19.51,19.60,669000
6-Jul-07,19.53,19.92,19.53,19.76,492000
9-Jul-07,19.76,20.46,19.46,20.34,1492100
10-Jul-07,20.19,20.31,19.76,19.80,925900
11-Jul-07,19.71,19.75,19.45,19.58,606100
12-Jul-07,19.58,20.04,19.70,20.02,1520600
13-Jul-07,20.07,20.29,19.80,19.89,475600
16-Jul-07,19.83,20.24,19.80,20.19,566900
17-Jul-07,20.19,20.50,20.02,20.14,873900
18-Jul-07,20.14,20.21,19.85,20.04,1002633
19-Jul-07,20.04,20.45,19.70,20.27,828100
20-Jul-07,19.40,20.28,19.40,20.05,525000
23-Jul-07,20.12,20.24,20.00,20.01,318300
24-Jul-07,19.80,19.81,19.23,19.31,1680000
25-Jul-07,19.31,19.50,18.83,19.14,1083600
26-Jul-07,18.00,18.93,18.00,18.61,2262777
27-Jul-07,18.61,18.67,17.97,17.97,921703
30-Jul-07,18.00,18.11,17.79,17.87,1338496
31-Jul-07,17.87,18.07,17.51,17.59,1855100
1-Aug-07,16.73,18.12,16.16,17.06,2217500
2-Aug-07,17.00,17.33,17.00,17.18,2219700
3-Aug-07,17.25,17.30,16.73,17.05,1868000
6-Aug-07,17.12,17.69,17.12,17.57,2274600
7-Aug-07,17.57,17.75,17.40,17.55,1512092
8-Aug-07,16.68,18.34,16.68,18.18,1097000
9-Aug-07,16.43,18.96,15.82,17.99,1585400
10-Aug-07,16.28,18.47,16.21,18.33,1597400
13-Aug-07,18.33,18.71,17.69,17.79,945000
14-Aug-07,17.75,18.38,17.50,18.11,714500
15-Aug-07,18.11,18.11,17.49,17.61,979500
16-Aug-07,17.61,17.81,16.70,17.45,2624500
17-Aug-07,17.82,17.82,16.98,17.50,504900
20-Aug-07,17.50,17.57,17.06,17.33,527500
21-Aug-07,17.33,18.00,16.90,17.84,700600
22-Aug-07,17.85,18.05,16.86,16.92,2301800
23-Aug-07,16.92,16.40,15.27,16.29,2232600
24-Aug-07,16.17,17.98,16.15,17.90,1597000
27-Aug-07,17.77,17.90,17.63,17.78,608560
28-Aug-07,17.60,17.81,17.54,17.60,851100
29-Aug-07,17.72,17.87,17.61,17.87,815900
30-Aug-07,17.87,18.24,17.77,18.13,819800
31-Aug-07,18.25,18.40,18.11,18.17,615700
4-Sep-07,18.05,18.54,17.96,18.51,1005800
5-Sep-07,18.35,18.35,17.26,17.41,1004400
6-Sep-07,17.41,17.43,16.92,17.13,598700
7-Sep-07,16.89,16.89,16.52,16.71,762900
10-Sep-07,16.73,17.52,16.73,17.46,816800
