Date,Open,High,Low,Close,Volume
3-Jan-00,6.28,6.28,6.12,6.20,76599
4-Jan-00,6.20,6.23,5.89,5.89,48301
5-Jan-00,5.89,5.89,5.73,5.73,136400
6-Jan-00,5.73,5.87,5.62,5.67,182500
7-Jan-00,5.64,6.01,5.64,6.01,64501
10-Jan-00,6.06,6.28,6.01,6.28,262501
11-Jan-00,6.45,6.76,6.45,6.62,478100
12-Jan-00,6.62,6.65,6.31,6.31,77101
13-Jan-00,6.23,6.23,5.78,5.78,131499
14-Jan-00,5.89,5.92,5.81,5.89,110601
18-Jan-00,5.89,6.06,5.73,5.76,74401
19-Jan-00,5.76,5.89,5.73,5.84,147699
20-Jan-00,5.89,5.89,5.67,5.70,241400
21-Jan-00,5.64,5.73,5.64,5.70,79299
24-Jan-00,5.64,5.78,5.26,5.48,284900
25-Jan-00,5.48,5.48,5.26,5.28,113301
26-Jan-00,5.28,5.28,4.89,4.89,222001
27-Jan-00,4.89,5.03,4.89,4.92,126099
28-Jan-00,4.98,5.06,4.70,4.75,128200
31-Jan-00,4.75,4.78,4.62,4.62,110601
1-Feb-00,4.62,4.64,4.45,4.48,170800
2-Feb-00,4.50,4.53,4.45,4.50,586100
3-Feb-00,4.53,5.31,4.48,4.98,403400
4-Feb-00,5.34,5.34,5.00,5.00,131800
7-Feb-00,5.00,5.14,4.87,5.12,237800
8-Feb-00,5.17,5.17,5.00,5.12,100400
9-Feb-00,5.06,5.17,4.89,4.89,74700
10-Feb-00,4.89,5.14,4.89,4.98,204800
11-Feb-00,4.95,5.14,4.89,5.00,153099
14-Feb-00,5.06,5.14,5.00,5.03,246800
15-Feb-00,5.09,5.42,5.09,5.31,176200
16-Feb-00,5.34,5.34,5.23,5.28,37300
17-Feb-00,5.23,5.28,5.06,5.23,54400
18-Feb-00,5.20,5.20,5.00,5.00,68800
22-Feb-00,4.95,5.00,4.89,4.95,102100
23-Feb-00,4.95,4.98,4.89,4.92,87399
24-Feb-00,4.95,4.98,4.87,4.95,144999
25-Feb-00,5.00,5.03,4.56,4.56,136899
28-Feb-00,4.59,4.59,4.39,4.56,198099
29-Feb-00,4.53,4.67,4.50,4.67,159100
1-Mar-00,4.57,4.75,4.64,4.70,139100
2-Mar-00,4.62,4.87,4.67,4.73,117999
3-Mar-00,4.66,4.75,4.48,4.56,125001
6-Mar-00,4.71,4.75,4.59,4.75,155799
7-Mar-00,4.75,5.20,4.75,5.14,147100
8-Mar-00,5.20,5.20,5.12,5.20,54900
9-Mar-00,5.17,5.39,5.14,5.31,113800
10-Mar-00,5.26,5.26,5.12,5.12,68800
13-Mar-00,5.14,5.28,5.12,5.26,50800
14-Mar-00,5.31,5.34,5.17,5.17,44100
15-Mar-00,5.31,5.31,5.03,5.28,106600
16-Mar-00,5.28,5.51,5.14,5.51,263401
17-Mar-00,5.45,5.87,5.45,5.78,93100
20-Mar-00,5.84,5.89,5.56,5.56,39699
21-Mar-00,5.53,5.56,5.42,5.51,82501
22-Mar-00,5.45,5.51,5.28,5.28,60300
23-Mar-00,5.31,5.42,5.26,5.37,100701
24-Mar-00,5.34,5.42,5.28,5.31,33901
27-Mar-00,5.09,5.31,4.98,5.31,110300
28-Mar-00,5.26,5.42,5.12,5.12,102699
29-Mar-00,5.09,5.28,5.09,5.28,60001
30-Mar-00,5.26,5.45,5.20,5.42,26500
31-Mar-00,5.45,5.45,5.34,5.34,49599
3-Apr-00,5.37,5.59,5.31,5.51,89701
4-Apr-00,5.51,5.51,5.31,5.39,141399
5-Apr-00,5.28,5.53,5.16,5.51,322900
6-Apr-00,5.53,5.53,5.39,5.45,59499
7-Apr-00,5.42,5.48,5.26,5.34,399301
10-Apr-00,5.39,5.42,5.34,5.37,96001
11-Apr-00,5.37,5.37,5.23,5.28,40201
12-Apr-00,5.28,5.39,5.20,5.28,86400
13-Apr-00,5.28,5.42,5.28,5.39,40000
14-Apr-00,5.39,5.45,5.17,5.23,77400
17-Apr-00,5.17,5.17,4.95,4.98,60399
18-Apr-00,4.95,4.95,4.84,4.87,94000
19-Apr-00,4.81,4.95,4.73,4.73,106299
20-Apr-00,4.75,4.75,4.64,4.64,38799
24-Apr-00,4.64,4.64,4.17,4.20,274700
25-Apr-00,4.25,4.25,3.78,4.17,1622200
26-Apr-00,4.20,4.67,4.20,4.34,135400
27-Apr-00,4.31,4.42,4.12,4.42,87901
28-Apr-00,4.43,4.56,4.42,4.56,96901
