Date,Open,High,Low,Close,Volume
22-Aug-14,30.12,30.80,29.83,30.69,336589
21-Aug-14,29.76,30.14,29.49,30.02,316479
20-Aug-14,29.47,29.95,29.43,29.83,221314
19-Aug-14,29.96,30.12,29.38,29.69,216535
18-Aug-14,29.23,29.82,29.17,29.81,222815
15-Aug-14,29.48,29.48,28.63,28.86,348898
14-Aug-14,29.09,29.43,29.01,29.19,151462
13-Aug-14,29.12,29.38,28.36,29.01,149015
12-Aug-14,29.49,29.82,28.85,29.10,276654
11-Aug-14,29.83,30.01,29.35,29.64,178893
8-Aug-14,28.75,29.72,28.51,29.57,184346
7-Aug-14,29.26,29.44,28.36,28.71,114159
6-Aug-14,28.01,29.30,28.01,29.18,136577
5-Aug-14,27.87,28.43,27.75,28.32,129574
4-Aug-14,28.01,28.23,27.74,28.08,236115
1-Aug-14,28.15,28.44,27.65,27.84,180887
31-Jul-14,28.42,28.83,28.12,28.19,234706
30-Jul-14,28.59,28.86,28.29,28.80,211746
29-Jul-14,28.24,28.84,28.17,28.32,205975
28-Jul-14,28.20,28.44,27.48,28.25,182612
25-Jul-14,28.58,28.90,27.96,28.18,233191
24-Jul-14,28.36,29.01,28.15,28.82,218246
23-Jul-14,28.30,28.63,28.13,28.20,138793
22-Jul-14,28.43,28.64,28.15,28.23,140103
21-Jul-14,28.37,28.47,27.75,28.12,152385
18-Jul-14,27.59,28.62,27.59,28.46,229132
17-Jul-14,27.64,28.12,27.43,27.63,214558
16-Jul-14,28.25,28.27,27.64,27.78,165881
15-Jul-14,28.30,28.62,27.89,28.10,167403
14-Jul-14,28.36,28.61,28.00,28.23,215281
11-Jul-14,28.26,28.70,27.87,28.13,191826
10-Jul-14,28.36,28.75,28.15,28.39,220836
9-Jul-14,28.72,29.02,28.50,28.96,216613
8-Jul-14,28.86,29.04,28.34,28.70,300011
7-Jul-14,29.29,29.29,28.77,28.87,192946
3-Jul-14,29.00,29.65,29.00,29.37,101519
2-Jul-14,28.99,29.31,28.65,28.86,244084
1-Jul-14,28.67,29.51,28.64,29.06,293348
30-Jun-14,28.31,28.66,28.00,28.61,370115
27-Jun-14,28.07,28.40,28.01,28.29,378337
26-Jun-14,28.41,28.41,27.87,28.16,159690
25-Jun-14,28.40,28.61,27.89,28.47,210757
24-Jun-14,27.86,28.51,27.75,27.95,157850
23-Jun-14,28.16,28.16,27.65,27.96,145216
20-Jun-14,28.10,28.36,27.69,28.18,433654
19-Jun-14,28.18,28.37,27.93,28.02,138446
18-Jun-14,28.12,28.22,27.54,28.17,172119
17-Jun-14,27.82,28.13,27.70,28.01,184884
16-Jun-14,27.65,28.09,27.58,27.95,137480
