Date,Open,High,Low,Close,Volume
3-Jan-00,16.44,16.44,15.81,15.88,35500
4-Jan-00,15.81,15.88,15.56,15.69,41300
5-Jan-00,15.75,15.75,15.62,15.69,36700
6-Jan-00,15.81,15.88,15.69,15.75,33300
7-Jan-00,15.75,15.88,15.75,15.88,13400
10-Jan-00,16.00,16.00,15.69,15.75,39900
11-Jan-00,15.69,15.69,15.19,15.19,56400
12-Jan-00,15.19,15.38,14.50,14.56,43800
13-Jan-00,14.69,14.69,14.12,14.31,70400
14-Jan-00,14.44,14.62,14.00,14.00,71000
18-Jan-00,14.12,14.25,14.00,14.00,52000
19-Jan-00,14.12,14.62,14.12,14.50,32600
20-Jan-00,14.50,15.12,14.50,15.12,33300
21-Jan-00,14.94,16.12,14.94,16.12,189400
24-Jan-00,16.06,16.19,15.81,16.06,108100
25-Jan-00,16.00,16.06,15.88,15.94,41600
26-Jan-00,16.00,16.00,15.88,16.00,10400
27-Jan-00,16.00,16.06,15.62,15.62,39200
28-Jan-00,15.81,16.00,15.62,15.62,32800
31-Jan-00,15.75,15.75,15.25,15.38,44400
1-Feb-00,15.38,15.50,15.12,15.31,70400
2-Feb-00,15.38,15.56,15.38,15.56,37700
3-Feb-00,15.56,15.62,15.50,15.62,38400
4-Feb-00,15.75,16.00,15.75,15.94,53000
7-Feb-00,16.00,16.31,15.94,16.12,31700
8-Feb-00,16.12,16.25,16.12,16.12,61100
9-Feb-00,16.00,16.19,16.00,16.12,30800
10-Feb-00,16.19,16.19,16.00,16.00,28000
11-Feb-00,15.94,16.06,15.94,15.94,27600
14-Feb-00,15.81,15.94,15.75,15.94,48300
15-Feb-00,15.94,16.12,15.94,16.06,27800
16-Feb-00,16.06,16.25,16.06,16.25,34300
17-Feb-00,16.06,16.38,15.94,16.38,49900
18-Feb-00,16.44,16.44,16.31,16.31,71500
22-Feb-00,16.06,16.06,15.50,15.88,46600
23-Feb-00,16.00,16.12,16.00,16.12,36300
24-Feb-00,16.00,16.06,16.00,16.06,21600
25-Feb-00,16.06,16.06,15.75,15.94,30300
28-Feb-00,15.94,15.94,15.25,15.94,43600
29-Feb-00,15.94,16.06,15.88,16.06,93300
1-Mar-00,0.00,16.25,16.00,16.25,62100
2-Mar-00,0.00,16.25,16.12,16.12,73400
3-Mar-00,0.00,16.12,15.94,16.00,44800
6-Mar-00,0.00,16.00,15.75,15.94,11600
7-Mar-00,15.88,16.00,15.81,16.00,60400
8-Mar-00,16.19,16.38,16.06,16.38,70500
9-Mar-00,16.50,16.62,16.38,16.62,97900
10-Mar-00,16.62,16.62,16.25,16.25,56800
13-Mar-00,16.19,16.31,16.06,16.06,48900
14-Mar-00,16.19,16.19,15.62,15.62,52500
15-Mar-00,15.69,15.94,15.62,15.75,41300
16-Mar-00,15.75,16.19,15.75,16.06,53300
17-Mar-00,15.81,16.25,15.81,16.25,66200
20-Mar-00,16.44,16.50,16.19,16.31,41300
21-Mar-00,16.25,16.25,15.94,16.06,30000
22-Mar-00,16.19,16.31,16.19,16.25,17100
23-Mar-00,16.31,16.38,16.25,16.31,20300
24-Mar-00,16.31,16.31,16.06,16.19,11200
27-Mar-00,16.12,16.12,15.75,15.88,17000
28-Mar-00,16.00,16.00,15.62,15.62,31100
29-Mar-00,15.75,15.81,15.56,15.56,30700
30-Mar-00,15.69,16.12,15.69,16.00,37200
31-Mar-00,16.12,16.38,16.06,16.38,45100
3-Apr-00,16.38,16.50,16.00,16.44,40100
4-Apr-00,16.31,16.75,16.31,16.62,69300
5-Apr-00,16.50,17.12,16.38,17.12,25900
6-Apr-00,17.25,17.25,16.72,16.75,27100
7-Apr-00,16.88,17.00,16.62,16.88,20600
10-Apr-00,16.88,16.88,16.38,16.38,17500
11-Apr-00,16.38,16.56,16.25,16.25,30800
12-Apr-00,16.25,16.38,16.19,16.19,12800
13-Apr-00,16.19,16.31,16.12,16.25,20800
14-Apr-00,16.25,16.25,15.75,16.00,27600
17-Apr-00,15.75,16.38,15.44,15.75,176500
18-Apr-00,15.62,15.62,15.44,15.50,20500
19-Apr-00,15.44,15.50,15.44,15.44,14200
20-Apr-00,15.50,15.50,15.31,15.31,60600
24-Apr-00,15.31,15.38,15.00,15.00,41100
25-Apr-00,15.00,15.06,15.00,15.06,18600
26-Apr-00,15.00,15.19,15.00,15.19,100300
27-Apr-00,15.06,15.31,14.94,15.31,56100
28-Apr-00,15.25,15.50,15.12,15.44,126100
1-May-00,15.44,15.50,15.00,15.06,112000
2-May-00,15.06,15.06,14.88,14.88,29500
3-May-00,14.94,14.94,14.06,14.19,77900
4-May-00,14.31,14.38,14.19,14.38,23800
5-May-00,14.50,14.62,14.50,14.62,21700
8-May-00,14.56,14.75,14.56,14.75,64100
9-May-00,14.69,14.75,14.50,14.56,73300
10-May-00,14.62,14.69,14.50,14.62,56200
