Date,Open,High,Low,Close,Volume
24-Jan-14,21.21,24.40,21.21,24.30,7471826
27-Jan-14,25.12,27.82,24.90,24.90,1393615
28-Jan-14,25.25,25.90,24.22,25.50,698004
29-Jan-14,25.20,28.76,25.00,27.32,853206
30-Jan-14,28.02,28.54,26.12,26.99,615559
31-Jan-14,26.20,28.86,26.13,28.71,289460
3-Feb-14,29.25,29.25,26.83,28.44,475179
4-Feb-14,29.00,29.00,27.11,27.83,237189
5-Feb-14,27.48,28.00,25.86,27.21,200194
6-Feb-14,27.41,27.41,25.04,25.42,223022
7-Feb-14,25.34,27.00,25.21,26.72,149096
10-Feb-14,26.60,27.50,26.11,26.27,237169
11-Feb-14,26.21,27.27,26.14,27.12,139527
12-Feb-14,27.26,27.26,26.13,26.16,89225
13-Feb-14,26.00,26.81,25.70,25.95,122243
14-Feb-14,25.84,25.84,24.88,25.41,100104
18-Feb-14,24.74,25.21,23.45,23.70,434032
19-Feb-14,23.75,24.13,21.62,21.79,380229
20-Feb-14,21.50,24.31,21.50,23.86,406914
21-Feb-14,23.73,24.48,22.50,22.89,144202
24-Feb-14,22.70,22.89,21.60,22.48,171609
25-Feb-14,22.15,22.59,21.80,22.22,363065
26-Feb-14,22.66,23.50,18.20,18.94,1342336
27-Feb-14,19.61,20.59,19.14,20.03,573923
28-Feb-14,19.95,19.95,17.74,18.51,398171
3-Mar-14,18.36,18.50,17.42,17.84,725134
4-Mar-14,17.99,20.81,17.92,20.47,624540
5-Mar-14,20.24,21.24,20.21,21.03,253494
6-Mar-14,21.11,21.30,20.04,20.41,279951
7-Mar-14,20.54,20.70,19.80,20.25,92866
10-Mar-14,20.12,20.98,19.90,19.92,138964
11-Mar-14,19.82,21.00,19.61,20.05,218561
12-Mar-14,20.00,20.00,18.50,18.70,368457
13-Mar-14,19.25,19.25,17.62,17.92,306654
14-Mar-14,17.93,18.93,17.62,18.93,161980
17-Mar-14,18.93,19.37,18.09,18.22,151908
18-Mar-14,18.31,19.37,18.16,19.25,178926
19-Mar-14,20.01,20.01,18.63,18.74,86364
20-Mar-14,18.70,19.10,17.72,17.82,237713
21-Mar-14,18.00,18.07,17.16,17.16,402967
24-Mar-14,17.34,17.34,15.87,16.19,268498
25-Mar-14,16.43,16.70,15.66,16.53,204783
26-Mar-14,16.70,16.84,15.92,16.27,152220
27-Mar-14,16.27,16.57,15.02,15.70,242427
28-Mar-14,15.70,16.52,15.51,16.37,227476
31-Mar-14,16.45,16.55,15.63,16.55,798598
1-Apr-14,16.75,18.37,16.09,16.35,538465
2-Apr-14,16.39,16.47,15.64,15.89,226885
3-Apr-14,15.78,15.84,14.37,14.49,467573
4-Apr-14,14.50,14.64,13.44,13.82,608518
7-Apr-14,13.67,13.98,13.00,13.47,586808
8-Apr-14,13.37,13.56,12.36,12.62,480774
9-Apr-14,12.62,12.76,12.22,12.54,388020
10-Apr-14,12.51,12.51,11.47,11.62,404158
11-Apr-14,11.42,12.50,11.16,12.01,460183
14-Apr-14,12.12,12.12,11.00,11.16,179995
15-Apr-14,11.16,11.75,10.66,11.65,517716
16-Apr-14,11.76,12.02,11.34,11.85,305903
17-Apr-14,11.95,13.06,11.84,12.61,545289
21-Apr-14,12.62,12.92,12.27,12.45,170059
22-Apr-14,12.53,13.89,12.49,13.65,334744
23-Apr-14,13.76,13.84,13.22,13.45,203451
24-Apr-14,13.67,13.72,13.10,13.51,237034
25-Apr-14,13.38,13.38,12.77,12.86,229178
28-Apr-14,12.84,13.17,11.87,12.25,231829
29-Apr-14,12.52,12.72,12.09,12.48,178858
30-Apr-14,12.47,12.47,11.97,12.25,115256
1-May-14,12.40,13.06,11.72,11.99,367079
2-May-14,11.95,11.95,11.32,11.49,257387
5-May-14,11.36,11.54,10.80,10.98,170177
6-May-14,10.84,11.07,10.41,10.51,381547
