Date,Open,High,Low,Close,Volume
1-Feb-08,12.00,13.30,11.95,12.70,229300
4-Feb-08,13.00,13.10,12.70,12.75,48800
5-Feb-08,12.75,12.75,11.95,11.95,22600
6-Feb-08,12.00,12.70,12.00,12.40,107000
7-Feb-08,12.45,12.45,11.80,11.80,4900
8-Feb-08,11.83,11.91,10.05,11.46,17700
11-Feb-08,11.55,11.55,10.10,10.23,90360
12-Feb-08,10.40,10.50,9.50,10.25,839300
13-Feb-08,10.10,10.70,10.10,10.65,88500
14-Feb-08,10.72,11.40,10.72,11.15,410700
15-Feb-08,11.05,11.75,10.70,11.75,566800
19-Feb-08,11.80,11.80,11.35,11.50,111355
20-Feb-08,11.47,11.50,11.10,11.35,106500
21-Feb-08,11.43,11.80,11.43,11.45,108400
22-Feb-08,11.55,11.55,11.25,11.45,185100
25-Feb-08,11.50,11.95,11.25,11.50,236652
26-Feb-08,11.50,11.80,11.38,11.65,453600
27-Feb-08,11.70,12.01,11.65,12.00,94800
28-Feb-08,12.00,12.01,11.75,11.85,1008700
29-Feb-08,12.00,12.00,11.76,11.80,136200
3-Mar-08,11.75,11.95,11.48,11.60,142600
4-Mar-08,11.25,11.89,11.25,11.83,38515
5-Mar-08,11.80,12.00,11.75,11.80,90700
6-Mar-08,11.75,11.80,11.19,11.38,163300
7-Mar-08,11.15,11.30,10.26,11.30,88000
10-Mar-08,11.27,11.27,10.73,11.00,49200
11-Mar-08,11.00,11.39,9.62,9.90,497200
12-Mar-08,10.56,10.56,9.85,10.05,80100
13-Mar-08,9.80,10.20,9.75,10.00,59000
14-Mar-08,9.90,10.00,9.80,9.90,19900
17-Mar-08,9.80,10.00,8.90,9.42,239846
18-Mar-08,9.42,9.42,8.61,9.19,642000
19-Mar-08,9.25,10.03,8.61,8.92,308397
20-Mar-08,8.95,9.25,8.50,8.78,277700
24-Mar-08,9.10,9.31,8.99,9.25,1206215
25-Mar-08,9.19,9.44,9.16,9.42,1241640
26-Mar-08,9.50,9.50,9.31,9.35,288600
27-Mar-08,9.40,9.93,9.40,9.80,568300
28-Mar-08,9.70,10.07,9.56,10.06,1753550
31-Mar-08,10.00,10.28,9.71,10.00,225300
1-Apr-08,10.50,10.50,10.00,10.25,332479
2-Apr-08,10.25,10.26,9.87,10.08,374706
3-Apr-08,10.05,10.29,10.00,10.25,754600
4-Apr-08,10.11,10.35,10.01,10.20,384900
7-Apr-08,10.20,10.25,10.15,10.25,219300
8-Apr-08,10.23,10.50,10.10,10.50,331900
9-Apr-08,10.50,10.75,10.25,10.40,260900
10-Apr-08,10.30,10.58,10.05,10.55,187100
11-Apr-08,10.34,10.53,10.11,10.33,237900
14-Apr-08,10.30,10.31,10.15,10.29,88890
15-Apr-08,10.35,10.37,9.59,10.01,811601
16-Apr-08,10.11,10.51,10.00,10.00,229596
17-Apr-08,10.25,10.50,10.22,10.31,489867
18-Apr-08,10.50,10.75,10.40,10.66,298159
21-Apr-08,10.45,10.59,10.12,10.12,463681
22-Apr-08,10.12,10.44,10.00,10.30,229400
23-Apr-08,10.30,10.33,10.10,10.13,214937
24-Apr-08,10.25,10.32,10.05,10.30,608350
25-Apr-08,10.27,10.75,10.27,10.65,1317251
28-Apr-08,10.52,11.40,10.50,11.20,541770
29-Apr-08,11.23,12.13,11.20,12.10,1438264
30-Apr-08,12.00,12.50,11.96,11.96,814504
1-May-08,12.10,12.32,12.00,12.20,948790
2-May-08,12.30,12.39,12.14,12.21,704404
5-May-08,12.35,12.36,11.79,11.93,784997
6-May-08,11.98,11.99,11.54,11.68,969918
7-May-08,11.65,11.80,11.25,11.41,499633
8-May-08,11.38,11.55,11.16,11.33,562970
9-May-08,11.30,11.64,11.21,11.44,409994
12-May-08,11.47,11.75,11.39,11.70,556198
13-May-08,12.05,12.65,11.96,12.25,1093136
14-May-08,12.55,12.55,12.04,12.16,551147
15-May-08,12.16,12.25,11.87,12.23,363252
16-May-08,12.28,12.28,12.04,12.13,1095054
19-May-08,12.18,12.22,11.83,11.86,747971
20-May-08,11.77,11.88,11.72,11.80,434888
21-May-08,11.81,12.00,11.48,11.55,564667
22-May-08,11.50,11.78,10.21,10.58,1558625
23-May-08,10.63,10.81,10.16,10.59,616203
27-May-08,10.51,10.61,10.35,10.46,405691
28-May-08,10.61,10.63,10.35,10.43,408290
29-May-08,10.30,10.75,10.25,10.49,245518
30-May-08,10.67,10.70,10.49,10.60,136924
2-Jun-08,10.45,10.60,10.36,10.51,252743
3-Jun-08,10.37,10.68,10.13,10.30,413913
4-Jun-08,10.40,10.46,10.06,10.25,204054
5-Jun-08,10.25,10.32,10.06,10.18,265077
6-Jun-08,10.00,10.21,9.90,10.09,345313
9-Jun-08,10.10,10.21,9.65,9.76,316895
10-Jun-08,9.58,9.59,9.19,9.49,1491910
11-Jun-08,9.38,9.46,8.62,8.80,1743047
12-Jun-08,8.93,9.09,8.67,9.00,1260398
13-Jun-08,9.11,9.11,8.68,8.87,535373
16-Jun-08,8.87,8.97,8.67,8.91,302596
17-Jun-08,9.00,9.00,8.76,8.76,416045
18-Jun-08,9.00,9.00,8.55,8.64,320782
19-Jun-08,8.55,8.72,7.99,8.02,1062121
20-Jun-08,8.12,8.14,6.90,7.10,2585327
23-Jun-08,7.06,7.09,6.60,6.60,616178
24-Jun-08,6.84,6.86,6.04,6.21,1070313
25-Jun-08,6.19,6.62,6.16,6.24,798638
26-Jun-08,6.29,6.29,5.45,5.50,2245863
27-Jun-08,5.51,5.57,5.17,5.45,9778519
30-Jun-08,5.12,6.30,5.10,5.35,1344342
1-Jul-08,5.26,5.52,4.95,5.28,1231118
2-Jul-08,5.25,5.50,5.23,5.29,1056516
3-Jul-08,5.27,5.33,4.95,5.00,376462
7-Jul-08,5.05,5.22,4.80,4.95,625076
8-Jul-08,5.19,5.97,5.16,5.77,1355196
9-Jul-08,5.68,5.89,5.49,5.52,345038
10-Jul-08,5.55,6.02,5.50,5.73,374548
11-Jul-08,5.58,6.17,5.54,6.08,333274
14-Jul-08,6.14,6.25,5.83,6.00,300162
15-Jul-08,5.97,6.28,5.85,6.10,723022
16-Jul-08,6.14,6.57,6.02,6.56,577329
17-Jul-08,6.60,6.98,6.36,6.95,1148522
18-Jul-08,6.82,6.92,6.60,6.65,631896
21-Jul-08,6.77,6.82,6.64,6.74,466834
22-Jul-08,6.74,7.28,6.70,7.01,513129
23-Jul-08,7.10,7.49,6.80,6.92,594373
24-Jul-08,7.04,7.24,6.68,6.73,473789
25-Jul-08,6.87,6.88,6.49,6.53,740436
28-Jul-08,6.45,6.52,6.00,6.26,919127
29-Jul-08,6.25,6.57,6.15,6.47,633553
30-Jul-08,6.53,6.53,6.04,6.38,552067
31-Jul-08,6.22,6.46,5.97,6.38,498297
1-Aug-08,6.42,6.42,5.76,5.92,550526
4-Aug-08,5.92,5.98,5.50,5.51,420690
5-Aug-08,5.64,5.76,5.61,5.75,615405
6-Aug-08,5.75,6.01,5.61,5.99,931362
7-Aug-08,5.75,6.20,5.75,5.84,851113
8-Aug-08,5.84,6.50,5.64,6.40,459951
11-Aug-08,6.30,6.80,6.18,6.45,380932
12-Aug-08,6.45,6.55,6.35,6.39,309937
13-Aug-08,6.53,6.53,6.26,6.27,294472
14-Aug-08,6.26,6.80,6.24,6.40,353299
15-Aug-08,6.48,6.75,6.48,6.55,711012
18-Aug-08,6.61,6.79,6.45,6.65,642882
19-Aug-08,6.50,6.61,6.34,6.49,536574
20-Aug-08,6.40,6.47,6.29,6.38,575069
21-Aug-08,6.28,6.53,6.22,6.32,410925
22-Aug-08,6.40,6.52,6.35,6.42,489484
25-Aug-08,6.42,6.42,6.15,6.15,225123
26-Aug-08,6.17,6.25,6.09,6.16,259145
27-Aug-08,6.18,6.32,6.11,6.30,260202
28-Aug-08,6.30,6.49,6.22,6.44,271709
29-Aug-08,6.41,6.57,6.11,6.34,331978
2-Sep-08,6.45,6.75,6.33,6.42,469604
3-Sep-08,6.45,6.60,6.35,6.51,346723
4-Sep-08,6.38,6.45,6.15,6.26,364775
5-Sep-08,6.21,6.49,6.08,6.47,1160093
8-Sep-08,6.82,7.00,6.47,6.49,475149
9-Sep-08,6.53,6.61,6.32,6.32,1198849
10-Sep-08,6.47,6.49,6.02,6.27,657740
11-Sep-08,6.19,6.51,6.04,6.50,325688
12-Sep-08,6.48,6.77,6.40,6.65,570762
15-Sep-08,6.54,6.57,6.24,6.24,1764092
16-Sep-08,6.18,6.60,6.01,6.56,1017948
17-Sep-08,6.46,6.52,5.76,5.85,1428210
18-Sep-08,6.12,6.12,5.50,5.50,1258999
19-Sep-08,6.00,7.00,5.90,6.19,2576352
22-Sep-08,6.26,6.38,5.93,5.96,553007
23-Sep-08,5.97,6.14,5.92,5.98,1209102
24-Sep-08,5.99,6.08,5.75,5.80,522915
25-Sep-08,5.90,5.97,5.74,5.80,670422
26-Sep-08,5.68,5.69,5.36,5.41,592233
29-Sep-08,5.34,5.46,4.10,4.83,674446
30-Sep-08,4.90,5.00,4.57,4.84,884970
1-Oct-08,4.72,4.83,4.37,4.48,838852
2-Oct-08,4.44,4.44,3.97,3.97,520086
3-Oct-08,4.03,4.35,3.97,4.15,786509
6-Oct-08,4.05,4.06,3.77,3.91,1207109
7-Oct-08,3.98,4.00,3.51,3.56,972904
8-Oct-08,3.47,3.73,3.06,3.33,2673678
9-Oct-08,3.37,3.64,3.30,3.35,1061126
10-Oct-08,3.26,3.62,2.98,3.35,1359252
13-Oct-08,3.56,3.70,3.44,3.70,794933
14-Oct-08,3.75,3.82,3.44,3.73,616473
15-Oct-08,3.67,3.68,3.20,3.20,1123418
16-Oct-08,3.22,3.50,2.89,3.50,714372
17-Oct-08,3.28,3.28,3.01,3.03,670807
20-Oct-08,3.02,3.14,2.97,3.01,775542
21-Oct-08,3.00,3.00,2.55,2.59,3772777
22-Oct-08,2.54,2.63,2.04,2.14,1421896
23-Oct-08,2.17,2.23,1.51,1.53,2744878
24-Oct-08,1.38,1.65,1.35,1.47,1339968
27-Oct-08,1.45,1.58,1.26,1.26,1096965
28-Oct-08,1.29,1.77,1.29,1.52,3782506
29-Oct-08,1.56,1.65,1.50,1.51,528211
30-Oct-08,1.56,1.66,1.42,1.61,422221
31-Oct-08,1.61,1.95,1.60,1.90,842300
3-Nov-08,2.24,2.30,2.05,2.09,944755
4-Nov-08,2.36,2.37,2.05,2.23,385661
5-Nov-08,2.15,2.24,1.62,1.89,571549
6-Nov-08,1.61,1.77,1.49,1.70,567482
7-Nov-08,1.75,1.75,1.51,1.60,559586
10-Nov-08,1.65,1.65,1.38,1.39,1121943
11-Nov-08,1.36,1.36,1.27,1.30,543284
12-Nov-08,1.33,1.38,1.15,1.15,927845
13-Nov-08,1.17,1.22,1.15,1.20,823372
14-Nov-08,1.17,1.17,1.05,1.05,470710
17-Nov-08,1.03,1.05,0.88,0.89,561584
18-Nov-08,0.90,0.90,0.64,0.71,1263059
19-Nov-08,0.71,0.71,0.40,0.40,929899
20-Nov-08,0.41,0.63,0.34,0.51,4529235
21-Nov-08,0.50,0.58,0.45,0.51,1307613
24-Nov-08,0.53,0.70,0.53,0.68,928640
25-Nov-08,0.80,0.92,0.66,0.82,1921853
26-Nov-08,0.77,0.98,0.63,0.94,814712
27-Nov-08,0.84,0.99,0.67,0.94,559161
28-Nov-08,0.92,1.00,0.71,0.95,303611
1-Dec-08,0.90,0.93,0.78,0.78,778585
2-Dec-08,0.80,0.87,0.76,0.84,329912
3-Dec-08,0.83,0.90,0.75,0.86,356017
4-Dec-08,0.80,0.95,0.77,0.79,204891
5-Dec-08,0.79,0.85,0.75,0.85,197826
8-Dec-08,0.89,1.30,0.89,1.30,829152
9-Dec-08,1.28,1.28,1.02,1.04,669572
10-Dec-08,1.06,1.15,0.99,1.08,675593
11-Dec-08,1.06,1.07,0.75,0.75,671193
12-Dec-08,0.74,0.90,0.69,0.80,918990
15-Dec-08,0.86,0.86,0.69,0.69,907998
16-Dec-08,0.73,0.78,0.71,0.74,625264
17-Dec-08,0.76,0.76,0.69,0.71,925385
18-Dec-08,0.71,0.75,0.58,0.63,1449226
19-Dec-08,0.75,0.78,0.65,0.70,1002498
22-Dec-08,0.69,0.75,0.60,0.67,2069609
23-Dec-08,0.67,0.74,0.65,0.69,516863
24-Dec-08,0.72,0.73,0.67,0.71,149160
25-Dec-08,0.73,0.74,0.66,0.71,254410
26-Dec-08,0.75,0.75,0.65,0.73,359661
29-Dec-08,0.74,0.76,0.63,0.65,2107165
30-Dec-08,0.66,0.71,0.62,0.65,341957
31-Dec-08,0.66,0.75,0.63,0.74,472738
1-Jan-09,0.71,0.79,0.69,0.74,420164
2-Jan-09,0.75,0.83,0.74,0.81,367590
5-Jan-09,0.82,0.87,0.78,0.82,199882
6-Jan-09,0.82,1.06,0.82,1.06,552661
7-Jan-09,1.15,1.16,1.09,1.09,531525
8-Jan-09,1.01,1.10,0.80,1.10,383336
9-Jan-09,1.09,1.10,0.95,0.97,242081
12-Jan-09,1.00,1.01,0.82,0.85,429548
13-Jan-09,0.85,0.92,0.83,0.91,351644
14-Jan-09,0.87,0.90,0.70,0.70,193927
15-Jan-09,0.75,0.84,0.65,0.69,271082
16-Jan-09,0.66,0.72,0.62,0.69,323470
20-Jan-09,0.70,0.71,0.55,0.55,287764
21-Jan-09,0.60,0.65,0.59,0.60,636327
22-Jan-09,0.63,0.64,0.58,0.60,189789
23-Jan-09,0.60,0.65,0.60,0.61,176201
26-Jan-09,0.61,0.66,0.61,0.66,306675
27-Jan-09,0.63,0.78,0.63,0.76,104764
28-Jan-09,0.79,0.86,0.78,0.85,193684
29-Jan-09,0.83,0.83,0.77,0.77,102099
30-Jan-09,0.79,0.83,0.72,0.73,147576
2-Feb-09,0.71,0.87,0.68,0.84,353621
3-Feb-09,0.86,0.86,0.81,0.83,112248
4-Feb-09,0.80,0.84,0.75,0.77,85402
5-Feb-09,0.77,0.83,0.76,0.81,159802
6-Feb-09,0.80,0.92,0.80,0.87,160722
9-Feb-09,0.90,0.90,0.78,0.79,127634
10-Feb-09,0.79,0.79,0.59,0.59,252779
11-Feb-09,0.64,0.74,0.64,0.67,107739
12-Feb-09,0.72,0.72,0.64,0.64,181010
13-Feb-09,0.65,0.70,0.63,0.65,339021
17-Feb-09,0.68,0.68,0.53,0.53,430606
18-Feb-09,0.53,0.65,0.50,0.50,289426
19-Feb-09,0.52,0.60,0.48,0.48,213401
20-Feb-09,0.47,0.51,0.42,0.44,402968
23-Feb-09,0.46,0.50,0.40,0.41,293304
24-Feb-09,0.44,0.50,0.42,0.47,341923
25-Feb-09,0.48,0.49,0.40,0.40,316109
26-Feb-09,0.42,0.45,0.37,0.37,258404
27-Feb-09,0.42,0.46,0.35,0.36,685737
2-Mar-09,0.36,0.40,0.33,0.33,576195
3-Mar-09,0.33,0.35,0.28,0.28,593598
4-Mar-09,0.30,0.30,0.25,0.30,596334
5-Mar-09,0.35,0.35,0.20,0.21,464375
6-Mar-09,0.22,0.33,0.19,0.23,801970
9-Mar-09,0.24,0.29,0.19,0.20,382419
10-Mar-09,0.24,0.40,0.20,0.40,501969
11-Mar-09,0.28,0.28,0.24,0.25,541092
12-Mar-09,0.26,0.28,0.24,0.28,402004
13-Mar-09,0.29,0.34,0.28,0.31,295690
16-Mar-09,0.34,0.50,0.25,0.41,1092093
17-Mar-09,0.40,0.49,0.38,0.49,863890
18-Mar-09,0.48,0.53,0.45,0.51,659147
19-Mar-09,0.78,0.78,0.47,0.47,3795707
20-Mar-09,0.51,0.56,0.47,0.49,1801687
23-Mar-09,0.54,0.58,0.52,0.56,1525443
24-Mar-09,0.56,0.58,0.50,0.50,1427082
25-Mar-09,0.50,0.56,0.50,0.55,1173347
26-Mar-09,0.56,0.64,0.55,0.64,772122
27-Mar-09,0.60,0.63,0.58,0.59,755308
30-Mar-09,0.54,0.54,0.47,0.49,488153
31-Mar-09,0.51,0.51,0.46,0.46,477343
1-Apr-09,0.46,0.49,0.44,0.49,1037266
