Date,Open,High,Low,Close,Volume
15-Apr-11,6.00,7.18,5.81,6.77,3393711
18-Apr-11,6.73,6.79,6.19,6.67,219693
19-Apr-11,6.72,6.90,6.57,6.78,170337
20-Apr-11,6.67,6.88,6.64,6.88,95403
21-Apr-11,6.62,7.18,6.62,7.14,30361
25-Apr-11,7.50,7.60,7.25,7.28,25315
26-Apr-11,7.35,7.35,7.10,7.30,12527
27-Apr-11,7.28,7.30,7.18,7.22,17470
28-Apr-11,7.25,7.25,6.86,6.89,11135
29-Apr-11,6.85,7.15,6.22,7.05,89684
2-May-11,7.06,7.10,6.72,6.93,123592
3-May-11,7.00,7.29,6.68,6.95,45235
4-May-11,7.05,7.05,6.27,6.56,54522
5-May-11,6.66,6.76,6.47,6.76,5630
6-May-11,6.66,7.04,6.35,6.90,27309
9-May-11,6.90,7.08,6.87,7.00,52716
10-May-11,7.05,7.05,6.81,6.86,6750
11-May-11,6.90,7.12,6.90,7.12,23418
12-May-11,7.12,7.12,6.82,6.95,55574
13-May-11,6.90,7.11,6.80,6.95,54320
16-May-11,7.02,7.02,6.81,6.92,78815
17-May-11,6.96,7.06,6.76,6.80,69104
18-May-11,6.80,6.90,6.70,6.88,17501
19-May-11,6.92,6.92,6.54,6.54,25304
20-May-11,6.58,6.88,6.50,6.52,84691
23-May-11,6.62,6.96,6.62,6.80,8872
24-May-11,6.78,7.04,6.60,6.80,39319
25-May-11,6.89,6.89,6.50,6.75,9168
26-May-11,6.65,6.65,6.15,6.50,32382
27-May-11,6.40,6.90,6.25,6.78,37265
31-May-11,6.79,6.90,6.68,6.75,23620
1-Jun-11,6.82,7.05,6.70,6.72,111337
2-Jun-11,6.62,6.81,6.25,6.33,108150
3-Jun-11,6.42,6.61,6.32,6.57,6262
6-Jun-11,6.66,6.86,6.49,6.69,132893
7-Jun-11,6.74,6.95,6.68,6.84,41743
8-Jun-11,6.90,6.90,6.60,6.75,8142
9-Jun-11,6.80,6.94,6.54,6.70,42840
10-Jun-11,6.75,6.77,6.35,6.44,110571
13-Jun-11,6.51,6.60,6.25,6.28,157201
14-Jun-11,6.24,6.40,6.12,6.30,76158
15-Jun-11,6.30,6.35,6.12,6.20,46463
16-Jun-11,6.28,6.38,6.12,6.30,219905
17-Jun-11,6.30,6.30,5.74,5.89,205538
20-Jun-11,5.88,5.99,5.31,5.40,67080
21-Jun-11,5.44,5.44,5.24,5.30,30907
22-Jun-11,5.70,5.73,5.24,5.63,53291
23-Jun-11,5.68,5.90,5.63,5.70,28226
24-Jun-11,5.82,6.13,5.65,5.86,780425
27-Jun-11,5.95,5.95,5.64,5.91,72970
28-Jun-11,5.86,6.16,5.86,6.00,30319
29-Jun-11,5.96,6.05,5.82,5.86,16863
30-Jun-11,5.89,5.98,5.72,5.74,11417
1-Jul-11,5.78,5.83,5.55,5.78,14502
5-Jul-11,5.73,5.78,5.49,5.56,20739
6-Jul-11,5.58,5.73,5.50,5.73,9615
7-Jul-11,5.78,6.02,5.72,5.84,24605
8-Jul-11,5.79,5.81,5.64,5.65,16135
11-Jul-11,5.66,5.69,5.50,5.62,18120
12-Jul-11,5.62,5.65,5.53,5.53,7435
13-Jul-11,5.53,5.67,5.53,5.67,8739
14-Jul-11,6.14,6.14,5.63,5.75,5607
15-Jul-11,5.73,5.79,5.65,5.65,18446
18-Jul-11,5.66,5.66,5.32,5.57,21951
19-Jul-11,6.03,6.03,5.59,6.00,20345
20-Jul-11,5.95,6.09,5.91,6.04,8721
21-Jul-11,5.98,6.26,5.96,6.04,12143
22-Jul-11,6.06,6.08,5.84,5.97,45466
25-Jul-11,5.92,6.10,5.91,5.95,39700
26-Jul-11,5.94,6.02,5.85,5.94,13195
27-Jul-11,6.00,6.08,5.53,5.61,266198
28-Jul-11,5.63,5.83,5.50,5.82,62439
29-Jul-11,5.80,5.81,5.67,5.75,18329
1-Aug-11,5.77,5.82,5.62,5.73,38842
2-Aug-11,5.69,5.82,5.58,5.58,19803
3-Aug-11,5.63,5.86,5.45,5.73,48380
4-Aug-11,5.68,5.84,5.54,5.54,30395
5-Aug-11,5.34,5.39,4.86,5.36,63526
8-Aug-11,5.31,5.51,5.07,5.27,117578
9-Aug-11,5.23,5.51,5.07,5.41,70676
