Date,Open,High,Low,Close,Volume
22-Aug-14,34.90,35.11,34.71,34.99,102127
21-Aug-14,34.72,34.98,34.13,34.93,136668
20-Aug-14,35.70,35.70,34.52,34.85,266774
19-Aug-14,34.94,35.96,34.87,35.84,276898
18-Aug-14,34.06,35.03,33.92,34.97,268055
15-Aug-14,33.91,34.22,33.37,33.85,203870
14-Aug-14,35.03,35.08,33.70,33.72,355754
13-Aug-14,34.98,35.15,34.44,35.02,199425
12-Aug-14,34.41,35.82,33.96,34.94,519466
11-Aug-14,34.30,34.92,34.01,34.49,421682
8-Aug-14,33.63,34.66,33.17,34.16,332501
7-Aug-14,33.68,34.58,33.16,33.49,663297
6-Aug-14,32.62,34.98,32.62,34.53,712618
5-Aug-14,31.77,32.96,31.77,32.83,377276
4-Aug-14,30.83,32.33,30.79,32.06,269357
1-Aug-14,29.92,32.72,29.88,30.72,1190902
31-Jul-14,29.06,29.16,28.59,28.72,277617
30-Jul-14,29.25,29.41,28.91,29.40,102539
29-Jul-14,28.89,29.31,28.64,29.09,347660
28-Jul-14,28.85,29.01,28.48,28.78,169169
25-Jul-14,28.63,28.96,28.42,28.80,225781
24-Jul-14,29.11,29.20,28.45,28.81,313993
23-Jul-14,28.84,29.34,28.61,29.00,221650
22-Jul-14,28.54,29.02,28.45,28.72,119432
21-Jul-14,28.03,28.75,28.03,28.46,133749
18-Jul-14,27.99,29.14,27.99,28.63,179338
17-Jul-14,29.38,29.56,27.85,28.05,405135
16-Jul-14,30.24,30.24,29.59,29.70,106082
15-Jul-14,30.17,30.36,29.60,30.04,193133
14-Jul-14,30.17,30.35,29.93,30.11,86692
11-Jul-14,29.99,30.10,29.73,29.89,94655
10-Jul-14,29.81,30.25,29.54,29.99,316637
9-Jul-14,30.12,30.42,30.00,30.24,149014
8-Jul-14,31.15,31.15,29.67,29.99,350958
7-Jul-14,32.24,32.24,31.16,31.25,273829
3-Jul-14,32.10,32.63,31.84,32.30,109009
2-Jul-14,31.79,32.15,31.64,32.03,194358
1-Jul-14,31.36,32.21,31.34,31.85,387733
30-Jun-14,31.04,31.99,30.38,31.13,597954
27-Jun-14,29.89,30.92,29.89,30.89,200818
26-Jun-14,30.27,30.27,29.77,30.01,128973
25-Jun-14,29.89,30.66,29.87,30.30,270222
24-Jun-14,29.51,30.14,29.51,30.02,547114
23-Jun-14,29.15,29.63,28.90,29.63,162852
20-Jun-14,29.08,29.32,28.72,29.19,220062
19-Jun-14,29.16,29.47,28.88,29.06,163586
18-Jun-14,29.19,29.37,28.47,29.22,189002
17-Jun-14,28.72,29.37,28.70,29.30,219739
16-Jun-14,28.40,28.90,28.27,28.87,154842
13-Jun-14,28.53,28.59,28.08,28.46,96095
12-Jun-14,28.32,28.43,27.91,28.41,161744
11-Jun-14,27.96,28.43,27.96,28.43,77623
10-Jun-14,28.34,28.43,27.81,28.07,80879
9-Jun-14,27.70,28.42,27.68,28.36,227460
6-Jun-14,27.67,27.77,27.48,27.77,260376
5-Jun-14,27.29,27.73,27.24,27.55,217909
4-Jun-14,26.85,27.38,26.68,27.17,154129
3-Jun-14,26.95,27.19,26.32,26.92,215827
2-Jun-14,27.75,27.80,26.78,26.98,213367
30-May-14,27.77,27.89,27.19,27.85,360077
29-May-14,27.62,27.75,27.53,27.75,115616
28-May-14,27.69,27.75,27.49,27.51,181960
27-May-14,27.75,28.00,27.34,27.75,276387
23-May-14,27.28,27.75,27.07,27.65,229866
