Date,Open,High,Low,Close,Volume
3-Jan-00,17.44,17.69,16.81,17.69,470700
4-Jan-00,17.44,17.50,16.75,16.75,561100
5-Jan-00,16.88,16.94,16.12,16.31,301300
6-Jan-00,16.31,16.69,16.19,16.50,376000
7-Jan-00,16.31,16.62,16.25,16.50,347400
10-Jan-00,16.62,16.94,16.56,16.69,257800
11-Jan-00,16.44,17.12,16.38,17.00,406800
12-Jan-00,16.62,16.69,16.12,16.44,338800
13-Jan-00,16.19,16.44,16.12,16.12,262700
14-Jan-00,16.12,16.69,15.81,16.44,399700
18-Jan-00,16.50,17.75,16.50,17.75,695600
19-Jan-00,17.44,17.62,16.94,17.38,743600
20-Jan-00,17.44,17.50,16.75,16.75,822600
21-Jan-00,16.81,17.31,16.75,17.00,299600
24-Jan-00,17.00,17.31,16.62,16.62,373000
25-Jan-00,16.56,16.88,16.50,16.50,228200
26-Jan-00,16.56,17.25,16.50,17.06,627000
27-Jan-00,14.00,14.31,13.75,14.00,3325600
28-Jan-00,13.88,13.88,13.00,13.06,816400
31-Jan-00,13.19,13.19,12.75,12.75,708100
1-Feb-00,12.81,13.25,12.75,13.06,709600
2-Feb-00,13.31,14.19,13.19,13.81,786100
3-Feb-00,14.50,14.88,14.19,14.44,928400
4-Feb-00,14.81,15.31,14.25,14.31,906600
7-Feb-00,14.88,14.88,14.50,14.69,633500
8-Feb-00,14.69,14.75,14.25,14.44,449700
9-Feb-00,14.56,14.81,13.94,14.06,469200
10-Feb-00,14.06,14.12,13.31,13.31,406000
11-Feb-00,13.62,13.62,13.00,13.19,380500
14-Feb-00,12.94,13.00,12.44,12.69,1764900
15-Feb-00,12.44,12.44,12.12,12.19,1064500
16-Feb-00,12.31,12.62,11.94,12.38,517700
17-Feb-00,12.50,12.62,12.12,12.19,271300
18-Feb-00,12.12,12.19,11.75,12.06,283800
22-Feb-00,12.19,12.19,11.56,12.12,252000
23-Feb-00,11.88,11.94,11.56,11.56,364500
24-Feb-00,11.50,11.62,10.94,11.00,509000
25-Feb-00,11.12,11.44,11.00,11.38,1090300
28-Feb-00,11.25,12.81,11.19,12.62,822800
29-Feb-00,12.50,12.75,12.00,12.00,582500
1-Mar-00,12.76,12.31,11.88,12.31,399900
2-Mar-00,13.02,12.56,12.25,12.50,384000
3-Mar-00,13.29,13.88,12.75,13.81,1274000
6-Mar-00,13.55,13.94,13.31,13.56,575000
7-Mar-00,13.81,13.81,13.44,13.62,545200
8-Mar-00,13.62,13.75,13.25,13.69,338200
9-Mar-00,13.56,13.62,13.19,13.50,313600
10-Mar-00,13.50,13.69,13.12,13.12,327800
13-Mar-00,12.75,12.88,12.56,12.75,283700
14-Mar-00,12.50,12.62,12.12,12.31,469900
15-Mar-00,12.19,12.44,11.94,12.38,739300
16-Mar-00,12.44,13.50,12.44,13.44,412900
17-Mar-00,13.12,15.25,13.12,14.94,1435500
20-Mar-00,15.00,15.50,15.00,15.38,1321000
21-Mar-00,15.44,15.94,14.81,15.56,612300
22-Mar-00,15.38,15.44,15.12,15.25,326000
23-Mar-00,15.19,15.75,15.06,15.56,486500
24-Mar-00,15.62,15.94,15.62,15.94,391400
27-Mar-00,15.94,16.00,15.69,15.69,364500
28-Mar-00,15.69,16.06,15.50,15.88,570800
29-Mar-00,15.88,16.00,15.44,15.75,603000
30-Mar-00,15.75,15.88,15.44,15.50,355500
31-Mar-00,15.56,15.75,15.25,15.50,636200
3-Apr-00,15.50,15.62,15.19,15.50,348700
4-Apr-00,15.62,15.94,14.75,15.38,524700
5-Apr-00,15.25,15.44,14.94,15.38,298300
6-Apr-00,15.38,16.25,15.38,16.00,349300
7-Apr-00,16.06,16.50,16.06,16.50,337500
10-Apr-00,16.38,16.44,15.62,15.69,757000
11-Apr-00,15.75,15.88,15.56,15.75,412700
12-Apr-00,15.81,16.03,15.69,15.88,398300
13-Apr-00,15.81,15.94,15.56,15.75,404500
14-Apr-00,15.69,15.69,14.50,14.88,553700
17-Apr-00,14.62,14.81,14.25,14.81,431700
18-Apr-00,14.81,15.25,14.62,15.25,342800
19-Apr-00,15.06,15.12,14.88,14.94,322200
20-Apr-00,14.94,15.69,14.88,15.44,413700
24-Apr-00,15.12,15.12,14.75,14.81,404000
25-Apr-00,14.94,16.06,14.94,16.00,684500
26-Apr-00,16.00,16.50,16.00,16.50,912200
27-Apr-00,16.75,17.00,15.88,16.44,1197400
28-Apr-00,16.44,16.75,16.31,16.62,384700
1-May-00,16.75,16.75,16.31,16.50,550800
2-May-00,16.38,16.38,15.81,15.88,780900
3-May-00,16.12,16.38,15.81,15.94,776000
