Date,Open,High,Low,Close,Volume
3-Jan-00,32.25,32.25,29.69,30.19,163200
4-Jan-00,29.88,30.19,29.00,29.06,129500
5-Jan-00,28.94,29.12,28.44,28.50,210700
6-Jan-00,28.44,28.69,27.75,27.94,216100
7-Jan-00,27.50,27.62,26.69,27.12,435200
10-Jan-00,27.38,27.44,26.25,26.44,428300
11-Jan-00,25.88,26.75,25.75,26.50,684900
12-Jan-00,26.69,26.69,25.81,26.00,226100
13-Jan-00,26.00,26.50,25.50,25.81,669900
14-Jan-00,26.00,26.62,25.62,26.38,1078600
18-Jan-00,26.62,27.50,25.62,25.88,1008300
19-Jan-00,25.94,26.75,25.62,26.50,636600
20-Jan-00,26.62,26.75,26.12,26.31,428800
21-Jan-00,26.38,26.75,25.94,26.25,439000
24-Jan-00,26.50,26.69,26.00,26.06,329200
25-Jan-00,26.25,26.25,25.06,25.31,652000
26-Jan-00,25.31,25.50,25.06,25.25,225600
27-Jan-00,25.50,25.88,25.00,25.00,391800
28-Jan-00,24.75,25.31,24.69,24.81,352100
31-Jan-00,25.06,25.31,24.50,25.00,288000
1-Feb-00,24.88,24.88,24.44,24.75,195700
2-Feb-00,24.88,24.94,24.12,24.19,386800
3-Feb-00,24.06,24.44,23.94,24.12,371200
4-Feb-00,24.00,24.25,23.88,24.12,427200
7-Feb-00,24.25,24.50,23.94,24.12,182200
8-Feb-00,24.12,24.69,24.00,24.00,400500
9-Feb-00,24.19,24.25,23.25,23.38,351600
10-Feb-00,23.12,23.19,22.88,22.88,255100
11-Feb-00,22.94,23.50,22.72,23.06,300800
14-Feb-00,23.06,23.62,22.62,23.44,286800
15-Feb-00,23.44,23.44,22.44,22.56,258800
16-Feb-00,22.81,23.06,22.00,22.44,237700
17-Feb-00,22.50,22.88,22.12,22.81,260800
18-Feb-00,22.56,22.56,21.62,21.81,276000
22-Feb-00,20.50,21.69,20.50,21.69,262300
23-Feb-00,21.44,21.69,20.94,21.62,273900
24-Feb-00,21.75,21.94,21.31,21.69,300900
25-Feb-00,21.69,22.06,21.50,22.00,300800
28-Feb-00,23.50,23.50,21.94,22.19,235700
29-Feb-00,22.31,24.38,22.31,23.31,560200
1-Mar-00,22.37,23.44,23.00,23.31,163300
2-Mar-00,22.43,23.25,21.75,22.81,224600
3-Mar-00,22.5,23.56,22.81,23.12,212100
6-Mar-00,22.56,23.38,22.12,22.38,333100
7-Mar-00,22.62,22.75,22.31,22.69,309900
8-Mar-00,22.50,22.81,22.00,22.44,118800
