Date,Open,High,Low,Close,Volume
3-May-12,10.40,10.80,10.30,10.60,6650092
4-May-12,10.80,12.32,10.52,10.79,1343489
7-May-12,11.00,11.20,10.64,10.71,400495
8-May-12,10.51,10.90,10.50,10.68,290358
9-May-12,10.64,10.64,10.50,10.50,121264
10-May-12,10.60,10.74,10.54,10.61,193684
11-May-12,10.53,10.80,10.44,10.57,429523
14-May-12,10.50,10.81,10.50,10.50,181705
15-May-12,10.50,11.03,10.50,10.90,381457
16-May-12,10.99,11.10,10.93,11.00,105509
17-May-12,10.98,10.98,10.76,10.84,163751
18-May-12,10.82,11.00,10.77,11.00,296332
21-May-12,11.25,11.25,10.89,10.94,47464
22-May-12,10.96,11.00,10.72,10.84,111328
23-May-12,10.85,10.90,10.75,10.81,323522
24-May-12,10.82,11.07,10.82,11.02,196807
25-May-12,11.06,11.28,11.00,11.20,230416
29-May-12,11.31,11.55,11.18,11.27,225757
30-May-12,11.63,11.63,10.78,10.94,222835
31-May-12,10.96,11.27,10.86,11.12,145607
1-Jun-12,11.00,11.00,10.70,10.93,74205
4-Jun-12,10.99,10.99,10.60,10.79,144463
5-Jun-12,10.85,10.94,10.72,10.77,94451
6-Jun-12,10.82,10.91,10.79,10.88,94400
7-Jun-12,10.99,11.02,10.89,10.96,237314
8-Jun-12,10.93,11.01,10.86,10.97,187278
11-Jun-12,11.14,11.14,10.57,10.78,309365
12-Jun-12,10.76,10.79,10.68,10.79,131326
13-Jun-12,10.72,11.00,10.68,10.85,240207
14-Jun-12,10.84,11.19,10.72,10.95,173527
15-Jun-12,11.00,11.05,10.89,11.04,215287
18-Jun-12,10.97,11.20,10.92,11.01,170592
19-Jun-12,11.05,11.18,10.96,11.07,147872
20-Jun-12,11.07,11.10,10.91,10.95,227768
21-Jun-12,10.96,11.10,10.90,10.95,313433
22-Jun-12,11.04,11.25,10.85,10.91,3024791
25-Jun-12,10.86,10.86,10.63,10.70,257209
26-Jun-12,10.69,10.73,10.23,10.55,358081
27-Jun-12,10.75,10.87,10.55,10.76,649012
28-Jun-12,10.66,10.73,10.50,10.62,221439
29-Jun-12,10.80,10.87,10.70,10.87,144484
2-Jul-12,11.20,11.68,11.08,11.35,619609
3-Jul-12,11.35,11.74,11.35,11.63,480197
5-Jul-12,11.66,12.35,11.63,11.95,396013
6-Jul-12,11.82,11.96,11.74,11.89,261522
9-Jul-12,11.89,12.02,11.74,11.96,202653
10-Jul-12,12.02,12.08,11.64,11.69,137468
11-Jul-12,11.69,11.74,11.55,11.59,177789
12-Jul-12,11.52,12.01,11.47,11.98,324713
13-Jul-12,12.00,12.28,11.95,12.18,336697
16-Jul-12,12.15,12.23,11.86,11.94,112847
17-Jul-12,12.05,12.27,12.02,12.08,413490
18-Jul-12,12.04,12.59,12.02,12.37,426857
19-Jul-12,12.37,12.40,12.05,12.07,234144
20-Jul-12,11.99,12.26,11.92,12.00,172937
23-Jul-12,11.84,11.89,11.75,11.77,114354
24-Jul-12,11.82,12.18,11.75,11.81,188575
25-Jul-12,11.91,12.08,11.82,11.95,179852
26-Jul-12,12.00,12.17,9.40,11.35,802191
27-Jul-12,11.38,11.94,11.32,11.80,143424
30-Jul-12,11.75,11.88,11.67,11.68,102629
31-Jul-12,11.67,11.99,11.62,11.98,251356
1-Aug-12,12.00,11.81,11.81,11.81,21928
2-Aug-12,11.72,12.25,11.58,11.70,221536
3-Aug-12,11.83,12.12,11.76,11.95,278117
6-Aug-12,11.99,12.00,11.85,11.88,93262
7-Aug-12,11.93,12.02,11.78,11.86,105655
8-Aug-12,11.81,12.10,11.72,11.97,70867
9-Aug-12,11.92,12.02,11.68,11.76,89655
10-Aug-12,11.73,11.83,11.55,11.60,88698
13-Aug-12,11.55,11.88,11.50,11.88,58557
14-Aug-12,11.90,12.09,11.82,12.05,102264
15-Aug-12,12.00,12.10,11.88,12.10,115962
16-Aug-12,12.08,12.13,11.99,12.07,98136
17-Aug-12,12.05,12.20,11.97,12.08,117502
20-Aug-12,12.06,12.06,11.93,11.99,84631
21-Aug-12,12.06,12.14,12.00,12.11,129997
22-Aug-12,12.10,12.35,12.10,12.15,136879
23-Aug-12,12.12,12.12,11.81,12.08,75169
24-Aug-12,12.08,12.11,11.96,12.00,42117
27-Aug-12,12.05,12.07,11.88,11.95,31165
28-Aug-12,11.91,11.95,11.82,11.93,190229
29-Aug-12,11.96,12.02,11.83,11.94,110302
30-Aug-12,11.87,11.90,11.64,11.72,77844
31-Aug-12,11.81,11.90,11.50,11.87,157911
4-Sep-12,11.73,11.94,11.70,11.88,121275
5-Sep-12,11.95,12.25,11.92,11.99,345182
6-Sep-12,12.08,12.28,11.98,12.02,163883
7-Sep-12,12.08,12.11,12.02,12.10,77420
10-Sep-12,12.09,12.14,12.01,12.03,100472
11-Sep-12,12.06,12.35,12.05,12.35,171194
12-Sep-12,12.35,12.50,12.34,12.44,222629
13-Sep-12,12.41,12.43,12.18,12.30,388724
14-Sep-12,12.37,12.58,12.22,12.54,693666
17-Sep-12,12.54,12.71,12.43,12.57,522030
18-Sep-12,12.58,12.59,12.41,12.49,144216
19-Sep-12,12.50,12.83,12.46,12.59,272530
20-Sep-12,12.52,12.70,12.37,12.49,469645
21-Sep-12,12.68,13.35,12.68,13.19,601284
24-Sep-12,12.91,13.82,12.91,13.56,450869
25-Sep-12,13.60,13.65,13.19,13.27,553864
26-Sep-12,13.29,13.50,13.10,13.49,259606
27-Sep-12,13.81,14.11,13.50,13.99,261675
28-Sep-12,13.95,13.95,13.72,13.77,310236
