Date,Open,High,Low,Close,Volume
3-Jan-00,30.17,30.39,29.79,29.93,3898400
4-Jan-00,29.64,29.86,28.75,28.93,6994800
5-Jan-00,29.17,29.43,29.00,29.04,4845599
6-Jan-00,29.17,29.61,28.79,29.07,4371000
7-Jan-00,30.03,31.43,29.79,31.21,8911000
10-Jan-00,31.32,31.54,30.29,30.71,4766300
11-Jan-00,30.03,30.57,29.57,29.82,4043900
12-Jan-00,29.99,31.14,29.96,30.68,4731100
13-Jan-00,30.03,31.07,30.21,30.32,3778099
14-Jan-00,30.07,30.25,29.21,29.57,7122001
18-Jan-00,30.74,31.43,30.36,31.00,7477301
19-Jan-00,31.17,31.36,30.18,30.54,4336400
20-Jan-00,30.60,30.68,29.43,29.64,6546700
21-Jan-00,29.71,29.71,28.75,28.82,8655801
24-Jan-00,29.64,29.68,28.79,29.21,7653700
25-Jan-00,29.28,29.29,28.07,28.61,6277300
26-Jan-00,28.10,28.14,27.04,27.43,13939700
27-Jan-00,28.21,28.57,27.82,28.54,10367301
28-Jan-00,28.10,28.50,27.89,28.00,5780800
31-Jan-00,28.49,28.68,28.07,28.43,4712400
1-Feb-00,28.39,28.57,27.71,28.46,7126000
2-Feb-00,28.56,28.89,27.39,27.79,9610799
3-Feb-00,27.38,27.93,27.32,27.86,6019100
4-Feb-00,27.96,28.00,27.43,27.46,4052401
7-Feb-00,27.82,27.71,26.96,27.71,3586200
8-Feb-00,27.67,27.93,27.43,27.50,5036900
9-Feb-00,27.24,27.29,26.93,26.96,4340399
10-Feb-00,26.92,27.00,26.32,26.86,5577400
11-Feb-00,26.62,26.96,25.82,26.36,5095799
14-Feb-00,26.31,26.93,25.71,26.89,5484799
15-Feb-00,26.22,26.79,25.96,26.50,4420099
16-Feb-00,26.13,26.54,25.86,26.46,5667500
17-Feb-00,26.20,26.64,25.86,26.21,5867700
18-Feb-00,25.85,25.96,24.79,24.79,8699501
22-Feb-00,25.38,25.64,24.86,25.18,7047399
23-Feb-00,25.28,25.29,24.57,24.57,3656300
