Date,Open,High,Low,Close,Volume
3-Jan-00,27.98,27.98,26.22,26.58,474500
4-Jan-00,26.40,26.40,25.12,25.85,247800
5-Jan-00,26.10,26.34,25.31,25.67,413400
6-Jan-00,25.67,26.64,25.61,26.16,528000
7-Jan-00,26.28,26.70,25.97,26.40,357300
10-Jan-00,27.07,27.07,25.97,26.16,299200
11-Jan-00,26.10,26.10,25.06,25.06,251600
12-Jan-00,25.00,26.03,24.94,25.37,440400
13-Jan-00,26.22,26.22,25.79,26.16,360800
14-Jan-00,26.40,27.37,26.40,26.76,445800
18-Jan-00,26.58,26.58,25.55,25.85,420900
19-Jan-00,25.85,26.40,25.37,25.61,345300
20-Jan-00,25.43,25.43,24.15,24.28,767900
21-Jan-00,24.40,24.64,24.34,24.46,325800
24-Jan-00,24.52,24.58,23.12,23.30,595000
25-Jan-00,23.24,23.36,23.00,23.24,813100
26-Jan-00,23.18,23.97,23.18,23.97,760800
27-Jan-00,24.03,24.70,23.97,24.21,421700
28-Jan-00,24.15,24.58,23.91,24.58,421600
31-Jan-00,24.76,25.37,24.52,25.37,435100
1-Feb-00,25.49,25.55,25.06,25.19,321700
2-Feb-00,25.43,25.43,24.76,25.00,334400
3-Feb-00,24.94,25.25,24.70,25.06,521900
4-Feb-00,25.06,25.06,24.52,24.58,169500
7-Feb-00,24.64,24.76,24.09,24.64,328300
8-Feb-00,24.40,25.12,24.40,25.00,252400
9-Feb-00,25.00,25.00,24.21,24.28,222500
10-Feb-00,24.34,24.46,23.36,23.67,356400
11-Feb-00,23.61,24.09,23.43,23.55,258100
14-Feb-00,23.55,23.79,23.30,23.36,240100
15-Feb-00,23.49,23.85,23.24,23.30,230400
16-Feb-00,23.43,23.79,23.06,23.30,415600
17-Feb-00,23.79,23.85,23.36,23.55,675600
18-Feb-00,23.36,23.43,22.21,22.88,306400
22-Feb-00,23.12,23.12,22.09,22.39,381300
23-Feb-00,22.70,22.76,22.03,22.21,295500
24-Feb-00,22.21,22.33,21.79,21.97,202200
25-Feb-00,21.91,22.70,21.79,21.97,337500
28-Feb-00,22.03,23.06,21.97,22.82,297100
29-Feb-00,15.78,17.42,15.78,16.75,7034700
1-Mar-00,15.97,17.90,16.99,17.05,1780300
2-Mar-00,16.17,18.21,16.51,17.17,1982100
3-Mar-00,16.36,17.48,16.69,16.87,876300
6-Mar-00,16.56,17.11,16.75,16.81,646000
7-Mar-00,16.75,16.81,16.26,16.39,606400
8-Mar-00,16.14,16.39,15.66,15.78,611800
9-Mar-00,15.78,15.84,15.48,15.72,533800
10-Mar-00,15.78,15.96,15.60,15.66,524000
13-Mar-00,15.90,15.90,15.54,15.60,538500
14-Mar-00,15.66,15.72,15.54,15.66,399300
15-Mar-00,15.72,16.75,15.48,16.57,1010800
16-Mar-00,17.11,19.24,16.87,18.57,1273500
17-Mar-00,18.39,18.69,17.84,18.02,495700
20-Mar-00,18.02,18.02,17.11,17.17,411000
21-Mar-00,17.17,18.15,17.17,18.08,511800
22-Mar-00,18.08,18.15,17.36,18.08,479200
23-Mar-00,17.96,18.81,17.60,18.63,531900
24-Mar-00,18.69,19.06,18.39,18.45,382100
27-Mar-00,18.39,18.39,17.17,17.48,533700
28-Mar-00,17.48,18.08,17.30,17.66,501900
29-Mar-00,18.33,18.57,17.72,18.33,435200
30-Mar-00,18.57,18.57,17.84,17.90,376700
31-Mar-00,18.08,19.72,17.96,19.72,735700
3-Apr-00,19.60,19.72,19.30,19.60,614400
4-Apr-00,19.72,20.27,17.84,19.42,898800
5-Apr-00,19.18,19.60,19.06,19.30,449600
6-Apr-00,19.54,19.84,19.48,19.66,540900
