Date,Open,High,Low,Close,Volume
9-Jun-11,25.00,33.00,22.41,22.50,13871348
10-Jun-11,22.45,24.30,22.43,24.00,2434940
13-Jun-11,23.78,23.87,22.79,23.12,596842
14-Jun-11,23.24,23.90,23.07,23.30,749573
15-Jun-11,23.01,23.55,21.70,22.17,1354344
16-Jun-11,21.67,22.20,20.06,20.29,1228307
17-Jun-11,20.25,21.81,19.28,21.50,1371508
20-Jun-11,21.50,23.21,21.16,22.79,481179
21-Jun-11,23.00,25.00,22.47,25.00,774804
22-Jun-11,24.77,28.70,24.51,26.25,1450207
23-Jun-11,25.70,27.50,24.78,26.56,967990
24-Jun-11,27.00,28.90,26.70,28.73,627953
27-Jun-11,29.97,35.24,29.20,33.70,1637256
28-Jun-11,34.90,36.98,32.00,32.81,1121643
29-Jun-11,33.00,33.98,29.87,29.87,813077
30-Jun-11,30.36,32.38,30.07,30.09,475516
1-Jul-11,30.08,34.71,30.08,31.19,734211
5-Jul-11,31.86,35.67,31.86,33.05,800372
6-Jul-11,34.29,34.50,31.50,32.24,518930
7-Jul-11,32.90,33.00,30.00,30.29,638384
8-Jul-11,29.09,31.61,28.69,31.33,479277
11-Jul-11,30.66,32.48,30.56,31.07,354036
12-Jul-11,30.60,31.48,30.11,30.65,260619
13-Jul-11,30.75,33.25,30.56,30.89,1212874
14-Jul-11,31.32,32.74,30.13,30.85,634565
15-Jul-11,31.04,34.00,30.71,33.80,686720
18-Jul-11,33.62,33.62,31.43,32.13,850931
19-Jul-11,31.90,32.47,30.02,30.22,1258969
20-Jul-11,30.74,31.16,27.60,27.90,879485
21-Jul-11,28.00,28.40,27.60,28.08,708510
22-Jul-11,28.15,30.06,28.00,30.00,389912
25-Jul-11,29.49,31.45,29.20,31.00,413518
26-Jul-11,30.50,32.45,30.44,31.97,672200
27-Jul-11,31.97,32.50,31.25,31.78,754086
28-Jul-11,32.04,32.32,30.95,31.96,260623
29-Jul-11,30.45,30.45,28.52,29.61,762245
1-Aug-11,30.54,30.69,29.16,29.33,313424
2-Aug-11,29.56,30.00,28.09,28.35,796902
3-Aug-11,28.84,28.91,27.15,28.12,408338
4-Aug-11,27.75,28.40,23.40,23.62,1728441
5-Aug-11,25.93,27.39,23.77,26.10,2031326
8-Aug-11,24.48,26.75,23.96,24.78,998684
9-Aug-11,25.70,28.63,24.51,28.00,527529
10-Aug-11,27.60,29.74,26.65,27.72,540177
11-Aug-11,27.82,29.48,27.40,28.40,424988
12-Aug-11,28.77,29.14,28.10,28.25,125907
15-Aug-11,29.35,29.78,28.85,29.35,301149
16-Aug-11,29.00,30.45,28.40,29.43,447217
17-Aug-11,29.41,29.45,26.69,27.38,564204
18-Aug-11,26.52,26.52,24.60,25.07,695411
19-Aug-11,24.80,25.10,22.06,23.25,662222
22-Aug-11,24.46,24.46,21.18,21.39,730774
23-Aug-11,21.85,22.66,20.87,21.48,494348
24-Aug-11,21.55,23.10,21.13,21.23,638529
25-Aug-11,21.61,22.28,20.41,21.86,450317
26-Aug-11,21.47,23.38,21.43,22.27,286641
