Date,Open,High,Low,Close,Volume
3-Jan-00,9.69,9.80,9.55,9.69,67000
4-Jan-00,9.36,9.39,9.14,9.39,112299
5-Jan-00,9.14,9.41,9.14,9.36,89400
6-Jan-00,9.25,9.69,9.25,9.63,147700
7-Jan-00,9.55,9.96,9.52,9.80,67000
10-Jan-00,9.69,10.23,9.69,10.18,88300
11-Jan-00,10.23,10.28,10.07,10.28,67700
12-Jan-00,10.20,10.26,10.12,10.12,59600
13-Jan-00,10.18,10.18,9.52,9.63,135300
14-Jan-00,9.80,9.85,9.69,9.80,67700
18-Jan-00,9.80,10.01,9.80,9.99,64300
19-Jan-00,9.82,10.18,9.82,10.07,65800
20-Jan-00,10.18,10.28,10.09,10.18,62100
21-Jan-00,10.16,10.28,10.12,10.12,125100
24-Jan-00,10.12,10.23,10.07,10.18,109600
25-Jan-00,10.15,10.23,10.12,10.23,220400
26-Jan-00,10.07,10.07,8.92,9.20,205300
27-Jan-00,8.92,9.63,8.92,9.63,146001
28-Jan-00,9.36,9.63,9.36,9.58,45500
31-Jan-00,9.58,9.69,9.58,9.58,141300
1-Feb-00,9.58,9.58,9.25,9.50,44000
2-Feb-00,9.52,9.52,9.20,9.36,37000
3-Feb-00,9.22,9.52,9.22,9.52,23400
4-Feb-00,9.44,9.52,9.20,9.39,59100
7-Feb-00,9.43,9.55,9.41,9.55,35800
8-Feb-00,9.55,9.60,9.36,9.60,91500
9-Feb-00,9.63,9.71,9.63,9.66,60800
10-Feb-00,9.66,10.01,9.66,9.99,195100
11-Feb-00,10.01,10.01,9.74,9.74,97000
14-Feb-00,9.71,9.74,9.52,9.52,71900
15-Feb-00,9.55,9.69,9.52,9.69,40200
16-Feb-00,9.63,9.69,9.63,9.66,41500
17-Feb-00,9.63,9.66,9.58,9.58,48500
18-Feb-00,9.58,9.63,9.58,9.63,72800
22-Feb-00,9.58,9.80,9.25,9.25,85500
23-Feb-00,9.17,9.31,9.14,9.25,38301
24-Feb-00,9.17,9.20,9.14,9.14,54500
25-Feb-00,9.09,9.31,9.09,9.25,48500
28-Feb-00,9.09,9.25,9.09,9.25,22100
29-Feb-00,9.22,9.52,9.03,9.47,83600
1-Mar-00,9.14,9.90,9.14,9.90,40000
2-Mar-00,9.05,9.90,9.14,9.14,90600
3-Mar-00,8.96,9.31,9.14,9.14,50600
6-Mar-00,8.88,9.09,8.60,8.71,86600
7-Mar-00,8.8,8.76,8.38,8.38,77200
8-Mar-00,8.71,8.71,8.30,8.33,42100
9-Mar-00,8.33,8.71,8.30,8.60,40000
10-Mar-00,8.52,8.65,8.27,8.38,48900
13-Mar-00,8.27,8.27,7.92,7.94,105500
14-Mar-00,8.27,8.27,7.94,8.16,23400
15-Mar-00,8.27,8.27,7.89,8.11,85500
16-Mar-00,8.11,8.92,7.94,8.76,122100
17-Mar-00,8.63,8.76,8.49,8.76,34500
20-Mar-00,8.71,8.71,8.57,8.57,71100
21-Mar-00,8.57,8.65,8.38,8.65,47000
22-Mar-00,8.71,8.71,8.68,8.71,19399
23-Mar-00,8.71,8.82,8.60,8.82,43000
24-Mar-00,8.82,9.14,8.82,9.09,68301
27-Mar-00,9.03,9.14,9.03,9.03,43800
28-Mar-00,9.03,9.09,8.82,8.82,76000
29-Mar-00,9.03,9.03,8.82,8.84,39801
30-Mar-00,9.03,9.20,8.82,8.82,71300
31-Mar-00,8.82,8.92,7.94,8.00,91700
3-Apr-00,8.00,8.27,8.00,8.27,36000
4-Apr-00,8.27,8.60,8.16,8.41,56200
5-Apr-00,8.27,8.46,8.27,8.43,95500
6-Apr-00,8.46,8.54,8.27,8.54,126800
7-Apr-00,8.43,8.60,8.43,8.57,63799
10-Apr-00,8.38,8.57,8.38,8.38,34300
11-Apr-00,8.38,8.54,8.38,8.38,30000
12-Apr-00,8.38,8.65,8.38,8.46,54000
13-Apr-00,8.46,8.49,8.27,8.27,32800
14-Apr-00,8.30,8.60,8.14,8.14,53600
17-Apr-00,8.16,8.16,8.05,8.16,34900
18-Apr-00,8.11,8.16,8.05,8.08,56000
19-Apr-00,8.05,8.27,7.94,8.00,110000
20-Apr-00,8.14,8.27,8.00,8.05,22600
24-Apr-00,8.05,8.27,8.05,8.19,38900
25-Apr-00,8.16,8.38,8.16,8.38,42500
26-Apr-00,8.57,8.57,8.23,8.46,16200
27-Apr-00,8.57,8.57,8.35,8.52,20600
28-Apr-00,8.23,9.03,8.23,9.03,48300
1-May-00,8.75,9.03,8.75,8.83,81100
2-May-00,8.75,8.83,8.75,8.79,19200
3-May-00,8.75,8.75,8.52,8.55,34900
