Date,Open,High,Low,Close,Volume
21-Jul-04,0.68,0.92,0.68,0.92,22000
22-Jul-04,0.7,0.91,0.7,0.92,19275
23-Jul-04,0.72,0.9,0.72,0.92,16550
26-Jul-04,0.73,0.88,0.73,0.92,13825
27-Jul-04,0.75,0.87,0.75,0.92,11100
28-Jul-04,0.77,0.86,0.77,0.92,8375
29-Jul-04,0.78,0.84,0.78,0.92,5650
30-Jul-04,0.8,0.83,0.8,0.92,2925
2-Aug-04,0.82,0.82,0.82,0.82,200
3-Aug-04,0.79,0.8,0.79,0.82,960
4-Aug-04,0.76,0.78,0.76,0.82,1720
5-Aug-04,0.74,0.76,0.74,0.82,2480
6-Aug-04,0.71,0.74,0.71,0.82,3240
9-Aug-04,0.68,0.72,0.68,0.70,4000
10-Aug-04,0.68,0.71,0.68,0.70,3250
11-Aug-04,0.68,0.7,0.68,0.70,2500
12-Aug-04,0.68,0.69,0.68,0.70,1750
13-Aug-04,0.68,0.68,0.68,0.68,1000
16-Aug-04,0.77,0.77,0.74,0.68,8000
17-Aug-04,0.85,0.85,0.80,0.80,15000
18-Aug-04,0.92,0.95,0.85,0.90,13000
19-Aug-04,0.88,0.88,0.72,0.72,2200
20-Aug-04,0.72,0.72,0.72,0.72,2000
23-Aug-04,0.72,0.72,0.72,0.72,4000
24-Aug-04,0.72,0.72,0.72,0.72,6000
25-Aug-04,0.72,0.72,0.72,0.72,4333
26-Aug-04,0.72,0.72,0.72,0.72,2666
27-Aug-04,0.72,0.72,0.72,0.72,1000
30-Aug-04,0.72,0.72,0.72,0.72,800
31-Aug-04,0.72,0.72,0.72,0.72,600
1-Sep-04,0.72,0.72,0.72,0.72,400
2-Sep-04,0.71,0.72,0.7,0.72,1150
3-Sep-04,0.71,0.72,0.69,0.72,1900
7-Sep-04,0.7,0.72,0.67,0.72,2650
8-Sep-04,0.70,0.72,0.65,0.65,3400
9-Sep-04,0.68,0.88,0.68,0.87,5000
10-Sep-04,0.69,0.87,0.69,0.87,5650
13-Sep-04,0.69,0.86,0.69,0.87,6300
14-Sep-04,0.69,0.86,0.69,0.87,6950
15-Sep-04,0.70,0.85,0.70,0.85,7600
16-Sep-04,0.7,0.85,0.7,0.85,4900
17-Sep-04,0.70,0.85,0.70,0.85,2200
20-Sep-04,0.7,0.85,0.7,0.85,2333
21-Sep-04,0.7,0.85,0.7,0.85,2466
22-Sep-04,0.70,0.85,0.70,0.85,2600
23-Sep-04,0.70,0.84,0.70,0.84,2400
24-Sep-04,0.82,0.84,0.82,0.84,1600
27-Sep-04,0.70,0.84,0.65,0.84,9600
28-Sep-04,0.84,0.92,0.80,0.92,44000
29-Sep-04,0.92,0.92,0.88,0.92,3200
30-Sep-04,0.90,1.00,0.90,1.00,15600
1-Oct-04,1.12,1.25,0.95,1.25,19800
4-Oct-04,1.05,1.38,1.05,1.38,2600
5-Oct-04,1.38,1.38,0.88,1.25,10400
6-Oct-04,1.25,1.25,1.25,1.25,2000
7-Oct-04,1.36,1.36,1.36,1.36,1000
8-Oct-04,1.35,1.38,1.35,1.36,4000
11-Oct-04,1.13,1.37,1.13,1.36,3300
12-Oct-04,0.90,1.36,0.90,1.36,2600
13-Oct-04,0.88,1.36,0.88,1.36,3800
14-Oct-04,0.94,1.36,0.94,1.36,6100
15-Oct-04,1.0,1.36,1.0,1.36,8400
18-Oct-04,1.06,1.36,1.06,1.36,10700
19-Oct-04,1.12,1.36,1.12,1.36,13000
20-Oct-04,1.12,1.32,1.12,1.32,1200
21-Oct-04,1.11,1.32,1.08,1.32,1533
22-Oct-04,1.11,1.32,1.04,1.32,1866
25-Oct-04,1.10,1.32,1.00,1.32,2200
26-Oct-04,1.1,1.3,1.01,1.32,3333
27-Oct-04,1.1,1.29,1.03,1.32,4466
28-Oct-04,1.1,1.27,1.04,1.32,5599
29-Oct-04,1.1,1.25,1.05,1.32,6732
1-Nov-04,1.1,1.24,1.07,1.32,7865
2-Nov-04,1.10,1.22,1.08,1.10,9000
3-Nov-04,1.10,1.30,1.10,1.30,18000
4-Nov-04,1.05,1.3,1.05,1.30,12000
5-Nov-04,1.00,1.30,1.00,1.30,6000
8-Nov-04,1.15,1.4,1.0,1.30,39000
9-Nov-04,1.30,1.50,1.00,1.45,72000
10-Nov-04,1.27,1.5,1.0,1.45,39500
11-Nov-04,1.25,1.50,1.00,1.48,7000
12-Nov-04,1.48,1.50,1.25,1.50,13400
15-Nov-04,1.25,1.50,1.25,1.50,7400
16-Nov-04,1.50,1.50,1.25,1.50,14800
17-Nov-04,1.38,1.62,1.38,1.50,10600
18-Nov-04,1.55,1.60,1.45,1.60,5600
19-Nov-04,1.62,2.00,1.60,1.92,16200
22-Nov-04,2.00,2.38,1.88,2.18,10600
23-Nov-04,2.00,2.22,2.00,2.22,11200
24-Nov-04,2.11,2.3,2.1,2.22,14900
26-Nov-04,2.22,2.38,2.20,2.30,18600
29-Nov-04,2.38,2.38,2.30,2.30,6400
30-Nov-04,2.15,2.15,2.05,2.12,20800
1-Dec-04,2.15,2.17,2.06,2.12,11100
2-Dec-04,2.14,2.18,2.08,2.18,1400
3-Dec-04,2.12,2.15,2.12,2.15,2200
6-Dec-04,2.15,2.15,2.05,2.10,11800
7-Dec-04,2.10,2.10,2.10,2.10,1200
8-Dec-04,2.12,2.15,2.12,2.12,9400
9-Dec-04,2.15,2.15,2.15,2.15,2000
10-Dec-04,2.12,2.18,2.10,2.12,23400
13-Dec-04,2.15,2.25,2.10,2.12,13800
14-Dec-04,2.12,2.25,2.00,2.25,30200
15-Dec-04,2.05,2.20,2.00,2.20,14200
16-Dec-04,2.05,2.42,2.00,2.42,7400
17-Dec-04,2.00,2.42,2.00,2.32,19800
20-Dec-04,2.05,2.4,2.0,2.32,28100
21-Dec-04,2.11,2.38,2.00,2.35,36400
22-Dec-04,2.30,2.32,2.30,2.32,5000
23-Dec-04,2.30,2.30,2.12,2.30,11400
27-Dec-04,2.10,2.25,2.10,2.25,800
28-Dec-04,2.1,2.22,2.1,2.25,1000
29-Dec-04,2.1,2.18,2.1,2.25,1200
30-Dec-04,2.10,2.15,2.10,2.15,1400
31-Dec-04,2.12,2.20,2.10,2.15,7200
3-Jan-05,2.12,2.15,2.05,2.15,13000
4-Jan-05,2.11,2.13,1.9,2.15,11200
5-Jan-05,2.10,2.10,1.75,2.10,9400
6-Jan-05,2.05,2.06,1.69,2.10,10000
7-Jan-05,2.00,2.02,1.62,2.00,10600
10-Jan-05,2.02,2.05,2.00,2.05,11000
11-Jan-05,2.05,2.35,2.05,2.35,45400
12-Jan-05,2.30,2.45,2.25,2.45,14000
13-Jan-05,2.25,2.45,2.25,2.45,6000
14-Jan-05,2.45,2.55,2.45,2.55,14800
18-Jan-05,2.52,2.55,2.52,2.52,6000
19-Jan-05,2.52,2.52,2.52,2.52,200
20-Jan-05,2.45,2.48,2.38,2.48,3200
21-Jan-05,2.42,2.45,2.00,2.40,15400
24-Jan-05,2.40,2.40,2.40,2.40,2000
25-Jan-05,2.40,2.40,2.25,2.30,14800
26-Jan-05,2.25,2.30,2.25,2.28,8400
27-Jan-05,2.38,2.52,2.25,2.52,53800
28-Jan-05,2.65,2.75,2.50,2.58,92800
31-Jan-05,2.58,2.92,2.55,2.92,6000
1-Feb-05,2.92,3.00,2.62,2.65,47000
2-Feb-05,2.63,2.65,2.62,2.65,19800
3-Feb-05,2.65,2.65,2.63,2.63,2400
4-Feb-05,2.63,2.75,2.63,2.75,4400
7-Feb-05,2.65,2.65,2.65,2.65,800
8-Feb-05,2.65,2.75,2.60,2.75,15600
9-Feb-05,2.75,2.78,2.62,2.74,32800
10-Feb-05,2.62,2.75,2.55,2.75,16400
11-Feb-05,2.63,3.00,2.60,2.68,80200
14-Feb-05,2.65,2.65,2.65,2.65,1000
15-Feb-05,2.80,3.10,2.62,3.10,38400
16-Feb-05,2.88,3.10,2.88,3.10,8400
17-Feb-05,3.10,3.22,3.00,3.22,45000
18-Feb-05,3.50,5.00,3.50,4.50,201600
22-Feb-05,4.50,4.75,4.00,4.02,54400
23-Feb-05,4.02,4.25,3.98,4.15,35600
24-Feb-05,3.80,4.25,3.80,4.25,17200
25-Feb-05,4.25,4.25,4.00,4.25,25400
28-Feb-05,4.25,4.40,4.20,4.38,17200
1-Mar-05,4.38,4.70,4.38,4.62,14400
2-Mar-05,4.62,4.62,4.38,4.50,1800
3-Mar-05,4.50,4.50,4.49,4.49,600
4-Mar-05,4.48,4.50,4.00,4.50,13400
7-Mar-05,4.38,4.62,4.38,4.62,35200
8-Mar-05,4.62,4.62,4.50,4.50,7800
9-Mar-05,4.38,4.50,4.38,4.50,5000
10-Mar-05,4.38,4.50,4.38,4.50,600
11-Mar-05,4.50,4.50,4.39,4.48,3800
14-Mar-05,4.40,4.50,4.40,4.40,12400
15-Mar-05,4.39,4.50,4.18,4.45,22000
16-Mar-05,4.32,4.32,4.25,4.32,9200
17-Mar-05,4.22,4.45,4.22,4.40,7600
18-Mar-05,4.36,4.58,4.36,4.55,9600
21-Mar-05,4.40,4.52,4.40,4.50,11800
22-Mar-05,4.50,4.50,4.32,4.45,4400
23-Mar-05,4.4,4.5,4.31,4.45,4700
24-Mar-05,4.30,4.50,4.30,4.50,5000
28-Mar-05,4.28,4.4,4.28,4.50,3900
29-Mar-05,4.25,4.30,4.25,4.30,2800
30-Mar-05,4.20,4.35,4.20,4.35,7800
31-Mar-05,4.35,4.50,4.35,4.50,13200
1-Apr-05,4.50,4.58,4.45,4.58,20600
4-Apr-05,4.72,4.72,4.20,4.62,3600
5-Apr-05,4.60,4.60,4.50,4.52,4200
6-Apr-05,4.56,4.56,4.45,4.52,4900
7-Apr-05,4.52,4.52,4.40,4.52,5600
8-Apr-05,4.48,4.48,4.31,4.45,7200
11-Apr-05,4.30,4.45,4.30,4.45,15400
12-Apr-05,4.45,4.45,4.10,4.45,10600
13-Apr-05,4.38,4.42,4.21,4.45,9000
14-Apr-05,4.32,4.38,4.32,4.38,7400
15-Apr-05,4.38,4.38,4.32,4.32,12800
18-Apr-05,4.05,4.47,4.00,4.47,30800
19-Apr-05,4.44,4.45,4.44,4.45,15400
20-Apr-05,4.38,4.45,4.02,4.45,3800
21-Apr-05,4.25,4.38,4.22,4.28,29400
22-Apr-05,4.31,4.44,4.23,4.28,23200
25-Apr-05,4.38,4.50,4.25,4.50,17000
26-Apr-05,4.50,4.50,4.50,4.50,200
27-Apr-05,4.25,4.38,4.25,4.38,4200
28-Apr-05,4.35,4.50,4.35,4.50,3600
29-Apr-05,4.37,4.5,4.37,4.50,3100
2-May-05,4.38,4.50,4.38,4.50,2600
3-May-05,4.40,4.40,4.38,4.40,6200
4-May-05,4.38,4.38,4.22,4.38,3200
5-May-05,4.25,4.25,4.25,4.25,200
6-May-05,4.25,4.30,4.24,4.30,5200
9-May-05,4.25,4.30,4.25,4.30,7200
10-May-05,4.25,4.30,4.25,4.30,1400
11-May-05,4.30,4.30,4.18,4.25,8200
12-May-05,4.18,4.25,4.18,4.25,3000
13-May-05,4.01,4.30,4.01,4.30,10800
16-May-05,4.16,4.32,4.15,4.22,3600
17-May-05,4.22,4.40,4.22,4.38,46600
18-May-05,4.35,4.40,4.28,4.40,1800
19-May-05,4.37,4.39,4.33,4.40,1400
20-May-05,4.39,4.39,4.39,4.39,1000
23-May-05,4.27,4.3,4.22,4.39,1600
24-May-05,4.15,4.22,4.06,4.22,2200
25-May-05,4.22,4.25,4.12,4.25,37800
26-May-05,4.25,4.25,4.00,4.18,7400
27-May-05,4.12,4.25,4.00,4.25,3400
31-May-05,4.05,4.05,3.60,3.72,33400
1-Jun-05,3.75,4.02,3.63,4.02,5800
2-Jun-05,2.80,3.95,2.75,3.95,22800
3-Jun-05,3.80,4.02,3.59,3.85,28400
6-Jun-05,3.88,4.05,3.88,4.05,37800
7-Jun-05,4.02,4.24,4.02,4.24,1400
8-Jun-05,4.24,4.25,4.24,4.25,4400
9-Jun-05,4.25,4.25,4.08,4.25,45000
10-Jun-05,4.20,4.25,4.20,4.25,5600
13-Jun-05,4.20,4.40,4.20,4.40,30400
14-Jun-05,4.40,4.40,4.28,4.40,53600
15-Jun-05,4.40,4.40,4.38,4.40,4400
16-Jun-05,4.45,4.49,4.45,4.49,5400
17-Jun-05,4.50,4.60,4.50,4.60,170600
20-Jun-05,4.64,4.68,4.60,4.68,26200
21-Jun-05,4.70,4.72,4.60,4.65,58600
22-Jun-05,4.65,4.68,4.60,4.68,20400
23-Jun-05,4.70,4.75,4.70,4.74,13600
24-Jun-05,4.74,4.77,4.65,4.74,14000
27-Jun-05,4.66,4.75,4.66,4.70,5000
28-Jun-05,4.70,4.80,4.70,4.80,9400
29-Jun-05,4.75,4.80,4.70,4.75,11000
30-Jun-05,4.75,4.75,4.65,4.75,6400
1-Jul-05,4.75,4.75,4.65,4.70,3000
5-Jul-05,4.70,4.84,4.70,4.82,17200
6-Jul-05,4.85,5.12,4.74,5.00,39200
7-Jul-05,5.00,5.10,5.00,5.05,16000
8-Jul-05,5.00,5.05,4.88,5.05,17600
11-Jul-05,5.08,5.10,5.08,5.10,12600
12-Jul-05,5.08,5.62,5.08,5.55,166000
13-Jul-05,5.60,5.72,5.36,5.72,44600
14-Jul-05,5.80,6.00,5.80,5.88,33200
15-Jul-05,5.75,5.95,5.48,5.90,11800
18-Jul-05,5.90,6.00,5.88,5.88,9800
19-Jul-05,5.85,5.88,5.54,5.75,14000
20-Jul-05,5.75,5.98,5.75,5.88,121800
21-Jul-05,5.88,6.00,5.88,5.98,63400
22-Jul-05,6.00,6.00,5.94,5.95,10200
25-Jul-05,5.95,6.05,5.88,5.88,22200
26-Jul-05,6.25,6.60,6.08,6.58,78000
27-Jul-05,13.20,13.39,12.80,12.95,23900
28-Jul-05,12.95,12.99,12.80,12.89,6300
29-Jul-05,12.89,12.89,12.84,12.85,3800
1-Aug-05,12.85,13.10,12.85,13.00,7200
