Date,Open,High,Low,Close,Volume
3-Jan-00,5.88,8.44,5.88,8.44,97300
4-Jan-00,8.38,8.75,8.00,8.44,121200
5-Jan-00,8.44,8.44,8.06,8.12,38500
6-Jan-00,8.19,8.19,7.75,7.88,52000
7-Jan-00,7.88,7.94,6.75,7.00,91500
10-Jan-00,7.12,7.38,7.12,7.25,73500
11-Jan-00,7.25,7.31,7.00,7.12,60200
12-Jan-00,7.12,7.38,7.00,7.00,58600
13-Jan-00,7.12,7.12,6.75,6.81,47600
14-Jan-00,6.75,6.88,6.56,6.69,84100
18-Jan-00,6.50,6.69,6.25,6.62,78400
19-Jan-00,6.38,6.75,6.38,6.56,33400
20-Jan-00,6.44,6.50,6.00,6.00,56000
21-Jan-00,5.88,6.06,5.75,6.00,35500
24-Jan-00,5.88,6.00,5.75,5.81,28500
25-Jan-00,5.75,6.06,5.75,6.00,25500
26-Jan-00,6.00,6.12,5.94,6.06,29000
27-Jan-00,6.06,6.12,6.06,6.12,38000
28-Jan-00,6.12,6.12,5.81,5.88,55700
31-Jan-00,5.94,6.00,5.38,5.38,55600
1-Feb-00,5.44,5.44,5.00,5.06,81200
2-Feb-00,5.06,5.06,4.88,4.88,71600
3-Feb-00,4.75,4.81,4.56,4.62,273500
4-Feb-00,4.62,4.75,4.50,4.56,86400
7-Feb-00,4.50,4.62,4.50,4.56,61500
8-Feb-00,4.56,4.81,4.50,4.62,119800
9-Feb-00,4.75,4.75,4.50,4.50,68000
10-Feb-00,4.50,4.62,4.25,4.25,132100
11-Feb-00,4.31,4.38,4.25,4.25,195600
14-Feb-00,4.31,4.62,4.31,4.62,27400
15-Feb-00,5.00,5.00,4.81,4.88,204300
16-Feb-00,4.88,5.00,4.81,4.81,91300
17-Feb-00,4.81,4.81,4.00,4.00,383200
18-Feb-00,4.12,4.19,3.88,4.00,155300
22-Feb-00,4.00,4.00,3.75,3.81,157400
23-Feb-00,3.75,3.88,3.50,3.56,195300
24-Feb-00,3.69,4.00,3.62,3.94,101900
25-Feb-00,3.94,3.94,3.12,3.44,221400
28-Feb-00,3.50,3.62,3.44,3.50,118600
29-Feb-00,3.50,3.50,3.19,3.19,228400
1-Mar-00,3.31,3.38,3.25,3.31,117100
2-Mar-00,3.12,3.44,3.06,3.06,225900
3-Mar-00,2.94,3.06,2.81,2.88,170600
6-Mar-00,2.75,2.88,2.38,2.56,286200
7-Mar-00,2.56,2.62,2.50,2.62,154800
8-Mar-00,2.75,2.75,2.56,2.62,239800
9-Mar-00,2.62,3.25,2.62,3.25,425700
10-Mar-00,3.75,4.50,3.62,4.31,483100
13-Mar-00,4.75,5.25,4.50,5.00,297800
14-Mar-00,5.19,5.50,4.38,4.44,288200
15-Mar-00,4.56,4.62,4.50,4.56,47900
16-Mar-00,4.56,4.75,4.50,4.62,202700
17-Mar-00,4.69,4.88,4.62,4.62,38900
20-Mar-00,4.69,5.00,4.56,4.69,209800
21-Mar-00,4.75,4.88,4.50,4.88,70200
22-Mar-00,4.88,4.88,4.12,4.31,88500
23-Mar-00,4.50,4.50,4.00,4.50,104600
24-Mar-00,4.50,4.50,3.88,4.06,77100
27-Mar-00,4.12,4.19,4.06,4.12,30100
28-Mar-00,4.06,4.12,3.88,3.88,23100
29-Mar-00,3.94,4.19,3.88,4.19,56900
30-Mar-00,4.06,4.12,3.88,4.00,37200
31-Mar-00,3.94,4.12,3.94,4.12,66000
3-Apr-00,4.19,4.19,4.00,4.12,35000
4-Apr-00,4.12,4.12,3.50,4.06,71800
5-Apr-00,4.12,4.25,4.00,4.12,33400
6-Apr-00,4.19,4.50,3.88,4.44,39700
7-Apr-00,4.38,4.50,4.25,4.44,42300
10-Apr-00,4.44,4.50,4.38,4.38,31200
11-Apr-00,4.38,4.44,4.25,4.31,18300
12-Apr-00,4.31,4.31,4.00,4.12,93300
13-Apr-00,4.12,4.25,4.06,4.19,43100
14-Apr-00,4.06,4.19,4.00,4.06,53800
17-Apr-00,3.94,4.12,3.75,4.12,99200
18-Apr-00,4.00,4.31,4.00,4.25,16700
19-Apr-00,4.38,4.38,4.12,4.31,23400
20-Apr-00,4.25,4.38,4.25,4.38,22600
24-Apr-00,4.38,4.38,4.12,4.12,12900
25-Apr-00,4.19,4.19,4.00,4.06,15600
26-Apr-00,4.19,4.62,4.06,4.50,77300
27-Apr-00,4.44,4.56,4.25,4.50,65900
28-Apr-00,4.44,4.50,4.19,4.19,30000
1-May-00,4.12,4.12,4.00,4.12,13600
2-May-00,4.00,4.06,4.00,4.00,29200
3-May-00,3.88,3.88,3.50,3.56,63000
4-May-00,3.69,3.69,3.50,3.50,143900
5-May-00,3.50,3.69,3.50,3.62,30400
8-May-00,3.75,3.75,3.50,3.56,11200
9-May-00,3.50,3.50,3.38,3.38,20200
10-May-00,3.38,3.44,3.25,3.25,21900
11-May-00,3.25,3.38,3.00,3.19,76500
12-May-00,3.38,3.38,3.19,3.25,89200
15-May-00,3.19,3.19,3.12,3.19,27900
16-May-00,3.19,3.19,3.06,3.06,76700
17-May-00,3.12,3.12,3.00,3.06,96900
18-May-00,3.06,3.06,2.50,2.50,161300
19-May-00,3.05,2.81,2.62,2.69,119100
22-May-00,3.04,3.19,2.81,3.19,48900
23-May-00,3.03,3.94,3.25,3.25,71200
24-May-00,3.02,3.56,3.19,3.38,55500
25-May-00,3.01,3.50,3.44,3.50,15200
26-May-00,3.0,3.75,3.25,3.62,32600
30-May-00,2.99,3.69,3.38,3.50,14000
31-May-00,2.98,3.50,3.38,3.44,28300
1-Jun-00,2.97,3.69,3.38,3.69,45500
2-Jun-00,2.96,3.75,3.62,3.62,19100
5-Jun-00,2.95,3.69,3.44,3.50,15400
6-Jun-00,2.94,3.56,3.38,3.38,41400
7-Jun-00,2.93,3.44,3.38,3.38,6400
8-Jun-00,2.92,3.38,3.06,3.06,25400
9-Jun-00,2.92,3.25,3.12,3.25,6700
12-Jun-00,2.91,3.19,3.00,3.06,26800
13-Jun-00,2.9,3.19,3.06,3.19,10800
14-Jun-00,2.89,3.12,3.06,3.06,2800
15-Jun-00,2.88,3.12,2.75,2.81,43100
16-Jun-00,2.87,2.94,2.81,2.94,28400
19-Jun-00,2.86,3.06,3.00,3.06,9600
20-Jun-00,2.85,3.25,3.00,3.25,30900
21-Jun-00,2.84,3.38,3.25,3.31,42000
22-Jun-00,2.83,3.31,3.12,3.12,28000
23-Jun-00,2.82,3.19,3.06,3.12,53300
26-Jun-00,2.81,3.25,2.75,2.88,80800
27-Jun-00,2.8,3.00,2.81,2.94,50000
28-Jun-00,2.79,3.00,2.88,2.88,61800
29-Jun-00,2.78,3.00,2.75,2.81,55900
30-Jun-00,2.77,2.81,2.12,2.12,381700
3-Jul-00,2.76,3.00,2.38,3.00,102700
5-Jul-00,2.75,3.25,2.94,3.00,97300
6-Jul-00,2.74,3.00,2.75,2.75,29200
7-Jul-00,2.73,2.88,2.75,2.88,25000
10-Jul-00,2.72,2.94,2.81,2.88,19100
11-Jul-00,2.71,3.00,2.75,2.75,36700
12-Jul-00,2.7,2.81,2.50,2.75,755500
13-Jul-00,2.69,3.00,2.75,2.81,54900
14-Jul-00,2.68,2.81,2.69,2.75,49100
17-Jul-00,2.67,2.94,2.62,2.88,28900
18-Jul-00,2.66,2.88,2.62,2.69,22400
19-Jul-00,2.65,2.62,2.62,2.62,14700
20-Jul-00,2.64,2.75,2.50,2.69,76500
21-Jul-00,2.64,2.88,2.62,2.75,13500
24-Jul-00,2.63,2.81,2.69,2.69,14700
25-Jul-00,2.62,2.81,2.69,2.81,31100
26-Jul-00,2.61,2.88,2.75,2.75,17500
27-Jul-00,2.6,2.81,2.62,2.62,49000
28-Jul-00,2.59,2.56,2.44,2.44,39700
31-Jul-00,2.58,2.56,2.38,2.38,44000
1-Aug-00,2.57,2.44,2.25,2.44,109600
2-Aug-00,2.56,2.56,2.44,2.56,26000
3-Aug-00,2.55,2.62,2.56,2.56,32600
4-Aug-00,2.54,2.44,1.88,2.00,276100
7-Aug-00,2.53,2.06,1.88,1.88,237200
8-Aug-00,2.52,1.88,1.25,1.44,834800
9-Aug-00,2.51,1.69,1.50,1.62,311200
10-Aug-00,2.5,1.81,1.62,1.69,138400
11-Aug-00,2.49,1.75,1.69,1.69,36000
14-Aug-00,2.48,1.81,1.69,1.81,75700
15-Aug-00,2.47,1.81,1.56,1.62,114000
16-Aug-00,2.46,1.62,1.56,1.56,106500
17-Aug-00,2.45,1.75,1.56,1.56,116600
18-Aug-00,2.44,1.69,1.56,1.62,74000
21-Aug-00,2.43,1.62,1.56,1.56,72900
22-Aug-00,2.42,1.62,1.56,1.62,142900
23-Aug-00,2.41,1.62,1.56,1.62,78000
24-Aug-00,2.4,1.62,1.50,1.56,62800
25-Aug-00,2.39,1.62,1.50,1.56,323800
28-Aug-00,2.38,1.81,1.69,1.75,81500
29-Aug-00,2.37,1.81,1.75,1.81,39700
30-Aug-00,2.36,2.00,1.75,1.94,74400
31-Aug-00,2.36,2.00,1.88,2.00,38800
1-Sep-00,2.35,2.00,1.81,1.88,11000
5-Sep-00,2.34,2.00,1.81,1.88,45600
6-Sep-00,2.33,2.06,1.88,1.94,71600
7-Sep-00,2.32,2.00,1.88,2.00,49200
8-Sep-00,2.31,2.06,1.94,2.00,55700
11-Sep-00,2.3,2.00,1.88,1.94,54900
12-Sep-00,2.29,2.06,1.88,2.00,77200
