Date,Open,High,Low,Close,Volume
3-Jan-00,17.81,17.81,17.25,17.31,222900
4-Jan-00,17.50,17.62,17.25,17.25,187300
5-Jan-00,17.12,17.69,17.12,17.56,308100
6-Jan-00,17.38,18.00,17.31,18.00,168200
7-Jan-00,17.94,19.06,17.88,19.00,323300
10-Jan-00,19.25,20.06,18.94,18.94,970000
11-Jan-00,19.38,19.94,18.38,18.62,206500
12-Jan-00,18.62,19.12,18.50,18.75,85100
13-Jan-00,18.75,19.25,18.75,19.19,194400
14-Jan-00,19.25,19.25,19.06,19.06,69000
18-Jan-00,19.06,19.12,18.56,18.62,160700
19-Jan-00,18.56,24.12,18.56,23.88,2397300
20-Jan-00,24.44,24.50,22.31,23.81,1005600
21-Jan-00,24.25,24.25,23.38,23.38,952800
24-Jan-00,24.44,28.00,23.75,24.19,853400
25-Jan-00,25.38,25.38,23.31,23.94,253400
26-Jan-00,24.06,24.56,24.06,24.50,363200
27-Jan-00,24.50,25.25,23.75,23.88,276200
28-Jan-00,23.88,23.88,22.31,23.00,222300
31-Jan-00,23.00,23.00,21.88,22.56,192200
1-Feb-00,22.81,24.25,21.88,24.12,291600
2-Feb-00,24.38,24.50,23.81,23.81,325100
3-Feb-00,23.62,23.69,23.19,23.56,167100
4-Feb-00,24.00,24.62,24.00,24.00,208000
7-Feb-00,24.06,24.06,22.56,22.81,126400
8-Feb-00,22.94,23.62,22.94,23.25,110600
9-Feb-00,23.12,23.12,21.88,22.06,108500
10-Feb-00,22.19,22.75,21.69,22.25,128200
11-Feb-00,22.12,22.19,21.06,21.12,104500
14-Feb-00,21.31,22.19,20.56,21.94,232200
15-Feb-00,21.88,22.19,21.56,21.81,93300
16-Feb-00,20.62,21.62,20.62,21.62,109200
17-Feb-00,21.00,21.00,19.75,20.06,430800
18-Feb-00,19.81,20.00,19.62,19.88,323600
22-Feb-00,19.94,20.06,19.56,20.00,305400
23-Feb-00,18.62,19.56,16.56,16.56,870400
24-Feb-00,16.44,16.44,13.50,14.38,1074300
25-Feb-00,14.00,14.88,12.50,14.00,2010100
28-Feb-00,14.25,15.25,13.56,15.12,717300
29-Feb-00,15.06,15.56,14.75,15.25,361300
1-Mar-00,15.21,16.00,15.50,15.50,1054000
2-Mar-00,15.36,16.19,15.69,15.88,508500
3-Mar-00,15.51,16.00,15.44,15.69,332400
6-Mar-00,15.66,15.94,14.94,15.31,305300
7-Mar-00,15.81,15.81,14.94,15.06,282200
8-Mar-00,15.31,15.69,14.50,15.31,274100
9-Mar-00,15.31,15.81,14.88,15.44,384100
10-Mar-00,15.50,15.62,15.38,15.38,523600
13-Mar-00,15.12,15.12,14.06,14.19,385400
14-Mar-00,14.62,14.94,14.06,14.19,423900
15-Mar-00,14.31,14.62,13.88,14.62,405700
16-Mar-00,14.81,15.25,14.56,14.88,409400
17-Mar-00,14.00,16.31,13.94,15.62,478700
20-Mar-00,15.69,16.06,15.12,15.12,182200
21-Mar-00,14.75,15.00,14.31,14.88,141300
22-Mar-00,15.00,16.06,14.94,15.44,159100
23-Mar-00,15.56,16.44,15.56,15.62,174200
24-Mar-00,15.88,16.94,15.88,16.88,325500
27-Mar-00,17.00,17.25,16.00,16.12,224000
28-Mar-00,16.44,17.06,16.38,16.44,152300
29-Mar-00,16.31,16.75,16.00,16.31,540100
30-Mar-00,16.44,16.44,15.75,16.00,202200
31-Mar-00,15.94,16.81,13.00,13.19,1108100
3-Apr-00,12.75,12.88,11.25,12.12,1976800
4-Apr-00,12.50,12.62,12.00,12.50,537600
5-Apr-00,12.56,12.94,12.38,12.62,393900
6-Apr-00,12.62,12.81,12.44,12.56,258900
7-Apr-00,12.62,12.88,12.56,12.62,133500
10-Apr-00,13.25,13.25,12.50,12.56,173200
11-Apr-00,12.56,12.88,12.50,12.56,239300
12-Apr-00,12.69,12.81,12.50,12.56,114100
13-Apr-00,12.50,12.81,12.44,12.75,274300
14-Apr-00,12.62,12.69,12.19,12.44,137300
17-Apr-00,12.31,12.44,12.25,12.38,288300
18-Apr-00,12.50,14.69,12.19,14.69,623900
19-Apr-00,14.44,14.69,13.50,13.69,728500
20-Apr-00,13.62,13.62,13.06,13.25,270400
24-Apr-00,13.38,13.38,12.75,12.94,219600
25-Apr-00,12.75,13.31,12.69,13.25,153500
26-Apr-00,13.38,13.44,12.94,13.06,133800
27-Apr-00,13.06,13.06,12.75,12.88,188300
28-Apr-00,13.00,13.56,13.00,13.19,334000
1-May-00,13.25,13.44,13.00,13.06,382900
2-May-00,13.19,13.19,13.06,13.12,216700
3-May-00,13.06,13.12,12.12,12.31,96200
4-May-00,12.69,13.50,12.62,13.12,255500
5-May-00,13.12,13.19,13.00,13.12,95300
8-May-00,13.62,13.75,13.12,13.19,218500
9-May-00,13.44,13.94,13.12,13.94,133800
10-May-00,13.62,13.69,12.81,13.25,114600
11-May-00,13.38,13.88,13.38,13.56,70200
12-May-00,13.69,14.19,12.25,12.81,244900
15-May-00,13.31,13.50,13.00,13.44,89700
16-May-00,13.50,13.75,13.38,13.62,108200
17-May-00,13.62,14.00,13.38,14.00,195800
18-May-00,13.88,14.44,13.88,14.25,140000
19-May-00,14.25,14.44,14.12,14.25,219200
22-May-00,14.25,14.25,13.62,13.94,82400
23-May-00,13.69,14.19,13.38,13.44,79400
24-May-00,13.56,13.56,12.12,12.25,123100
25-May-00,12.38,12.75,12.00,12.19,92900
26-May-00,12.19,12.62,12.06,12.50,84900
30-May-00,12.62,12.81,12.38,12.69,44400
31-May-00,12.56,12.69,12.25,12.25,51000
1-Jun-00,12.31,12.50,12.31,12.50,113100
2-Jun-00,13.06,13.44,12.56,13.38,156800
5-Jun-00,13.50,13.50,13.00,13.31,161500
6-Jun-00,13.19,13.25,12.94,13.19,35300
7-Jun-00,13.06,13.31,12.94,13.31,33700
8-Jun-00,13.31,13.31,12.75,13.12,98700
9-Jun-00,13.25,13.25,12.88,13.12,39000
12-Jun-00,13.19,13.19,12.81,12.88,27700
13-Jun-00,13.00,13.00,12.56,12.94,70700
14-Jun-00,13.00,13.50,12.94,13.25,101700
15-Jun-00,13.25,13.44,13.19,13.44,95100
16-Jun-00,13.44,13.44,13.31,13.38,202500
19-Jun-00,13.44,13.44,13.06,13.19,53700
20-Jun-00,13.25,13.25,12.81,12.81,123200
21-Jun-00,12.81,12.81,12.25,12.69,141200
22-Jun-00,12.62,12.81,12.38,12.50,79200
23-Jun-00,12.50,12.50,12.00,12.31,122800
26-Jun-00,12.44,12.44,12.00,12.12,48100
27-Jun-00,12.06,12.25,11.97,12.00,117800
28-Jun-00,12.25,12.44,12.00,12.31,193500
29-Jun-00,12.38,12.69,12.25,12.69,87600
30-Jun-00,12.56,13.19,12.56,13.06,91400
3-Jul-00,13.19,13.75,13.06,13.75,126500
5-Jul-00,13.44,13.88,13.31,13.88,107800
6-Jul-00,14.12,15.94,14.12,15.75,324600
7-Jul-00,15.75,16.50,15.38,16.44,239200
10-Jul-00,16.44,16.44,15.75,16.00,228900
11-Jul-00,16.00,16.50,16.00,16.25,172300
12-Jul-00,16.25,16.50,16.06,16.19,61500
13-Jul-00,16.12,16.25,16.00,16.19,84800
14-Jul-00,16.25,16.56,16.12,16.31,161500
17-Jul-00,16.44,16.44,15.50,15.88,77800
18-Jul-00,16.00,16.06,15.50,15.50,51500
19-Jul-00,15.62,15.62,15.19,15.25,80600
20-Jul-00,15.38,15.56,15.31,15.44,25400
21-Jul-00,15.69,15.75,15.12,15.44,52300
24-Jul-00,15.88,16.06,15.44,15.75,113400
25-Jul-00,16.00,16.00,14.38,14.88,131900
26-Jul-00,14.75,15.25,13.62,15.25,173500
27-Jul-00,15.38,15.88,15.00,15.25,192900
28-Jul-00,15.31,15.31,14.44,14.44,134700
31-Jul-00,14.56,14.75,14.00,14.06,190000
1-Aug-00,14.19,15.19,14.19,14.94,198600
2-Aug-00,14.75,14.88,14.25,14.38,263500
3-Aug-00,14.38,14.38,13.38,13.50,201000
4-Aug-00,13.19,13.62,12.88,13.62,357100
7-Aug-00,13.50,13.50,13.19,13.50,103300
8-Aug-00,13.50,13.50,13.00,13.12,113000
9-Aug-00,13.12,13.19,13.00,13.19,83000
10-Aug-00,13.31,13.31,12.75,12.88,73900
11-Aug-00,13.06,13.06,12.50,12.75,103100
14-Aug-00,12.88,13.44,12.88,13.44,208900
15-Aug-00,13.38,13.81,13.12,13.12,180100
16-Aug-00,13.25,13.44,13.25,13.44,48300
17-Aug-00,13.44,13.44,13.19,13.25,44100
18-Aug-00,13.12,13.25,13.12,13.19,58100
21-Aug-00,13.19,13.19,13.06,13.12,59600
22-Aug-00,13.12,13.12,12.62,12.81,85300
23-Aug-00,12.88,12.94,12.50,12.81,99400
24-Aug-00,12.81,12.88,12.56,12.88,62800
25-Aug-00,13.00,13.44,13.00,13.19,132000
28-Aug-00,13.09,13.25,13.06,13.12,92000
29-Aug-00,13.19,13.38,13.12,13.12,134900
30-Aug-00,13.25,13.25,13.00,13.12,131600
31-Aug-00,13.25,13.75,13.00,13.62,232800
1-Sep-00,13.75,13.94,13.62,13.62,87800
5-Sep-00,13.69,13.94,13.62,13.94,115200
6-Sep-00,13.94,14.00,13.62,13.88,133900
7-Sep-00,13.88,13.94,13.50,13.56,123600
8-Sep-00,13.56,13.69,13.38,13.50,441500
11-Sep-00,13.62,13.94,13.62,13.69,111900
12-Sep-00,13.62,15.19,13.62,14.88,306500
13-Sep-00,14.88,15.00,14.06,14.12,370600
14-Sep-00,14.38,14.81,14.31,14.31,94100
15-Sep-00,13.88,14.50,13.88,13.94,142300
18-Sep-00,14.00,14.00,13.00,13.06,234500
