Date,Open,High,Low,Close,Volume
22-Aug-14,8.39,8.86,8.34,8.82,1165496
21-Aug-14,8.47,8.52,8.28,8.41,685732
20-Aug-14,8.47,8.53,8.36,8.45,651163
19-Aug-14,8.45,8.54,8.41,8.49,518376
18-Aug-14,8.40,8.46,8.37,8.45,687062
15-Aug-14,8.50,8.56,8.32,8.35,708756
14-Aug-14,8.36,8.45,8.22,8.41,600314
13-Aug-14,8.30,8.52,8.28,8.35,1014579
12-Aug-14,8.43,8.58,8.22,8.30,855988
11-Aug-14,8.49,8.57,8.46,8.49,968848
8-Aug-14,8.48,8.52,8.36,8.44,1110752
7-Aug-14,8.69,8.69,8.39,8.44,1163054
6-Aug-14,8.63,8.72,8.55,8.63,1297487
5-Aug-14,8.55,8.84,8.54,8.72,1023487
4-Aug-14,8.69,8.78,8.44,8.65,1582620
1-Aug-14,8.40,8.75,8.32,8.64,1601763
31-Jul-14,8.34,8.64,8.32,8.40,1577165
30-Jul-14,8.28,8.58,8.18,8.46,2398673
29-Jul-14,8.75,8.80,7.95,8.40,4092391
28-Jul-14,9.64,9.69,9.45,9.62,689042
25-Jul-14,9.88,9.90,9.55,9.58,710868
24-Jul-14,10.00,10.08,9.92,9.97,1593928
23-Jul-14,9.91,9.99,9.83,9.96,487406
22-Jul-14,9.79,10.00,9.78,9.91,527286
21-Jul-14,9.70,9.82,9.49,9.73,406528
18-Jul-14,9.51,9.81,9.50,9.78,612088
17-Jul-14,9.57,9.62,9.31,9.54,572546
16-Jul-14,9.76,9.77,9.34,9.60,1524514
15-Jul-14,9.89,9.95,9.68,9.70,640001
14-Jul-14,10.00,10.03,9.86,9.90,448497
11-Jul-14,10.07,10.09,9.86,9.88,701412
10-Jul-14,9.94,10.18,9.87,10.08,1125617
9-Jul-14,10.21,10.29,10.13,10.17,489651
8-Jul-14,10.37,10.45,10.17,10.18,1090971
7-Jul-14,10.40,10.44,10.20,10.41,836935
3-Jul-14,10.45,10.60,10.32,10.46,479519
2-Jul-14,10.59,10.72,10.41,10.43,494801
1-Jul-14,10.51,10.71,10.48,10.59,1065686
30-Jun-14,10.40,10.48,10.22,10.46,702565
27-Jun-14,10.21,10.44,10.21,10.39,983851
26-Jun-14,10.19,10.26,10.02,10.21,623957
25-Jun-14,10.13,10.32,10.13,10.21,767109
24-Jun-14,10.24,10.62,10.15,10.15,1025731
23-Jun-14,10.27,10.42,10.21,10.29,598664
20-Jun-14,10.35,10.43,10.23,10.23,1193880
19-Jun-14,10.59,10.61,10.19,10.35,1478942
18-Jun-14,10.60,10.70,10.46,10.58,662434
17-Jun-14,10.30,10.66,10.26,10.61,892734
16-Jun-14,10.38,10.44,10.10,10.30,917103
13-Jun-14,10.44,10.44,10.28,10.37,457375
12-Jun-14,10.54,10.54,10.37,10.38,365249
11-Jun-14,10.48,10.58,10.28,10.54,617583
10-Jun-14,10.70,10.71,10.50,10.54,451758
9-Jun-14,10.77,10.81,10.65,10.77,723343
6-Jun-14,10.64,10.88,10.63,10.77,619730
5-Jun-14,10.32,10.62,10.20,10.58,844732
4-Jun-14,10.30,10.37,10.24,10.28,420159
3-Jun-14,10.42,10.49,10.21,10.33,626639
2-Jun-14,10.45,10.53,10.28,10.48,522193
30-May-14,10.54,10.63,10.31,10.45,647318
29-May-14,10.50,10.55,10.36,10.53,520319
28-May-14,10.52,10.58,10.38,10.45,460379
27-May-14,10.51,10.70,10.48,10.58,718466
