Date,Open,High,Low,Close,Volume
22-Aug-14,18.53,18.56,18.38,18.39,387621
21-Aug-14,18.44,18.56,18.30,18.54,192796
20-Aug-14,18.42,18.58,18.30,18.45,484532
19-Aug-14,18.53,18.64,18.43,18.44,916945
18-Aug-14,18.64,18.70,18.47,18.48,352420
15-Aug-14,18.68,18.74,18.32,18.52,646234
14-Aug-14,18.28,18.59,18.23,18.52,603036
13-Aug-14,18.09,18.30,18.03,18.19,216316
12-Aug-14,18.42,18.46,17.91,18.02,165126
11-Aug-14,18.37,18.60,18.29,18.42,228980
8-Aug-14,18.01,18.28,17.98,18.22,266915
7-Aug-14,18.49,18.57,17.99,18.03,690309
6-Aug-14,18.20,18.53,18.11,18.35,250185
5-Aug-14,18.15,18.44,18.02,18.32,798163
4-Aug-14,18.01,18.18,17.91,18.17,1583434
1-Aug-14,17.75,18.01,17.73,17.99,996740
31-Jul-14,17.76,17.90,17.47,17.75,2158154
30-Jul-14,17.95,18.12,17.75,17.96,268499
29-Jul-14,17.99,18.18,17.90,17.90,1357454
28-Jul-14,17.82,18.01,17.61,18.00,328869
25-Jul-14,17.89,18.00,17.75,17.84,323839
24-Jul-14,18.27,18.47,18.00,18.01,1026119
23-Jul-14,18.37,18.39,18.17,18.29,261007
22-Jul-14,18.53,18.64,18.30,18.37,325794
21-Jul-14,18.35,18.49,18.23,18.46,182835
18-Jul-14,18.21,19.07,18.21,18.41,778850
17-Jul-14,18.27,18.34,18.23,18.27,566106
16-Jul-14,18.32,18.40,18.22,18.34,369545
15-Jul-14,18.32,18.37,18.07,18.24,563642
14-Jul-14,18.38,18.50,18.23,18.30,298388
11-Jul-14,17.92,18.36,17.91,18.27,584483
10-Jul-14,17.95,18.20,17.59,17.98,1021770
9-Jul-14,18.35,18.48,18.02,18.42,432425
8-Jul-14,18.75,18.78,18.31,18.36,681712
7-Jul-14,18.96,18.97,18.71,18.75,417937
3-Jul-14,18.96,19.04,18.88,19.00,194941
2-Jul-14,19.02,19.23,18.85,18.89,500515
1-Jul-14,19.21,19.32,18.99,19.01,525699
30-Jun-14,19.06,19.13,18.94,19.10,363811
27-Jun-14,18.94,19.16,18.91,19.09,635241
26-Jun-14,19.01,19.12,18.93,19.00,253277
25-Jun-14,19.01,19.11,18.90,19.02,280162
24-Jun-14,19.45,19.68,19.13,19.14,390856
23-Jun-14,19.73,19.77,19.35,19.44,404350
20-Jun-14,19.38,19.57,19.34,19.51,760587
19-Jun-14,19.37,19.50,19.26,19.33,166185
18-Jun-14,19.22,19.35,19.05,19.32,172999
17-Jun-14,19.14,19.33,19.02,19.25,856486
16-Jun-14,19.22,19.28,19.05,19.23,194226
13-Jun-14,19.12,19.24,19.04,19.21,156332
12-Jun-14,19.34,19.39,19.00,19.11,266392
11-Jun-14,19.58,19.68,19.34,19.39,300518
10-Jun-14,19.41,19.71,19.41,19.69,369385
9-Jun-14,19.20,19.50,19.20,19.34,411658
6-Jun-14,19.09,19.30,19.03,19.22,319322
5-Jun-14,18.69,19.02,18.64,19.00,410601
4-Jun-14,18.46,18.63,18.40,18.61,252322
3-Jun-14,18.57,18.76,18.44,18.50,301185
2-Jun-14,18.69,18.76,18.44,18.64,348331
30-May-14,18.78,18.90,18.61,18.61,321362
29-May-14,18.98,18.98,18.78,18.83,213195
28-May-14,18.91,18.99,18.74,18.89,286736
27-May-14,18.67,19.22,18.55,18.96,547504
23-May-14,18.63,18.90,18.42,18.86,641148
22-May-14,18.13,18.69,18.11,18.60,3411271
21-May-14,18.06,18.18,17.94,18.14,445311
20-May-14,18.00,18.09,17.94,18.02,1406714
19-May-14,17.82,18.13,17.70,18.00,2332499
16-May-14,17.66,17.90,17.64,17.89,455902
15-May-14,17.64,17.76,17.50,17.71,466868
14-May-14,17.98,18.06,17.67,17.75,460524
13-May-14,18.06,18.23,17.84,17.96,308422
12-May-14,17.80,18.22,17.80,18.05,557198
9-May-14,17.45,17.78,17.41,17.70,580916
8-May-14,17.63,17.78,17.47,17.50,999619
7-May-14,17.59,17.72,17.40,17.59,733812
6-May-14,17.73,17.83,17.49,17.60,839006
5-May-14,17.59,17.88,17.43,17.78,440547
2-May-14,17.65,18.06,17.57,17.66,436338
1-May-14,17.59,17.74,17.33,17.59,710779
30-Apr-14,17.35,17.57,17.23,17.56,1763575
29-Apr-14,17.68,17.86,17.32,17.45,478779
28-Apr-14,17.57,17.86,17.40,17.53,1547448
25-Apr-14,17.41,17.55,17.30,17.50,723116
24-Apr-14,17.46,17.54,17.23,17.51,542643
23-Apr-14,17.30,17.38,17.17,17.32,1522061
22-Apr-14,17.17,17.51,17.17,17.30,389349
21-Apr-14,17.23,17.29,17.09,17.17,249867
17-Apr-14,17.33,17.50,17.11,17.21,768099
16-Apr-14,16.92,17.38,16.92,17.34,786360
15-Apr-14,16.94,16.94,16.32,16.76,713239
14-Apr-14,17.25,17.39,16.80,16.94,406214
11-Apr-14,17.30,17.50,17.10,17.12,406217
10-Apr-14,17.65,17.81,17.32,17.35,494692
9-Apr-14,17.38,17.76,17.24,17.68,539058
8-Apr-14,17.25,17.45,17.19,17.33,449472
7-Apr-14,17.17,17.41,17.10,17.27,686034
4-Apr-14,17.84,17.95,17.24,17.25,484872
3-Apr-14,18.28,18.31,17.61,17.77,614403
2-Apr-14,18.73,18.80,18.30,18.36,587593
1-Apr-14,18.27,19.04,18.06,18.71,745777
31-Mar-14,18.16,18.83,17.18,18.27,1227233
28-Mar-14,18.37,18.79,18.36,18.60,315600
27-Mar-14,18.35,18.63,18.06,18.34,401549
26-Mar-14,19.08,19.13,18.39,18.41,443858
25-Mar-14,19.14,19.37,18.88,18.95,283890
24-Mar-14,19.37,19.37,18.83,19.01,290298
21-Mar-14,19.49,19.49,19.31,19.36,436608
20-Mar-14,19.32,19.58,19.23,19.37,202113
19-Mar-14,19.60,19.69,19.29,19.40,363158
18-Mar-14,19.25,19.60,19.25,19.60,302107
17-Mar-14,19.14,19.39,19.05,19.22,859157
14-Mar-14,18.57,19.15,18.33,19.00,653511
13-Mar-14,19.00,19.03,18.44,18.65,912592
12-Mar-14,19.00,19.03,18.77,18.95,259738
11-Mar-14,19.33,19.46,19.09,19.11,402435
10-Mar-14,19.30,19.45,19.20,19.36,753061
7-Mar-14,19.57,19.58,19.25,19.32,295484
6-Mar-14,19.29,19.55,19.23,19.41,300294
5-Mar-14,19.43,19.58,19.21,19.23,277264
4-Mar-14,19.17,19.54,19.16,19.46,576391
3-Mar-14,18.51,18.94,18.27,18.90,1166381
28-Feb-14,18.94,19.09,18.58,18.63,546319
27-Feb-14,18.77,19.02,18.76,18.90,405971
26-Feb-14,18.70,18.95,18.65,18.73,253920
25-Feb-14,18.90,19.02,18.66,18.68,213365
24-Feb-14,19.00,19.21,18.89,18.90,340364
21-Feb-14,19.04,19.10,18.95,19.01,1254209
20-Feb-14,18.90,19.07,18.89,19.00,595613
19-Feb-14,18.74,19.02,18.74,18.84,404517
18-Feb-14,18.87,19.00,18.71,18.80,418470
14-Feb-14,18.44,18.83,18.36,18.80,767208
13-Feb-14,17.95,18.40,17.94,18.40,406573
12-Feb-14,17.91,18.16,17.91,18.06,510757
11-Feb-14,17.84,17.99,17.70,17.83,455082
10-Feb-14,17.96,18.12,17.66,17.74,570951
7-Feb-14,17.34,17.97,17.26,17.91,677617
6-Feb-14,16.75,17.03,16.61,16.97,252972
5-Feb-14,16.42,16.71,16.25,16.59,279851
4-Feb-14,16.44,16.72,16.38,16.48,295839
3-Feb-14,17.03,17.12,16.34,16.40,450231
31-Jan-14,16.62,17.16,16.59,17.02,269242
30-Jan-14,16.92,17.05,16.65,16.90,304528
29-Jan-14,16.99,17.10,16.75,16.81,336561
28-Jan-14,16.93,17.25,16.90,17.19,406085
27-Jan-14,17.18,17.22,16.87,16.93,495946
24-Jan-14,17.50,17.52,17.18,17.19,893444
23-Jan-14,17.63,17.77,17.57,17.60,265178
22-Jan-14,17.72,17.76,17.60,17.65,1895064
21-Jan-14,17.90,17.97,17.58,17.71,268259
17-Jan-14,17.98,18.12,17.72,17.83,186777
16-Jan-14,18.08,18.09,17.90,18.05,417937
15-Jan-14,18.03,18.40,18.01,18.17,358833
14-Jan-14,18.01,18.19,17.87,17.93,380758
13-Jan-14,17.98,18.11,17.86,17.98,376925
10-Jan-14,17.97,18.16,17.90,18.07,428399
9-Jan-14,17.87,18.05,17.70,17.94,617497
8-Jan-14,17.79,17.82,17.65,17.77,261878
7-Jan-14,17.73,17.85,17.69,17.77,347763
6-Jan-14,17.80,17.81,17.65,17.67,317777
3-Jan-14,17.78,17.93,17.75,17.79,223062
2-Jan-14,18.00,18.04,17.64,17.79,417292
31-Dec-13,17.96,18.25,17.90,18.02,405369
30-Dec-13,17.94,18.13,17.93,17.99,324879
27-Dec-13,17.92,18.02,17.83,18.00,280846
26-Dec-13,18.02,18.12,17.82,17.93,164447
24-Dec-13,17.97,18.04,17.83,17.91,72243
23-Dec-13,17.92,18.10,17.75,17.94,247848
20-Dec-13,17.66,17.86,17.56,17.83,778052
19-Dec-13,17.64,17.87,17.52,17.64,211590
18-Dec-13,17.41,17.69,17.35,17.65,260741
17-Dec-13,17.44,17.47,17.29,17.41,288134
16-Dec-13,16.97,17.47,16.97,17.40,392944
13-Dec-13,16.81,16.98,16.60,16.90,1661339
12-Dec-13,16.78,16.87,16.68,16.73,274618
11-Dec-13,17.27,17.41,16.69,16.77,522462
10-Dec-13,17.78,17.89,17.25,17.28,556733
9-Dec-13,17.79,17.92,17.78,17.86,293835
6-Dec-13,17.77,17.89,17.70,17.78,242490
5-Dec-13,17.54,17.76,17.44,17.57,2292426
4-Dec-13,17.70,17.97,17.36,17.56,478802
3-Dec-13,17.85,18.18,17.63,17.80,483846
2-Dec-13,18.38,18.44,18.00,18.01,420970
29-Nov-13,18.41,18.50,18.22,18.34,178632
27-Nov-13,18.18,18.41,18.11,18.35,325877
26-Nov-13,18.10,18.28,18.04,18.10,375471
25-Nov-13,17.74,18.10,17.62,18.06,390395
22-Nov-13,17.60,17.73,17.47,17.66,502229
21-Nov-13,17.29,17.59,17.21,17.58,341392
20-Nov-13,17.24,17.29,17.11,17.20,670005
19-Nov-13,17.52,17.55,17.10,17.21,824440
18-Nov-13,17.78,17.80,17.42,17.52,416771
15-Nov-13,17.65,17.76,17.55,17.69,434120
14-Nov-13,17.64,17.70,17.36,17.62,260053
13-Nov-13,17.46,17.72,17.34,17.69,415621
12-Nov-13,17.48,17.65,17.34,17.52,311711
11-Nov-13,17.55,17.74,17.46,17.54,351241
8-Nov-13,17.21,17.63,17.17,17.53,608886
7-Nov-13,17.37,17.45,17.08,17.14,366191
6-Nov-13,17.19,17.27,16.83,17.25,426173
5-Nov-13,16.88,17.12,16.74,17.04,244006
4-Nov-13,16.76,17.06,16.72,16.92,245748
1-Nov-13,16.78,17.01,16.66,16.76,856221
31-Oct-13,16.93,17.07,16.79,16.80,263071
30-Oct-13,17.16,17.19,16.85,16.92,478406
29-Oct-13,16.78,17.12,16.74,17.11,415674
28-Oct-13,16.62,16.76,16.52,16.75,406333
25-Oct-13,16.09,16.62,16.02,16.59,611712
24-Oct-13,15.48,16.02,15.45,16.01,505871
23-Oct-13,15.38,15.53,15.31,15.47,312985
22-Oct-13,15.50,15.55,15.27,15.42,641164
21-Oct-13,15.74,15.77,15.43,15.44,448858
18-Oct-13,15.68,15.82,15.41,15.70,569794
17-Oct-13,15.10,15.56,15.00,15.55,1395591
16-Oct-13,16.39,16.42,15.07,15.19,6164099
15-Oct-13,16.55,16.79,16.44,16.63,316295
14-Oct-13,16.73,16.79,16.55,16.64,280145
11-Oct-13,16.26,16.85,16.14,16.84,394893
10-Oct-13,15.92,16.33,15.84,16.32,360588
9-Oct-13,15.54,16.02,15.48,15.71,573511
8-Oct-13,15.45,15.64,15.31,15.49,645999
7-Oct-13,15.57,15.57,15.29,15.42,728254
4-Oct-13,15.70,15.94,15.65,15.67,229800
3-Oct-13,16.08,16.24,15.53,15.72,803761
2-Oct-13,16.10,16.33,15.96,16.07,329199
1-Oct-13,16.10,16.47,16.01,16.27,1282871
30-Sep-13,16.00,16.15,15.82,16.03,387641
27-Sep-13,16.21,16.44,16.19,16.20,174918
26-Sep-13,16.16,16.33,16.10,16.26,230633
25-Sep-13,16.46,16.48,16.15,16.15,374467
24-Sep-13,16.40,16.58,16.25,16.44,985172
23-Sep-13,16.75,16.75,16.26,16.40,380839
20-Sep-13,16.89,16.90,16.71,16.77,392502
19-Sep-13,16.81,16.95,16.75,16.80,281120
18-Sep-13,16.41,16.79,16.25,16.75,1554697
17-Sep-13,16.05,16.44,16.00,16.41,358202
16-Sep-13,16.31,16.40,16.04,16.07,341078
13-Sep-13,16.00,16.23,15.89,16.15,323893
12-Sep-13,15.62,15.98,15.62,15.91,339346
11-Sep-13,15.57,15.74,15.55,15.66,1556858
10-Sep-13,15.51,15.67,15.42,15.64,381093
9-Sep-13,15.34,15.50,15.33,15.43,272284
6-Sep-13,15.50,15.59,15.13,15.31,217143
5-Sep-13,15.46,15.52,15.35,15.47,178422
4-Sep-13,15.51,15.68,15.44,15.46,403811
3-Sep-13,15.27,15.68,15.27,15.51,530154
30-Aug-13,15.08,15.15,14.98,15.07,392116
29-Aug-13,14.88,15.31,14.83,15.11,1534406
28-Aug-13,14.90,15.06,14.81,14.88,450374
27-Aug-13,15.26,15.33,14.81,14.91,758266
26-Aug-13,15.59,15.70,15.32,15.39,408605
23-Aug-13,15.65,15.75,15.51,15.61,196119
22-Aug-13,15.75,15.90,15.57,15.61,227483
21-Aug-13,15.75,15.81,15.55,15.67,230765
20-Aug-13,15.71,16.02,15.62,15.83,455495
19-Aug-13,15.87,15.91,15.71,15.71,302349
16-Aug-13,15.82,16.02,15.74,15.87,488310
15-Aug-13,16.08,16.17,15.84,15.90,359704
14-Aug-13,16.25,16.31,16.11,16.23,277755
13-Aug-13,16.18,16.29,15.98,16.25,375539
12-Aug-13,16.23,16.24,15.82,16.20,1096409
9-Aug-13,16.75,16.78,16.30,16.39,653157
8-Aug-13,16.86,17.06,16.73,16.75,401184
7-Aug-13,17.00,17.01,16.59,16.80,682979
6-Aug-13,17.25,17.35,16.96,17.00,554474
5-Aug-13,17.47,17.47,17.07,17.25,865341
2-Aug-13,17.09,17.51,17.02,17.50,387706
1-Aug-13,17.67,17.67,16.88,17.14,963402
31-Jul-13,17.63,17.65,17.38,17.51,398558
30-Jul-13,17.49,17.66,17.40,17.63,452680
29-Jul-13,17.39,17.62,17.39,17.46,358138
26-Jul-13,17.31,17.49,17.22,17.49,404739
25-Jul-13,17.30,17.76,17.16,17.35,508820
24-Jul-13,16.99,17.49,16.97,17.31,703532
23-Jul-13,16.91,16.95,16.73,16.89,285467
22-Jul-13,16.99,17.16,16.88,16.90,144538
19-Jul-13,17.18,17.18,16.90,17.01,272706
18-Jul-13,16.96,17.24,16.87,17.17,290442
17-Jul-13,16.92,17.00,16.67,16.96,797626
16-Jul-13,17.00,17.06,16.73,16.85,451403
15-Jul-13,17.08,17.15,16.88,17.00,347397
12-Jul-13,16.84,17.09,16.73,17.01,751957
11-Jul-13,16.96,17.08,16.75,16.80,733394
10-Jul-13,16.70,16.81,16.16,16.75,660283
9-Jul-13,17.04,17.25,16.60,16.79,918003
8-Jul-13,17.19,17.48,16.74,16.88,833701
5-Jul-13,16.85,17.10,16.77,17.09,314903
3-Jul-13,16.75,16.84,16.47,16.68,214214
2-Jul-13,16.98,17.22,16.68,16.79,1952003
1-Jul-13,16.30,17.08,16.30,16.96,930216
28-Jun-13,16.44,16.72,16.17,16.26,1536441
27-Jun-13,16.17,16.62,16.10,16.52,627916
26-Jun-13,15.90,16.15,15.87,16.10,555403
25-Jun-13,15.78,15.88,15.65,15.75,543806
24-Jun-13,16.10,16.20,15.34,15.58,1380398
21-Jun-13,16.25,16.38,15.94,16.30,1004261
20-Jun-13,16.36,16.44,16.14,16.22,841057
19-Jun-13,16.60,16.85,16.51,16.60,2189186
18-Jun-13,16.09,16.91,16.02,16.56,1969802
17-Jun-13,15.54,16.00,15.49,15.96,996431
14-Jun-13,15.47,15.52,15.15,15.29,785893
13-Jun-13,15.29,15.61,15.20,15.46,998937
12-Jun-13,15.29,15.49,14.92,15.29,809682
11-Jun-13,14.70,15.35,14.50,15.15,1314405
10-Jun-13,14.45,15.12,14.30,14.76,1380109
7-Jun-13,13.87,14.43,13.78,14.37,1030358
6-Jun-13,13.53,13.78,13.49,13.74,729566
5-Jun-13,13.42,13.66,13.40,13.48,761602
4-Jun-13,13.65,13.77,13.47,13.47,820046
3-Jun-13,13.68,13.80,13.54,13.64,934038
31-May-13,13.78,13.86,13.68,13.68,591033
30-May-13,13.83,13.98,13.81,13.89,570583
29-May-13,13.77,13.92,13.61,13.83,748236
28-May-13,13.91,13.96,13.79,13.85,743856
24-May-13,13.68,13.78,13.55,13.74,276711
23-May-13,13.52,13.81,13.40,13.73,375905
22-May-13,13.80,13.87,13.58,13.67,634769
21-May-13,13.85,13.93,13.71,13.81,477308
20-May-13,13.83,13.93,13.78,13.84,939764
17-May-13,13.80,13.89,13.68,13.86,712519
16-May-13,13.84,13.85,13.76,13.79,781486
15-May-13,13.82,13.95,13.81,13.87,485105
14-May-13,13.79,13.97,13.76,13.89,1385968
13-May-13,13.86,13.89,13.69,13.81,335724
10-May-13,13.73,13.90,13.69,13.87,370477
9-May-13,13.80,13.83,13.54,13.69,673119
8-May-13,13.70,13.82,13.63,13.79,539938
7-May-13,13.56,13.71,13.44,13.69,615277
6-May-13,13.44,13.67,13.39,13.50,575107
3-May-13,13.45,13.61,13.41,13.47,468921
2-May-13,13.01,13.35,12.96,13.32,844502
1-May-13,13.01,13.07,12.87,12.94,607914
30-Apr-13,12.97,13.09,12.83,13.07,399327
29-Apr-13,13.11,13.17,13.00,13.01,710669
26-Apr-13,13.15,13.22,12.95,13.06,753924
25-Apr-13,13.15,13.36,13.03,13.15,669505
24-Apr-13,12.77,13.25,12.77,13.12,1140591
23-Apr-13,12.51,12.88,12.51,12.76,495884
22-Apr-13,12.43,12.45,12.15,12.40,759676
19-Apr-13,12.20,12.45,12.12,12.43,517115
18-Apr-13,12.32,12.34,12.06,12.19,896373
17-Apr-13,12.48,12.48,12.12,12.35,1684817
16-Apr-13,12.69,12.73,12.48,12.59,770674
15-Apr-13,12.90,12.94,12.34,12.57,1370130
12-Apr-13,13.16,13.21,12.94,12.97,733977
11-Apr-13,13.29,13.43,13.17,13.23,714222
10-Apr-13,13.29,13.55,13.05,13.34,1391455
9-Apr-13,13.49,13.53,13.05,13.23,1339019
8-Apr-13,13.50,13.72,13.42,13.56,1131094
5-Apr-13,13.20,13.83,13.20,13.69,1351387
4-Apr-13,13.72,13.87,13.66,13.83,682147
3-Apr-13,13.77,13.80,13.46,13.69,1035497
2-Apr-13,13.64,13.69,13.38,13.68,2157686
1-Apr-13,13.65,13.65,13.23,13.50,1335169
28-Mar-13,13.44,13.44,13.22,13.30,627032
27-Mar-13,13.22,13.41,13.03,13.36,616658
26-Mar-13,13.49,13.56,13.07,13.35,1172448
25-Mar-13,13.58,13.81,13.27,13.38,1979356
22-Mar-13,13.41,13.75,13.39,13.57,976682
21-Mar-13,13.11,13.60,12.97,13.40,2107350
20-Mar-13,12.76,13.10,12.66,12.89,820666
19-Mar-13,12.81,12.84,12.41,12.65,541767
18-Mar-13,12.70,12.88,12.64,12.74,585516
15-Mar-13,12.79,12.98,12.70,12.79,824037
14-Mar-13,12.63,12.80,12.51,12.80,566413
13-Mar-13,12.40,12.64,12.39,12.57,316693
12-Mar-13,12.66,12.66,12.37,12.42,537861
11-Mar-13,12.68,12.74,12.53,12.68,377869
8-Mar-13,12.65,12.73,12.45,12.68,621167
7-Mar-13,12.48,12.63,12.36,12.61,404352
6-Mar-13,12.51,12.60,12.34,12.50,268272
5-Mar-13,12.31,12.50,12.16,12.45,662738
4-Mar-13,12.29,12.38,12.03,12.22,441194
1-Mar-13,11.96,12.40,11.82,12.29,598290
28-Feb-13,12.14,12.30,11.93,12.05,1489385
27-Feb-13,11.65,12.36,11.65,12.14,819224
26-Feb-13,11.46,11.78,11.38,11.65,1326329
25-Feb-13,11.72,11.88,11.38,11.38,817434
22-Feb-13,11.58,11.74,11.53,11.66,872995
21-Feb-13,11.76,11.83,11.33,11.48,1142758
20-Feb-13,11.67,11.88,11.63,11.79,1171743
19-Feb-13,11.72,11.81,11.60,11.66,735972
15-Feb-13,11.85,11.96,11.66,11.73,805282
14-Feb-13,11.70,11.96,11.63,11.87,810488
13-Feb-13,11.49,11.84,11.41,11.70,1223361
12-Feb-13,11.39,11.66,11.17,11.40,1543756
11-Feb-13,10.66,10.79,10.50,10.76,527077
8-Feb-13,10.59,10.79,10.56,10.69,492112
7-Feb-13,10.61,10.72,10.38,10.57,501605
6-Feb-13,10.35,10.64,10.35,10.58,747968
5-Feb-13,10.32,10.65,10.27,10.37,659177
4-Feb-13,10.46,10.58,10.22,10.24,612018
1-Feb-13,10.80,10.83,10.46,10.50,1148850
31-Jan-13,10.79,10.92,10.72,10.73,554855
30-Jan-13,10.96,10.99,10.77,10.78,730783
29-Jan-13,10.74,11.06,10.52,10.99,909987
28-Jan-13,11.23,11.31,10.65,10.74,1819290
25-Jan-13,11.36,11.36,11.15,11.27,681009
24-Jan-13,11.17,11.46,11.10,11.32,1530296
23-Jan-13,11.30,11.48,10.91,11.20,4914502
22-Jan-13,10.53,11.58,10.51,11.30,3282384
18-Jan-13,10.03,10.54,9.99,10.51,2178095
