Date,Open,High,Low,Close,Volume
28-Mar-14,8.95,10.61,8.81,10.00,7596484
31-Mar-14,10.85,11.00,10.15,10.55,832269
1-Apr-14,10.69,11.70,10.45,11.54,564085
2-Apr-14,11.49,12.23,11.15,11.30,635752
3-Apr-14,11.85,11.85,10.84,10.97,213965
4-Apr-14,10.89,11.00,10.21,10.45,315878
7-Apr-14,10.40,10.89,9.70,9.88,443760
8-Apr-14,9.96,10.06,9.76,9.81,308988
9-Apr-14,9.91,10.14,9.50,10.03,381737
10-Apr-14,10.69,10.74,9.86,9.92,244844
11-Apr-14,9.96,10.01,9.56,10.00,161120
14-Apr-14,10.02,10.44,9.90,10.04,178646
15-Apr-14,10.17,10.38,10.00,10.22,70096
16-Apr-14,10.22,10.25,10.01,10.20,55563
17-Apr-14,10.20,10.60,9.86,10.50,292348
21-Apr-14,10.50,10.61,10.12,10.54,167461
22-Apr-14,10.65,11.35,10.50,11.17,299659
23-Apr-14,11.14,11.74,11.01,11.31,150631
24-Apr-14,11.33,11.71,10.94,10.97,344446
25-Apr-14,10.86,11.11,10.00,10.01,154570
28-Apr-14,10.10,10.22,9.94,10.03,190198
29-Apr-14,10.05,10.15,10.01,10.11,79511
30-Apr-14,9.99,10.67,9.82,10.37,162805
1-May-14,10.31,10.35,9.95,9.95,43298
2-May-14,9.85,10.49,9.62,10.27,79861
5-May-14,10.12,10.36,9.65,9.79,179771
6-May-14,9.80,9.84,9.01,9.35,169132
7-May-14,9.49,9.58,8.77,8.90,385632
8-May-14,8.90,9.42,8.80,8.90,210374
9-May-14,9.31,9.65,8.00,9.25,398102
12-May-14,9.30,9.30,8.56,9.00,194025
13-May-14,9.05,9.65,9.05,9.58,103563
14-May-14,9.52,10.13,9.40,10.03,105756
15-May-14,10.26,10.26,9.42,9.77,125298
16-May-14,9.66,9.78,9.43,9.58,85616
19-May-14,9.53,9.85,9.50,9.65,84416
20-May-14,9.75,9.75,8.91,9.05,93132
21-May-14,9.00,9.42,9.00,9.29,80941
22-May-14,9.36,9.63,9.15,9.49,30331
23-May-14,9.36,9.44,9.19,9.25,69062
27-May-14,9.28,9.56,9.27,9.56,65353
28-May-14,9.54,9.95,9.54,9.67,26996
29-May-14,9.70,9.99,9.67,9.78,64737
30-May-14,9.78,10.09,9.40,9.96,73398
2-Jun-14,9.90,10.00,9.56,9.90,71304
3-Jun-14,9.77,9.98,9.50,9.83,135663
4-Jun-14,9.87,9.97,9.60,9.92,110493
5-Jun-14,9.88,10.20,9.66,10.00,209112
6-Jun-14,9.90,10.24,9.90,10.12,130130
9-Jun-14,10.30,10.34,10.12,10.22,97394
10-Jun-14,10.10,10.13,9.65,9.89,202123
11-Jun-14,9.80,9.93,9.61,9.77,223578
12-Jun-14,9.85,9.97,9.52,9.56,145096
13-Jun-14,9.66,9.88,9.54,9.70,80529
16-Jun-14,9.75,9.82,9.00,9.13,196768
17-Jun-14,9.20,9.35,8.92,9.02,101975
18-Jun-14,8.99,9.01,8.64,8.89,212328
19-Jun-14,8.91,8.99,8.91,8.95,66069
20-Jun-14,9.00,9.00,8.65,8.69,338516
23-Jun-14,8.75,8.84,8.71,8.77,147832
24-Jun-14,8.76,8.77,8.50,8.67,113485
25-Jun-14,8.67,9.22,8.55,8.99,234044
