Date,Open,High,Low,Close,Volume
22-Aug-14,8.04,8.25,7.97,8.18,104702
21-Aug-14,8.25,8.37,8.03,8.10,226699
20-Aug-14,8.40,8.40,8.21,8.25,64984
19-Aug-14,8.47,8.59,8.30,8.39,128650
18-Aug-14,8.62,8.71,8.27,8.45,180362
15-Aug-14,8.78,8.78,8.27,8.49,124373
14-Aug-14,8.74,8.77,8.56,8.67,103743
13-Aug-14,8.89,8.94,8.62,8.66,140992
12-Aug-14,9.21,9.21,8.78,8.90,127126
11-Aug-14,9.55,9.61,9.10,9.27,135346
8-Aug-14,9.53,10.07,9.30,9.50,204700
7-Aug-14,8.88,9.50,8.00,9.47,359069
6-Aug-14,8.48,8.95,8.39,8.95,322238
5-Aug-14,8.27,8.54,8.18,8.52,121997
4-Aug-14,8.29,8.37,8.12,8.29,94850
1-Aug-14,8.32,8.44,8.06,8.17,177202
31-Jul-14,8.29,8.43,8.21,8.40,102964
30-Jul-14,8.25,8.42,8.10,8.41,88244
29-Jul-14,8.27,8.27,8.00,8.01,76753
28-Jul-14,8.47,8.57,8.19,8.28,105479
25-Jul-14,8.51,8.56,8.42,8.51,71326
24-Jul-14,8.44,8.63,8.20,8.59,108298
23-Jul-14,8.06,8.52,7.85,8.45,188787
22-Jul-14,7.74,8.03,7.72,7.98,170538
21-Jul-14,7.60,7.77,7.50,7.70,297159
18-Jul-14,7.89,7.89,7.56,7.64,148719
17-Jul-14,7.95,8.05,7.71,7.76,169453
16-Jul-14,7.88,8.11,7.80,7.84,236689
15-Jul-14,8.11,8.12,7.79,7.83,89729
14-Jul-14,8.31,8.45,8.04,8.10,131048
11-Jul-14,7.55,8.34,7.43,8.19,333287
10-Jul-14,7.74,7.89,7.55,7.58,179433
9-Jul-14,8.08,8.14,7.82,7.90,121835
8-Jul-14,8.33,8.42,8.02,8.08,110165
7-Jul-14,8.14,8.43,8.11,8.37,166434
3-Jul-14,8.30,8.37,8.15,8.18,56482
2-Jul-14,8.12,8.32,8.03,8.25,93223
1-Jul-14,8.15,8.42,8.01,8.10,281497
30-Jun-14,8.18,8.50,8.17,8.22,308763
27-Jun-14,8.60,8.87,8.17,8.17,1266308
26-Jun-14,8.99,9.03,8.53,8.61,125564
25-Jun-14,8.67,9.22,8.55,8.99,234044
24-Jun-14,8.76,8.77,8.50,8.67,113485
23-Jun-14,8.75,8.84,8.71,8.77,147832
20-Jun-14,9.00,9.00,8.65,8.69,338516
19-Jun-14,8.91,8.99,8.91,8.95,66069
18-Jun-14,8.99,9.01,8.64,8.89,212328
17-Jun-14,9.20,9.35,8.92,9.02,101975
16-Jun-14,9.75,9.82,9.00,9.13,196768
13-Jun-14,9.66,9.88,9.54,9.70,80529
12-Jun-14,9.85,9.97,9.52,9.56,145096
11-Jun-14,9.80,9.93,9.61,9.77,223578
10-Jun-14,10.10,10.13,9.65,9.89,202123
9-Jun-14,10.30,10.34,10.12,10.22,97394
6-Jun-14,9.90,10.24,9.90,10.12,130130
5-Jun-14,9.88,10.20,9.66,10.00,209112
4-Jun-14,9.87,9.97,9.60,9.92,110493
3-Jun-14,9.77,9.98,9.50,9.83,135663
2-Jun-14,9.90,10.00,9.56,9.90,71304
30-May-14,9.78,10.09,9.40,9.96,73398
29-May-14,9.70,9.99,9.67,9.78,64737
28-May-14,9.54,9.95,9.54,9.67,26996
27-May-14,9.28,9.56,9.27,9.56,65353
23-May-14,9.36,9.44,9.19,9.25,69062
22-May-14,9.36,9.63,9.15,9.49,30331
21-May-14,9.00,9.42,9.00,9.29,80941
20-May-14,9.75,9.75,8.91,9.05,93132
19-May-14,9.53,9.85,9.50,9.65,84416
16-May-14,9.66,9.78,9.43,9.58,85616
15-May-14,10.26,10.26,9.42,9.77,125298
14-May-14,9.52,10.13,9.40,10.03,105756
13-May-14,9.05,9.65,9.05,9.58,103563
12-May-14,9.30,9.30,8.56,9.00,194025
9-May-14,9.31,9.65,8.00,9.25,398102
8-May-14,8.90,9.42,8.80,8.90,210374
7-May-14,9.49,9.58,8.77,8.90,385632
6-May-14,9.80,9.84,9.01,9.35,169132
5-May-14,10.12,10.36,9.65,9.79,179771
2-May-14,9.85,10.49,9.62,10.27,79861
1-May-14,10.31,10.35,9.95,9.95,43298
30-Apr-14,9.99,10.67,9.82,10.37,162805
29-Apr-14,10.05,10.15,10.01,10.11,79511
28-Apr-14,10.10,10.22,9.94,10.03,190198
25-Apr-14,10.86,11.11,10.00,10.01,154570
24-Apr-14,11.33,11.71,10.94,10.97,344446
23-Apr-14,11.14,11.74,11.01,11.31,150631
22-Apr-14,10.65,11.35,10.50,11.17,299659
21-Apr-14,10.50,10.61,10.12,10.54,167461
17-Apr-14,10.20,10.60,9.86,10.50,292348
16-Apr-14,10.22,10.25,10.01,10.20,55563
15-Apr-14,10.17,10.38,10.00,10.22,70096
14-Apr-14,10.02,10.44,9.90,10.04,178646
11-Apr-14,9.96,10.01,9.56,10.00,161120
10-Apr-14,10.69,10.74,9.86,9.92,244844
9-Apr-14,9.91,10.14,9.50,10.03,381737
8-Apr-14,9.96,10.06,9.76,9.81,308988
7-Apr-14,10.40,10.89,9.70,9.88,443760
4-Apr-14,10.89,11.00,10.21,10.45,315878
3-Apr-14,11.85,11.85,10.84,10.97,213965
2-Apr-14,11.49,12.23,11.15,11.30,635752
1-Apr-14,10.69,11.70,10.45,11.54,564085
31-Mar-14,10.85,11.00,10.15,10.55,832269
28-Mar-14,8.95,10.61,8.81,10.00,7596484
