Date,Open,High,Low,Close,Volume
3-Jan-00,21.94,21.94,20.81,21.44,83900
4-Jan-00,21.19,21.38,20.56,20.75,75300
5-Jan-00,20.81,20.94,20.50,20.94,36600
6-Jan-00,20.94,21.62,20.44,21.12,70300
7-Jan-00,21.06,21.38,20.62,21.00,138300
10-Jan-00,21.00,21.12,20.62,20.94,55500
11-Jan-00,20.75,21.00,20.19,20.69,60700
12-Jan-00,20.56,20.62,19.94,20.00,144100
13-Jan-00,19.50,20.19,19.44,19.88,279600
14-Jan-00,20.06,20.38,19.75,19.75,63900
18-Jan-00,19.25,20.00,19.06,19.81,59900
19-Jan-00,19.56,20.00,19.56,19.81,44700
20-Jan-00,19.56,20.19,19.56,20.12,206800
21-Jan-00,20.25,20.38,19.88,19.88,88300
24-Jan-00,20.06,20.06,19.44,19.44,73100
25-Jan-00,19.50,19.69,19.00,19.31,34200
26-Jan-00,19.31,19.56,19.06,19.38,105800
27-Jan-00,19.50,19.62,18.75,18.75,34000
28-Jan-00,18.88,19.19,18.00,18.19,104200
31-Jan-00,18.25,19.38,18.00,19.25,102000
1-Feb-00,19.00,19.12,18.12,19.06,61000
2-Feb-00,19.00,19.88,19.00,19.75,100800
3-Feb-00,19.56,19.81,19.31,19.50,78500
4-Feb-00,19.25,19.75,19.06,19.50,48800
7-Feb-00,19.50,19.62,18.88,19.12,128300
8-Feb-00,18.88,19.44,18.75,19.31,93500
9-Feb-00,19.06,19.38,18.69,19.12,237700
10-Feb-00,19.00,19.06,18.00,18.94,117300
11-Feb-00,18.69,18.75,17.75,18.00,52000
14-Feb-00,18.25,18.44,18.00,18.25,278000
15-Feb-00,18.50,18.81,17.75,18.00,49400
16-Feb-00,18.00,18.88,17.75,18.56,115300
17-Feb-00,18.81,19.12,18.19,18.31,157700
18-Feb-00,18.19,18.31,17.81,18.25,48200
22-Feb-00,18.06,18.12,17.38,17.94,59400
23-Feb-00,17.88,18.25,17.88,18.00,178600
24-Feb-00,18.19,18.38,17.81,17.94,122000
25-Feb-00,18.06,18.06,17.62,17.69,62300
28-Feb-00,17.94,18.31,17.25,18.06,71100
29-Feb-00,18.19,18.50,17.91,18.44,93800
1-Mar-00,18.06,18.50,17.62,18.50,95400
2-Mar-00,17.94,18.69,18.31,18.31,124000
3-Mar-00,17.81,18.56,17.88,18.00,69000
6-Mar-00,17.69,17.81,17.38,17.56,71500
7-Mar-00,17.56,17.56,16.31,16.94,273700
8-Mar-00,16.94,17.00,16.38,16.75,96500
9-Mar-00,16.88,16.94,16.25,16.44,197600
10-Mar-00,16.44,16.81,15.56,16.00,144900
13-Mar-00,16.12,17.50,16.00,16.62,173200
14-Mar-00,16.88,16.88,16.56,16.69,67800
15-Mar-00,16.50,17.38,16.31,17.25,122500
16-Mar-00,17.50,19.50,17.50,19.38,171300
17-Mar-00,19.12,19.69,19.06,19.25,155300
20-Mar-00,19.12,19.50,19.12,19.31,121900
21-Mar-00,19.06,19.06,18.56,18.56,210200
22-Mar-00,18.62,19.25,18.56,18.88,80900
23-Mar-00,19.12,19.62,18.88,19.62,54200
24-Mar-00,19.44,20.19,19.25,19.94,62900
27-Mar-00,20.44,21.25,19.94,20.06,98000
28-Mar-00,20.00,22.25,20.00,22.25,118400
29-Mar-00,22.25,23.75,22.06,23.62,283400
30-Mar-00,23.38,24.75,23.38,24.19,167300
31-Mar-00,23.94,25.75,23.62,25.75,322400
3-Apr-00,24.00,24.12,23.25,23.62,145500
4-Apr-00,23.56,23.94,23.25,23.75,92800
5-Apr-00,23.69,23.88,23.50,23.88,59700
6-Apr-00,23.88,23.88,23.56,23.69,56900
7-Apr-00,23.69,23.75,23.38,23.56,73600
10-Apr-00,23.31,23.94,23.25,23.94,49000
11-Apr-00,23.94,24.00,23.44,23.62,35100
12-Apr-00,23.88,23.94,23.62,23.88,65600
13-Apr-00,23.94,24.00,23.69,24.00,159400
14-Apr-00,24.12,24.50,23.62,24.12,254900
17-Apr-00,23.69,23.88,23.00,23.88,206500
18-Apr-00,23.69,24.25,23.62,24.25,95800
19-Apr-00,24.25,24.88,24.00,24.06,93100
20-Apr-00,24.00,24.75,23.56,24.69,63600
24-Apr-00,24.44,24.75,23.81,24.19,96100
25-Apr-00,24.00,24.75,23.88,24.69,102800
26-Apr-00,24.81,25.25,24.75,25.12,63600
27-Apr-00,24.50,24.75,24.38,24.62,46500
28-Apr-00,24.69,25.00,24.69,24.94,75700
1-May-00,24.81,25.50,24.62,25.12,124000
2-May-00,25.12,26.38,25.12,26.25,139800
3-May-00,26.00,26.38,25.81,25.94,77200
4-May-00,25.94,26.94,25.81,26.69,105100
5-May-00,26.94,26.94,25.69,26.00,89600
8-May-00,26.00,26.06,25.62,25.94,47500
9-May-00,25.94,26.81,25.75,26.81,147200
10-May-00,26.44,26.69,25.75,26.12,39700
11-May-00,25.88,26.94,25.88,26.38,52900
12-May-00,26.50,26.69,26.00,26.12,35500
