Date,Open,High,Low,Close,Volume
11-Feb-05,24.50,24.85,24.21,24.50,26434100
14-Feb-05,24.50,24.55,24.01,24.50,4827700
15-Feb-05,24.50,25.70,24.50,25.60,5801500
16-Feb-05,26.00,26.44,25.55,25.97,4271000
17-Feb-05,25.96,26.04,25.37,25.85,2111400
18-Feb-05,25.85,26.68,25.85,26.40,2910200
22-Feb-05,26.20,26.80,25.95,26.22,1528300
23-Feb-05,26.37,27.00,26.10,26.89,1123500
24-Feb-05,26.89,28.45,26.82,28.33,2297900
25-Feb-05,28.45,30.00,28.45,28.50,3390600
28-Feb-05,29.10,29.10,27.70,28.56,1673600
1-Mar-05,28.61,28.95,27.80,28.20,2358000
2-Mar-05,28.15,28.66,27.78,28.18,1414700
3-Mar-05,28.24,28.24,27.91,28.00,500500
4-Mar-05,27.95,28.90,27.95,28.20,1488800
7-Mar-05,28.20,28.48,28.05,28.05,1907200
8-Mar-05,28.05,28.05,26.78,27.55,1549500
9-Mar-05,27.50,28.41,27.50,27.60,1233700
10-Mar-05,27.70,28.05,26.82,27.25,1098300
11-Mar-05,27.25,27.85,27.16,27.53,845600
14-Mar-05,27.40,27.45,25.57,26.93,2277900
15-Mar-05,27.05,27.23,26.10,26.46,630600
16-Mar-05,25.65,26.00,24.45,25.49,4051000
17-Mar-05,25.40,26.16,25.25,26.15,1131000
18-Mar-05,25.95,26.02,25.17,25.55,765400
21-Mar-05,25.50,25.55,24.50,24.91,457600
22-Mar-05,24.70,25.70,24.70,25.50,974900
23-Mar-05,26.00,26.25,24.82,24.95,870300
24-Mar-05,24.80,25.20,24.01,24.16,1626700
28-Mar-05,24.05,24.35,23.30,23.73,1801400
29-Mar-05,23.23,24.15,23.15,23.21,1416700
30-Mar-05,23.05,23.16,22.00,22.75,4545800
31-Mar-05,22.98,23.60,22.75,23.32,3508900
1-Apr-05,23.42,23.78,22.76,23.38,1654500
4-Apr-05,23.20,23.30,23.01,23.10,558300
5-Apr-05,23.04,23.13,22.38,22.49,1760900
6-Apr-05,22.30,22.64,21.82,22.00,1548400
7-Apr-05,22.15,22.63,21.81,22.55,1365000
8-Apr-05,22.55,22.55,22.11,22.37,907300
11-Apr-05,22.37,22.50,22.20,22.35,643300
12-Apr-05,22.32,22.79,22.15,22.55,3012500
13-Apr-05,22.50,22.51,21.94,22.23,3356300
14-Apr-05,22.20,22.20,20.70,21.38,2637700
15-Apr-05,21.30,21.31,20.75,20.95,2945900
18-Apr-05,20.80,20.94,20.21,20.44,1258800
19-Apr-05,20.75,21.40,20.75,21.17,1620300
20-Apr-05,21.35,21.35,19.91,20.28,556400
21-Apr-05,20.80,21.31,20.49,21.20,501800
22-Apr-05,21.35,21.35,19.79,20.01,777200
25-Apr-05,19.85,21.60,19.85,21.45,1381200
26-Apr-05,21.35,22.29,20.46,21.00,1166800
27-Apr-05,21.00,21.00,19.83,20.32,757200
28-Apr-05,20.60,20.88,19.60,20.19,727200
29-Apr-05,20.70,21.04,20.20,21.04,679800
2-May-05,21.15,21.68,21.15,21.60,981600
3-May-05,21.50,22.16,21.39,22.16,673300
4-May-05,23.10,23.24,22.27,23.02,1361600
5-May-05,23.15,23.34,22.73,22.96,734100
6-May-05,23.20,23.21,22.55,22.75,874800
9-May-05,22.75,23.20,21.80,23.20,745500
10-May-05,23.20,23.20,22.35,22.70,720000
11-May-05,22.70,22.70,21.80,22.00,786800
12-May-05,21.90,22.23,21.22,21.42,1890400
13-May-05,21.42,21.42,19.91,20.23,1095400
16-May-05,20.13,20.13,18.35,19.10,1943700
17-May-05,19.11,19.29,18.30,18.82,595600
18-May-05,18.95,19.74,18.85,19.30,1965700
19-May-05,19.60,19.95,19.50,19.52,418200
20-May-05,19.56,19.56,19.00,19.16,267800
23-May-05,19.00,19.35,18.93,19.22,521800
24-May-05,19.28,19.30,18.75,18.83,993000
25-May-05,18.90,18.90,18.47,18.61,524000
26-May-05,18.66,18.90,18.15,18.47,2428100
27-May-05,18.60,18.86,18.31,18.79,468800
31-May-05,18.87,19.35,18.55,19.25,916900
1-Jun-05,19.20,19.50,18.75,19.02,1416900
2-Jun-05,18.90,19.00,18.57,18.94,569700
3-Jun-05,18.94,19.10,18.45,18.74,656700
6-Jun-05,18.80,18.80,18.49,18.74,411900
7-Jun-05,18.82,19.23,18.37,18.55,984700
8-Jun-05,18.57,18.65,18.31,18.65,690000
9-Jun-05,18.61,18.84,18.39,18.80,489000
10-Jun-05,18.80,19.15,18.73,18.90,464300
13-Jun-05,18.90,19.27,18.90,19.15,536800
14-Jun-05,19.23,19.85,19.08,19.77,653100
15-Jun-05,19.87,20.24,19.75,20.19,873500
16-Jun-05,20.34,20.92,20.31,20.53,1547800
17-Jun-05,20.57,20.70,19.55,19.78,1113600
20-Jun-05,19.95,19.97,19.14,19.45,998600
21-Jun-05,19.45,19.60,18.82,18.94,1028700
22-Jun-05,18.96,19.20,18.96,19.18,592600
23-Jun-05,19.28,19.73,19.25,19.53,592300
24-Jun-05,19.53,19.76,19.07,19.24,410400
27-Jun-05,19.19,19.50,19.19,19.37,472900
28-Jun-05,19.57,20.30,19.50,20.22,501300
29-Jun-05,20.47,21.17,20.10,20.24,753300
