Date,Open,High,Low,Close,Volume
3-Jan-00,0.81,1.09,0.78,1.03,611000
4-Jan-00,1.00,1.06,0.88,0.97,336500
5-Jan-00,0.98,1.00,0.84,0.84,165000
6-Jan-00,0.88,0.91,0.81,0.91,65400
7-Jan-00,0.91,0.91,0.81,0.84,106200
10-Jan-00,0.93,0.94,0.86,0.88,143500
11-Jan-00,0.94,0.94,0.88,0.91,64500
12-Jan-00,0.91,0.94,0.88,0.91,65800
13-Jan-00,0.88,1.12,0.88,0.88,120900
14-Jan-00,0.89,0.94,0.88,0.94,71800
18-Jan-00,0.97,1.38,0.94,1.31,457900
19-Jan-00,1.25,1.31,1.00,1.00,330400
20-Jan-00,1.00,1.19,0.97,1.09,241200
21-Jan-00,1.12,1.31,1.09,1.16,225100
24-Jan-00,1.19,1.62,1.19,1.50,979900
25-Jan-00,1.56,1.62,1.25,1.28,369900
26-Jan-00,1.27,1.56,1.22,1.56,379200
27-Jan-00,1.66,1.66,1.38,1.38,207100
28-Jan-00,1.62,1.97,1.44,1.69,737500
31-Jan-00,1.56,1.75,1.50,1.50,307300
1-Feb-00,1.50,1.59,1.34,1.38,259200
2-Feb-00,1.44,1.50,1.38,1.50,106500
3-Feb-00,1.48,1.50,1.38,1.41,121700
4-Feb-00,1.44,1.50,1.28,1.38,288000
7-Feb-00,1.38,1.41,1.12,1.25,464200
8-Feb-00,1.25,1.41,1.12,1.12,451400
9-Feb-00,1.17,1.25,1.09,1.16,190000
10-Feb-00,1.19,1.50,1.16,1.31,670500
11-Feb-00,1.31,1.38,1.12,1.19,361000
14-Feb-00,1.22,1.28,1.19,1.22,218300
15-Feb-00,1.28,1.31,1.19,1.19,196300
16-Feb-00,1.22,1.28,1.19,1.25,133900
17-Feb-00,1.22,1.38,1.19,1.31,364500
18-Feb-00,1.31,1.34,1.19,1.25,142100
22-Feb-00,1.28,1.34,1.19,1.19,272700
23-Feb-00,1.28,1.31,1.19,1.22,219000
24-Feb-00,1.33,1.38,1.22,1.34,193300
25-Feb-00,1.38,1.38,1.31,1.38,165800
28-Feb-00,1.38,1.44,1.31,1.38,214000
29-Feb-00,1.38,1.38,1.25,1.25,258000
1-Mar-00,1.41,1.44,1.28,1.44,232900
2-Mar-00,1.44,1.88,1.34,1.62,698700
3-Mar-00,1.47,1.69,1.41,1.44,566400
6-Mar-00,1.5,1.62,1.44,1.47,211700
7-Mar-00,1.53,1.53,1.38,1.53,203400
8-Mar-00,1.53,1.56,1.38,1.44,220200
9-Mar-00,1.50,1.50,1.41,1.44,154300
10-Mar-00,1.47,1.47,1.34,1.44,139100
13-Mar-00,1.47,1.75,1.44,1.69,547900
14-Mar-00,1.69,2.25,1.67,2.00,1341200
15-Mar-00,2.09,2.12,1.94,1.97,790300
16-Mar-00,2.00,2.06,1.81,1.91,275400
17-Mar-00,1.94,2.03,1.88,2.00,198400
20-Mar-00,2.00,2.31,1.97,2.00,480400
21-Mar-00,2.00,2.12,1.94,2.09,460400
22-Mar-00,2.09,2.09,1.88,1.94,248700
23-Mar-00,2.00,2.12,1.91,2.12,205900
24-Mar-00,2.06,2.12,2.00,2.12,152200
27-Mar-00,2.25,2.25,2.00,2.12,132000
28-Mar-00,2.16,2.16,1.94,2.00,203100
29-Mar-00,1.98,2.00,1.56,1.59,502200
30-Mar-00,1.78,1.78,1.50,1.62,332600
31-Mar-00,1.75,1.81,1.72,1.75,111200
3-Apr-00,1.75,1.84,1.59,1.69,120000
4-Apr-00,1.84,1.84,1.50,1.62,239900
5-Apr-00,1.62,1.62,1.50,1.50,83900
6-Apr-00,1.56,1.69,1.50,1.59,255200
7-Apr-00,1.59,1.69,1.50,1.62,115000
