Date,Open,High,Low,Close,Volume
22-Apr-08,65.00,51.20,44.44,50.40,42749310
23-Apr-08,51.62,53.50,47.50,49.09,15544447
24-Apr-08,50.25,50.25,45.95,48.59,6261059
25-Apr-08,48.50,51.94,47.29,51.94,4752480
28-Apr-08,51.47,51.80,48.11,48.28,3715354
29-Apr-08,47.39,47.39,45.02,45.62,4254938
30-Apr-08,46.36,48.64,45.30,47.49,3721343
1-May-08,47.36,48.00,43.36,45.08,5239508
2-May-08,45.28,46.00,43.68,44.76,2972903
5-May-08,45.60,48.50,45.60,48.50,2774551
6-May-08,48.38,50.75,47.41,49.79,4015953
7-May-08,50.55,52.06,49.43,49.56,2842930
8-May-08,50.20,51.09,48.70,50.90,1708252
9-May-08,50.48,51.66,50.00,50.06,1267118
12-May-08,50.41,50.54,48.16,49.50,1318273
13-May-08,49.95,49.95,47.91,48.07,1159156
14-May-08,47.24,49.00,46.09,47.58,3310304
15-May-08,47.83,48.78,46.71,46.77,1133376
16-May-08,47.15,49.50,46.84,49.49,1986418
19-May-08,50.01,50.01,48.29,49.34,1583598
20-May-08,49.00,49.26,48.00,48.88,1039336
21-May-08,48.26,48.82,46.31,47.12,845241
22-May-08,47.77,47.94,46.58,46.83,763687
23-May-08,46.31,46.77,45.72,46.56,709826
27-May-08,46.50,46.73,44.88,45.22,1223205
28-May-08,45.50,46.50,44.46,46.17,1724628
29-May-08,45.90,46.50,45.20,46.40,1004601
30-May-08,46.99,49.18,46.40,49.16,1197345
2-Jun-08,47.92,49.65,47.40,48.10,1997673
3-Jun-08,49.10,49.75,47.40,48.75,2088735
4-Jun-08,48.25,48.76,47.52,48.34,739184
5-Jun-08,48.70,51.80,47.93,51.44,3057415
6-Jun-08,50.73,55.44,50.60,53.64,5398054
9-Jun-08,55.59,58.50,54.84,57.25,5784244
10-Jun-08,56.49,57.95,55.05,55.89,3214553
11-Jun-08,58.38,61.37,56.90,58.47,5324548
12-Jun-08,59.30,59.50,56.01,57.85,2021058
13-Jun-08,57.21,60.25,57.21,60.00,2704820
16-Jun-08,61.20,63.85,60.11,62.40,3059304
17-Jun-08,63.67,64.97,62.83,64.41,2666136
18-Jun-08,65.43,66.43,63.05,65.24,2952634
19-Jun-08,67.03,67.03,63.35,64.09,2799878
20-Jun-08,65.29,68.85,63.81,67.66,4501249
23-Jun-08,69.98,73.30,67.51,73.23,4709973
24-Jun-08,74.42,76.24,66.99,68.21,7904551
