Date,Open,High,Low,Close,Volume
3-Jan-00,21.50,21.62,20.56,20.75,1291100
4-Jan-00,20.50,20.62,19.94,20.50,1918000
5-Jan-00,20.81,20.94,20.06,20.12,1671500
6-Jan-00,20.12,21.00,19.94,20.88,1127500
7-Jan-00,21.25,21.44,20.81,21.44,910300
10-Jan-00,21.69,21.69,20.56,20.75,873000
11-Jan-00,20.25,20.94,20.25,20.75,1049500
12-Jan-00,20.69,21.19,20.62,21.00,846900
13-Jan-00,21.25,21.69,21.12,21.56,757100
14-Jan-00,21.94,22.12,21.62,22.00,920300
18-Jan-00,21.44,21.56,20.94,21.12,861500
19-Jan-00,21.25,21.81,20.50,20.62,1408100
20-Jan-00,20.88,20.88,20.25,20.50,999700
21-Jan-00,20.56,21.44,20.31,21.38,2572600
24-Jan-00,21.50,21.56,20.38,20.44,1335700
25-Jan-00,20.50,20.69,19.81,20.12,1966900
26-Jan-00,20.38,21.62,20.25,21.56,1775500
27-Jan-00,21.50,21.62,20.69,21.06,1158700
28-Jan-00,21.00,21.00,20.38,20.50,1075600
31-Jan-00,20.62,21.00,20.19,21.00,1499400
1-Feb-00,20.94,21.06,20.56,20.75,1311300
2-Feb-00,20.75,20.75,20.44,20.50,1037700
3-Feb-00,20.56,20.75,20.38,20.44,1351500
4-Feb-00,20.50,20.62,20.06,20.12,1255600
7-Feb-00,20.12,20.31,19.94,20.00,1078400
8-Feb-00,20.00,20.38,19.94,20.38,1166700
9-Feb-00,20.06,20.06,19.44,19.50,1393500
10-Feb-00,19.31,19.50,18.38,18.75,2713700
11-Feb-00,18.50,18.94,18.19,18.69,2172900
14-Feb-00,18.44,18.50,18.00,18.19,1423000
15-Feb-00,18.38,18.75,17.88,18.56,2061300
16-Feb-00,18.25,18.44,17.81,17.88,1970700
17-Feb-00,18.31,18.44,17.75,17.94,993600
18-Feb-00,17.69,17.81,17.00,17.25,2011700
22-Feb-00,17.44,17.69,17.31,17.44,1760900
23-Feb-00,17.44,17.50,17.19,17.19,1511500
24-Feb-00,17.38,17.50,16.81,17.44,1818600
25-Feb-00,17.44,17.56,16.81,17.00,1988400
28-Feb-00,17.00,17.25,16.81,17.00,2103200
29-Feb-00,17.00,17.12,16.56,16.94,1340600
1-Mar-00,17.05,17.12,16.56,17.12,1556100
2-Mar-00,17.1,17.06,16.62,16.94,1080600
3-Mar-00,17.15,17.69,16.94,17.44,1646600
6-Mar-00,17.2,17.62,17.00,17.38,1088500
7-Mar-00,17.25,17.25,15.94,16.00,2859400
8-Mar-00,16.25,16.31,15.56,15.69,2690700
9-Mar-00,15.69,15.81,15.56,15.81,2084900
10-Mar-00,16.00,16.19,15.88,16.06,1970900
13-Mar-00,16.25,16.31,15.81,16.25,1596800
14-Mar-00,16.25,16.38,15.75,15.88,1714000
15-Mar-00,16.25,17.88,15.94,17.69,3508300
16-Mar-00,18.50,19.38,17.75,18.88,2780000
17-Mar-00,19.50,19.50,18.75,18.81,2093800
20-Mar-00,18.69,18.75,17.94,18.19,1421200
21-Mar-00,18.56,18.94,18.31,18.94,1464200
22-Mar-00,19.00,19.50,18.62,19.44,1369600
23-Mar-00,19.44,19.56,19.00,19.50,1810000
24-Mar-00,19.56,19.69,19.00,19.12,1733300
27-Mar-00,19.12,19.12,18.31,18.69,1022200
28-Mar-00,18.75,19.25,18.62,19.19,1705000
29-Mar-00,19.19,19.25,18.62,19.00,1324500
30-Mar-00,18.81,19.12,18.69,18.75,1221900
31-Mar-00,18.88,19.06,18.44,19.00,1564900
3-Apr-00,19.25,19.69,19.12,19.50,1783600
4-Apr-00,19.31,19.94,18.31,19.19,1856800
5-Apr-00,19.19,19.44,18.62,18.75,1149800
6-Apr-00,18.75,19.00,18.50,18.81,1511100
7-Apr-00,18.81,18.81,18.06,18.12,1065100
10-Apr-00,18.06,18.12,17.81,18.00,2302600
11-Apr-00,18.00,18.25,17.94,18.19,1259800
12-Apr-00,18.56,19.12,18.50,18.75,1862100
13-Apr-00,18.75,18.81,18.38,18.38,1250000
14-Apr-00,18.19,18.25,17.00,17.19,1754000
17-Apr-00,17.19,17.62,17.19,17.62,1333800
18-Apr-00,17.38,17.88,17.25,17.81,1575100
19-Apr-00,17.81,17.88,17.38,17.75,1040900
20-Apr-00,18.25,18.25,17.69,17.88,732100
24-Apr-00,18.00,18.62,17.94,18.44,1241800
25-Apr-00,18.19,19.19,18.19,19.06,1336000
26-Apr-00,19.00,19.12,18.75,18.88,1382000
27-Apr-00,18.75,18.75,18.38,18.50,1137100
28-Apr-00,18.56,18.75,18.31,18.50,1484400
1-May-00,18.56,19.12,18.38,18.88,1275500
2-May-00,18.44,18.62,18.44,18.56,876100
3-May-00,18.44,18.56,18.06,18.19,1225800
4-May-00,18.25,18.25,17.69,17.75,854500
5-May-00,17.69,17.94,17.62,17.75,566800
8-May-00,17.88,18.44,17.69,18.12,927800
9-May-00,18.25,18.62,18.00,18.00,854900
10-May-00,18.19,18.19,17.94,18.12,1167000
11-May-00,18.12,18.81,18.06,18.50,1470800
