Date,Open,High,Low,Close,Volume
14-Feb-14,32.50,32.50,28.00,28.69,479450
18-Feb-14,28.99,29.64,28.00,28.34,351775
19-Feb-14,28.44,30.18,27.58,28.37,1132967
20-Feb-14,28.15,29.36,28.15,29.09,580420
21-Feb-14,29.40,29.40,28.74,29.00,641340
24-Feb-14,29.20,29.25,28.94,29.02,1712718
25-Feb-14,29.20,29.61,29.02,29.29,828126
26-Feb-14,29.40,30.29,29.20,30.00,425107
27-Feb-14,30.29,30.70,29.71,29.86,463929
28-Feb-14,30.70,32.85,30.01,32.15,18716350
3-Mar-14,31.23,31.78,30.30,31.30,5936939
4-Mar-14,31.30,31.40,30.51,30.57,3279453
5-Mar-14,30.26,31.00,30.13,30.30,2831603
6-Mar-14,30.25,30.70,29.87,30.25,2871171
7-Mar-14,29.75,30.08,29.51,29.53,4232063
10-Mar-14,29.10,29.19,28.45,28.54,6595547
11-Mar-14,28.13,29.70,27.87,28.97,5746171
12-Mar-14,28.63,30.30,28.58,30.25,3619087
13-Mar-14,30.53,31.26,29.98,31.17,3297412
14-Mar-14,31.15,31.50,30.87,31.02,1551776
17-Mar-14,31.00,31.57,30.75,31.43,2092446
18-Mar-14,31.45,33.66,31.34,32.91,2002726
19-Mar-14,32.78,33.10,31.51,32.01,2007192
20-Mar-14,31.23,32.26,31.23,31.48,1600969
21-Mar-14,31.57,32.17,31.25,31.92,1637732
24-Mar-14,31.86,31.90,31.20,31.51,1100456
25-Mar-14,30.99,32.39,30.79,32.05,1694936
26-Mar-14,32.32,32.46,31.48,31.53,1619991
27-Mar-14,31.31,31.96,31.21,31.61,823683
28-Mar-14,31.51,32.28,31.30,31.60,775642
31-Mar-14,31.52,31.80,30.75,31.57,1029418
1-Apr-14,31.36,32.09,31.12,31.58,1166441
2-Apr-14,31.23,31.71,31.02,31.61,927377
3-Apr-14,31.41,31.70,30.93,31.65,926074
4-Apr-14,31.59,32.22,30.92,31.25,1285751
7-Apr-14,31.23,31.28,30.89,31.08,1010983
8-Apr-14,30.96,31.50,30.94,31.29,635623
9-Apr-14,31.25,31.71,31.22,31.64,1107004
10-Apr-14,31.41,31.70,31.13,31.36,1203483
11-Apr-14,31.35,31.59,30.72,30.82,509518
14-Apr-14,30.82,31.20,29.94,30.20,578000
15-Apr-14,30.15,30.50,29.90,30.46,520891
16-Apr-14,30.53,30.71,29.52,29.99,1029854
17-Apr-14,29.99,31.10,29.85,30.68,964544
21-Apr-14,30.72,30.90,30.44,30.60,617987
22-Apr-14,30.59,31.18,30.50,30.79,709256
23-Apr-14,30.94,31.50,30.80,31.40,765204
24-Apr-14,31.47,31.65,30.88,31.47,488538
25-Apr-14,31.32,31.50,30.64,31.31,573825
28-Apr-14,31.43,31.50,30.20,30.92,541140
29-Apr-14,29.50,30.18,29.31,29.52,4404668
30-Apr-14,29.42,29.69,27.70,27.93,1780035
1-May-14,27.85,28.50,27.55,28.34,559174
2-May-14,28.34,29.61,28.25,29.07,734943
5-May-14,28.73,28.95,28.30,28.58,726369
6-May-14,28.40,29.53,28.35,29.39,930072
7-May-14,29.33,29.90,28.35,29.89,1120244
8-May-14,29.77,30.58,28.84,29.26,1081998
9-May-14,29.08,29.68,28.95,29.66,635063
12-May-14,29.89,30.38,29.57,30.15,823169
13-May-14,30.00,30.45,29.62,30.18,928519
14-May-14,30.02,30.39,29.93,30.08,1201510
15-May-14,29.99,30.36,29.85,30.22,1119586
16-May-14,30.34,30.34,29.76,29.90,549059
19-May-14,29.85,30.37,29.77,29.86,623939
20-May-14,29.83,29.86,29.01,29.54,744436
21-May-14,29.75,29.76,29.08,29.12,453789
22-May-14,29.08,29.35,28.71,28.90,783572
23-May-14,28.90,29.18,28.66,28.68,831227
27-May-14,28.72,28.92,27.98,28.16,1744822
28-May-14,28.21,28.44,28.16,28.20,1119240
29-May-14,28.32,28.46,27.91,28.17,490150
30-May-14,28.25,28.45,28.15,28.21,815027
2-Jun-14,28.18,28.71,28.10,28.65,484969
3-Jun-14,28.55,28.91,28.52,28.83,579071
4-Jun-14,28.75,29.03,28.70,29.00,1000889
5-Jun-14,29.00,29.78,29.00,29.64,1312268
6-Jun-14,29.75,29.89,29.51,29.87,983244
9-Jun-14,29.98,30.48,29.79,30.34,1271350
10-Jun-14,30.31,30.58,30.17,30.34,1936751
11-Jun-14,30.22,30.78,30.11,30.68,527280
12-Jun-14,30.50,31.31,30.25,31.22,988525
13-Jun-14,31.31,31.38,30.82,31.00,346026
16-Jun-14,30.89,31.10,30.50,30.65,302287
17-Jun-14,30.54,31.50,30.50,31.39,840002
18-Jun-14,31.23,31.48,30.83,31.38,520216
19-Jun-14,31.26,31.98,30.97,31.93,1238837
20-Jun-14,31.92,32.25,31.77,32.22,943888
23-Jun-14,32.14,32.61,31.83,32.48,1176568
24-Jun-14,32.50,32.52,31.13,31.44,970737
25-Jun-14,31.27,31.75,30.74,30.99,598545
