Date,Open,High,Low,Close,Volume
22-Aug-14,32.40,32.71,32.22,32.57,267692
21-Aug-14,32.08,32.62,31.96,32.51,567505
20-Aug-14,31.84,32.02,31.56,31.97,676584
19-Aug-14,32.00,32.05,31.61,31.92,499908
18-Aug-14,32.20,32.45,31.80,31.96,388586
15-Aug-14,32.08,32.18,31.48,32.06,400719
14-Aug-14,32.13,32.20,31.40,32.03,889547
13-Aug-14,32.53,32.70,31.95,32.18,809483
12-Aug-14,32.40,32.62,32.19,32.53,1241962
11-Aug-14,32.13,32.44,31.85,32.39,975740
8-Aug-14,30.72,31.91,30.68,31.78,1034829
7-Aug-14,30.50,30.72,30.31,30.55,610675
6-Aug-14,30.00,30.77,29.85,30.35,901802
5-Aug-14,29.55,30.24,29.37,30.07,1216196
4-Aug-14,29.51,30.06,29.45,29.78,1646683
1-Aug-14,28.87,29.58,28.67,29.45,999826
31-Jul-14,29.23,29.38,28.96,29.08,860289
30-Jul-14,28.90,29.57,28.71,29.55,1103833
29-Jul-14,29.90,30.75,28.62,28.69,2342672
28-Jul-14,29.55,29.66,28.52,29.08,1684649
25-Jul-14,30.82,30.82,29.37,29.63,2091032
24-Jul-14,30.25,31.06,30.15,30.95,1237188
23-Jul-14,29.91,30.44,29.64,30.11,524426
22-Jul-14,29.57,30.22,29.50,29.93,598854
21-Jul-14,29.10,29.55,29.05,29.51,428444
18-Jul-14,28.95,29.40,28.89,29.22,530684
17-Jul-14,29.15,29.35,28.78,28.88,663832
16-Jul-14,29.40,29.40,28.75,29.15,995049
15-Jul-14,29.37,29.57,29.15,29.25,793181
14-Jul-14,29.50,29.80,29.24,29.38,266992
11-Jul-14,29.72,29.99,29.39,29.43,564507
10-Jul-14,29.14,30.11,29.05,29.78,789611
9-Jul-14,29.90,30.12,29.30,29.35,837479
8-Jul-14,30.10,30.21,29.79,29.93,1078858
7-Jul-14,30.45,30.45,29.63,30.14,770636
3-Jul-14,30.17,30.85,30.15,30.58,863005
2-Jul-14,30.90,31.05,30.06,30.11,736142
1-Jul-14,30.88,31.28,30.74,31.09,674762
30-Jun-14,30.50,31.12,30.50,30.74,700192
27-Jun-14,30.54,30.81,30.33,30.54,1607144
26-Jun-14,31.05,31.07,30.58,30.65,526368
25-Jun-14,31.27,31.75,30.74,30.99,598545
24-Jun-14,32.50,32.52,31.13,31.44,970737
23-Jun-14,32.14,32.61,31.83,32.48,1176568
20-Jun-14,31.92,32.25,31.77,32.22,943888
19-Jun-14,31.26,31.98,30.97,31.93,1238837
18-Jun-14,31.23,31.48,30.83,31.38,520216
17-Jun-14,30.54,31.50,30.50,31.39,840002
16-Jun-14,30.89,31.10,30.50,30.65,302287
13-Jun-14,31.31,31.38,30.82,31.00,346026
12-Jun-14,30.50,31.31,30.25,31.22,988525
11-Jun-14,30.22,30.78,30.11,30.68,527280
10-Jun-14,30.31,30.58,30.17,30.34,1936751
9-Jun-14,29.98,30.48,29.79,30.34,1271350
6-Jun-14,29.75,29.89,29.51,29.87,983244
5-Jun-14,29.00,29.78,29.00,29.64,1312268
4-Jun-14,28.75,29.03,28.70,29.00,1000889
3-Jun-14,28.55,28.91,28.52,28.83,579071
2-Jun-14,28.18,28.71,28.10,28.65,484969
30-May-14,28.25,28.45,28.15,28.21,815027
29-May-14,28.32,28.46,27.91,28.17,490150
28-May-14,28.21,28.44,28.16,28.20,1119240
27-May-14,28.72,28.92,27.98,28.16,1744822
23-May-14,28.90,29.18,28.66,28.68,831227
22-May-14,29.08,29.35,28.71,28.90,783572
21-May-14,29.75,29.76,29.08,29.12,453789
20-May-14,29.83,29.86,29.01,29.54,744436
19-May-14,29.85,30.37,29.77,29.86,623939
16-May-14,30.34,30.34,29.76,29.90,549059
15-May-14,29.99,30.36,29.85,30.22,1119586
14-May-14,30.02,30.39,29.93,30.08,1201510
13-May-14,30.00,30.45,29.62,30.18,928519
12-May-14,29.89,30.38,29.57,30.15,823169
9-May-14,29.08,29.68,28.95,29.66,635063
8-May-14,29.77,30.58,28.84,29.26,1081998
7-May-14,29.33,29.90,28.35,29.89,1120244
6-May-14,28.40,29.53,28.35,29.39,930072
5-May-14,28.73,28.95,28.30,28.58,726369
2-May-14,28.34,29.61,28.25,29.07,734943
