Date,Open,High,Low,Close,Volume
26-May-06,16.50,17.20,16.12,16.75,16332600
30-May-06,16.70,16.70,16.30,16.34,1241900
31-May-06,16.55,17.60,16.35,17.28,988900
1-Jun-06,17.21,17.73,17.03,17.50,922200
2-Jun-06,17.68,17.70,17.22,17.58,721000
5-Jun-06,17.59,17.59,17.00,17.07,616100
6-Jun-06,17.08,17.15,16.39,16.60,970000
7-Jun-06,16.60,16.61,15.35,15.35,1309600
8-Jun-06,14.75,15.23,14.30,14.83,1636500
9-Jun-06,15.05,15.33,14.95,15.15,1031500
12-Jun-06,15.20,15.55,15.05,15.20,613500
13-Jun-06,15.20,15.30,14.31,14.50,579600
14-Jun-06,14.70,14.75,13.80,14.23,799600
15-Jun-06,14.50,14.81,14.39,14.40,811500
16-Jun-06,14.40,14.70,14.30,14.55,355700
19-Jun-06,15.05,15.74,15.05,15.40,1716700
20-Jun-06,15.44,15.98,15.40,15.66,554600
21-Jun-06,15.64,17.03,15.64,16.46,1153800
22-Jun-06,16.66,16.78,16.10,16.40,922400
23-Jun-06,16.48,16.83,16.40,16.57,787600
26-Jun-06,16.70,17.59,16.70,17.50,699900
27-Jun-06,17.80,17.90,16.69,16.93,625700
28-Jun-06,17.00,17.82,16.94,17.69,2615200
29-Jun-06,17.79,18.45,16.99,18.25,2573200
30-Jun-06,18.25,18.25,17.37,17.41,1926500
3-Jul-06,17.41,17.53,17.15,17.40,309000
5-Jul-06,17.60,17.71,17.21,17.52,1023100
6-Jul-06,17.75,17.75,17.25,17.49,591700
7-Jul-06,17.50,17.95,17.35,17.51,509600
10-Jul-06,17.56,17.64,17.35,17.36,228800
11-Jul-06,17.35,17.50,16.73,16.80,446200
12-Jul-06,16.80,17.50,16.75,16.88,526700
13-Jul-06,16.83,16.83,16.51,16.59,487500
14-Jul-06,16.50,16.60,15.92,15.96,506000
17-Jul-06,15.95,16.05,15.72,15.88,218700
18-Jul-06,15.88,15.88,15.36,15.55,548100
19-Jul-06,15.56,16.20,15.55,16.00,737000
20-Jul-06,16.05,16.35,15.69,15.78,464300
21-Jul-06,15.78,15.78,15.09,15.17,280900
24-Jul-06,15.25,15.60,15.25,15.59,209600
25-Jul-06,15.59,15.80,15.43,15.77,310300
26-Jul-06,15.77,15.80,15.20,15.39,366000
27-Jul-06,15.40,15.48,14.76,14.79,356000
28-Jul-06,14.75,15.70,14.50,15.55,1537800
31-Jul-06,15.45,15.97,15.30,15.85,493500
1-Aug-06,15.85,15.85,15.33,15.33,835100
2-Aug-06,16.50,16.96,16.15,16.50,1401100
3-Aug-06,16.70,16.94,16.27,16.89,307200
4-Aug-06,17.20,17.25,16.63,16.95,276300
7-Aug-06,16.89,17.08,16.79,16.90,484600
8-Aug-06,16.89,17.00,16.50,16.51,381900
9-Aug-06,16.52,16.52,15.50,15.52,434900
10-Aug-06,15.50,15.63,14.72,14.94,1050000
11-Aug-06,14.90,15.37,14.65,15.30,182900
14-Aug-06,15.20,15.65,15.15,15.58,254300
15-Aug-06,15.95,16.42,15.77,16.35,333100
16-Aug-06,16.55,17.00,16.45,16.85,443600
17-Aug-06,16.89,16.95,16.52,16.70,291600
18-Aug-06,16.77,16.86,16.36,16.55,299900
21-Aug-06,16.45,16.85,16.36,16.77,170300
22-Aug-06,16.80,17.15,16.71,16.95,341800
23-Aug-06,16.90,17.00,16.60,16.68,264400
24-Aug-06,16.78,16.88,16.32,16.75,272500
25-Aug-06,16.60,16.94,16.60,16.67,286500
28-Aug-06,16.75,17.15,16.68,16.97,307700
29-Aug-06,17.02,17.20,16.92,17.07,284100
30-Aug-06,16.87,17.05,16.80,16.84,454500
31-Aug-06,16.94,17.44,16.93,17.00,527400
1-Sep-06,17.05,17.60,17.05,17.37,317500
5-Sep-06,17.47,17.60,17.27,17.37,324100
6-Sep-06,17.32,17.47,16.92,16.92,285200
7-Sep-06,16.80,16.94,16.53,16.74,460500
8-Sep-06,16.75,16.84,16.50,16.55,318000
11-Sep-06,16.50,16.55,16.20,16.40,328400
12-Sep-06,16.36,16.74,16.35,16.64,366800
13-Sep-06,16.66,16.96,16.37,16.55,776800
14-Sep-06,16.70,16.70,16.36,16.50,434300
15-Sep-06,16.50,16.51,16.09,16.20,734600
18-Sep-06,16.02,16.28,15.90,15.96,312100
19-Sep-06,16.05,16.06,15.25,15.27,812700
20-Sep-06,15.31,15.50,14.89,15.00,907200
21-Sep-06,15.00,15.13,14.72,14.80,839100
22-Sep-06,14.79,15.00,14.28,14.76,786900
25-Sep-06,14.88,15.25,14.73,14.99,320000
26-Sep-06,15.08,15.08,14.10,14.30,1453200
27-Sep-06,14.34,15.12,14.34,14.70,1674900
28-Sep-06,14.68,14.99,14.62,14.80,1082700
29-Sep-06,14.80,14.97,14.58,14.61,572900
2-Oct-06,14.75,14.90,14.60,14.70,496500
3-Oct-06,14.70,14.70,14.12,14.16,599200
4-Oct-06,14.12,14.45,14.07,14.39,389500
5-Oct-06,14.45,14.71,14.30,14.60,480700
6-Oct-06,14.60,14.85,14.60,14.74,293900
