Date,Open,High,Low,Close,Volume
3-Jan-00,91.88,92.19,86.25,91.88,8100
4-Jan-00,90.00,90.00,88.44,89.06,7920
5-Jan-00,89.69,89.69,83.44,85.00,6040
6-Jan-00,84.69,85.00,81.25,84.06,4160
7-Jan-00,84.69,87.19,83.44,87.19,3260
10-Jan-00,86.88,88.12,85.94,86.25,3540
11-Jan-00,85.62,85.62,84.38,85.00,7360
12-Jan-00,84.69,84.69,82.19,84.38,2780
13-Jan-00,84.06,84.38,81.88,84.38,6580
14-Jan-00,84.38,85.00,84.06,85.00,7540
18-Jan-00,84.38,84.38,83.12,83.75,4320
19-Jan-00,82.50,84.69,81.88,82.50,4800
20-Jan-00,82.19,82.19,78.12,78.75,12120
21-Jan-00,78.75,79.38,77.50,77.50,9720
24-Jan-00,78.44,79.38,75.00,75.62,10580
25-Jan-00,75.62,76.56,75.31,76.25,4380
26-Jan-00,76.25,77.19,75.62,76.25,8060
27-Jan-00,76.25,77.50,75.31,76.56,5340
28-Jan-00,76.56,76.88,75.62,75.62,3240
31-Jan-00,75.62,77.19,75.62,75.62,7300
1-Feb-00,75.62,77.50,73.12,73.12,14780
2-Feb-00,73.75,75.94,72.50,72.50,28880
3-Feb-00,72.81,75.00,72.50,74.38,17740
4-Feb-00,73.75,76.25,73.75,76.25,6620
7-Feb-00,76.25,76.25,75.31,75.31,4020
8-Feb-00,75.31,75.94,74.38,75.00,8640
9-Feb-00,75.62,75.62,72.50,73.12,10080
10-Feb-00,73.12,75.00,73.12,74.69,7520
11-Feb-00,74.69,75.00,73.75,73.75,16380
14-Feb-00,75.00,77.19,74.69,77.19,13200
15-Feb-00,77.50,78.75,76.88,77.50,7840
16-Feb-00,77.50,77.81,75.00,76.56,4700
17-Feb-00,77.19,77.50,74.38,75.62,7340
18-Feb-00,75.94,77.19,74.06,75.00,14440
22-Feb-00,74.38,77.50,73.75,75.94,6300
23-Feb-00,76.25,76.88,75.31,75.62,5740
24-Feb-00,76.88,78.75,74.38,75.31,15080
25-Feb-00,75.00,77.19,75.00,76.56,24480
28-Feb-00,76.56,77.19,76.25,76.25,7060
29-Feb-00,76.56,76.56,75.31,75.62,9400
1-Mar-00,77.25,76.25,75.00,75.94,7260
2-Mar-00,77.94,77.50,75.00,76.88,23280
3-Mar-00,78.62,77.50,75.94,77.19,8240
6-Mar-00,79.31,80.00,75.94,80.00,11920
7-Mar-00,80.00,82.50,80.00,80.62,13880
8-Mar-00,81.88,83.75,80.31,83.12,14540
9-Mar-00,84.38,85.94,82.50,85.00,12480
10-Mar-00,85.00,87.19,84.38,87.19,16220
13-Mar-00,86.25,87.50,85.00,87.50,9000
14-Mar-00,86.88,88.75,86.56,88.44,7600
15-Mar-00,88.44,88.44,87.19,87.81,14920
16-Mar-00,87.19,91.25,86.56,89.69,40880
17-Mar-00,89.69,91.25,89.69,91.25,13300
20-Mar-00,90.62,91.56,90.62,91.56,24660
21-Mar-00,90.62,91.56,90.31,90.31,16760
22-Mar-00,90.62,91.56,90.31,91.25,18940
23-Mar-00,91.88,96.88,91.88,95.94,10840
24-Mar-00,96.88,100.00,96.88,97.81,7780
27-Mar-00,97.81,99.38,94.06,94.38,11740
28-Mar-00,92.50,95.94,92.50,95.62,5260
29-Mar-00,96.25,97.81,95.31,95.62,6100
30-Mar-00,95.62,95.62,92.50,94.69,6400
31-Mar-00,94.06,94.38,92.81,94.06,13280
3-Apr-00,94.06,99.38,94.06,98.75,25820
4-Apr-00,98.12,98.12,94.38,95.62,26380
5-Apr-00,95.31,96.25,94.38,95.94,9560
6-Apr-00,95.62,96.88,95.00,95.31,7580
7-Apr-00,95.94,95.94,95.00,95.31,12100
10-Apr-00,95.31,95.94,95.00,95.00,6640
11-Apr-00,95.00,95.31,94.38,95.00,6140
12-Apr-00,95.00,96.88,95.00,96.25,3000
13-Apr-00,95.62,95.62,95.00,95.31,12320
14-Apr-00,95.31,95.62,94.38,95.00,15440
17-Apr-00,94.69,96.25,94.38,96.25,15460
18-Apr-00,95.94,98.12,95.62,98.12,5660
19-Apr-00,97.50,97.50,95.00,95.00,2100
20-Apr-00,95.31,95.62,95.00,95.31,1760
24-Apr-00,95.00,95.62,95.00,95.62,4700
25-Apr-00,95.00,96.25,95.00,96.25,2540
26-Apr-00,96.25,96.25,95.31,95.94,1580
27-Apr-00,95.62,96.25,95.31,96.25,27420
28-Apr-00,95.94,96.88,95.62,95.62,1600
1-May-00,96.25,98.75,96.25,98.75,3500
2-May-00,99.38,100.62,97.81,98.12,4880
3-May-00,97.50,97.50,95.00,95.31,7200
4-May-00,95.62,97.50,94.38,95.31,4260
5-May-00,96.56,96.56,94.38,95.00,13900
8-May-00,95.00,95.31,93.12,93.12,2980
9-May-00,93.12,93.12,90.00,90.62,8960
10-May-00,91.56,91.88,90.62,91.25,3320
11-May-00,91.56,92.50,91.25,91.56,3740
12-May-00,91.88,92.19,91.25,91.25,5200
15-May-00,91.88,92.19,90.00,92.19,4900
16-May-00,92.50,93.12,91.25,93.12,8140
17-May-00,91.88,92.19,91.25,91.56,1220
18-May-00,91.25,91.88,90.31,91.25,3600
19-May-00,91.88,91.88,90.31,90.62,3120
22-May-00,90.62,90.62,87.81,87.81,1960
23-May-00,88.12,88.75,87.50,87.50,7640
24-May-00,87.50,87.50,83.75,85.62,5700
25-May-00,86.25,89.38,86.25,87.50,5000
26-May-00,88.75,88.75,83.75,85.62,15240
30-May-00,85.62,86.88,85.00,85.62,5740
31-May-00,85.00,85.94,84.38,85.31,7300
1-Jun-00,85.31,85.62,83.75,84.38,11300
2-Jun-00,86.25,86.88,83.75,85.31,14780
5-Jun-00,86.25,86.88,85.62,86.56,6820
6-Jun-00,86.25,86.88,85.62,85.94,11440
7-Jun-00,85.62,86.25,85.62,85.94,2040
8-Jun-00,86.25,86.25,85.00,85.62,840
9-Jun-00,86.25,86.25,84.38,85.31,5160
12-Jun-00,85.62,87.19,85.00,86.88,2520
13-Jun-00,87.50,88.12,86.88,88.12,5580
14-Jun-00,88.75,89.38,87.50,87.50,8880
15-Jun-00,87.50,87.81,86.25,87.50,7680
16-Jun-00,87.50,89.38,87.50,88.75,12060
19-Jun-00,89.38,89.38,88.12,88.12,5140
20-Jun-00,88.75,89.38,88.12,88.12,9020
21-Jun-00,88.12,88.12,87.50,87.50,2940
22-Jun-00,87.81,87.81,85.62,86.56,4220
23-Jun-00,86.88,86.88,85.00,85.94,2780
26-Jun-00,85.00,86.88,85.00,85.62,5720
27-Jun-00,86.25,89.38,86.25,88.75,6200
28-Jun-00,89.38,96.25,89.38,95.62,10500
