Date,Open,High,Low,Close,Volume
3-Jan-00,13.14,13.29,12.99,13.29,12001
4-Jan-00,13.26,13.26,13.11,13.11,4301
5-Jan-00,13.18,13.18,12.99,13.07,7999
6-Jan-00,12.99,12.99,12.58,12.58,12799
7-Jan-00,12.58,12.66,12.58,12.62,1200
10-Jan-00,12.54,12.54,12.02,12.06,12200
11-Jan-00,12.02,12.02,11.64,11.64,10101
12-Jan-00,11.72,12.02,11.53,12.02,18200
13-Jan-00,12.09,12.17,12.02,12.09,38499
14-Jan-00,12.06,12.13,12.02,12.13,12901
18-Jan-00,12.09,12.24,12.09,12.21,11699
19-Jan-00,12.36,12.62,12.36,12.62,21299
20-Jan-00,12.69,12.92,12.69,12.84,28201
21-Jan-00,12.92,12.92,12.62,12.66,22900
24-Jan-00,12.66,12.66,12.62,12.62,20399
25-Jan-00,12.69,12.69,12.54,12.66,17900
26-Jan-00,12.62,12.77,12.39,12.39,43099
27-Jan-00,12.32,12.39,12.21,12.21,12799
28-Jan-00,12.24,12.39,12.21,12.21,5199
31-Jan-00,12.21,12.21,11.87,12.09,20000
1-Feb-00,12.06,12.06,11.87,11.87,176000
2-Feb-00,11.75,11.90,11.75,11.90,101700
3-Feb-00,11.98,12.17,11.98,12.17,17601
4-Feb-00,12.09,12.88,12.09,12.88,43500
7-Feb-00,12.88,13.67,12.81,13.67,44800
8-Feb-00,13.82,15.62,13.82,14.46,237999
9-Feb-00,14.42,15.32,14.31,14.80,174000
10-Feb-00,14.91,15.25,14.35,14.65,82600
11-Feb-00,14.65,14.65,13.48,13.48,81401
14-Feb-00,13.56,13.56,12.92,13.07,22800
15-Feb-00,12.99,13.14,12.54,13.14,39700
16-Feb-00,13.14,13.26,13.14,13.22,10001
17-Feb-00,13.14,13.22,12.43,12.43,18000
18-Feb-00,12.47,12.47,12.32,12.32,8600
22-Feb-00,12.32,12.62,12.17,12.17,18601
23-Feb-00,12.24,12.24,11.79,11.79,31200
24-Feb-00,11.79,11.87,11.45,11.53,66101
25-Feb-00,11.57,11.57,10.93,10.97,31500
28-Feb-00,10.97,10.97,10.82,10.97,6999
29-Feb-00,11.12,11.42,11.04,11.42,19800
1-Mar-00,0.00,12.17,11.57,12.02,51200
2-Mar-00,0.00,12.06,11.72,12.06,14000
3-Mar-00,0.00,12.02,11.87,11.87,11699
6-Mar-00,0.00,12.02,11.72,11.72,6999
7-Mar-00,11.68,11.75,11.27,11.34,22199
8-Mar-00,11.23,11.23,10.97,11.00,16701
9-Mar-00,11.00,11.08,10.93,11.00,27800
10-Mar-00,10.93,11.34,10.89,11.12,14000
13-Mar-00,11.12,11.12,11.04,11.04,2000
14-Mar-00,11.12,11.19,11.12,11.15,13200
15-Mar-00,11.12,11.12,11.04,11.08,4301
16-Mar-00,11.04,11.19,10.67,11.12,32699
17-Mar-00,11.12,11.12,11.00,11.00,11699
20-Mar-00,11.00,11.30,11.00,11.15,15300
21-Mar-00,11.12,11.15,11.00,11.15,9799
22-Mar-00,11.15,11.15,11.12,11.15,1200
23-Mar-00,11.08,11.19,11.08,11.19,18300
