Date,Open,High,Low,Close,Volume
3-Jan-00,5.62,5.62,5.03,5.28,923600
4-Jan-00,5.22,5.22,5.00,5.03,196400
5-Jan-00,5.03,5.06,4.89,4.94,1036800
6-Jan-00,4.95,4.95,4.86,4.91,469200
7-Jan-00,4.88,5.03,4.88,4.98,509600
10-Jan-00,4.95,5.02,4.89,4.89,1116400
11-Jan-00,4.94,4.97,4.62,4.69,1533200
12-Jan-00,4.75,4.75,4.47,4.53,1540400
13-Jan-00,4.55,4.75,4.55,4.75,1454800
14-Jan-00,4.81,4.84,4.61,4.72,692800
18-Jan-00,4.69,4.70,4.64,4.67,354400
19-Jan-00,4.70,4.70,4.45,4.48,973600
20-Jan-00,4.50,4.61,4.33,4.53,1856800
21-Jan-00,4.81,4.84,4.53,4.59,1245200
24-Jan-00,4.62,4.70,4.42,4.47,1358800
25-Jan-00,4.53,4.53,4.19,4.25,1631600
26-Jan-00,4.30,4.42,4.28,4.36,2785600
27-Jan-00,4.38,4.50,4.34,4.48,1858800
28-Jan-00,4.52,4.56,4.44,4.44,1246400
31-Jan-00,4.48,4.48,4.33,4.36,1199200
1-Feb-00,4.41,4.44,4.28,4.30,798800
2-Feb-00,4.36,4.36,4.23,4.25,1172400
3-Feb-00,4.31,4.36,4.25,4.31,1000000
4-Feb-00,4.33,4.39,4.27,4.31,4247200
7-Feb-00,4.31,4.33,4.11,4.14,1506400
8-Feb-00,4.25,4.52,4.23,4.45,1397600
9-Feb-00,4.44,4.47,4.38,4.42,860400
10-Feb-00,4.42,4.48,4.33,4.36,937200
11-Feb-00,4.36,4.48,4.34,4.41,785200
14-Feb-00,4.42,4.45,4.38,4.39,664800
15-Feb-00,4.36,4.78,4.36,4.62,1324800
16-Feb-00,4.62,4.62,4.39,4.42,676000
17-Feb-00,4.47,4.56,4.39,4.42,1258400
18-Feb-00,4.41,4.44,4.22,4.44,796000
22-Feb-00,4.41,4.50,4.31,4.33,324400
23-Feb-00,4.41,4.41,4.25,4.27,383600
24-Feb-00,4.31,4.38,4.14,4.20,634800
25-Feb-00,4.19,4.23,4.03,4.05,810800
28-Feb-00,4.00,4.11,4.00,4.09,594400
29-Feb-00,4.14,4.30,4.08,4.20,741200
1-Mar-00,4.13,4.33,4.14,4.27,714400
2-Mar-00,4.12,4.28,4.00,4.16,1325600
3-Mar-00,4.1,4.25,4.05,4.12,523600
6-Mar-00,4.09,4.17,4.03,4.05,433600
7-Mar-00,4.08,4.09,3.91,3.98,606000
8-Mar-00,3.94,4.00,3.84,3.92,416800
9-Mar-00,3.88,4.06,3.81,4.05,931600
10-Mar-00,4.00,4.05,3.95,3.97,1440000
13-Mar-00,4.02,4.06,3.95,4.05,1011600
14-Mar-00,4.02,4.08,3.89,3.94,613600
15-Mar-00,3.94,4.36,3.94,4.28,1652400
16-Mar-00,4.28,4.83,4.28,4.81,2527600
17-Mar-00,4.50,4.84,4.50,4.70,1604800
20-Mar-00,4.72,4.88,4.69,4.83,944000
21-Mar-00,4.80,4.83,4.77,4.81,624000
22-Mar-00,4.80,4.80,4.69,4.75,1052400
23-Mar-00,4.72,5.03,4.67,4.88,1113600
24-Mar-00,4.89,4.98,4.75,4.86,1296400
27-Mar-00,4.86,4.97,4.77,4.83,350400
28-Mar-00,4.78,4.83,4.67,4.73,610000
