Date,Open,High,Low,Close,Volume
3-Jan-00,3.19,3.25,3.06,3.12,353400
4-Jan-00,3.06,3.12,3.00,3.12,251500
5-Jan-00,3.06,3.12,3.00,3.12,276600
6-Jan-00,3.12,3.38,3.06,3.38,448700
7-Jan-00,3.44,3.62,3.38,3.50,523100
10-Jan-00,3.56,3.56,3.31,3.38,376500
11-Jan-00,3.38,3.50,3.31,3.50,467900
12-Jan-00,3.50,3.56,3.31,3.38,429200
13-Jan-00,3.38,3.81,3.38,3.75,794800
14-Jan-00,3.81,4.00,3.62,3.81,739700
18-Jan-00,3.81,4.19,3.75,4.06,1268900
19-Jan-00,4.12,4.12,3.88,4.00,644800
20-Jan-00,4.00,4.00,3.69,3.69,584200
21-Jan-00,3.75,4.12,3.75,4.00,982600
24-Jan-00,4.00,4.06,3.75,3.81,459500
25-Jan-00,3.75,4.00,3.69,3.69,410000
26-Jan-00,3.81,3.94,3.69,3.69,368400
27-Jan-00,3.75,3.81,3.62,3.62,269900
28-Jan-00,3.56,3.69,3.50,3.56,258300
31-Jan-00,3.50,3.56,3.50,3.50,183200
1-Feb-00,3.50,3.75,3.50,3.69,284100
2-Feb-00,3.75,4.06,3.69,3.81,845700
3-Feb-00,3.88,4.00,3.69,3.94,794700
4-Feb-00,4.00,4.00,3.62,3.81,1369200
7-Feb-00,3.81,3.81,3.56,3.69,432600
8-Feb-00,3.62,3.69,3.50,3.50,439200
9-Feb-00,3.50,3.56,3.44,3.44,481600
10-Feb-00,3.50,3.75,3.44,3.75,611800
11-Feb-00,3.75,3.88,3.69,3.81,417900
14-Feb-00,3.75,4.00,3.75,4.00,876200
15-Feb-00,4.00,4.19,4.00,4.19,1023600
16-Feb-00,4.19,4.19,4.00,4.00,585200
17-Feb-00,3.94,3.94,3.69,3.75,438200
18-Feb-00,3.75,3.81,3.62,3.69,285300
22-Feb-00,3.75,3.75,3.56,3.56,295800
23-Feb-00,3.62,3.62,3.56,3.56,220600
24-Feb-00,3.56,3.81,3.56,3.69,457300
25-Feb-00,3.56,3.69,3.56,3.62,286900
28-Feb-00,3.56,3.75,3.50,3.75,493000
29-Feb-00,3.69,4.00,3.69,4.00,615000
1-Mar-00,3.76,4.12,3.81,4.00,988300
2-Mar-00,3.84,4.44,3.94,4.25,1678200
3-Mar-00,3.91,4.31,4.06,4.12,811800
6-Mar-00,3.99,4.12,3.94,4.00,762000
7-Mar-00,4.06,4.50,4.06,4.44,1375200
8-Mar-00,4.44,4.44,4.06,4.06,1163400
9-Mar-00,4.12,4.25,4.00,4.19,589000
10-Mar-00,4.19,4.38,4.12,4.25,592200
13-Mar-00,4.25,4.38,4.12,4.31,540100
14-Mar-00,4.25,4.31,4.00,4.19,547900
15-Mar-00,4.12,4.19,4.00,4.12,299300
16-Mar-00,4.06,4.25,4.06,4.25,495300
17-Mar-00,4.19,4.31,4.06,4.12,353000
20-Mar-00,4.06,4.12,4.00,4.06,247800
21-Mar-00,4.06,4.25,4.06,4.19,522400
22-Mar-00,4.12,4.50,4.12,4.50,1199400
23-Mar-00,4.44,4.62,4.31,4.50,646800
24-Mar-00,4.56,4.88,4.56,4.88,1431600
27-Mar-00,4.94,4.94,4.62,4.94,650600
28-Mar-00,4.88,4.94,4.56,4.56,493700
29-Mar-00,4.56,4.88,4.44,4.88,659100
30-Mar-00,4.88,5.12,4.88,4.94,1706700
31-Mar-00,5.00,5.06,4.88,5.00,428900
3-Apr-00,5.00,5.19,4.94,5.06,660400
4-Apr-00,4.88,5.00,4.25,4.50,753500
5-Apr-00,4.44,4.50,4.31,4.38,374400
6-Apr-00,4.44,4.62,4.38,4.56,449300
7-Apr-00,4.56,4.62,4.50,4.62,602000
10-Apr-00,4.62,4.62,4.38,4.38,357300
11-Apr-00,4.38,4.56,4.38,4.44,325400
12-Apr-00,4.44,4.56,4.38,4.50,445900
13-Apr-00,4.44,4.50,4.31,4.31,345100
14-Apr-00,4.25,4.38,4.00,4.00,776100
17-Apr-00,4.00,4.12,3.75,4.00,439300
18-Apr-00,4.00,4.19,3.94,4.12,319200
19-Apr-00,4.12,4.31,3.94,3.94,271300
20-Apr-00,4.00,4.25,3.94,4.19,323100
24-Apr-00,4.19,4.19,3.88,3.94,357200
25-Apr-00,3.81,4.06,3.81,4.06,259300
26-Apr-00,3.94,4.25,3.88,4.25,423800
27-Apr-00,4.12,4.31,4.06,4.31,350100
28-Apr-00,4.38,4.56,4.25,4.31,465400
1-May-00,4.31,4.38,4.25,4.31,238400
2-May-00,4.31,4.69,4.31,4.62,697300
3-May-00,4.62,4.62,4.38,4.50,400000
4-May-00,4.50,4.56,4.38,4.44,637000
5-May-00,4.31,4.50,4.31,4.44,238600
8-May-00,4.44,4.56,4.44,4.56,2316600
9-May-00,4.75,4.94,4.69,4.75,744000
10-May-00,4.75,4.81,4.56,4.62,406900
11-May-00,4.62,5.06,4.62,5.00,980900
12-May-00,4.94,5.25,4.88,5.25,1011800
15-May-00,5.25,6.00,5.25,5.75,2073000
16-May-00,6.00,6.31,5.81,5.81,1879200
17-May-00,5.50,6.31,5.44,6.19,1726200
18-May-00,6.12,6.19,5.88,5.94,791100
19-May-00,6.00,6.12,5.75,5.81,596600
22-May-00,5.75,5.81,5.56,5.69,618700
23-May-00,5.75,6.00,5.62,5.75,461500
24-May-00,5.75,5.75,5.31,5.44,431800
25-May-00,5.44,5.62,5.38,5.56,365000
26-May-00,5.56,5.56,5.31,5.31,182100
30-May-00,5.31,5.62,5.25,5.62,486400
31-May-00,5.62,6.12,5.62,6.06,1032500
1-Jun-00,6.12,6.62,6.12,6.38,1592600
2-Jun-00,6.50,6.62,5.88,6.12,1010400
5-Jun-00,6.25,6.25,5.50,5.50,1027900
6-Jun-00,5.50,5.75,5.50,5.69,947000
7-Jun-00,5.62,5.75,5.50,5.62,378300
8-Jun-00,5.62,5.69,5.56,5.69,502600
9-Jun-00,5.69,5.69,5.50,5.56,331500
12-Jun-00,5.69,6.00,5.62,6.00,502500
13-Jun-00,6.00,6.25,5.88,5.94,548200
14-Jun-00,5.88,6.31,5.88,6.25,1126200
15-Jun-00,6.31,6.69,6.25,6.50,1133300
16-Jun-00,6.62,6.88,6.12,6.31,1191700
19-Jun-00,6.31,6.31,5.88,5.94,652100
20-Jun-00,5.88,5.94,5.69,5.81,885800
21-Jun-00,5.81,6.25,5.81,6.25,613300
22-Jun-00,6.44,6.44,5.94,6.00,442100
23-Jun-00,6.00,6.12,5.88,6.06,358500
26-Jun-00,6.12,6.25,5.94,5.94,275900
27-Jun-00,6.00,6.12,5.88,5.94,536100
28-Jun-00,5.88,5.94,5.69,5.69,516600
29-Jun-00,5.75,5.81,5.69,5.81,367000
30-Jun-00,5.81,6.19,5.75,6.19,911700
3-Jul-00,6.12,6.19,6.06,6.19,125200
5-Jul-00,6.00,6.06,5.88,6.06,867700
6-Jul-00,6.00,6.06,5.94,5.94,574500
7-Jul-00,5.94,5.94,5.69,5.75,654200
10-Jul-00,5.75,5.75,5.62,5.62,450000
11-Jul-00,5.75,5.94,5.75,5.94,670100
12-Jul-00,5.94,6.06,5.81,5.88,569000
13-Jul-00,5.81,5.88,5.75,5.81,204900
14-Jul-00,5.81,5.81,5.50,5.69,550700
17-Jul-00,5.69,5.69,5.31,5.38,416700
18-Jul-00,5.31,5.75,5.31,5.50,603600
19-Jul-00,5.50,5.50,5.06,5.12,723300
20-Jul-00,5.12,5.12,4.94,5.00,508600
21-Jul-00,5.00,5.12,4.88,5.00,667500
24-Jul-00,5.06,5.12,4.88,5.06,1055200
25-Jul-00,5.06,5.19,5.00,5.12,463600
26-Jul-00,5.12,5.12,4.88,5.06,682800
27-Jul-00,5.06,5.81,5.06,5.81,950000
28-Jul-00,5.75,5.75,5.38,5.62,588900
31-Jul-00,5.44,5.62,5.38,5.56,313400
1-Aug-00,5.44,5.69,5.44,5.62,294700
2-Aug-00,5.75,5.94,5.75,5.88,564800
3-Aug-00,5.88,5.94,5.62,5.69,234600
4-Aug-00,5.62,5.88,5.62,5.75,197000
7-Aug-00,5.75,5.88,5.69,5.77,174900
8-Aug-00,5.69,6.00,5.69,5.69,309200
9-Aug-00,5.81,6.00,5.81,5.94,482600
10-Aug-00,5.94,6.06,5.81,5.81,386800
11-Aug-00,5.81,6.00,5.75,5.88,308700
14-Aug-00,6.00,6.25,5.94,6.19,951500
15-Aug-00,6.38,6.44,6.12,6.12,600200
16-Aug-00,6.06,6.38,6.00,6.31,438200
17-Aug-00,6.25,6.62,6.25,6.44,881300
18-Aug-00,6.50,6.75,6.38,6.50,514900
21-Aug-00,6.69,7.12,6.62,6.94,1334700
22-Aug-00,7.00,7.06,6.75,7.00,572600
23-Aug-00,7.12,7.44,7.12,7.38,1005500
24-Aug-00,7.38,7.44,7.00,7.12,522800
25-Aug-00,7.12,7.12,6.81,7.06,308000
28-Aug-00,7.16,7.31,7.06,7.19,468000
29-Aug-00,7.19,7.31,7.06,7.06,392500
30-Aug-00,7.00,7.06,6.75,7.00,573400
31-Aug-00,7.00,7.19,7.00,7.12,375300
1-Sep-00,7.12,7.19,7.00,7.06,248600
5-Sep-00,7.00,7.12,6.81,6.94,351700
6-Sep-00,6.94,7.38,6.88,7.38,696500
7-Sep-00,7.25,7.31,6.94,7.31,731100
8-Sep-00,7.31,7.31,6.94,7.06,577200
11-Sep-00,6.94,7.12,6.88,6.94,950800
