Date,Open,High,Low,Close,Volume
1-Nov-00,7.75,8.00,7.31,7.62,113000
2-Nov-00,7.88,8.00,7.25,7.25,174800
3-Nov-00,7.25,7.25,7.06,7.12,92900
6-Nov-00,7.19,7.75,7.00,7.25,110500
7-Nov-00,7.25,7.25,6.81,7.19,79400
8-Nov-00,7.06,7.50,7.00,7.31,249200
9-Nov-00,7.25,8.12,7.00,7.06,194000
10-Nov-00,7.00,7.06,6.69,6.75,177700
13-Nov-00,6.75,6.88,6.50,6.88,227800
14-Nov-00,6.94,7.44,6.62,7.12,649200
15-Nov-00,7.00,7.25,6.88,6.94,189900
16-Nov-00,7.00,7.00,6.31,6.38,295500
17-Nov-00,6.62,6.62,6.25,6.50,549800
20-Nov-00,6.31,6.38,5.75,6.06,190100
21-Nov-00,6.06,6.12,6.00,6.00,111300
22-Nov-00,6.12,6.12,5.81,5.94,384400
24-Nov-00,5.94,6.12,5.94,6.12,63600
27-Nov-00,6.12,6.12,5.75,5.94,510700
28-Nov-00,5.94,6.06,5.75,5.75,363900
29-Nov-00,5.69,5.81,5.56,5.62,364600
30-Nov-00,5.62,5.69,5.56,5.56,110400
1-Dec-00,5.50,5.69,5.19,5.38,589700
4-Dec-00,5.31,5.38,4.81,4.81,911700
5-Dec-00,4.94,5.00,4.56,5.00,1018400
6-Dec-00,4.94,5.00,4.62,4.69,1461200
7-Dec-00,4.75,5.19,4.69,5.06,791500
8-Dec-00,5.06,5.38,4.94,5.31,531200
11-Dec-00,5.44,5.62,5.38,5.50,268400
12-Dec-00,5.62,5.62,4.94,5.00,365400
13-Dec-00,5.00,5.25,4.88,5.12,427900
14-Dec-00,5.12,5.12,5.00,5.12,217900
15-Dec-00,5.12,5.12,4.75,4.94,912600
18-Dec-00,5.00,5.06,4.81,5.06,446000
19-Dec-00,5.00,5.50,5.00,5.31,258500
20-Dec-00,5.12,5.12,4.62,4.62,2448700
21-Dec-00,4.75,5.00,4.75,4.88,501100
22-Dec-00,4.88,5.44,4.81,5.38,298700
26-Dec-00,5.25,5.69,5.25,5.56,138800
27-Dec-00,5.50,5.69,5.06,5.56,837500
28-Dec-00,5.62,5.69,5.19,5.38,536800
29-Dec-00,5.62,6.50,5.62,5.88,1675600
2-Jan-01,6.12,6.50,6.06,6.19,209500
3-Jan-01,6.25,6.25,5.69,6.00,134000
4-Jan-01,5.88,6.62,5.69,6.50,311900
5-Jan-01,6.50,6.88,6.31,6.81,250500
8-Jan-01,6.75,6.81,6.56,6.69,335700
9-Jan-01,6.69,7.50,6.69,7.25,545900
10-Jan-01,7.31,7.38,7.06,7.38,273500
11-Jan-01,7.50,7.75,7.31,7.75,131000
12-Jan-01,7.75,7.75,7.25,7.62,253200
16-Jan-01,7.56,7.69,7.31,7.69,81600
17-Jan-01,7.62,7.62,7.19,7.19,115000
18-Jan-01,7.19,7.69,7.12,7.69,196500
19-Jan-01,7.56,7.81,7.12,7.12,538500
22-Jan-01,7.38,8.00,7.38,7.62,268500
23-Jan-01,7.62,7.94,7.62,7.69,193700
24-Jan-01,7.62,8.12,7.56,7.88,493100
25-Jan-01,8.00,8.12,7.88,7.94,138400
