Date,Open,High,Low,Close,Volume
3-Jan-00,18.84,18.84,18.18,18.80,96000
4-Jan-00,18.63,18.76,18.34,18.76,241800
5-Jan-00,18.59,19.26,18.51,19.05,217500
6-Jan-00,18.97,19.18,18.88,19.09,81300
7-Jan-00,19.09,19.09,18.26,18.59,98200
10-Jan-00,18.51,18.72,17.93,18.72,87700
11-Jan-00,18.88,20.26,18.88,19.55,266600
12-Jan-00,19.63,20.09,19.47,19.84,130600
13-Jan-00,19.93,19.97,19.63,19.93,254000
14-Jan-00,20.01,20.34,19.97,20.26,233600
18-Jan-00,20.22,20.22,19.51,19.55,109400
19-Jan-00,19.51,19.93,18.72,19.88,124000
20-Jan-00,23.26,25.35,22.72,24.05,1947100
21-Jan-00,24.22,24.93,23.01,23.51,470000
24-Jan-00,23.68,24.10,23.09,23.51,242700
25-Jan-00,23.60,24.51,23.39,23.80,201900
26-Jan-00,23.76,23.80,23.47,23.80,136000
27-Jan-00,23.85,23.85,22.68,22.76,77500
28-Jan-00,22.76,22.76,22.26,22.43,71400
31-Jan-00,22.26,22.26,21.64,21.84,61200
1-Feb-00,21.76,22.76,21.68,22.39,205200
2-Feb-00,22.43,23.26,22.26,23.26,413300
3-Feb-00,23.22,23.85,23.01,23.39,328300
4-Feb-00,23.47,23.47,22.68,22.76,178300
7-Feb-00,22.84,23.18,22.84,23.01,98400
8-Feb-00,23.05,23.97,23.05,23.93,204200
9-Feb-00,24.01,25.26,23.97,24.43,326700
10-Feb-00,24.43,24.85,23.93,24.01,94500
11-Feb-00,24.05,24.18,23.68,23.80,42100
14-Feb-00,23.64,23.64,23.34,23.43,143300
15-Feb-00,23.26,23.43,23.14,23.26,129400
16-Feb-00,23.34,23.34,23.01,23.01,133700
17-Feb-00,23.09,23.18,22.80,22.97,123500
18-Feb-00,23.01,23.68,22.93,23.55,285900
22-Feb-00,23.60,25.35,23.60,24.76,510600
23-Feb-00,25.26,27.26,25.22,26.89,1288900
24-Feb-00,27.85,27.93,26.35,26.51,645900
25-Feb-00,26.51,26.68,25.72,25.93,264500
28-Feb-00,26.01,26.30,25.68,26.05,233000
29-Feb-00,26.18,27.26,26.10,27.01,457000
1-Mar-00,27.08,29.68,27.22,29.35,1311100
2-Mar-00,27.98,32.02,29.35,31.35,1215600
3-Mar-00,28.88,31.68,30.68,30.93,423700
6-Mar-00,29.78,31.18,30.18,30.52,185300
7-Mar-00,30.68,31.18,29.85,30.68,589100
8-Mar-00,30.85,31.52,30.60,31.27,361900
9-Mar-00,31.43,31.56,30.35,31.02,507800
10-Mar-00,31.85,34.43,31.81,33.85,806900
13-Mar-00,33.85,35.52,33.18,34.85,780800
14-Mar-00,36.68,37.52,36.27,36.64,731300
15-Mar-00,37.02,37.94,34.18,37.73,905500
16-Mar-00,37.64,38.69,37.35,38.64,642100
17-Mar-00,38.69,39.69,38.69,39.44,309300
20-Mar-00,39.81,40.02,39.02,39.10,403400
