Date,Open,High,Low,Close,Volume
17-Jun-11,14.00,15.34,13.81,15.34,9348220
20-Jun-11,15.10,15.52,15.10,15.35,917301
21-Jun-11,15.41,15.49,15.02,15.35,1399029
22-Jun-11,15.35,15.45,15.12,15.25,303115
23-Jun-11,15.32,15.50,15.00,15.40,246596
24-Jun-11,15.38,15.50,15.21,15.30,261953
27-Jun-11,15.50,15.79,15.36,15.60,287915
28-Jun-11,15.59,16.50,15.44,16.00,197565
29-Jun-11,16.00,16.11,15.45,16.11,303305
30-Jun-11,16.24,17.00,15.66,16.58,169949
1-Jul-11,16.48,17.89,16.46,17.13,240499
5-Jul-11,17.33,17.53,16.68,17.04,116505
6-Jul-11,17.02,17.45,16.85,17.16,145963
7-Jul-11,17.27,17.66,17.03,17.21,92016
8-Jul-11,17.06,17.25,16.60,16.64,71359
11-Jul-11,16.80,17.25,16.70,16.94,84317
12-Jul-11,16.77,17.00,16.34,16.76,90438
13-Jul-11,16.80,17.15,16.72,17.09,55799
14-Jul-11,17.14,17.81,17.14,17.37,145109
15-Jul-11,17.38,18.89,17.38,17.94,730046
18-Jul-11,18.24,18.24,17.13,17.63,276576
19-Jul-11,17.61,18.13,17.44,17.82,193376
20-Jul-11,17.91,18.44,17.83,17.96,120269
21-Jul-11,18.09,18.18,17.82,18.08,117957
22-Jul-11,18.04,18.50,17.94,18.34,95089
25-Jul-11,18.15,18.31,18.05,18.21,99243
26-Jul-11,18.14,18.70,18.14,18.60,112450
27-Jul-11,18.31,18.84,18.08,18.44,99758
28-Jul-11,18.38,18.76,18.03,18.39,64576
29-Jul-11,18.17,18.32,17.98,18.29,55038
1-Aug-11,18.53,18.53,18.19,18.29,58575
2-Aug-11,18.23,18.36,17.45,17.67,83649
3-Aug-11,17.64,17.64,16.58,16.74,192014
4-Aug-11,16.48,16.48,15.74,15.96,111459
5-Aug-11,16.11,16.27,15.00,15.56,187046
8-Aug-11,15.21,15.58,14.61,15.26,337963
9-Aug-11,15.39,16.00,15.01,15.90,217814
10-Aug-11,15.57,16.04,14.88,15.48,358670
11-Aug-11,16.47,16.48,15.36,16.00,81375
12-Aug-11,16.13,16.21,15.23,15.40,192285
15-Aug-11,15.43,15.69,15.13,15.67,37113
16-Aug-11,15.46,15.56,15.03,15.40,92303
17-Aug-11,15.39,15.40,15.22,15.38,18680
18-Aug-11,14.90,15.37,14.53,14.94,200943
19-Aug-11,14.82,14.95,14.73,14.85,39522
22-Aug-11,15.20,15.38,13.38,13.97,197758
23-Aug-11,13.88,14.15,13.86,13.98,50467
24-Aug-11,13.91,14.15,13.86,13.99,22647
25-Aug-11,13.94,14.87,13.94,14.55,86395
26-Aug-11,14.55,16.41,14.41,15.61,60675
29-Aug-11,15.84,16.68,15.18,16.25,177715
30-Aug-11,16.30,17.18,16.00,16.83,48616
31-Aug-11,16.90,17.00,16.38,16.65,51319
1-Sep-11,16.61,16.61,15.92,16.22,129126
2-Sep-11,15.96,16.15,15.48,16.00,18858
6-Sep-11,15.64,16.66,15.45,16.59,137357
7-Sep-11,16.85,17.15,16.55,17.00,134190
8-Sep-11,17.01,17.01,15.74,15.78,205305
9-Sep-11,15.73,15.86,15.26,15.83,124454
12-Sep-11,15.67,16.01,15.49,15.71,144029
13-Sep-11,15.74,15.82,15.19,15.63,174824
14-Sep-11,15.61,15.92,15.05,15.70,65189
15-Sep-11,15.60,15.99,15.19,15.99,172988
16-Sep-11,16.08,16.37,15.80,16.28,115144
19-Sep-11,15.98,16.68,15.97,16.44,95975
20-Sep-11,16.45,17.60,16.45,17.27,356838
21-Sep-11,17.41,17.46,15.76,15.99,127606
22-Sep-11,15.57,16.50,14.99,16.11,152379
23-Sep-11,16.01,16.49,15.71,16.27,70779
26-Sep-11,16.47,16.47,15.78,16.02,145424
27-Sep-11,16.48,16.48,15.69,16.01,131190
28-Sep-11,15.99,16.12,15.25,15.95,113500
29-Sep-11,16.20,16.38,15.14,15.60,165417
30-Sep-11,15.51,15.68,14.70,15.21,2398450
3-Oct-11,15.06,15.54,14.31,14.32,366713
4-Oct-11,14.17,15.66,13.78,15.49,160703
5-Oct-11,15.50,15.63,15.05,15.26,103373
6-Oct-11,15.16,15.90,15.12,15.86,129709
7-Oct-11,15.93,16.08,15.12,15.20,76360
10-Oct-11,15.52,16.00,15.38,15.81,124235
11-Oct-11,15.71,16.43,15.63,16.20,115158
12-Oct-11,16.20,16.34,15.85,16.11,134830
