Date,Open,High,Low,Close,Volume
8-Oct-07,9.08,9.10,9.06,9.08,631800
9-Oct-07,9.10,9.20,9.06,9.06,899800
10-Oct-07,9.06,9.08,9.05,9.06,167900
11-Oct-07,9.08,9.09,9.01,9.02,84500
12-Oct-07,9.02,9.09,9.01,9.01,37200
15-Oct-07,9.01,9.05,8.99,8.99,144400
16-Oct-07,9.00,9.00,8.98,8.98,126200
17-Oct-07,9.00,9.00,8.99,8.99,1741600
18-Oct-07,8.99,9.02,8.99,9.01,94600
19-Oct-07,9.01,9.02,9.01,9.01,96100
22-Oct-07,8.99,9.02,8.99,9.01,196700
23-Oct-07,9.01,9.02,9.00,9.00,467400
24-Oct-07,9.00,9.01,8.99,9.00,1046500
25-Oct-07,9.00,9.03,9.00,9.03,1163300
26-Oct-07,9.02,9.05,9.02,9.03,164400
29-Oct-07,9.05,9.05,9.00,9.00,1260000
30-Oct-07,9.05,9.05,9.00,9.00,220800
31-Oct-07,9.00,9.02,8.99,8.99,291500
1-Nov-07,8.99,9.04,8.99,9.00,73100
2-Nov-07,9.05,9.05,8.99,9.00,847400
5-Nov-07,8.99,9.02,8.99,9.00,1640400
6-Nov-07,9.00,9.01,8.99,8.99,30500
7-Nov-07,8.99,9.00,8.99,8.99,1274200
8-Nov-07,9.01,9.01,8.99,9.00,209200
9-Nov-07,9.00,9.15,9.00,9.15,2258300
12-Nov-07,9.01,9.01,9.00,9.00,248700
13-Nov-07,9.00,9.05,8.99,9.00,78400
14-Nov-07,9.00,9.09,8.99,9.09,23100
15-Nov-07,9.00,9.00,9.00,9.00,1700
16-Nov-07,9.00,9.10,9.00,9.00,62400
19-Nov-07,9.00,9.00,8.99,8.99,187600
20-Nov-07,9.00,9.00,8.99,9.00,6300
21-Nov-07,8.96,8.96,8.96,8.96,5400
23-Nov-07,9.00,9.00,8.96,8.96,400
26-Nov-07,8.96,8.96,8.96,8.96,500
27-Nov-07,8.96,8.97,8.96,8.96,39600
28-Nov-07,8.96,8.96,8.95,8.95,6300
30-Nov-07,9.07,9.07,8.95,8.95,14700
3-Dec-07,9.05,9.05,8.95,8.95,41200
4-Dec-07,8.92,8.96,8.92,8.96,9600
5-Dec-07,8.96,8.96,8.94,8.94,161000
6-Dec-07,8.97,8.97,8.97,8.97,20000
7-Dec-07,8.95,8.95,8.95,8.95,17000
10-Dec-07,9.00,9.00,9.00,9.00,55000
11-Dec-07,9.02,9.02,9.02,9.02,130200
12-Dec-07,9.00,9.00,8.99,9.00,85500
13-Dec-07,9.00,9.00,9.00,9.00,34400
14-Dec-07,9.05,9.05,8.97,8.97,62400
17-Dec-07,9.00,9.05,9.00,9.00,50200
18-Dec-07,9.03,9.07,8.96,9.05,623800
19-Dec-07,9.05,9.05,9.00,9.00,269200
20-Dec-07,9.01,9.07,8.95,9.04,481800
21-Dec-07,9.04,9.20,8.96,9.13,2895600
24-Dec-07,9.13,9.19,8.96,9.13,164200
26-Dec-07,9.01,9.87,8.98,9.87,147473
27-Dec-07,9.52,9.53,9.02,9.05,275105
28-Dec-07,9.10,9.17,9.02,9.06,118800
31-Dec-07,9.00,9.19,9.00,9.19,159433
2-Jan-08,9.09,9.15,9.05,9.06,113500
3-Jan-08,9.18,9.18,9.00,9.03,246400
4-Jan-08,9.00,9.11,9.00,9.00,96300
7-Jan-08,9.10,9.17,9.04,9.12,114700
8-Jan-08,9.02,9.15,9.02,9.04,251900
9-Jan-08,9.04,9.14,9.02,9.12,128400
10-Jan-08,9.04,9.19,9.03,9.14,104400
11-Jan-08,9.10,9.10,9.00,9.05,61000
14-Jan-08,9.12,9.15,9.05,9.11,43500
15-Jan-08,9.04,9.12,9.03,9.11,55200
16-Jan-08,9.10,9.16,9.04,9.15,99000
17-Jan-08,9.15,9.15,9.05,9.15,54600
18-Jan-08,9.07,9.14,9.06,9.10,126298
22-Jan-08,9.10,9.24,8.98,9.04,49100
23-Jan-08,9.00,9.15,8.99,9.15,103000
24-Jan-08,9.18,9.19,9.05,9.05,71300
25-Jan-08,9.14,9.15,9.02,9.04,24300
28-Jan-08,9.08,9.15,9.05,9.15,28100
29-Jan-08,9.15,9.15,9.05,9.06,50800
30-Jan-08,9.05,9.15,9.05,9.07,74300
31-Jan-08,9.05,9.26,9.05,9.20,221900
1-Feb-08,9.20,9.20,9.07,9.17,36300
4-Feb-08,9.12,9.15,9.05,9.10,34400
5-Feb-08,9.05,9.11,9.05,9.08,122900
6-Feb-08,9.16,9.16,9.03,9.06,43200
7-Feb-08,9.05,9.18,9.03,9.14,230200
8-Feb-08,9.14,9.16,9.05,9.08,34800
11-Feb-08,9.07,9.10,9.05,9.05,1035200
12-Feb-08,9.08,9.14,9.05,9.10,52800
13-Feb-08,9.14,9.14,9.10,9.12,68600
14-Feb-08,9.12,9.12,9.04,9.06,1825103
15-Feb-08,9.14,9.14,9.04,9.04,61100
19-Feb-08,9.10,9.11,9.01,9.05,794000
20-Feb-08,9.11,9.12,9.02,9.11,162755
21-Feb-08,9.12,9.12,9.07,9.07,105267
22-Feb-08,9.08,9.10,9.05,9.09,92700
25-Feb-08,9.10,9.18,9.06,9.18,207005
26-Feb-08,9.15,9.20,9.13,9.20,1171700
27-Feb-08,9.13,9.22,9.11,9.22,138000
28-Feb-08,9.15,9.21,9.11,9.21,210200
29-Feb-08,9.13,9.18,9.12,9.12,111205
3-Mar-08,9.11,9.16,9.06,9.07,343440
