Date,Open,High,Low,Close,Volume
22-Aug-14,7.55,7.61,7.40,7.50,306423
21-Aug-14,7.57,7.64,7.38,7.58,468447
20-Aug-14,7.54,7.60,7.43,7.56,354292
19-Aug-14,7.34,7.63,7.33,7.56,515295
18-Aug-14,7.39,7.42,7.23,7.30,392616
15-Aug-14,7.23,7.36,7.15,7.32,613257
14-Aug-14,7.25,7.41,7.09,7.16,1132285
13-Aug-14,7.44,7.58,7.11,7.26,1079189
12-Aug-14,7.70,7.70,7.07,7.43,1422681
11-Aug-14,7.82,8.00,7.81,7.87,556563
8-Aug-14,7.47,7.77,7.42,7.77,396311
7-Aug-14,7.68,7.69,7.23,7.47,654770
6-Aug-14,7.52,7.90,7.51,7.61,589921
5-Aug-14,7.69,7.75,7.31,7.54,801748
4-Aug-14,7.49,7.78,7.34,7.77,584607
1-Aug-14,7.65,7.65,7.39,7.45,700726
31-Jul-14,7.80,7.85,7.55,7.64,635266
30-Jul-14,7.97,8.02,7.83,7.89,533968
29-Jul-14,7.76,8.04,7.72,7.89,531924
28-Jul-14,7.82,7.82,7.45,7.79,590922
25-Jul-14,7.86,7.92,7.71,7.84,386363
24-Jul-14,7.95,8.06,7.80,7.97,383527
23-Jul-14,7.93,8.05,7.83,7.92,751246
22-Jul-14,7.82,7.89,7.65,7.85,396279
21-Jul-14,7.75,7.83,7.57,7.79,422409
18-Jul-14,7.59,7.81,7.47,7.79,608826
17-Jul-14,7.96,8.08,7.57,7.61,425490
16-Jul-14,7.72,7.99,7.60,7.96,749387
15-Jul-14,7.88,7.91,7.48,7.66,775580
14-Jul-14,7.88,8.10,7.79,7.94,637906
11-Jul-14,7.80,7.83,7.65,7.76,914926
10-Jul-14,7.75,7.87,7.63,7.84,595843
9-Jul-14,7.87,7.98,7.77,7.93,312172
8-Jul-14,7.92,7.98,7.71,7.88,464206
7-Jul-14,8.41,8.41,7.93,7.95,468464
3-Jul-14,8.50,8.52,8.41,8.46,164405
2-Jul-14,8.56,8.62,8.38,8.46,486342
1-Jul-14,8.72,8.77,8.55,8.56,579041
30-Jun-14,8.36,8.68,8.31,8.64,537780
27-Jun-14,8.20,8.49,8.19,8.40,1090756
26-Jun-14,8.40,8.40,8.08,8.30,530321
25-Jun-14,8.10,8.37,7.97,8.36,622654
24-Jun-14,8.70,8.77,8.06,8.15,863026
23-Jun-14,8.69,8.94,8.62,8.67,623240
20-Jun-14,8.73,8.85,8.66,8.79,1391172
19-Jun-14,8.65,8.82,8.56,8.76,704839
18-Jun-14,8.77,8.82,8.54,8.64,542258
17-Jun-14,8.76,8.81,8.52,8.77,440277
16-Jun-14,8.84,8.98,8.73,8.79,560340
13-Jun-14,8.83,8.85,8.50,8.84,606250
12-Jun-14,8.51,8.88,8.48,8.78,769765
11-Jun-14,8.43,8.69,8.39,8.47,375429
10-Jun-14,8.78,8.80,8.43,8.50,373703
9-Jun-14,8.53,8.85,8.50,8.76,709487
6-Jun-14,8.37,8.64,8.29,8.52,529526
5-Jun-14,8.21,8.38,8.02,8.34,552363
4-Jun-14,8.11,8.26,7.97,8.24,428606
3-Jun-14,8.14,8.14,7.93,8.10,510366
2-Jun-14,8.40,8.44,8.12,8.13,597938
30-May-14,8.49,8.49,8.20,8.32,614946
29-May-14,8.34,8.52,8.28,8.48,953609
28-May-14,8.15,8.33,8.00,8.23,765011
27-May-14,7.99,8.19,7.93,8.17,399344
23-May-14,8.10,8.22,7.99,8.01,552458
22-May-14,8.10,8.30,7.99,8.07,793158
21-May-14,8.01,8.14,7.93,8.11,730828
20-May-14,8.07,8.09,7.86,7.93,697721
19-May-14,7.88,8.12,7.72,8.08,984060
16-May-14,7.61,7.92,7.37,7.87,1026128
15-May-14,7.72,7.76,7.22,7.61,1141494
14-May-14,7.84,8.10,7.71,7.73,1229564
13-May-14,7.40,8.06,7.34,7.80,1709038
12-May-14,7.28,7.58,7.24,7.50,880261
9-May-14,7.01,7.36,7.01,7.28,508048
8-May-14,7.35,7.41,7.04,7.06,664171
7-May-14,7.56,7.58,7.27,7.37,536058
6-May-14,7.35,7.84,7.35,7.54,1014926
5-May-14,7.44,7.59,7.27,7.30,488869
2-May-14,7.33,7.56,7.31,7.50,392055
1-May-14,7.52,7.60,7.22,7.33,577118
30-Apr-14,7.48,7.57,7.25,7.50,548092
29-Apr-14,7.34,7.66,7.31,7.50,435622
28-Apr-14,7.44,7.53,7.16,7.27,558149
25-Apr-14,7.74,7.76,7.30,7.37,662113
24-Apr-14,7.81,7.97,7.75,7.80,598808
23-Apr-14,7.70,7.82,7.68,7.73,474576
22-Apr-14,7.90,7.92,7.70,7.73,520817
21-Apr-14,7.85,7.96,7.67,7.89,612226
17-Apr-14,7.47,7.89,7.39,7.85,908915
16-Apr-14,7.49,7.52,7.37,7.47,543321
15-Apr-14,7.28,7.52,7.25,7.46,891092
14-Apr-14,7.22,7.59,7.13,7.32,1105117
11-Apr-14,7.13,7.32,7.10,7.14,801667
10-Apr-14,7.28,7.37,7.11,7.18,857125
9-Apr-14,7.15,7.32,7.04,7.29,684634
8-Apr-14,6.97,7.20,6.97,7.14,781150
