Date,Open,High,Low,Close,Volume
3-Jan-00,20.45,20.45,19.04,19.04,1258399
4-Jan-00,19.09,19.09,18.17,18.48,1486300
5-Jan-00,18.43,19.29,18.17,18.38,614200
6-Jan-00,18.12,18.68,17.97,18.43,942500
7-Jan-00,18.48,18.78,18.22,18.63,720700
10-Jan-00,18.93,19.04,17.72,17.82,1048400
11-Jan-00,18.02,18.22,18.02,18.12,860400
12-Jan-00,18.28,18.53,18.12,18.43,478400
13-Jan-00,18.48,19.34,18.43,19.14,746900
14-Jan-00,19.19,19.69,19.14,19.54,861500
18-Jan-00,19.49,19.59,19.49,19.49,857800
19-Jan-00,19.54,19.84,19.44,19.69,680600
20-Jan-00,19.34,19.59,18.33,18.68,624000
21-Jan-00,19.04,19.29,18.58,18.68,928799
24-Jan-00,18.58,18.78,18.12,18.40,663700
25-Jan-00,18.48,18.83,18.07,18.53,577400
26-Jan-00,18.63,19.14,18.43,19.14,575800
27-Jan-00,19.09,19.29,18.93,19.19,710200
28-Jan-00,19.19,19.19,18.22,18.43,856900
31-Jan-00,18.73,19.69,18.53,19.64,674200
1-Feb-00,19.44,19.74,19.34,19.64,545901
2-Feb-00,19.39,19.54,19.24,19.34,667200
3-Feb-00,19.29,19.64,19.19,19.39,537000
4-Feb-00,19.36,19.49,19.04,19.04,550099
7-Feb-00,19.04,19.09,18.83,18.88,412000
8-Feb-00,19.04,19.84,18.93,19.11,440900
9-Feb-00,19.14,19.49,18.83,19.39,1159301
10-Feb-00,19.24,19.49,18.98,19.29,1293300
11-Feb-00,19.19,19.49,19.04,19.14,652500
14-Feb-00,19.14,19.24,18.73,18.83,842200
15-Feb-00,18.83,19.09,18.58,18.98,614800
16-Feb-00,18.93,19.14,18.83,18.98,533700
17-Feb-00,19.04,19.09,18.22,18.53,547299
18-Feb-00,18.28,18.33,17.57,17.62,939500
22-Feb-00,17.72,17.82,17.57,17.67,643299
23-Feb-00,17.72,17.72,17.21,17.21,796000
