Date,Open,High,Low,Close,Volume
29-Mar-12,19.05,21.49,19.00,20.00,16532826
30-Mar-12,20.20,21.50,20.20,21.10,1110962
2-Apr-12,21.30,22.40,21.00,21.73,788180
3-Apr-12,21.93,22.40,21.39,21.55,258621
4-Apr-12,21.07,21.68,21.00,21.53,452543
5-Apr-12,21.65,21.84,21.52,21.56,603151
9-Apr-12,21.35,22.12,21.15,21.46,199140
10-Apr-12,21.40,22.16,21.30,21.45,255332
11-Apr-12,21.31,21.99,21.31,21.60,334594
12-Apr-12,22.57,22.83,21.48,21.79,345264
13-Apr-12,21.71,21.85,21.35,21.54,333015
16-Apr-12,21.49,22.10,21.32,21.55,326856
17-Apr-12,21.75,21.85,21.48,21.64,291553
18-Apr-12,21.64,21.95,21.49,21.86,397582
19-Apr-12,21.71,21.74,21.42,21.60,227130
20-Apr-12,21.65,21.73,21.31,21.45,392726
23-Apr-12,21.32,21.60,21.06,21.40,186941
24-Apr-12,21.54,21.75,21.46,21.54,71063
25-Apr-12,21.80,21.80,21.20,21.54,113903
26-Apr-12,21.46,21.58,21.38,21.53,190632
27-Apr-12,20.46,21.93,20.46,21.61,344586
30-Apr-12,21.60,22.60,21.51,22.08,216088
1-May-12,22.19,22.30,21.97,22.00,488924
2-May-12,21.89,22.46,21.89,22.03,191915
3-May-12,21.97,22.10,21.55,21.80,92081
4-May-12,21.57,21.80,21.55,21.63,76994
7-May-12,21.55,22.14,21.51,22.02,317839
8-May-12,21.80,22.02,21.51,21.71,315133
9-May-12,21.46,21.74,21.20,21.46,551106
10-May-12,21.61,21.95,21.43,21.74,523123
11-May-12,21.56,22.06,21.50,22.03,398778
14-May-12,21.78,21.80,21.37,21.51,329478
15-May-12,21.51,21.55,20.25,20.31,315973
16-May-12,20.53,20.55,19.70,19.98,457505
17-May-12,20.00,20.12,19.71,19.94,435787
18-May-12,19.94,19.94,19.00,19.35,735426
21-May-12,19.35,19.98,19.30,19.69,360408
22-May-12,19.72,19.89,19.64,19.79,286190
23-May-12,19.65,19.73,19.33,19.73,250858
24-May-12,19.71,19.84,19.49,19.84,119632
25-May-12,19.88,20.97,19.77,20.61,289273
29-May-12,20.70,21.00,20.45,20.54,259837
30-May-12,20.38,20.74,20.21,20.40,245799
31-May-12,20.39,20.63,19.51,19.80,328019
1-Jun-12,19.46,19.54,18.92,19.01,569171
4-Jun-12,19.07,19.27,19.01,19.20,358904
5-Jun-12,19.11,19.27,19.08,19.10,240960
6-Jun-12,19.21,19.84,19.21,19.67,68421
7-Jun-12,19.92,20.00,19.39,20.00,142842
8-Jun-12,19.93,21.34,19.81,20.31,539548
11-Jun-12,20.69,20.91,19.86,19.92,346810
12-Jun-12,20.01,20.29,19.83,19.95,209734
13-Jun-12,19.91,19.91,19.19,19.44,126313
14-Jun-12,19.43,19.77,19.39,19.63,213124
15-Jun-12,19.54,19.69,19.24,19.50,468820
18-Jun-12,19.40,20.74,19.35,20.42,221543
19-Jun-12,20.46,20.99,19.65,19.98,374494
20-Jun-12,20.03,20.29,19.47,20.00,114637
21-Jun-12,20.04,20.10,19.68,20.09,418256
22-Jun-12,20.07,20.45,19.50,19.85,3617950
25-Jun-12,19.21,19.56,19.02,19.16,394847
26-Jun-12,19.17,20.08,19.10,19.72,203648
27-Jun-12,19.78,20.17,19.45,19.72,135160
28-Jun-12,19.55,19.57,19.14,19.24,197174
29-Jun-12,19.59,20.04,19.36,20.04,205257
2-Jul-12,20.00,20.39,19.78,20.34,197559
3-Jul-12,20.30,20.89,20.30,20.82,55918
5-Jul-12,20.73,21.58,20.73,21.15,94488
6-Jul-12,20.89,21.18,20.41,20.46,134649
9-Jul-12,20.44,20.44,19.64,19.91,100975
10-Jul-12,20.07,20.19,19.47,19.56,80434
11-Jul-12,19.56,19.58,19.10,19.31,370352
12-Jul-12,19.16,19.56,19.15,19.27,362529
13-Jul-12,19.35,19.50,19.21,19.45,291992
16-Jul-12,19.33,20.14,19.17,19.65,228280
17-Jul-12,19.68,20.18,19.38,20.02,109151
18-Jul-12,19.92,20.20,19.91,20.11,70658
19-Jul-12,20.00,20.32,19.03,19.92,200451
20-Jul-12,19.78,19.78,19.14,19.32,59051
23-Jul-12,19.05,19.28,18.89,19.05,180397
24-Jul-12,18.80,19.06,18.50,19.00,293298
25-Jul-12,19.01,19.76,18.97,19.25,552966
26-Jul-12,19.51,19.51,19.02,19.03,235088
27-Jul-12,19.12,19.76,19.00,19.67,250593
30-Jul-12,19.69,19.70,19.09,19.17,73231
31-Jul-12,19.13,19.75,19.12,19.40,152880
1-Aug-12,19.48,19.50,19.20,19.26,162651
2-Aug-12,17.23,17.52,15.32,15.81,1969297
3-Aug-12,15.83,16.13,15.35,15.48,934285
6-Aug-12,15.50,15.55,15.36,15.49,472426
7-Aug-12,15.50,15.51,15.46,15.50,219742
8-Aug-12,15.43,15.58,15.42,15.58,208328
9-Aug-12,15.43,15.86,15.33,15.54,204555
10-Aug-12,15.53,15.60,15.40,15.53,49145
13-Aug-12,15.47,15.52,14.87,15.38,219754
14-Aug-12,15.47,15.49,15.00,15.06,271647
15-Aug-12,15.02,15.48,15.02,15.44,158916
16-Aug-12,15.34,15.78,15.33,15.75,190073
