Date,Open,High,Low,Close,Volume
8-Jul-13,5.65,5.65,5.15,5.55,2598675
9-Jul-13,5.88,5.89,5.51,5.59,8604665
10-Jul-13,5.52,5.85,5.49,5.85,8113402
11-Jul-13,6.00,6.31,5.91,6.28,40009798
12-Jul-13,6.45,7.14,6.38,6.45,258056547
15-Jul-13,6.64,6.75,6.47,6.72,43099224
16-Jul-13,6.79,6.82,6.41,6.48,40200931
17-Jul-13,6.46,6.48,6.20,6.25,64461572
18-Jul-13,6.19,6.24,5.97,6.05,42171817
19-Jul-13,6.01,6.14,6.00,6.07,23542112
22-Jul-13,6.12,6.12,5.90,5.92,27979635
23-Jul-13,5.95,5.96,5.61,5.85,45276492
24-Jul-13,5.92,5.97,5.77,5.77,23981396
25-Jul-13,5.80,5.84,5.70,5.82,16039739
26-Jul-13,5.83,5.85,5.73,5.74,18117756
29-Jul-13,5.80,5.84,5.65,5.74,19699915
30-Jul-13,5.84,6.17,5.81,6.16,66848110
31-Jul-13,6.13,6.17,5.96,5.96,32353225
1-Aug-13,6.05,6.46,6.00,6.38,53852631
2-Aug-13,6.41,6.77,6.40,6.67,42127940
5-Aug-13,6.58,6.90,6.50,6.88,31059262
6-Aug-13,6.90,7.04,6.89,6.97,43648967
7-Aug-13,6.98,7.03,6.71,6.92,19845408
8-Aug-13,6.95,6.98,6.80,6.94,12816221
9-Aug-13,6.90,7.26,6.89,7.25,27081572
12-Aug-13,7.20,7.21,7.04,7.11,13182909
13-Aug-13,7.12,7.15,6.95,7.01,16163226
14-Aug-13,7.07,7.10,6.96,7.00,11917528
15-Aug-13,6.96,7.02,6.94,6.96,16392852
16-Aug-13,6.95,7.04,6.91,6.92,16101214
19-Aug-13,6.95,6.97,6.81,6.91,17144936
20-Aug-13,6.89,6.98,6.89,6.97,9805994
21-Aug-13,6.90,6.97,6.90,6.96,11752963
22-Aug-13,6.95,7.00,6.90,6.92,6950546
23-Aug-13,6.93,6.98,6.90,6.96,6138971
26-Aug-13,6.93,6.98,6.89,6.91,8599008
27-Aug-13,6.90,6.91,6.72,6.75,22131175
28-Aug-13,6.69,6.74,6.65,6.66,13290338
29-Aug-13,6.66,6.84,6.65,6.76,19075206
30-Aug-13,6.82,6.82,6.54,6.71,15728685
3-Sep-13,6.78,6.86,6.63,6.68,9264758
4-Sep-13,6.66,6.72,6.58,6.65,9554602
5-Sep-13,6.63,6.68,6.45,6.48,12673059
6-Sep-13,6.57,6.57,6.40,6.47,14234814
9-Sep-13,6.44,6.52,6.32,6.37,15189821
10-Sep-13,6.38,6.42,6.26,6.33,28677000
11-Sep-13,6.35,6.53,6.32,6.50,19519156
12-Sep-13,6.42,6.83,6.42,6.69,24030476
13-Sep-13,6.70,6.87,6.64,6.72,17340170
16-Sep-13,6.74,6.83,6.61,6.64,15855976
17-Sep-13,6.59,6.60,6.37,6.39,29795762
18-Sep-13,6.37,6.45,6.25,6.44,24871743
