Date,Open,High,Low,Close,Volume
22-Aug-14,5.56,5.57,5.48,5.54,16139211
21-Aug-14,5.53,5.61,5.45,5.56,25156082
20-Aug-14,5.44,5.55,5.37,5.50,27300357
19-Aug-14,5.60,5.63,5.36,5.39,44402252
18-Aug-14,5.74,5.75,5.58,5.62,32819317
15-Aug-14,5.71,5.76,5.61,5.69,25732622
14-Aug-14,5.80,5.84,5.67,5.71,28152536
13-Aug-14,5.84,5.87,5.72,5.82,16586294
12-Aug-14,5.76,5.89,5.71,5.86,19976976
11-Aug-14,5.76,5.79,5.59,5.74,24546424
8-Aug-14,5.88,5.90,5.53,5.67,56022422
7-Aug-14,6.00,6.04,5.82,5.88,44891547
6-Aug-14,5.97,6.14,5.83,5.90,159400454
5-Aug-14,7.34,7.48,7.16,7.28,17147958
4-Aug-14,7.40,7.41,7.20,7.37,14773008
1-Aug-14,7.38,7.60,7.30,7.45,19883453
31-Jul-14,7.68,7.97,7.07,7.35,76639063
30-Jul-14,8.17,8.20,7.74,7.76,25066726
29-Jul-14,7.90,8.08,7.69,8.00,29043596
28-Jul-14,7.75,7.76,7.63,7.64,5809805
25-Jul-14,7.80,7.81,7.69,7.72,4935205
24-Jul-14,7.70,7.78,7.67,7.77,6830888
23-Jul-14,7.64,7.74,7.62,7.68,6626631
22-Jul-14,7.75,7.78,7.60,7.64,8653240
21-Jul-14,7.91,7.93,7.62,7.67,12643619
18-Jul-14,8.01,8.01,7.83,7.90,24160139
17-Jul-14,8.12,8.15,7.94,8.00,9369389
16-Jul-14,8.16,8.21,8.07,8.14,10047163
15-Jul-14,8.42,8.42,7.98,8.11,22007326
14-Jul-14,8.59,8.62,8.38,8.44,9469907
11-Jul-14,8.28,8.68,8.25,8.55,23843926
10-Jul-14,8.33,8.38,8.21,8.25,7454544
9-Jul-14,8.38,8.47,8.29,8.41,5026402
8-Jul-14,8.48,8.51,8.32,8.32,6010890
7-Jul-14,8.59,8.63,8.49,8.50,4892744
3-Jul-14,8.52,8.60,8.48,8.60,3697274
2-Jul-14,8.50,8.58,8.46,8.48,8696886
1-Jul-14,8.55,8.65,8.45,8.53,9648337
30-Jun-14,8.54,8.65,8.45,8.53,8176203
27-Jun-14,8.40,8.54,8.40,8.51,11881976
26-Jun-14,8.49,8.53,8.34,8.41,6641183
25-Jun-14,8.22,8.67,8.22,8.54,15816141
24-Jun-14,8.39,8.42,8.19,8.24,11530014
23-Jun-14,8.45,8.47,8.31,8.36,8211974
20-Jun-14,8.50,8.56,8.23,8.41,17439696
19-Jun-14,8.55,8.61,8.38,8.46,10142787
18-Jun-14,8.60,8.71,8.41,8.52,9871307
17-Jun-14,8.59,8.73,8.56,8.64,9356359
16-Jun-14,8.69,8.71,8.50,8.61,8003870
13-Jun-14,8.58,8.89,8.56,8.73,12059273
12-Jun-14,8.72,8.80,8.49,8.59,10622774
11-Jun-14,8.78,8.87,8.70,8.75,8715333
10-Jun-14,8.93,8.96,8.77,8.84,12922411
9-Jun-14,8.85,8.88,8.66,8.77,12482473
6-Jun-14,9.04,9.13,8.76,8.78,28907273
5-Jun-14,9.56,9.57,8.88,9.02,39793488
4-Jun-14,9.43,9.58,9.35,9.40,12162742
3-Jun-14,9.65,9.66,9.40,9.50,11892206
2-Jun-14,9.52,9.75,9.49,9.71,12000011
30-May-14,9.43,9.63,9.38,9.55,16890801
29-May-14,9.39,9.76,9.35,9.44,19394180
28-May-14,9.24,9.28,9.17,9.20,8606545
27-May-14,9.25,9.34,9.15,9.23,10703789
23-May-14,9.10,9.28,9.02,9.24,13108449
22-May-14,9.10,9.20,8.96,9.06,12857501
21-May-14,9.00,9.20,8.99,9.10,6937735
20-May-14,9.10,9.13,8.95,8.99,11626077
19-May-14,9.03,9.20,9.01,9.12,7366569
16-May-14,9.43,9.57,8.98,9.01,23066658
15-May-14,9.01,9.66,9.00,9.53,39373535
14-May-14,9.02,9.11,8.94,8.99,11564241
13-May-14,9.00,9.07,8.98,9.03,11185851
12-May-14,8.83,9.00,8.78,8.97,12262720
9-May-14,8.75,8.84,8.67,8.81,6847778
8-May-14,8.72,8.94,8.66,8.77,12326199
7-May-14,8.72,8.88,8.64,8.73,10323832
6-May-14,8.72,8.79,8.66,8.68,8105445
5-May-14,8.60,8.80,8.50,8.76,8326634
2-May-14,8.69,8.71,8.39,8.70,14923996
1-May-14,8.97,9.03,8.61,8.73,34210895
30-Apr-14,8.20,8.59,8.07,8.50,26881433
29-Apr-14,7.65,8.29,7.51,8.27,45585145
28-Apr-14,7.85,7.94,7.38,7.43,33221487
25-Apr-14,8.15,8.16,7.80,7.82,20720205
24-Apr-14,8.47,8.48,8.02,8.06,17863408
23-Apr-14,8.59,8.63,8.35,8.37,9849799
22-Apr-14,8.60,8.85,8.55,8.59,9868233
21-Apr-14,8.52,8.63,8.46,8.55,6633935
17-Apr-14,8.34,8.69,8.34,8.52,9836826
16-Apr-14,8.19,8.40,8.14,8.37,10983343
15-Apr-14,8.20,8.23,7.84,8.09,19231240
14-Apr-14,8.32,8.36,8.10,8.21,11691826
11-Apr-14,8.76,8.77,8.15,8.25,20444995
10-Apr-14,8.80,9.02,8.78,8.80,9938397
9-Apr-14,8.79,9.00,8.75,8.80,14345678
8-Apr-14,8.85,9.03,8.71,8.72,17322839
7-Apr-14,9.19,9.22,8.80,8.84,22564877
4-Apr-14,9.47,9.51,9.20,9.26,8241271
3-Apr-14,9.43,9.57,9.32,9.40,13581092
2-Apr-14,9.55,9.55,9.28,9.39,15210005
1-Apr-14,9.24,9.60,9.14,9.57,14618317
31-Mar-14,9.27,9.32,9.11,9.19,10347696
28-Mar-14,9.27,9.35,9.12,9.29,12032760
27-Mar-14,9.03,9.44,9.02,9.27,17872614
26-Mar-14,9.12,9.30,8.95,8.97,12299362
