Date,Open,High,Low,Close,Volume
3-Jan-00,5.62,5.62,5.19,5.28,102800
4-Jan-00,5.25,5.28,5.09,5.09,93000
5-Jan-00,5.06,5.22,5.00,5.22,155600
6-Jan-00,5.16,5.16,5.03,5.16,72200
7-Jan-00,5.16,5.22,5.12,5.19,86000
10-Jan-00,5.12,5.28,5.12,5.22,79600
11-Jan-00,5.19,5.25,5.12,5.19,168400
12-Jan-00,5.16,5.22,5.12,5.12,54600
13-Jan-00,5.09,5.16,5.00,5.03,288800
14-Jan-00,5.00,5.06,5.00,5.00,267600
18-Jan-00,5.00,5.06,5.00,5.03,76600
19-Jan-00,5.03,5.06,5.03,5.03,63600
20-Jan-00,5.03,5.16,5.00,5.03,138000
21-Jan-00,5.00,5.03,4.94,4.97,223400
24-Jan-00,5.12,5.34,4.97,4.97,194600
25-Jan-00,5.00,5.03,4.75,4.78,293600
26-Jan-00,4.78,4.97,4.75,4.78,144000
27-Jan-00,4.84,4.97,4.75,4.78,213200
28-Jan-00,4.78,4.81,4.50,4.50,277600
31-Jan-00,4.56,4.81,4.47,4.66,205400
1-Feb-00,4.72,4.81,4.69,4.69,114600
2-Feb-00,4.69,4.75,4.62,4.69,77800
3-Feb-00,4.62,4.91,4.62,4.91,129800
4-Feb-00,4.97,5.16,4.91,5.12,232600
7-Feb-00,5.12,5.28,5.12,5.22,192600
8-Feb-00,5.28,5.31,5.22,5.25,87600
9-Feb-00,5.19,5.25,5.09,5.09,174400
10-Feb-00,5.12,5.12,4.84,4.91,150800
11-Feb-00,4.91,5.00,4.91,4.97,81200
14-Feb-00,4.97,5.06,4.88,5.03,103800
15-Feb-00,5.06,5.25,5.06,5.09,216200
16-Feb-00,5.06,5.34,5.06,5.22,201600
17-Feb-00,5.25,5.50,5.22,5.38,420400
18-Feb-00,5.44,5.44,5.16,5.22,217200
22-Feb-00,5.19,5.25,5.12,5.25,177200
23-Feb-00,5.25,5.25,5.06,5.06,101200
24-Feb-00,5.06,5.06,4.75,4.94,379200
25-Feb-00,4.97,5.00,4.81,4.81,108200
28-Feb-00,4.81,4.97,4.78,4.97,46600
29-Feb-00,4.97,5.31,4.94,5.31,194200
1-Mar-00,4.99,5.31,5.16,5.22,93400
2-Mar-00,5.02,5.25,5.06,5.06,109000
3-Mar-00,5.04,5.44,5.09,5.25,113600
6-Mar-00,5.07,5.28,5.09,5.16,168600
7-Mar-00,5.09,5.19,5.09,5.12,73800
8-Mar-00,5.09,5.09,5.00,5.03,122000
9-Mar-00,5.00,5.06,5.00,5.00,68200
10-Mar-00,5.00,5.00,4.88,4.91,126600
13-Mar-00,4.81,4.88,4.69,4.75,174800
14-Mar-00,4.75,5.00,4.69,4.84,170800
15-Mar-00,4.81,5.06,4.72,5.06,174400
16-Mar-00,5.06,5.38,5.06,5.31,161400
17-Mar-00,5.25,5.50,5.25,5.44,184800
20-Mar-00,5.44,5.44,5.19,5.25,50200
21-Mar-00,5.22,5.22,5.06,5.22,92600
22-Mar-00,5.25,5.25,5.06,5.12,110000
23-Mar-00,5.09,5.25,5.00,5.25,396200
24-Mar-00,5.19,5.25,5.12,5.19,136600
27-Mar-00,5.12,5.19,5.12,5.19,141600
28-Mar-00,5.19,5.19,5.03,5.03,68200
29-Mar-00,5.12,5.12,4.97,5.03,92800
30-Mar-00,5.03,5.06,5.00,5.03,59000
31-Mar-00,5.09,5.09,4.97,5.00,171400
3-Apr-00,5.03,5.25,5.03,5.25,312400
4-Apr-00,5.25,5.34,5.06,5.22,524200
5-Apr-00,5.25,5.31,5.19,5.22,428600
6-Apr-00,5.28,5.28,5.09,5.22,563200
7-Apr-00,5.28,5.31,5.22,5.28,144800
10-Apr-00,5.25,5.34,5.06,5.09,146800
11-Apr-00,5.06,5.19,5.03,5.12,35600
12-Apr-00,5.16,5.22,5.12,5.16,80200
13-Apr-00,5.16,5.22,5.03,5.03,60600
14-Apr-00,5.00,5.00,4.81,4.94,185600
17-Apr-00,4.88,4.91,4.66,4.81,148200
18-Apr-00,4.78,5.00,4.78,4.91,50600
19-Apr-00,4.97,4.97,4.84,4.97,82000
20-Apr-00,4.97,4.97,4.81,4.91,58400
24-Apr-00,4.84,5.12,4.84,5.09,116400
25-Apr-00,5.03,5.25,5.00,5.25,168000
26-Apr-00,5.31,5.31,5.03,5.16,57400
27-Apr-00,5.06,5.09,4.97,5.06,100000
28-Apr-00,5.00,5.03,4.94,5.03,188400
1-May-00,5.09,5.22,5.03,5.22,117400
2-May-00,5.25,5.25,5.09,5.09,301400
3-May-00,5.00,5.25,5.00,5.22,530800
4-May-00,5.25,5.31,5.25,5.28,242800
5-May-00,5.28,5.38,5.25,5.38,127000
8-May-00,5.38,5.38,5.22,5.25,51000
9-May-00,5.25,5.38,5.22,5.38,76400
10-May-00,5.25,5.34,5.19,5.34,53800
11-May-00,5.28,5.62,5.28,5.53,155000
12-May-00,5.56,5.62,5.50,5.53,105600
15-May-00,5.50,5.50,5.31,5.44,39000
16-May-00,5.50,5.62,5.50,5.59,50600
17-May-00,5.56,5.59,5.31,5.38,31400
18-May-00,5.31,5.31,5.22,5.22,103800
19-May-00,5.22,5.22,5.12,5.19,83200
22-May-00,5.12,5.25,5.06,5.25,137400
23-May-00,5.28,5.28,5.12,5.19,122400
24-May-00,5.19,5.31,5.12,5.25,178400
25-May-00,5.28,5.38,5.22,5.38,194000
26-May-00,5.38,5.47,5.28,5.31,129400
30-May-00,5.31,5.47,5.31,5.44,40400
31-May-00,5.44,5.69,5.44,5.69,199800
1-Jun-00,5.69,5.69,5.50,5.53,123200
2-Jun-00,5.59,5.72,5.59,5.66,203600
5-Jun-00,5.59,5.59,5.41,5.41,93600
6-Jun-00,5.44,5.50,5.41,5.47,78800
7-Jun-00,5.50,5.62,5.50,5.59,100800
8-Jun-00,5.56,5.66,5.53,5.53,27400
9-Jun-00,5.53,5.59,5.53,5.59,17400
12-Jun-00,5.53,5.66,5.53,5.62,28800
13-Jun-00,5.59,5.66,5.56,5.62,71000
14-Jun-00,5.62,5.81,5.62,5.72,127000
15-Jun-00,5.75,5.91,5.72,5.84,126200
16-Jun-00,5.84,5.91,5.62,5.66,175400
19-Jun-00,5.69,5.69,5.50,5.56,61600
20-Jun-00,5.53,5.53,5.38,5.44,47000
21-Jun-00,5.44,5.44,5.38,5.44,24000
22-Jun-00,5.44,5.50,5.34,5.34,98600
23-Jun-00,5.34,5.41,5.34,5.34,7200
26-Jun-00,5.38,5.47,5.31,5.47,82000
27-Jun-00,5.44,5.50,5.25,5.28,77400
28-Jun-00,5.22,5.25,5.16,5.16,355200
29-Jun-00,5.00,5.16,5.00,5.06,202000
30-Jun-00,5.03,5.31,4.97,5.00,234400
3-Jul-00,5.03,5.16,5.03,5.16,42400
5-Jul-00,5.09,5.25,5.09,5.25,251200
6-Jul-00,5.22,5.50,5.22,5.44,96600
7-Jul-00,5.41,5.50,5.31,5.38,52400
10-Jul-00,5.25,5.56,5.19,5.53,184000
11-Jul-00,5.59,5.66,5.50,5.62,159000
12-Jul-00,5.56,5.75,5.53,5.69,203600
13-Jul-00,5.69,5.84,5.69,5.75,99200
14-Jul-00,5.69,5.94,5.69,5.94,103000
17-Jul-00,5.94,5.97,5.84,5.91,63800
18-Jul-00,5.84,5.88,5.66,5.69,68200
19-Jul-00,5.66,5.72,5.50,5.56,124600
20-Jul-00,5.59,5.75,5.59,5.72,50600
21-Jul-00,5.69,5.69,5.44,5.47,74400
24-Jul-00,5.62,5.88,5.59,5.69,231600
25-Jul-00,5.75,5.91,5.69,5.88,103600
26-Jul-00,5.84,6.34,5.84,6.25,213200
27-Jul-00,6.12,6.19,6.06,6.12,126000
28-Jul-00,6.19,6.19,6.03,6.12,122400
31-Jul-00,6.12,6.34,6.12,6.34,115600
1-Aug-00,6.28,6.34,6.25,6.28,39800
2-Aug-00,6.31,6.34,6.28,6.31,48400
3-Aug-00,6.31,6.50,6.19,6.44,240800
4-Aug-00,6.44,6.59,6.38,6.56,176600
7-Aug-00,6.69,7.25,6.66,7.25,461200
8-Aug-00,7.31,7.78,7.28,7.75,1312600
9-Aug-00,7.75,8.12,7.75,7.81,723800
10-Aug-00,7.75,7.78,7.41,7.50,161200
11-Aug-00,7.47,7.97,7.47,7.88,489400
14-Aug-00,7.94,8.19,7.88,8.00,449800
15-Aug-00,7.94,7.97,7.69,7.72,873400
16-Aug-00,7.66,7.81,7.59,7.69,144400
17-Aug-00,7.62,7.72,7.50,7.56,112600
18-Aug-00,7.50,7.50,7.25,7.34,257000
21-Aug-00,7.28,7.75,7.25,7.66,260200
22-Aug-00,7.72,7.75,7.62,7.62,251600
23-Aug-00,7.56,7.72,7.56,7.59,240400
24-Aug-00,7.66,7.69,7.59,7.66,161000
25-Aug-00,7.69,7.69,7.44,7.56,103400
28-Aug-00,7.61,7.59,7.44,7.53,295000
29-Aug-00,7.53,7.97,7.50,7.91,209000
30-Aug-00,7.88,8.16,7.88,8.12,409200
31-Aug-00,8.12,8.22,8.09,8.22,189400
1-Sep-00,8.25,8.38,8.22,8.22,371000
5-Sep-00,8.25,8.25,7.97,8.03,345600
6-Sep-00,8.06,8.06,7.88,8.00,195600
7-Sep-00,8.00,8.25,8.00,8.25,214800
8-Sep-00,8.19,8.31,7.97,8.06,212000
11-Sep-00,8.00,8.31,8.00,8.28,339400
12-Sep-00,8.28,8.84,8.28,8.81,563800
13-Sep-00,8.84,8.91,8.69,8.75,290000
14-Sep-00,8.72,8.84,8.72,8.81,174600
15-Sep-00,8.78,8.81,8.59,8.66,220600
18-Sep-00,8.66,8.66,8.25,8.28,154200
19-Sep-00,8.38,8.38,8.28,8.34,138800
20-Sep-00,8.31,8.41,8.09,8.38,101800
21-Sep-00,8.38,8.38,7.97,8.16,55600
22-Sep-00,8.03,8.06,7.62,8.03,230200
25-Sep-00,8.19,8.69,8.16,8.62,296000
26-Sep-00,8.53,8.53,8.38,8.47,217600
27-Sep-00,8.44,8.56,8.38,8.38,279000
28-Sep-00,8.19,8.94,8.19,8.88,204600
29-Sep-00,8.84,9.12,8.72,9.00,290200
2-Oct-00,9.12,9.38,8.94,9.31,477600
3-Oct-00,9.50,9.84,9.41,9.50,529600
4-Oct-00,9.62,9.72,9.31,9.31,254000
5-Oct-00,9.34,9.59,8.88,8.88,178800
6-Oct-00,8.88,9.50,8.56,9.16,411800
9-Oct-00,9.09,9.50,9.06,9.44,118000
10-Oct-00,9.44,9.47,9.09,9.12,200000
11-Oct-00,9.12,9.12,8.38,8.50,410800
12-Oct-00,8.44,8.47,7.75,8.25,278400
13-Oct-00,8.25,8.88,8.00,8.50,742600
16-Oct-00,8.44,8.50,8.31,8.44,355600
17-Oct-00,8.44,8.47,8.22,8.34,113800
18-Oct-00,8.38,8.38,7.81,7.94,195600
19-Oct-00,7.84,8.25,7.84,8.19,251800
20-Oct-00,8.19,8.19,8.00,8.00,102600
23-Oct-00,8.25,9.00,8.25,8.62,620000
24-Oct-00,8.56,8.66,8.47,8.50,166800
25-Oct-00,8.50,8.69,8.47,8.66,292200
26-Oct-00,8.66,9.00,8.66,8.84,434600
27-Oct-00,8.88,8.91,8.75,8.75,156800
30-Oct-00,8.81,9.12,8.81,9.00,375600
31-Oct-00,9.19,9.38,9.12,9.38,264000
1-Nov-00,9.44,9.75,9.44,9.59,352000
2-Nov-00,9.75,10.00,9.75,9.91,343600
3-Nov-00,9.94,10.31,9.72,10.31,439200
6-Nov-00,10.75,10.94,10.16,10.19,568600
7-Nov-00,10.19,10.41,9.81,10.03,675400
8-Nov-00,10.00,10.00,9.56,9.56,530200
9-Nov-00,9.62,9.69,9.31,9.69,237400
10-Nov-00,9.69,9.75,9.31,9.34,172200
13-Nov-00,9.47,9.75,9.38,9.59,180200
14-Nov-00,9.69,10.25,9.69,10.25,287200
15-Nov-00,10.16,10.28,10.00,10.09,301800
16-Nov-00,10.00,10.16,9.84,10.00,160800
17-Nov-00,10.06,10.25,10.00,10.16,232600
20-Nov-00,9.94,10.00,9.66,9.78,256400
21-Nov-00,9.78,10.12,9.78,9.97,309400
22-Nov-00,10.00,10.00,9.44,9.59,180800
24-Nov-00,9.66,10.16,9.66,10.16,77200
27-Nov-00,10.25,10.75,10.25,10.69,442000
28-Nov-00,10.69,11.31,10.69,11.22,768000
29-Nov-00,11.25,11.75,11.19,11.34,694800
30-Nov-00,11.41,11.44,10.31,10.31,707200
1-Dec-00,10.41,10.88,10.19,10.88,279200
4-Dec-00,11.00,11.25,10.34,10.69,409400
5-Dec-00,11.00,12.00,10.94,11.47,725000
6-Dec-00,11.56,12.00,11.56,11.81,345200
7-Dec-00,11.78,12.22,11.69,12.00,473600
