Date,Open,High,Low,Close,Volume
22-Aug-14,8.38,8.40,8.30,8.37,1333018
21-Aug-14,8.39,8.44,8.29,8.39,1633937
20-Aug-14,8.31,8.39,8.22,8.37,2066238
19-Aug-14,8.30,8.38,8.24,8.33,3353565
18-Aug-14,7.98,8.19,7.98,8.15,4109416
15-Aug-14,8.00,8.03,7.90,7.94,4502000
14-Aug-14,7.79,7.97,7.74,7.96,1870916
13-Aug-14,7.80,7.85,7.70,7.76,2797123
12-Aug-14,7.85,7.86,7.73,7.77,2721530
11-Aug-14,7.79,7.92,7.76,7.88,3927923
8-Aug-14,7.50,7.77,7.50,7.76,2917670
7-Aug-14,7.57,7.61,7.46,7.50,1574256
6-Aug-14,7.49,7.64,7.48,7.56,1510339
5-Aug-14,7.63,7.73,7.46,7.54,3071435
4-Aug-14,7.64,7.71,7.54,7.69,2557164
1-Aug-14,7.56,7.83,7.46,7.60,5197834
31-Jul-14,7.74,7.74,7.54,7.54,3319811
30-Jul-14,7.81,7.87,7.61,7.80,4446998
29-Jul-14,7.78,7.84,7.75,7.80,1984386
28-Jul-14,7.90,7.91,7.64,7.77,3451069
25-Jul-14,7.97,8.00,7.88,7.91,2907074
24-Jul-14,8.29,8.29,7.95,8.01,3422998
23-Jul-14,8.13,8.34,8.07,8.31,2546452
22-Jul-14,8.00,8.18,7.98,8.14,3402207
21-Jul-14,7.98,8.05,7.92,7.96,1745231
18-Jul-14,7.93,8.01,7.93,8.00,2214472
17-Jul-14,8.10,8.11,7.90,7.94,3441286
16-Jul-14,8.16,8.23,8.04,8.16,5221707
15-Jul-14,8.20,8.22,8.11,8.14,2128099
14-Jul-14,8.24,8.25,8.15,8.18,2138016
11-Jul-14,8.27,8.27,8.15,8.16,3160833
10-Jul-14,8.20,8.36,8.13,8.25,3214086
9-Jul-14,8.41,8.51,8.33,8.34,1984866
8-Jul-14,8.45,8.45,8.33,8.39,2457652
7-Jul-14,8.62,8.63,8.41,8.45,2254263
3-Jul-14,8.69,8.73,8.61,8.66,850327
2-Jul-14,8.73,8.77,8.62,8.65,2220450
1-Jul-14,8.59,8.81,8.55,8.76,4413344
30-Jun-14,8.49,8.64,8.44,8.60,2652520
27-Jun-14,8.38,8.51,8.28,8.50,3214805
26-Jun-14,8.43,8.47,8.32,8.40,1921916
25-Jun-14,8.27,8.44,8.20,8.43,2104979
24-Jun-14,8.26,8.48,8.21,8.29,3911793
23-Jun-14,8.26,8.42,8.25,8.26,2000359
20-Jun-14,8.40,8.42,8.23,8.27,4586884
19-Jun-14,8.34,8.42,8.32,8.40,3137601
18-Jun-14,8.31,8.39,8.13,8.34,4085188
17-Jun-14,8.13,8.32,8.03,8.26,3836293
16-Jun-14,8.05,8.19,7.96,8.17,4461469
13-Jun-14,8.12,8.14,8.02,8.06,2325240
12-Jun-14,8.20,8.22,8.05,8.09,3254120
11-Jun-14,8.37,8.39,8.16,8.21,2207039
10-Jun-14,8.44,8.49,8.36,8.38,1863249
9-Jun-14,8.31,8.49,8.31,8.47,3048970
6-Jun-14,8.21,8.35,8.19,8.33,2309252
5-Jun-14,8.05,8.22,8.00,8.17,1696556
4-Jun-14,8.04,8.14,7.96,8.06,2240918
3-Jun-14,8.02,8.12,7.99,8.08,1945157
2-Jun-14,8.02,8.08,7.95,8.05,1887206
30-May-14,8.10,8.11,7.98,8.03,1961005
29-May-14,8.16,8.27,8.06,8.12,1772709
28-May-14,8.15,8.23,8.10,8.12,3299208
27-May-14,8.15,8.25,8.04,8.08,2508150
23-May-14,7.90,8.12,7.88,8.10,3592750
22-May-14,7.75,7.96,7.66,7.90,2943648
21-May-14,7.74,7.77,7.62,7.73,2362780
20-May-14,7.71,7.81,7.66,7.72,3227764
19-May-14,7.82,7.83,7.68,7.76,3550229
16-May-14,7.81,7.90,7.72,7.84,2888985
15-May-14,7.80,7.88,7.64,7.77,4128360
14-May-14,8.01,8.02,7.80,7.84,4439561
13-May-14,7.92,8.07,7.89,8.00,5398404
12-May-14,7.81,7.97,7.81,7.89,2886417
9-May-14,7.67,7.81,7.64,7.80,2552754
8-May-14,7.64,7.82,7.62,7.70,4154206
7-May-14,7.70,7.72,7.55,7.66,4600593
6-May-14,7.92,7.92,7.64,7.69,5605131
5-May-14,8.04,8.05,7.86,7.92,6742950
2-May-14,8.01,8.25,7.95,8.10,4727354
1-May-14,8.01,8.17,7.92,8.06,2241204
30-Apr-14,7.98,8.02,7.86,7.99,2531183
29-Apr-14,8.00,8.03,7.90,8.01,1856953
28-Apr-14,8.04,8.15,7.91,8.00,3446195
25-Apr-14,8.14,8.16,7.98,7.98,2177524
24-Apr-14,8.05,8.24,7.93,8.17,4440648
23-Apr-14,8.09,8.10,7.89,7.94,4036596
22-Apr-14,7.99,8.16,7.98,8.10,2241961
21-Apr-14,8.05,8.08,7.92,7.97,3280994
17-Apr-14,8.09,8.13,7.96,8.05,1478749
16-Apr-14,8.08,8.19,8.02,8.11,1530305
15-Apr-14,8.14,8.25,7.91,8.04,4168080
14-Apr-14,8.21,8.30,8.06,8.10,2205028
11-Apr-14,8.17,8.29,8.09,8.15,3055370
10-Apr-14,8.40,8.50,8.25,8.26,3004761
9-Apr-14,8.41,8.46,8.21,8.39,2435840
8-Apr-14,8.26,8.43,8.17,8.36,4223156
7-Apr-14,8.50,8.54,8.21,8.26,3464066
4-Apr-14,8.50,8.75,8.34,8.42,2848911
3-Apr-14,8.41,8.49,8.33,8.45,2617339
2-Apr-14,8.42,8.47,8.31,8.41,1712202
1-Apr-14,8.36,8.50,8.31,8.44,3155643
31-Mar-14,8.25,8.40,8.16,8.31,2272311
28-Mar-14,8.18,8.30,8.13,8.23,2025461
27-Mar-14,8.06,8.21,7.95,8.12,4781995
26-Mar-14,8.22,8.30,8.05,8.06,3076908
25-Mar-14,8.25,8.33,8.15,8.19,2692294
24-Mar-14,8.35,8.39,8.01,8.22,5691776
21-Mar-14,8.67,8.68,8.29,8.32,5820862
20-Mar-14,8.86,8.89,8.58,8.60,5543175
19-Mar-14,9.03,9.19,8.77,8.84,5396515
18-Mar-14,8.56,8.90,8.56,8.79,3409324
17-Mar-14,8.57,8.70,8.51,8.53,2932236
14-Mar-14,8.64,8.74,8.51,8.54,3121436
13-Mar-14,8.90,8.90,8.51,8.66,4117762
12-Mar-14,8.73,8.84,8.66,8.84,2257018
11-Mar-14,8.86,9.00,8.74,8.82,3095545
10-Mar-14,8.89,8.93,8.76,8.83,3783350
7-Mar-14,9.05,9.09,8.87,8.94,4533747
6-Mar-14,9.04,9.12,8.97,9.02,3424355
5-Mar-14,9.11,9.20,9.00,9.08,3432827
4-Mar-14,9.10,9.20,9.04,9.15,3081057
3-Mar-14,9.00,9.08,8.90,9.02,2569306
28-Feb-14,9.11,9.18,9.01,9.11,3634216
27-Feb-14,8.96,9.13,8.90,9.10,3018342
26-Feb-14,8.63,9.11,8.57,8.98,10012719
25-Feb-14,8.55,8.69,8.45,8.63,3909723
24-Feb-14,8.57,8.62,8.50,8.54,2322449
21-Feb-14,8.52,8.67,8.49,8.57,3312399
20-Feb-14,8.40,8.52,8.29,8.48,3904274
19-Feb-14,8.45,8.51,8.35,8.38,2831591
18-Feb-14,8.55,8.64,8.36,8.47,4103783
14-Feb-14,8.61,8.65,8.50,8.54,3626414
13-Feb-14,8.47,8.66,8.35,8.62,3272358
12-Feb-14,8.60,8.68,8.44,8.50,3187652
11-Feb-14,8.58,8.60,8.46,8.55,2708718
10-Feb-14,8.66,8.70,8.42,8.55,4370907
7-Feb-14,8.77,8.82,8.65,8.65,4005654
6-Feb-14,8.85,8.95,8.58,8.74,8646054
5-Feb-14,8.53,8.75,8.47,8.59,3948756
4-Feb-14,8.53,8.66,8.48,8.58,2351041
3-Feb-14,8.80,8.85,8.33,8.51,3548102
31-Jan-14,8.52,8.97,8.51,8.80,2748734
30-Jan-14,8.82,8.93,8.61,8.70,2939502
29-Jan-14,8.65,8.80,8.55,8.69,3131793
28-Jan-14,8.47,8.79,8.46,8.78,4571616
27-Jan-14,8.42,8.58,8.16,8.36,3355147
24-Jan-14,8.72,8.72,8.38,8.47,2814754
23-Jan-14,8.65,8.87,8.63,8.75,3018608
22-Jan-14,8.50,8.74,8.44,8.69,4557613
21-Jan-14,8.55,8.59,8.33,8.46,4397943
17-Jan-14,8.68,8.72,8.46,8.48,4400276
16-Jan-14,8.69,8.78,8.55,8.70,2837924
15-Jan-14,8.78,8.79,8.65,8.71,2273452
14-Jan-14,8.70,8.84,8.68,8.75,2106574
13-Jan-14,8.85,8.89,8.60,8.69,3075043
10-Jan-14,8.83,9.05,8.80,8.85,3792065
9-Jan-14,8.85,8.90,8.73,8.77,2068081
8-Jan-14,8.73,8.96,8.69,8.84,3113629
7-Jan-14,8.84,8.91,8.71,8.76,2658491
6-Jan-14,9.00,9.01,8.74,8.82,3463718
3-Jan-14,9.05,9.16,8.95,8.97,2565168
2-Jan-14,9.02,9.08,8.86,9.02,2875366
31-Dec-13,8.97,9.13,8.90,9.05,2444065
30-Dec-13,8.86,9.05,8.83,8.97,3181436
27-Dec-13,8.90,8.96,8.83,8.90,1974485
26-Dec-13,8.88,8.99,8.82,8.86,2416002
24-Dec-13,8.77,9.00,8.70,8.87,2796980
23-Dec-13,8.47,8.80,8.47,8.77,4808737
20-Dec-13,8.27,8.48,8.24,8.43,4326547
19-Dec-13,8.25,8.33,8.16,8.20,3295679
18-Dec-13,8.15,8.44,8.06,8.31,6482486
17-Dec-13,8.07,8.14,7.93,8.03,3497359
16-Dec-13,8.07,8.18,8.05,8.06,3513106
13-Dec-13,8.04,8.12,8.00,8.05,2638296
12-Dec-13,7.97,8.10,7.91,8.01,4084480
11-Dec-13,8.17,8.18,7.93,7.98,3479109
10-Dec-13,8.22,8.39,8.16,8.18,3943618
9-Dec-13,8.12,8.31,8.09,8.16,4173076
6-Dec-13,8.14,8.23,8.07,8.12,2479634
5-Dec-13,8.07,8.11,7.99,8.04,2355840
4-Dec-13,7.98,8.17,7.92,8.10,4469667
3-Dec-13,8.01,8.15,7.97,8.07,3614606
2-Dec-13,8.18,8.25,8.03,8.06,2821923
29-Nov-13,8.20,8.24,8.11,8.18,1443942
27-Nov-13,8.19,8.29,8.10,8.15,2119996
26-Nov-13,7.95,8.28,7.91,8.16,7501677
25-Nov-13,7.80,8.00,7.60,7.89,4634465
22-Nov-13,7.85,7.89,7.70,7.78,1998541
21-Nov-13,7.70,7.87,7.55,7.83,3377109
20-Nov-13,7.69,7.91,7.63,7.67,4363287
19-Nov-13,7.60,7.80,7.55,7.65,3412574
18-Nov-13,7.69,7.75,7.53,7.61,3420841
15-Nov-13,7.62,7.79,7.62,7.66,3859387
14-Nov-13,7.44,7.66,7.41,7.63,3942062
13-Nov-13,7.27,7.47,7.26,7.42,3892644
12-Nov-13,7.25,7.34,7.15,7.30,4424924
11-Nov-13,7.34,7.39,7.20,7.26,3436180
8-Nov-13,7.37,7.37,7.22,7.34,4899984
7-Nov-13,7.67,7.80,7.40,7.42,4713330
6-Nov-13,7.51,7.72,7.47,7.56,4905087
5-Nov-13,7.60,7.64,7.39,7.51,6367432
4-Nov-13,7.64,7.79,7.57,7.63,6674977
1-Nov-13,7.78,7.97,7.51,7.62,7751127
31-Oct-13,8.14,8.16,7.89,7.93,4806288
