Date,Open,High,Low,Close,Volume
3-Jan-00,12.25,12.44,11.56,11.62,53600
4-Jan-00,11.62,11.62,10.50,11.25,76100
5-Jan-00,11.25,11.25,10.75,11.12,56100
6-Jan-00,11.00,11.25,10.50,11.06,113600
7-Jan-00,11.06,11.38,10.88,10.94,52300
10-Jan-00,10.94,11.62,10.94,11.50,77700
11-Jan-00,11.62,11.62,11.25,11.25,61100
12-Jan-00,11.12,12.31,11.06,12.06,115300
13-Jan-00,12.44,14.25,12.44,14.00,343200
14-Jan-00,14.38,15.62,13.81,15.56,453900
18-Jan-00,15.56,15.56,13.81,13.88,208300
19-Jan-00,13.69,13.75,12.12,12.12,159100
20-Jan-00,13.00,16.00,12.94,15.38,848000
21-Jan-00,15.12,20.06,15.12,19.00,1289000
24-Jan-00,17.62,18.00,16.00,16.31,429300
25-Jan-00,16.19,18.25,15.00,16.19,446800
26-Jan-00,15.88,16.00,15.06,15.19,141500
27-Jan-00,15.62,15.88,15.06,15.50,234100
28-Jan-00,15.12,15.50,14.50,14.81,111500
31-Jan-00,14.56,16.06,14.44,15.88,217400
1-Feb-00,15.94,16.50,15.75,16.50,223600
2-Feb-00,16.50,17.50,16.50,17.19,113700
3-Feb-00,17.06,17.12,16.75,17.00,116200
4-Feb-00,17.12,17.25,16.88,17.06,70400
7-Feb-00,17.50,18.25,17.06,18.00,173000
8-Feb-00,18.00,19.00,18.00,18.56,419000
9-Feb-00,18.38,18.38,17.00,17.62,121700
10-Feb-00,17.50,17.62,16.50,17.50,131400
11-Feb-00,17.50,17.69,16.38,17.69,110100
14-Feb-00,17.31,17.38,16.69,17.12,71700
15-Feb-00,16.94,17.00,15.62,16.00,157700
16-Feb-00,16.38,16.75,16.12,16.56,117500
17-Feb-00,16.62,16.75,16.00,16.31,119400
18-Feb-00,16.06,16.25,15.12,15.38,116600
22-Feb-00,15.38,15.38,14.38,14.81,159400
23-Feb-00,15.00,16.06,14.88,15.75,132500
24-Feb-00,15.25,15.62,15.00,15.62,70200
25-Feb-00,15.75,15.75,14.69,15.25,105300
28-Feb-00,15.06,15.25,14.38,15.00,107600
29-Feb-00,14.62,17.44,14.62,17.44,256000
1-Mar-00,14.9,17.69,16.62,17.19,142800
2-Mar-00,15.17,17.00,15.50,15.50,72700
3-Mar-00,15.45,17.00,15.56,15.81,104800
6-Mar-00,15.72,16.31,15.50,16.06,85700
7-Mar-00,16.00,18.69,16.00,17.25,551000
8-Mar-00,17.12,19.62,17.12,19.62,594200
9-Mar-00,19.38,19.50,18.38,19.25,299800
10-Mar-00,19.12,19.19,18.62,18.94,344000
13-Mar-00,18.56,18.69,18.25,18.44,222000
14-Mar-00,18.69,20.75,18.69,19.12,457000
15-Mar-00,19.12,19.19,17.00,18.00,196400
16-Mar-00,18.00,18.69,17.00,18.56,178900
17-Mar-00,18.38,19.88,18.25,18.88,170600
20-Mar-00,19.12,22.00,19.12,20.88,581900
21-Mar-00,21.12,22.00,20.75,22.00,435400
22-Mar-00,22.00,23.81,22.00,23.75,444900
23-Mar-00,23.94,24.25,22.56,22.81,324700
24-Mar-00,22.00,22.69,21.88,22.06,396400
27-Mar-00,22.06,23.12,22.06,22.56,109300
28-Mar-00,22.81,22.88,21.44,21.75,129400
