Date,Open,High,Low,Close,Volume
3-Jan-00,32.12,32.12,29.38,30.25,202100
4-Jan-00,29.50,29.50,28.12,28.31,179800
5-Jan-00,29.25,29.75,28.75,29.31,194200
6-Jan-00,29.50,29.62,28.88,29.44,154400
7-Jan-00,29.62,29.88,28.88,29.50,148200
10-Jan-00,29.62,30.38,29.62,29.69,231700
11-Jan-00,30.00,30.50,29.88,30.50,154000
12-Jan-00,30.25,30.25,29.88,30.19,98900
13-Jan-00,30.19,31.06,30.19,30.88,156600
14-Jan-00,30.75,31.12,30.25,30.44,116500
18-Jan-00,30.00,30.94,29.50,30.88,297300
19-Jan-00,30.75,32.50,30.75,32.19,186400
20-Jan-00,32.38,32.62,31.38,31.69,177900
21-Jan-00,31.50,31.88,30.56,31.62,128900
24-Jan-00,33.44,36.00,32.50,34.00,509000
25-Jan-00,34.00,34.75,32.75,33.25,288800
26-Jan-00,33.06,34.25,32.88,34.25,378300
27-Jan-00,35.00,36.12,34.50,35.06,493500
28-Jan-00,35.38,38.00,34.75,36.50,439400
31-Jan-00,36.50,36.75,35.62,35.62,275100
1-Feb-00,35.62,35.62,34.06,34.06,259300
2-Feb-00,34.38,35.50,34.38,35.44,218700
3-Feb-00,36.00,36.31,35.88,36.00,228600
4-Feb-00,36.25,36.69,35.75,36.69,240600
7-Feb-00,37.50,40.25,37.50,39.50,567400
8-Feb-00,40.50,41.75,40.12,41.00,399100
9-Feb-00,41.50,45.75,41.50,45.75,579900
10-Feb-00,46.00,46.00,41.50,41.75,573700
11-Feb-00,42.25,43.75,42.12,42.25,380600
14-Feb-00,42.00,47.25,42.00,44.75,422100
15-Feb-00,46.25,50.81,46.25,46.62,746700
16-Feb-00,47.50,49.50,44.50,45.50,509500
17-Feb-00,46.94,47.25,45.25,45.75,449600
18-Feb-00,45.75,45.75,39.50,40.00,755500
22-Feb-00,42.25,43.25,41.75,42.81,573800
23-Feb-00,42.81,42.81,38.50,39.38,515700
24-Feb-00,39.00,39.00,37.00,37.31,774500
25-Feb-00,37.62,38.12,35.75,35.81,327300
28-Feb-00,35.81,36.25,35.06,35.69,391300
29-Feb-00,35.94,37.75,35.69,37.12,294900
1-Mar-00,36.05,39.94,37.12,39.88,274400
2-Mar-00,36.16,39.62,36.94,37.69,239600
3-Mar-00,36.28,37.56,35.88,35.88,219000
6-Mar-00,36.39,36.50,34.38,34.50,429000
7-Mar-00,36.50,40.25,36.00,40.00,782000
8-Mar-00,43.25,45.50,43.25,43.88,577200
9-Mar-00,43.88,44.88,43.38,44.69,187300
10-Mar-00,44.50,44.56,43.44,44.00,245100
13-Mar-00,43.00,43.75,42.00,43.50,145300
14-Mar-00,43.00,43.25,41.38,41.50,465600
15-Mar-00,42.00,42.38,40.50,42.38,216200
16-Mar-00,42.00,46.06,42.00,45.00,373200
17-Mar-00,44.50,44.81,43.75,44.12,127000
20-Mar-00,44.50,47.38,44.50,47.00,261200
21-Mar-00,47.00,47.00,44.50,44.56,414100
22-Mar-00,44.56,45.56,43.12,43.12,164800
23-Mar-00,42.25,44.12,42.25,43.88,150400
24-Mar-00,43.75,43.88,42.88,43.62,196400
27-Mar-00,44.50,44.50,42.12,42.50,127700
28-Mar-00,42.75,42.75,41.38,41.62,118700
29-Mar-00,41.62,41.88,41.25,41.38,226000
30-Mar-00,41.00,41.06,39.75,40.75,239200
31-Mar-00,40.50,43.25,40.00,40.00,297600
