Date,Open,High,Low,Close,Volume
11-Nov-08,9.62,9.78,9.62,9.63,11162
12-Nov-08,9.78,9.78,9.78,9.78,500
13-Nov-08,9.77,9.77,9.77,9.78,625
14-Nov-08,9.76,9.76,9.76,9.76,750
17-Nov-08,9.76,9.76,9.76,9.76,830
18-Nov-08,9.76,9.76,9.76,9.76,910
19-Nov-08,9.76,9.76,9.76,9.76,990
20-Nov-08,9.77,9.77,9.77,9.76,1070
21-Nov-08,9.77,9.77,9.77,9.76,1150
24-Nov-08,9.77,9.77,9.77,9.76,1230
25-Nov-08,9.77,9.77,9.77,9.76,1310
26-Nov-08,9.77,9.77,9.77,9.77,1390
27-Nov-08,9.91,9.91,9.76,9.77,1321
28-Nov-08,10.04,10.04,9.75,9.77,1252
1-Dec-08,10.18,10.18,9.74,9.77,1183
2-Dec-08,10.31,10.31,9.73,9.77,1114
3-Dec-08,10.45,10.45,9.72,9.77,1045
4-Dec-08,10.58,10.58,9.71,9.77,976
5-Dec-08,10.72,10.72,9.7,9.77,907
8-Dec-08,10.85,10.85,9.69,9.77,838
9-Dec-08,10.99,10.99,9.68,9.77,769
10-Dec-08,11.12,11.12,9.67,9.77,700
11-Dec-08,11.26,11.26,9.66,9.77,631
12-Dec-08,11.39,11.39,9.65,9.77,562
15-Dec-08,11.53,11.53,9.64,9.64,500
16-Dec-08,11.06,11.06,9.64,9.64,1125
17-Dec-08,10.59,10.59,9.65,9.64,1750
18-Dec-08,10.13,10.13,9.66,9.64,2375
19-Dec-08,9.66,9.66,9.66,9.66,3000
22-Dec-08,9.66,9.66,9.66,9.66,4714
23-Dec-08,9.67,9.67,9.67,9.66,6428
24-Dec-08,9.67,9.67,9.67,9.66,8142
25-Dec-08,9.68,9.68,9.68,9.66,9856
26-Dec-08,9.68,9.68,9.68,9.66,11570
29-Dec-08,9.69,9.69,9.69,9.66,13284
30-Dec-08,9.69,9.69,9.69,9.69,15000
31-Dec-08,9.87,9.87,9.87,9.87,15000
1-Jan-09,9.87,9.87,9.86,9.87,13375
2-Jan-09,9.87,9.87,9.84,9.87,11750
5-Jan-09,9.87,9.87,9.83,9.87,10125
6-Jan-09,9.87,9.87,9.82,9.87,8500
7-Jan-09,9.87,9.87,9.81,9.87,6875
8-Jan-09,9.87,9.87,9.79,9.87,5250
9-Jan-09,9.87,9.87,9.78,9.87,3625
12-Jan-09,9.87,9.87,9.77,9.77,2000
13-Jan-09,11.33,11.33,9.76,9.76,2000
14-Jan-09,10.94,10.94,9.76,9.76,1675
15-Jan-09,10.54,10.54,9.76,9.76,1350
16-Jan-09,10.15,10.15,9.76,9.76,1025
20-Jan-09,9.76,9.76,9.76,9.76,700
21-Jan-09,9.76,9.76,9.76,9.76,2560
22-Jan-09,9.76,9.76,9.76,9.76,4420
23-Jan-09,9.76,9.76,9.76,9.76,6280
26-Jan-09,9.76,9.76,9.76,9.76,8140
27-Jan-09,9.76,9.76,9.76,9.76,10000
28-Jan-09,9.90,9.90,9.90,9.90,100
29-Jan-09,9.87,9.87,9.87,9.90,880
30-Jan-09,9.84,9.84,9.84,9.90,1660
2-Feb-09,9.82,9.82,9.8,9.90,2440
3-Feb-09,9.79,9.79,9.77,9.90,3220
4-Feb-09,9.76,9.76,9.74,9.74,4000
5-Feb-09,9.77,9.82,9.76,9.74,2110
6-Feb-09,9.78,9.89,9.78,9.89,220
9-Feb-09,9.79,9.88,9.79,9.89,240
10-Feb-09,9.81,9.87,9.8,9.89,260
11-Feb-09,9.82,9.85,9.82,9.89,280
12-Feb-09,9.84,9.84,9.83,9.83,300
13-Feb-09,9.79,9.79,9.75,9.83,3150
17-Feb-09,9.74,9.74,9.68,9.68,6000
18-Feb-09,9.67,9.68,9.67,9.68,10100
