Date,Open,High,Low,Close,Volume
22-Aug-14,23.59,23.78,23.34,23.70,257673
21-Aug-14,23.77,23.77,23.37,23.62,294248
20-Aug-14,24.00,24.07,23.39,23.65,694859
19-Aug-14,24.45,24.57,24.22,24.39,374404
18-Aug-14,24.37,24.47,24.23,24.42,369830
15-Aug-14,24.35,24.43,24.00,24.18,414619
14-Aug-14,24.26,24.30,24.08,24.19,361880
13-Aug-14,24.30,24.53,24.15,24.21,493314
12-Aug-14,24.15,24.34,24.06,24.25,337766
11-Aug-14,24.17,24.50,24.11,24.20,432681
8-Aug-14,23.87,24.25,23.78,24.03,712508
7-Aug-14,24.00,24.13,23.64,23.87,598400
6-Aug-14,23.67,24.00,23.61,23.83,718227
5-Aug-14,23.37,23.75,23.13,23.38,407334
4-Aug-14,23.11,23.47,23.03,23.47,410381
1-Aug-14,22.82,23.22,22.73,23.01,461326
31-Jul-14,22.82,23.24,22.69,22.83,364070
30-Jul-14,23.34,23.45,22.96,23.16,437969
29-Jul-14,22.97,23.37,22.86,23.20,448854
28-Jul-14,23.25,23.50,22.82,22.89,374359
25-Jul-14,23.05,23.37,22.70,23.29,726579
24-Jul-14,22.53,23.24,22.53,22.90,1135336
23-Jul-14,21.85,21.99,21.58,21.77,376288
22-Jul-14,21.91,22.19,21.88,21.94,272468
21-Jul-14,21.89,21.93,21.52,21.90,356416
18-Jul-14,21.70,22.16,21.70,21.98,328663
17-Jul-14,21.90,22.13,21.75,21.79,491183
16-Jul-14,21.90,22.24,21.72,22.00,263838
15-Jul-14,21.90,21.99,21.63,21.89,365455
14-Jul-14,21.58,21.93,21.42,21.83,392662
11-Jul-14,21.66,21.66,21.22,21.41,435295
10-Jul-14,21.59,22.13,21.54,21.70,588567
9-Jul-14,22.31,22.38,21.92,21.98,468774
8-Jul-14,22.20,22.46,21.83,22.30,541443
7-Jul-14,22.45,22.45,22.17,22.22,494783
3-Jul-14,22.27,22.64,22.26,22.52,329351
2-Jul-14,21.99,22.27,21.90,22.21,423542
1-Jul-14,21.65,22.19,21.65,21.96,723307
