Date,Open,High,Low,Close,Volume
3-Jan-00,12.44,12.44,11.66,11.81,523000
4-Jan-00,11.78,11.78,11.38,11.50,522600
5-Jan-00,11.53,11.66,11.38,11.56,701200
6-Jan-00,11.50,11.91,11.34,11.47,1001200
7-Jan-00,11.44,11.78,11.44,11.78,527000
10-Jan-00,11.78,11.84,11.69,11.75,602200
11-Jan-00,11.75,11.84,11.66,11.69,657800
12-Jan-00,11.62,11.81,11.59,11.59,281600
13-Jan-00,11.66,11.78,11.53,11.66,838400
14-Jan-00,11.78,12.06,11.72,11.72,844400
18-Jan-00,11.78,11.81,11.34,11.53,460200
19-Jan-00,11.50,11.84,11.44,11.50,490200
20-Jan-00,11.50,11.50,10.94,11.09,496600
21-Jan-00,11.19,11.19,10.75,10.84,436200
24-Jan-00,10.91,11.12,10.69,10.88,566800
25-Jan-00,10.88,11.00,10.75,10.88,936200
26-Jan-00,10.94,11.22,10.91,11.22,704600
27-Jan-00,11.22,11.66,11.19,11.44,742800
28-Jan-00,11.44,11.44,11.12,11.12,521400
31-Jan-00,11.16,11.59,11.12,11.47,742600
1-Feb-00,11.47,11.56,11.38,11.47,437000
2-Feb-00,11.31,11.50,11.31,11.38,490600
3-Feb-00,11.50,11.53,11.34,11.38,327600
4-Feb-00,11.34,11.47,11.00,11.00,1005200
7-Feb-00,11.12,11.12,10.81,10.81,368400
8-Feb-00,10.88,11.12,10.88,10.97,429400
9-Feb-00,10.91,11.00,10.62,10.66,442200
10-Feb-00,10.72,10.72,10.22,10.38,621600
11-Feb-00,10.31,10.81,10.31,10.44,416400
14-Feb-00,10.31,10.56,10.25,10.31,457000
15-Feb-00,10.28,10.59,10.28,10.56,222600
16-Feb-00,10.44,10.56,10.31,10.31,204200
17-Feb-00,10.22,10.44,10.19,10.22,399200
18-Feb-00,10.25,10.25,9.75,9.88,275400
22-Feb-00,9.88,10.12,9.50,9.97,612400
23-Feb-00,9.97,10.12,9.84,9.84,548800
24-Feb-00,9.91,9.97,9.78,9.88,455400
25-Feb-00,9.97,10.19,9.75,9.81,608200
28-Feb-00,9.78,10.22,9.78,10.03,368200
29-Feb-00,10.12,10.12,9.81,9.91,239600
1-Mar-00,10.04,10.06,9.81,9.81,576600
2-Mar-00,9.96,10.00,9.84,9.94,284000
3-Mar-00,9.88,10.12,9.91,10.06,641800
6-Mar-00,9.8,10.09,9.31,9.66,1137000
7-Mar-00,9.72,9.72,9.50,9.53,603200
8-Mar-00,9.50,9.50,9.00,9.31,3481600
9-Mar-00,9.31,9.31,9.12,9.31,618200
10-Mar-00,9.31,9.38,9.25,9.34,223600
13-Mar-00,9.25,9.47,9.19,9.31,242200
14-Mar-00,9.34,9.47,9.31,9.38,317400
15-Mar-00,9.38,10.28,9.28,10.19,817600
16-Mar-00,10.31,11.53,10.25,11.53,820600
17-Mar-00,11.50,11.62,11.19,11.25,1101000
20-Mar-00,11.56,11.56,11.19,11.28,944800
21-Mar-00,11.25,11.53,11.22,11.53,588000
22-Mar-00,11.50,11.53,11.25,11.53,318000
23-Mar-00,11.50,11.72,11.31,11.72,307800
24-Mar-00,11.72,11.75,11.59,11.62,236200
27-Mar-00,11.50,11.56,11.09,11.25,448800
28-Mar-00,11.12,11.41,11.06,11.28,765800
29-Mar-00,11.28,11.31,11.12,11.22,628200
30-Mar-00,11.09,11.41,11.09,11.34,328800
31-Mar-00,11.41,11.91,11.31,11.91,804000
3-Apr-00,11.81,12.12,11.81,12.03,574600
4-Apr-00,12.00,12.19,11.62,11.97,766800
5-Apr-00,11.91,12.09,11.81,12.09,305200
6-Apr-00,12.16,12.22,11.81,11.91,354600
7-Apr-00,11.78,11.84,11.47,11.53,243600
10-Apr-00,11.56,11.66,11.47,11.59,330400
11-Apr-00,11.53,11.56,11.44,11.50,206400
12-Apr-00,11.62,12.31,11.62,12.12,319600
13-Apr-00,12.12,12.16,11.94,12.06,466000
14-Apr-00,12.12,12.12,11.00,11.22,552000
17-Apr-00,11.22,11.38,11.09,11.38,373600
18-Apr-00,11.38,11.72,11.34,11.66,406000
19-Apr-00,11.56,11.84,11.38,11.47,337600
20-Apr-00,11.44,12.12,11.44,12.12,857400
24-Apr-00,12.12,12.28,11.97,12.16,452000
25-Apr-00,12.16,12.62,12.09,12.56,564400
26-Apr-00,12.47,12.47,12.12,12.16,231400
27-Apr-00,12.03,12.03,11.62,11.72,296600
28-Apr-00,11.78,11.88,11.56,11.69,154000
