Date,Open,High,Low,Close,Volume
22-Aug-14,61.11,62.17,60.81,62.10,718053
21-Aug-14,59.61,62.00,59.37,61.20,867284
20-Aug-14,58.56,60.40,58.34,59.52,948916
19-Aug-14,58.18,59.19,58.18,58.86,403976
18-Aug-14,59.60,59.68,58.13,58.38,556961
15-Aug-14,57.34,59.77,57.33,59.14,985812
14-Aug-14,57.14,57.77,56.35,56.76,459456
13-Aug-14,55.50,58.34,55.49,57.34,1060282
12-Aug-14,56.00,56.83,54.70,55.51,777311
11-Aug-14,56.87,57.45,55.73,56.43,1155194
8-Aug-14,59.00,59.20,57.71,58.13,658005
7-Aug-14,58.29,59.62,58.01,58.53,812343
6-Aug-14,57.18,60.30,56.53,57.95,1175854
5-Aug-14,60.63,60.70,56.60,58.58,3000334
4-Aug-14,60.71,61.97,60.02,60.98,1883101
1-Aug-14,60.45,61.70,58.65,60.53,1729678
31-Jul-14,61.59,61.84,59.74,60.53,1937080
30-Jul-14,62.81,63.06,61.05,62.60,2626965
29-Jul-14,64.26,65.38,61.64,62.20,5558172
28-Jul-14,63.14,67.50,60.57,65.04,15682872
25-Jul-14,52.73,57.47,51.65,56.35,6456475
24-Jul-14,40.87,57.00,40.16,53.74,11515528
23-Jul-14,40.78,41.68,40.48,40.58,556437
22-Jul-14,40.05,41.29,39.79,40.91,919747
21-Jul-14,39.58,40.53,39.42,39.65,571665
18-Jul-14,38.58,40.18,38.58,39.94,1002369
17-Jul-14,39.85,40.87,38.38,38.63,959627
16-Jul-14,40.32,41.10,40.16,40.48,670418
15-Jul-14,41.27,41.74,39.96,40.03,1092919
14-Jul-14,41.54,42.36,40.98,41.23,947753
11-Jul-14,40.79,41.65,40.15,41.11,1269563
10-Jul-14,40.10,41.30,39.92,40.21,1782509
9-Jul-14,42.44,42.51,41.07,41.16,1225842
8-Jul-14,44.79,44.79,41.15,41.67,1646800
7-Jul-14,46.41,46.63,44.79,44.93,624735
3-Jul-14,45.80,46.97,45.46,46.79,787917
2-Jul-14,46.15,47.23,45.50,46.16,872743
1-Jul-14,47.33,47.94,46.33,46.39,1270435
30-Jun-14,47.42,48.68,47.22,47.38,1244224
27-Jun-14,45.09,47.68,44.90,47.48,2289833
26-Jun-14,45.49,46.20,44.94,45.28,518247
25-Jun-14,43.64,45.96,43.62,45.69,973573
24-Jun-14,43.86,45.98,43.34,43.90,2123501
23-Jun-14,44.00,44.75,43.11,44.34,1450483
20-Jun-14,43.87,44.50,41.86,44.00,1733955
19-Jun-14,43.95,44.90,43.26,43.95,1467357
18-Jun-14,45.04,45.30,43.26,45.10,1768323
17-Jun-14,43.62,46.98,43.48,45.04,3228137
16-Jun-14,42.30,44.25,41.57,43.97,1458735
13-Jun-14,41.69,44.00,41.11,42.40,1730788
12-Jun-14,40.90,43.10,40.63,41.21,1720061
11-Jun-14,39.53,41.42,39.30,41.16,1566863
10-Jun-14,38.69,40.65,38.69,39.93,1450053
9-Jun-14,39.48,39.88,38.26,38.63,1206005
6-Jun-14,38.77,40.00,38.69,39.62,815356
5-Jun-14,37.98,39.58,37.46,38.65,1325576
4-Jun-14,37.68,38.41,37.00,37.90,694881
3-Jun-14,38.75,39.19,37.53,38.04,977358
2-Jun-14,38.49,39.28,37.40,39.20,1213577
30-May-14,39.99,40.04,37.68,38.65,1724752
29-May-14,40.14,41.40,39.36,40.01,1835949
