Date,Open,High,Low,Close,Volume
3-Jan-00,15.12,15.12,14.19,14.19,109700
4-Jan-00,14.31,14.44,14.06,14.31,23400
5-Jan-00,14.19,14.56,14.00,14.44,22400
6-Jan-00,14.44,14.69,14.44,14.69,46900
7-Jan-00,14.69,14.75,14.38,14.62,33100
10-Jan-00,14.69,14.69,14.38,14.56,38600
11-Jan-00,14.62,14.62,14.06,14.06,46900
12-Jan-00,14.19,14.38,14.06,14.25,20800
13-Jan-00,14.25,14.62,14.00,14.12,62200
14-Jan-00,14.12,14.19,13.00,13.00,240000
18-Jan-00,13.44,14.19,12.94,14.19,209600
19-Jan-00,14.19,14.88,14.12,14.75,77200
20-Jan-00,14.62,15.19,14.62,15.00,69900
21-Jan-00,14.94,15.25,14.94,14.94,34400
24-Jan-00,15.00,15.06,14.81,14.81,52300
25-Jan-00,14.81,14.81,14.69,14.69,50100
26-Jan-00,14.69,14.88,14.62,14.75,37800
27-Jan-00,15.00,15.06,14.44,14.44,74800
28-Jan-00,14.38,14.50,13.75,14.00,53400
31-Jan-00,14.00,14.00,13.25,13.31,113400
1-Feb-00,13.50,13.62,13.31,13.50,45900
2-Feb-00,13.56,13.88,13.50,13.75,34100
3-Feb-00,13.75,15.44,13.75,14.38,397900
4-Feb-00,14.88,14.88,14.25,14.25,480900
7-Feb-00,14.25,14.31,14.00,14.06,56500
8-Feb-00,14.19,14.19,13.75,13.75,96000
9-Feb-00,13.75,13.88,13.38,13.56,50800
10-Feb-00,13.75,14.50,13.56,14.25,79600
11-Feb-00,14.25,14.31,13.81,13.88,52400
14-Feb-00,14.00,14.00,13.50,13.88,71200
15-Feb-00,14.00,14.00,13.38,13.44,55800
16-Feb-00,13.56,13.62,13.12,13.25,91200
17-Feb-00,13.25,13.50,13.12,13.31,95100
18-Feb-00,13.31,13.31,13.12,13.19,61200
22-Feb-00,13.06,13.44,13.00,13.44,76500
23-Feb-00,13.44,13.94,13.44,13.94,74100
24-Feb-00,13.81,13.81,13.56,13.62,29300
25-Feb-00,13.50,13.75,13.50,13.56,343800
28-Feb-00,13.56,13.75,13.56,13.69,354400
29-Feb-00,13.69,14.00,13.62,13.88,81000
1-Mar-00,13.89,14.44,13.94,14.31,156500
2-Mar-00,14.09,14.81,14.50,14.62,83900
3-Mar-00,14.29,15.00,14.62,14.88,52300
6-Mar-00,14.49,14.81,14.44,14.56,45900
7-Mar-00,14.69,14.69,14.38,14.50,33800
8-Mar-00,14.38,14.62,14.25,14.31,39200
9-Mar-00,14.19,15.00,14.19,14.75,44900
10-Mar-00,14.62,14.62,14.00,14.06,58400
13-Mar-00,14.06,14.31,13.88,14.06,28500
14-Mar-00,14.12,14.12,13.81,14.06,58300
15-Mar-00,13.94,14.44,13.78,14.25,41800
16-Mar-00,14.31,14.62,14.12,14.44,40100
17-Mar-00,14.38,15.06,14.38,15.00,105900
20-Mar-00,15.75,16.75,15.75,16.25,185600
21-Mar-00,16.12,16.62,15.88,16.38,54600
22-Mar-00,16.44,17.00,16.25,16.94,79100
23-Mar-00,17.00,17.81,17.00,17.62,79400
24-Mar-00,17.69,18.00,17.50,17.56,30900
27-Mar-00,17.75,17.88,16.00,16.44,92700
28-Mar-00,16.38,16.44,15.69,15.81,45800
29-Mar-00,15.31,15.31,14.62,15.12,65000
30-Mar-00,15.12,15.12,13.88,14.62,149300
31-Mar-00,14.62,14.88,13.94,14.25,113600
3-Apr-00,14.12,15.00,14.12,14.81,52400
