Date,Open,High,Low,Close,Volume
3-Jan-00,3.84,3.84,3.69,3.70,499600
4-Jan-00,3.66,3.66,3.39,3.55,799200
5-Jan-00,3.52,3.56,3.41,3.48,646800
6-Jan-00,3.48,3.59,3.47,3.48,482400
7-Jan-00,3.47,3.55,3.44,3.48,653600
10-Jan-00,3.48,3.50,3.42,3.47,318400
11-Jan-00,3.45,3.53,3.45,3.47,484400
12-Jan-00,3.47,3.48,3.38,3.41,204000
13-Jan-00,3.39,3.41,3.34,3.38,296000
14-Jan-00,3.36,3.38,3.33,3.36,280800
18-Jan-00,3.38,3.38,3.27,3.30,598800
19-Jan-00,3.27,3.27,3.09,3.11,489200
20-Jan-00,3.14,3.17,2.91,2.98,1665600
21-Jan-00,3.00,3.25,2.97,3.23,2669200
24-Jan-00,3.23,3.23,3.02,3.02,327200
25-Jan-00,3.03,3.09,3.00,3.06,442400
26-Jan-00,3.06,3.19,3.06,3.08,290000
27-Jan-00,3.02,3.09,2.98,3.03,268800
28-Jan-00,3.02,3.02,2.91,2.97,259600
31-Jan-00,3.00,3.05,2.89,3.03,272400
1-Feb-00,3.00,3.05,2.95,3.02,160400
2-Feb-00,3.06,3.09,3.00,3.09,134800
3-Feb-00,3.12,3.28,3.12,3.27,1260800
4-Feb-00,3.25,3.44,3.25,3.44,756400
7-Feb-00,3.44,3.45,3.22,3.23,240800
8-Feb-00,3.25,3.34,3.23,3.25,413600
9-Feb-00,3.22,3.23,3.00,3.00,626800
10-Feb-00,3.05,3.05,2.92,2.98,274400
11-Feb-00,3.00,3.00,2.91,2.95,450000
14-Feb-00,2.95,2.95,2.89,2.92,211600
15-Feb-00,2.95,2.98,2.91,2.98,298400
16-Feb-00,2.98,2.98,2.91,2.91,127600
17-Feb-00,2.92,2.92,2.59,2.62,2125600
18-Feb-00,2.70,2.70,2.31,2.41,1913200
22-Feb-00,2.45,2.53,2.41,2.50,1850400
23-Feb-00,2.50,2.58,2.45,2.47,1652000
24-Feb-00,2.50,2.59,2.48,2.55,1138800
25-Feb-00,2.58,2.81,2.56,2.70,760000
28-Feb-00,2.75,2.86,2.75,2.84,872000
29-Feb-00,2.88,3.22,2.88,3.19,1032800
1-Mar-00,3.0,3.56,3.22,3.52,1184400
2-Mar-00,3.12,3.66,3.48,3.61,549200
3-Mar-00,3.24,3.70,3.45,3.50,503600
6-Mar-00,3.36,3.47,3.38,3.44,315600
7-Mar-00,3.48,3.53,3.38,3.38,404800
8-Mar-00,3.41,3.50,3.31,3.31,296400
9-Mar-00,3.31,3.52,3.16,3.48,872400
10-Mar-00,3.48,3.56,3.44,3.44,387200
13-Mar-00,3.41,3.81,3.38,3.80,623600
14-Mar-00,3.83,4.38,3.83,4.38,1870400
15-Mar-00,4.34,4.34,4.12,4.22,666000
16-Mar-00,4.22,4.23,4.03,4.03,556000
17-Mar-00,4.06,4.09,4.02,4.02,711600
20-Mar-00,4.06,4.06,3.95,3.97,337600
21-Mar-00,3.97,3.97,3.83,3.88,351600
22-Mar-00,3.88,4.03,3.84,4.03,496400
23-Mar-00,4.06,4.20,3.88,3.91,422000
24-Mar-00,3.91,4.17,3.91,4.16,400400
27-Mar-00,4.12,4.12,4.03,4.05,131200
28-Mar-00,4.05,4.05,3.89,3.91,182000
29-Mar-00,3.91,4.06,3.88,4.06,402400
30-Mar-00,4.08,4.56,4.05,4.50,2145200
31-Mar-00,4.47,4.47,4.27,4.39,441200
3-Apr-00,4.44,4.44,4.34,4.41,744800
4-Apr-00,4.44,4.55,4.00,4.27,507200
5-Apr-00,4.25,4.67,4.23,4.58,946000
6-Apr-00,4.58,4.92,4.58,4.78,1317600
7-Apr-00,4.84,4.92,4.77,4.88,421200
10-Apr-00,4.88,5.25,4.88,5.17,1330000
11-Apr-00,5.16,5.16,4.97,5.03,1128000
12-Apr-00,5.06,5.06,4.72,4.88,469200
